kpi_hourly_area_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_HOURLY_AREA-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,47.07,index,valid,synthetic_aam,24,0,42.36,11.11
AAM-KPI_HOURLY_AREA-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,17.31,index,valid,synthetic_aam,24,0,15.58,11.11
AAM-KPI_HOURLY_AREA-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,65.52,index,valid,synthetic_aam,24,0,58.97,11.11
AAM-KPI_HOURLY_AREA-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,51.58,index,valid,synthetic_aam,24,0,46.42,11.11
AAM-KPI_HOURLY_AREA-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,72.63,index,valid,synthetic_aam,24,0,65.37,11.11
AAM-KPI_HOURLY_AREA-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,83.06,index,valid,synthetic_aam,24,0,74.75,11.11
AAM-KPI_HOURLY_AREA-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,19.43,index,valid,synthetic_aam,24,0,17.49,11.11
AAM-KPI_HOURLY_AREA-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,75.25,index,valid,synthetic_aam,24,0,67.73,11.11
AAM-KPI_HOURLY_AREA-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,47.22,index,valid,synthetic_aam,24,0,42.5,11.11
AAM-KPI_HOURLY_AREA-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,25.36,index,valid,synthetic_aam,24,0,22.82,11.11
AAM-KPI_HOURLY_AREA-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,73.63,index,valid,synthetic_aam,24,0,66.27,11.11
AAM-KPI_HOURLY_AREA-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,53.52,index,valid,synthetic_aam,24,0,48.17,11.11
AAM-KPI_HOURLY_AREA-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,91.39,index,degraded,synthetic_aam,24,1,82.25,11.11
AAM-KPI_HOURLY_AREA-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,21.24,index,valid,synthetic_aam,24,0,19.12,11.11
AAM-KPI_HOURLY_AREA-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,73.89,index,valid,synthetic_aam,24,0,66.5,11.11
AAM-KPI_HOURLY_AREA-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,27.61,index,valid,synthetic_aam,24,0,24.85,11.11
AAM-KPI_HOURLY_AREA-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,79.23,index,valid,synthetic_aam,24,0,71.31,11.11
AAM-KPI_HOURLY_AREA-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,23.88,index,valid,synthetic_aam,24,0,21.49,11.11
AAM-KPI_HOURLY_AREA-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,72.51,index,valid,synthetic_aam,24,0,65.26,11.11
AAM-KPI_HOURLY_AREA-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,43.89,index,valid,synthetic_aam,24,0,39.5,11.11
AAM-KPI_HOURLY_AREA-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,18.11,index,valid,synthetic_aam,24,0,16.3,11.11
AAM-KPI_HOURLY_AREA-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,27.54,index,valid,synthetic_aam,24,0,24.79,11.11
AAM-KPI_HOURLY_AREA-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,16.54,index,valid,synthetic_aam,24,0,14.89,11.11
AAM-KPI_HOURLY_AREA-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,42.36,index,valid,synthetic_aam,24,0,38.12,11.11
AAM-KPI_HOURLY_AREA-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,31.86,index,valid,synthetic_aam,24,0,28.67,11.11
AAM-KPI_HOURLY_AREA-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,49.77,index,valid,synthetic_aam,24,0,44.79,11.11
AAM-KPI_HOURLY_AREA-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,75.48,index,valid,synthetic_aam,24,0,67.93,11.11
AAM-KPI_HOURLY_AREA-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,29.85,index,valid,synthetic_aam,24,0,26.87,11.11
AAM-KPI_HOURLY_AREA-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,34.68,index,valid,synthetic_aam,24,0,31.21,11.11
AAM-KPI_HOURLY_AREA-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,41.37,index,valid,synthetic_aam,24,0,37.23,11.11
AAM-KPI_HOURLY_AREA-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,52.24,index,valid,synthetic_aam,24,0,47.02,11.11
AAM-KPI_HOURLY_AREA-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,44.14,index,valid,synthetic_aam,24,0,39.73,11.11
AAM-KPI_HOURLY_AREA-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,27.65,index,valid,synthetic_aam,24,0,24.88,11.11
AAM-KPI_HOURLY_AREA-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,84.88,index,valid,synthetic_aam,24,0,76.39,11.11
AAM-KPI_HOURLY_AREA-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,28.84,index,valid,synthetic_aam,24,0,25.96,11.11
AAM-KPI_HOURLY_AREA-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,60.44,index,valid,synthetic_aam,24,0,54.4,11.11
AAM-KPI_HOURLY_AREA-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,31.38,index,valid,synthetic_aam,24,0,28.24,11.11
AAM-KPI_HOURLY_AREA-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,43.22,index,valid,synthetic_aam,24,0,38.9,11.11
AAM-KPI_HOURLY_AREA-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,17.31,index,valid,synthetic_aam,24,0,15.58,11.11
AAM-KPI_HOURLY_AREA-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,70.56,index,valid,synthetic_aam,24,0,63.5,11.11
AAM-KPI_HOURLY_AREA-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,57.8,index,valid,synthetic_aam,24,0,52.02,11.11
AAM-KPI_HOURLY_AREA-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,53.81,index,valid,synthetic_aam,24,0,48.43,11.11
AAM-KPI_HOURLY_AREA-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,72.41,index,valid,synthetic_aam,24,0,65.17,11.11
AAM-KPI_HOURLY_AREA-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,66.4,index,valid,synthetic_aam,24,0,59.76,11.11
AAM-KPI_HOURLY_AREA-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,72.59,index,valid,synthetic_aam,24,0,65.33,11.11
AAM-KPI_HOURLY_AREA-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,54.26,index,valid,synthetic_aam,24,0,48.83,11.11
AAM-KPI_HOURLY_AREA-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,31.37,index,valid,synthetic_aam,24,0,28.23,11.11
AAM-KPI_HOURLY_AREA-02-08,LOC003,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,16.29,index,valid,synthetic_aam,24,0,14.66,11.11
AAM-KPI_HOURLY_AREA-02-09,LOC003,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,48.02,index,valid,synthetic_aam,24,0,43.22,11.11
AAM-KPI_HOURLY_AREA-02-10,LOC003,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,71.34,index,valid,synthetic_aam,24,0,64.21,11.11
AAM-KPI_HOURLY_AREA-02-11,LOC003,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,49.01,index,valid,synthetic_aam,24,0,44.11,11.11
AAM-KPI_HOURLY_AREA-02-12,LOC003,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,59.08,index,valid,synthetic_aam,24,0,53.17,11.11
