kpi_anomaly_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_ANOMALY_HOURLY-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,78.78,index,valid,synthetic_aam,24,0,70.9,11.11
AAM-KPI_ANOMALY_HOURLY-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,56.13,index,valid,synthetic_aam,24,0,50.52,11.11
AAM-KPI_ANOMALY_HOURLY-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,30.98,index,valid,synthetic_aam,24,0,27.88,11.11
AAM-KPI_ANOMALY_HOURLY-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,57.48,index,valid,synthetic_aam,24,0,51.73,11.11
AAM-KPI_ANOMALY_HOURLY-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,53.73,index,valid,synthetic_aam,24,0,48.36,11.11
AAM-KPI_ANOMALY_HOURLY-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,38.12,index,valid,synthetic_aam,24,0,34.31,11.11
AAM-KPI_ANOMALY_HOURLY-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,20.5,index,valid,synthetic_aam,24,0,18.45,11.11
AAM-KPI_ANOMALY_HOURLY-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,39.32,index,valid,synthetic_aam,24,0,35.39,11.11
AAM-KPI_ANOMALY_HOURLY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,37.88,index,valid,synthetic_aam,24,0,34.09,11.11
AAM-KPI_ANOMALY_HOURLY-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,18.87,index,valid,synthetic_aam,24,0,16.98,11.11
AAM-KPI_ANOMALY_HOURLY-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,79.15,index,valid,synthetic_aam,24,0,71.24,11.11
AAM-KPI_ANOMALY_HOURLY-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,61.21,index,valid,synthetic_aam,24,0,55.09,11.11
AAM-KPI_ANOMALY_HOURLY-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,78.19,index,valid,synthetic_aam,24,0,70.37,11.11
AAM-KPI_ANOMALY_HOURLY-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,63.84,index,valid,synthetic_aam,24,0,57.46,11.11
AAM-KPI_ANOMALY_HOURLY-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,52.76,index,valid,synthetic_aam,24,0,47.48,11.11
AAM-KPI_ANOMALY_HOURLY-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,83.8,index,valid,synthetic_aam,24,0,75.42,11.11
AAM-KPI_ANOMALY_HOURLY-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,47.9,index,valid,synthetic_aam,24,0,43.11,11.11
AAM-KPI_ANOMALY_HOURLY-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,48.14,index,valid,synthetic_aam,24,0,43.33,11.11
AAM-KPI_ANOMALY_HOURLY-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,78.57,index,valid,synthetic_aam,24,0,70.71,11.11
AAM-KPI_ANOMALY_HOURLY-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,26.78,index,valid,synthetic_aam,24,0,24.1,11.11
AAM-KPI_ANOMALY_HOURLY-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,67.7,index,valid,synthetic_aam,24,0,60.93,11.11
AAM-KPI_ANOMALY_HOURLY-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,57.08,index,valid,synthetic_aam,24,0,51.37,11.11
AAM-KPI_ANOMALY_HOURLY-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,36.25,index,valid,synthetic_aam,24,0,32.62,11.11
AAM-KPI_ANOMALY_HOURLY-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,23.4,index,valid,synthetic_aam,24,0,21.06,11.11
AAM-KPI_ANOMALY_HOURLY-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,48.08,index,valid,synthetic_aam,24,0,43.27,11.11
AAM-KPI_ANOMALY_HOURLY-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,79.96,index,valid,synthetic_aam,24,0,71.96,11.11
AAM-KPI_ANOMALY_HOURLY-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,68.66,index,valid,synthetic_aam,24,0,61.79,11.11
AAM-KPI_ANOMALY_HOURLY-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,79.86,index,valid,synthetic_aam,24,0,71.87,11.11
AAM-KPI_ANOMALY_HOURLY-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,22.58,index,valid,synthetic_aam,24,0,20.32,11.11
AAM-KPI_ANOMALY_HOURLY-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,17.33,index,valid,synthetic_aam,24,0,15.6,11.11
AAM-KPI_ANOMALY_HOURLY-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,25.05,index,valid,synthetic_aam,24,0,22.55,11.11
AAM-KPI_ANOMALY_HOURLY-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,59.12,index,valid,synthetic_aam,24,0,53.21,11.11
AAM-KPI_ANOMALY_HOURLY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,59.24,index,valid,synthetic_aam,24,0,53.32,11.11
AAM-KPI_ANOMALY_HOURLY-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,64.61,index,valid,synthetic_aam,24,0,58.15,11.11
AAM-KPI_ANOMALY_HOURLY-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,27.6,index,valid,synthetic_aam,24,0,24.84,11.11
AAM-KPI_ANOMALY_HOURLY-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,70.62,index,valid,synthetic_aam,24,0,63.56,11.11
AAM-KPI_ANOMALY_HOURLY-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,30.21,index,valid,synthetic_aam,24,0,27.19,11.11
AAM-KPI_ANOMALY_HOURLY-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,19.43,index,valid,synthetic_aam,24,0,17.49,11.11
AAM-KPI_ANOMALY_HOURLY-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,47.9,index,valid,synthetic_aam,24,0,43.11,11.11
AAM-KPI_ANOMALY_HOURLY-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,56.1,index,valid,synthetic_aam,24,0,50.49,11.11
AAM-KPI_ANOMALY_HOURLY-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,23.52,index,valid,synthetic_aam,24,0,21.17,11.11
AAM-KPI_ANOMALY_HOURLY-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,43.76,index,valid,synthetic_aam,24,0,39.38,11.11
AAM-KPI_ANOMALY_HOURLY-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,72.76,index,valid,synthetic_aam,24,0,65.48,11.11
AAM-KPI_ANOMALY_HOURLY-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,69.17,index,valid,synthetic_aam,24,0,62.25,11.11
AAM-KPI_ANOMALY_HOURLY-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,36.05,index,valid,synthetic_aam,24,0,32.45,11.11
AAM-KPI_ANOMALY_HOURLY-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,16.82,index,valid,synthetic_aam,24,0,15.14,11.11
AAM-KPI_ANOMALY_HOURLY-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,15.73,index,valid,synthetic_aam,24,0,14.16,11.11
AAM-KPI_ANOMALY_HOURLY-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,77.18,index,valid,synthetic_aam,24,0,69.46,11.11
AAM-KPI_ANOMALY_HOURLY-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,54.53,index,valid,synthetic_aam,24,0,49.08,11.11
AAM-KPI_ANOMALY_HOURLY-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,53.02,index,valid,synthetic_aam,24,0,47.72,11.11
AAM-KPI_ANOMALY_HOURLY-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,23.03,index,valid,synthetic_aam,24,0,20.73,11.11
AAM-KPI_ANOMALY_HOURLY-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,83.55,index,valid,synthetic_aam,24,0,75.19,11.11
AAM-KPI_ANOMALY_HOURLY-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,36.29,index,valid,synthetic_aam,24,0,32.66,11.11
AAM-KPI_ANOMALY_HOURLY-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,58.46,index,valid,synthetic_aam,24,0,52.61,11.11
AAM-KPI_ANOMALY_HOURLY-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,70.31,index,valid,synthetic_aam,24,0,63.28,11.11
AAM-KPI_ANOMALY_HOURLY-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,37.19,index,valid,synthetic_aam,24,0,33.47,11.11
AAM-KPI_ANOMALY_HOURLY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,55.68,index,valid,synthetic_aam,24,0,50.11,11.11
AAM-KPI_ANOMALY_HOURLY-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,44.58,index,valid,synthetic_aam,24,0,40.12,11.11
AAM-KPI_ANOMALY_HOURLY-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,39.27,index,valid,synthetic_aam,24,0,35.34,11.11
AAM-KPI_ANOMALY_HOURLY-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,31.54,index,valid,synthetic_aam,24,0,28.39,11.11
AAM-KPI_ANOMALY_HOURLY-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,71.33,index,valid,synthetic_aam,24,0,64.2,11.11
AAM-KPI_ANOMALY_HOURLY-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,41.0,index,valid,synthetic_aam,24,0,36.9,11.11
AAM-KPI_ANOMALY_HOURLY-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,26.4,index,valid,synthetic_aam,24,0,23.76,11.11
AAM-KPI_ANOMALY_HOURLY-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,58.58,index,valid,synthetic_aam,24,0,52.72,11.11
AAM-KPI_ANOMALY_HOURLY-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,34.04,index,valid,synthetic_aam,24,0,30.64,11.11
AAM-KPI_ANOMALY_HOURLY-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,69.72,index,valid,synthetic_aam,24,0,62.75,11.11
AAM-KPI_ANOMALY_HOURLY-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,22.47,index,valid,synthetic_aam,24,0,20.22,11.11
AAM-KPI_ANOMALY_HOURLY-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,44.76,index,valid,synthetic_aam,24,0,40.28,11.11
AAM-KPI_ANOMALY_HOURLY-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,53.45,index,valid,synthetic_aam,24,0,48.11,11.11
AAM-KPI_ANOMALY_HOURLY-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,52.28,index,valid,synthetic_aam,24,0,47.05,11.11
AAM-KPI_ANOMALY_HOURLY-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,17.36,index,valid,synthetic_aam,24,0,15.62,11.11
AAM-KPI_ANOMALY_HOURLY-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,48.11,index,valid,synthetic_aam,24,0,43.3,11.11
AAM-KPI_ANOMALY_HOURLY-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,30.1,index,valid,synthetic_aam,24,0,27.09,11.11
AAM-KPI_ANOMALY_HOURLY-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,30.75,index,valid,synthetic_aam,24,0,27.68,11.11
AAM-KPI_ANOMALY_HOURLY-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,77.25,index,valid,synthetic_aam,24,0,69.53,11.11
AAM-KPI_ANOMALY_HOURLY-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,28.03,index,valid,synthetic_aam,24,0,25.23,11.11
AAM-KPI_ANOMALY_HOURLY-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,15.24,index,valid,synthetic_aam,24,0,13.72,11.11
AAM-KPI_ANOMALY_HOURLY-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,48.17,index,degraded,synthetic_aam,24,1,43.35,11.11
AAM-KPI_ANOMALY_HOURLY-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,52.08,index,valid,synthetic_aam,24,0,46.87,11.11
AAM-KPI_ANOMALY_HOURLY-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,32.85,index,valid,synthetic_aam,24,0,29.57,11.11
AAM-KPI_ANOMALY_HOURLY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,54.11,index,valid,synthetic_aam,24,0,48.7,11.11
AAM-KPI_ANOMALY_HOURLY-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,73.87,index,valid,synthetic_aam,24,0,66.48,11.11
AAM-KPI_ANOMALY_HOURLY-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,27.21,index,valid,synthetic_aam,24,0,24.49,11.11
AAM-KPI_ANOMALY_HOURLY-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,74.15,index,valid,synthetic_aam,24,0,66.74,11.11
AAM-KPI_ANOMALY_HOURLY-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,69.67,index,valid,synthetic_aam,24,0,62.7,11.11
AAM-KPI_ANOMALY_HOURLY-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,20.77,index,valid,synthetic_aam,24,0,18.69,11.11
AAM-KPI_ANOMALY_HOURLY-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,18.66,index,valid,synthetic_aam,24,0,16.79,11.11
AAM-KPI_ANOMALY_HOURLY-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,74.41,index,valid,synthetic_aam,24,0,66.97,11.11
AAM-KPI_ANOMALY_HOURLY-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,68.09,index,valid,synthetic_aam,24,0,61.28,11.11
AAM-KPI_ANOMALY_HOURLY-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,70.32,index,valid,synthetic_aam,24,0,63.29,11.11
AAM-KPI_ANOMALY_HOURLY-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,39.31,index,valid,synthetic_aam,24,0,35.38,11.11
AAM-KPI_ANOMALY_HOURLY-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,81.51,index,valid,synthetic_aam,24,0,73.36,11.11
AAM-KPI_ANOMALY_HOURLY-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,67.53,index,valid,synthetic_aam,24,0,60.78,11.11
AAM-KPI_ANOMALY_HOURLY-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,71.35,index,valid,synthetic_aam,24,0,64.22,11.11
AAM-KPI_ANOMALY_HOURLY-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,27.91,index,valid,synthetic_aam,24,0,25.12,11.11
AAM-KPI_ANOMALY_HOURLY-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,33.97,index,valid,synthetic_aam,24,0,30.57,11.11
AAM-KPI_ANOMALY_HOURLY-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,24.49,index,valid,synthetic_aam,24,0,22.04,11.11
AAM-KPI_ANOMALY_HOURLY-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,73.25,index,valid,synthetic_aam,24,0,65.92,11.11
AAM-KPI_ANOMALY_HOURLY-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,51.9,index,valid,synthetic_aam,24,0,46.71,11.11
AAM-KPI_ANOMALY_HOURLY-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,41.26,index,valid,synthetic_aam,24,0,37.13,11.11
AAM-KPI_ANOMALY_HOURLY-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,43.04,index,valid,synthetic_aam,24,0,38.74,11.11
AAM-KPI_ANOMALY_HOURLY-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,67.63,index,valid,synthetic_aam,24,0,60.87,11.11
AAM-KPI_ANOMALY_HOURLY-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,57.26,index,valid,synthetic_aam,24,0,51.53,11.11
AAM-KPI_ANOMALY_HOURLY-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,62.58,index,valid,synthetic_aam,24,0,56.32,11.11
AAM-KPI_ANOMALY_HOURLY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,22.31,index,valid,synthetic_aam,24,0,20.08,11.11
AAM-KPI_ANOMALY_HOURLY-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,46.99,index,valid,synthetic_aam,24,0,42.29,11.11
AAM-KPI_ANOMALY_HOURLY-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,25.87,index,valid,synthetic_aam,24,0,23.28,11.11
AAM-KPI_ANOMALY_HOURLY-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,63.0,index,valid,synthetic_aam,24,0,56.7,11.11
AAM-KPI_ANOMALY_HOURLY-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,18.66,index,valid,synthetic_aam,24,0,16.79,11.11
AAM-KPI_ANOMALY_HOURLY-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,15.23,index,valid,synthetic_aam,24,0,13.71,11.11
AAM-KPI_ANOMALY_HOURLY-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,32.24,index,valid,synthetic_aam,24,0,29.02,11.11
AAM-KPI_ANOMALY_HOURLY-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,66.14,index,valid,synthetic_aam,24,0,59.53,11.11
