kpi_rollup_job_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_ROLLUP_JOB-02-27,LOC003,CMU,KV3,active,2026-08-19-03,2026-08-19 03:00:00,15.13,index,valid,synthetic_aam,24,0,13.62,11.11
AAM-KPI_ROLLUP_JOB-02-36,LOC003,CMU,KV3,active,2026-08-19-12,2026-08-19 12:00:00,41.23,index,valid,synthetic_aam,24,0,37.11,11.11
AAM-KPI_ROLLUP_JOB-02-45,LOC003,CMU,KV3,active,2026-08-19-21,2026-08-19 21:00:00,44.58,index,valid,synthetic_aam,24,0,40.12,11.11
AAM-KPI_ROLLUP_JOB-02-54,LOC003,CMU,KV3,active,2026-08-20-06,2026-08-20 06:00:00,55.39,index,valid,synthetic_aam,24,0,49.85,11.11
AAM-KPI_ROLLUP_JOB-02-63,LOC003,CMU,KV3,active,2026-08-20-15,2026-08-20 15:00:00,42.6,index,valid,synthetic_aam,24,0,38.34,11.11
AAM-KPI_ROLLUP_JOB-03-00,LOC004,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,15.8,index,valid,synthetic_aam,24,0,14.22,11.11
AAM-KPI_ROLLUP_JOB-03-09,LOC004,NBH,KV1,active,2026-08-18-09,2026-08-18 09:00:00,69.45,index,valid,synthetic_aam,24,0,62.51,11.11
AAM-KPI_ROLLUP_JOB-03-18,LOC004,NBH,KV1,active,2026-08-18-18,2026-08-18 18:00:00,22.55,index,valid,synthetic_aam,24,0,20.3,11.11
AAM-KPI_ROLLUP_JOB-03-27,LOC004,NBH,KV1,active,2026-08-19-03,2026-08-19 03:00:00,66.14,index,valid,synthetic_aam,24,0,59.53,11.11
AAM-KPI_ROLLUP_JOB-03-36,LOC004,NBH,KV1,active,2026-08-19-12,2026-08-19 12:00:00,37.55,index,valid,synthetic_aam,24,0,33.8,11.11
AAM-KPI_ROLLUP_JOB-03-45,LOC004,NBH,KV1,active,2026-08-19-21,2026-08-19 21:00:00,29.34,index,valid,synthetic_aam,24,0,26.41,11.11
AAM-KPI_ROLLUP_JOB-03-54,LOC004,NBH,KV1,active,2026-08-20-06,2026-08-20 06:00:00,62.13,index,valid,synthetic_aam,24,0,55.92,11.11
AAM-KPI_ROLLUP_JOB-03-63,LOC004,NBH,KV1,active,2026-08-20-15,2026-08-20 15:00:00,19.91,index,valid,synthetic_aam,24,0,17.92,11.11
AAM-KPI_ROLLUP_JOB-04-00,LOC005,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,48.11,index,valid,synthetic_aam,24,0,43.3,11.11
AAM-KPI_ROLLUP_JOB-04-09,LOC005,HCM,KV3,active,2026-08-18-09,2026-08-18 09:00:00,82.86,index,valid,synthetic_aam,24,0,74.57,11.11
AAM-KPI_ROLLUP_JOB-04-18,LOC005,HCM,KV3,active,2026-08-18-18,2026-08-18 18:00:00,83.43,index,valid,synthetic_aam,24,0,75.09,11.11
AAM-KPI_ROLLUP_JOB-04-27,LOC005,HCM,KV3,active,2026-08-19-03,2026-08-19 03:00:00,63.64,index,valid,synthetic_aam,24,0,57.28,11.11
AAM-KPI_ROLLUP_JOB-04-36,LOC005,HCM,KV3,active,2026-08-19-12,2026-08-19 12:00:00,58.03,index,valid,synthetic_aam,24,0,52.23,11.11
AAM-KPI_ROLLUP_JOB-04-45,LOC005,HCM,KV3,active,2026-08-19-21,2026-08-19 21:00:00,73.01,index,valid,synthetic_aam,24,0,65.71,11.11
AAM-KPI_ROLLUP_JOB-04-54,LOC005,HCM,KV3,active,2026-08-20-06,2026-08-20 06:00:00,74.17,index,valid,synthetic_aam,24,0,66.75,11.11
AAM-KPI_ROLLUP_JOB-04-63,LOC005,HCM,KV3,active,2026-08-20-15,2026-08-20 15:00:00,50.02,index,valid,synthetic_aam,24,0,45.02,11.11
AAM-KPI_ROLLUP_JOB-05-00,LOC006,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,20.81,index,valid,synthetic_aam,24,0,18.73,11.11
AAM-KPI_ROLLUP_JOB-05-09,LOC006,KHA,KV2,active,2026-08-18-09,2026-08-18 09:00:00,25.46,index,valid,synthetic_aam,24,0,22.91,11.11
AAM-KPI_ROLLUP_JOB-05-18,LOC006,KHA,KV2,active,2026-08-18-18,2026-08-18 18:00:00,82.06,index,valid,synthetic_aam,24,0,73.85,11.11
AAM-KPI_ROLLUP_JOB-05-27,LOC006,KHA,KV2,active,2026-08-19-03,2026-08-19 03:00:00,48.31,index,valid,synthetic_aam,24,0,43.48,11.11
AAM-KPI_ROLLUP_JOB-05-36,LOC006,KHA,KV2,active,2026-08-19-12,2026-08-19 12:00:00,28.29,index,valid,synthetic_aam,24,0,25.46,11.11
AAM-KPI_ROLLUP_JOB-05-45,LOC006,KHA,KV2,active,2026-08-19-21,2026-08-19 21:00:00,39.3,index,valid,synthetic_aam,24,0,35.37,11.11
AAM-KPI_ROLLUP_JOB-05-54,LOC006,KHA,KV2,active,2026-08-20-06,2026-08-20 06:00:00,80.74,index,valid,synthetic_aam,24,0,72.67,11.11
AAM-KPI_ROLLUP_JOB-05-63,LOC006,KHA,KV2,active,2026-08-20-15,2026-08-20 15:00:00,65.69,index,valid,synthetic_aam,24,0,59.12,11.11
