kpi_breach_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_BREACH_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,82.42,index,valid,synthetic_aam,24,0,74.18,11.11
AAM-KPI_BREACH_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,49.52,index,valid,synthetic_aam,24,0,44.57,11.11
AAM-KPI_BREACH_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,38.02,index,valid,synthetic_aam,24,0,34.22,11.11
AAM-KPI_BREACH_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,83.51,index,valid,synthetic_aam,24,0,75.16,11.11
AAM-KPI_BREACH_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,83.6,index,valid,synthetic_aam,24,0,75.24,11.11
AAM-KPI_BREACH_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,81.94,index,valid,synthetic_aam,24,0,73.75,11.11
AAM-KPI_BREACH_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,82.57,index,valid,synthetic_aam,24,0,74.31,11.11
AAM-KPI_BREACH_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,80.13,index,valid,synthetic_aam,24,0,72.12,11.11
AAM-KPI_BREACH_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,72.46,index,valid,synthetic_aam,24,0,65.21,11.11
AAM-KPI_BREACH_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,32.63,index,valid,synthetic_aam,24,0,29.37,11.11
AAM-KPI_BREACH_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,18.14,index,valid,synthetic_aam,24,0,16.33,11.11
AAM-KPI_BREACH_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,61.04,index,valid,synthetic_aam,24,0,54.94,11.11
AAM-KPI_BREACH_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,54.84,index,valid,synthetic_aam,24,0,49.36,11.11
AAM-KPI_BREACH_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,32.92,index,valid,synthetic_aam,24,0,29.63,11.11
AAM-KPI_BREACH_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,58.53,index,valid,synthetic_aam,24,0,52.68,11.11
AAM-KPI_BREACH_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,30.84,index,degraded,synthetic_aam,24,1,27.76,11.11
AAM-KPI_BREACH_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,70.05,index,valid,synthetic_aam,24,0,63.05,11.11
AAM-KPI_BREACH_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,32.71,index,valid,synthetic_aam,24,0,29.44,11.11
AAM-KPI_BREACH_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,37.36,index,valid,synthetic_aam,24,0,33.62,11.11
AAM-KPI_BREACH_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,43.3,index,valid,synthetic_aam,24,0,38.97,11.11
AAM-KPI_BREACH_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,55.18,index,valid,synthetic_aam,24,0,49.66,11.11
AAM-KPI_BREACH_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,33.39,index,valid,synthetic_aam,24,0,30.05,11.11
AAM-KPI_BREACH_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,50.02,index,valid,synthetic_aam,24,0,45.02,11.11
AAM-KPI_BREACH_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,53.06,index,valid,synthetic_aam,24,0,47.75,11.11
AAM-KPI_BREACH_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,46.49,index,valid,synthetic_aam,24,0,41.84,11.11
AAM-KPI_BREACH_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,15.29,index,valid,synthetic_aam,24,0,13.76,11.11
AAM-KPI_BREACH_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,16.15,index,valid,synthetic_aam,24,0,14.53,11.11
AAM-KPI_BREACH_HOURLY-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,48.79,index,valid,synthetic_aam,24,0,43.91,11.11
AAM-KPI_BREACH_HOURLY-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,27.83,index,valid,synthetic_aam,24,0,25.05,11.11
AAM-KPI_BREACH_HOURLY-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,35.34,index,valid,synthetic_aam,24,0,31.81,11.11
AAM-KPI_BREACH_HOURLY-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,50.87,index,valid,synthetic_aam,24,0,45.78,11.11
AAM-KPI_BREACH_HOURLY-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,43.95,index,valid,synthetic_aam,24,0,39.56,11.11
AAM-KPI_BREACH_HOURLY-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,62.48,index,valid,synthetic_aam,24,0,56.23,11.11
AAM-KPI_BREACH_HOURLY-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,17.77,index,valid,synthetic_aam,24,0,15.99,11.11
AAM-KPI_BREACH_HOURLY-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,33.76,index,valid,synthetic_aam,24,0,30.38,11.11
AAM-KPI_BREACH_HOURLY-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,48.04,index,valid,synthetic_aam,24,0,43.24,11.11
AAM-KPI_BREACH_HOURLY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,78.44,index,valid,synthetic_aam,24,0,70.6,11.11
AAM-KPI_BREACH_HOURLY-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,43.03,index,valid,synthetic_aam,24,0,38.73,11.11
AAM-KPI_BREACH_HOURLY-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,50.79,index,valid,synthetic_aam,24,0,45.71,11.11
AAM-KPI_BREACH_HOURLY-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,29.85,index,valid,synthetic_aam,24,0,26.87,11.11
AAM-KPI_BREACH_HOURLY-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,49.55,index,valid,synthetic_aam,24,0,44.59,11.11
AAM-KPI_BREACH_HOURLY-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,21.57,index,valid,synthetic_aam,24,0,19.41,11.11
AAM-KPI_BREACH_HOURLY-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,81.32,index,valid,synthetic_aam,24,0,73.19,11.11
AAM-KPI_BREACH_HOURLY-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,74.63,index,valid,synthetic_aam,24,0,67.17,11.11
AAM-KPI_BREACH_HOURLY-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,73.97,index,valid,synthetic_aam,24,0,66.57,11.11
AAM-KPI_BREACH_HOURLY-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,56.38,index,valid,synthetic_aam,24,0,50.74,11.11
AAM-KPI_BREACH_HOURLY-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,25.01,index,valid,synthetic_aam,24,0,22.51,11.11
AAM-KPI_BREACH_HOURLY-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,71.66,index,valid,synthetic_aam,24,0,64.49,11.11
AAM-KPI_BREACH_HOURLY-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,52.09,index,valid,synthetic_aam,24,0,46.88,11.11
AAM-KPI_BREACH_HOURLY-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,63.02,index,valid,synthetic_aam,24,0,56.72,11.11
AAM-KPI_BREACH_HOURLY-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,79.82,index,valid,synthetic_aam,24,0,71.84,11.11
AAM-KPI_BREACH_HOURLY-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,71.68,index,valid,synthetic_aam,24,0,64.51,11.11
AAM-KPI_BREACH_HOURLY-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,22.04,index,valid,synthetic_aam,24,0,19.84,11.11
AAM-KPI_BREACH_HOURLY-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,25.44,index,valid,synthetic_aam,24,0,22.9,11.11
AAM-KPI_BREACH_HOURLY-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,31.71,index,valid,synthetic_aam,24,0,28.54,11.11
AAM-KPI_BREACH_HOURLY-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,66.17,index,valid,synthetic_aam,24,0,59.55,11.11
AAM-KPI_BREACH_HOURLY-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,80.31,index,valid,synthetic_aam,24,0,72.28,11.11
AAM-KPI_BREACH_HOURLY-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,72.13,index,valid,synthetic_aam,24,0,64.92,11.11
AAM-KPI_BREACH_HOURLY-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,74.84,index,valid,synthetic_aam,24,0,67.36,11.11
AAM-KPI_BREACH_HOURLY-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,18.52,index,valid,synthetic_aam,24,0,16.67,11.11
AAM-KPI_BREACH_HOURLY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,62.54,index,valid,synthetic_aam,24,0,56.29,11.11
AAM-KPI_BREACH_HOURLY-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,60.36,index,valid,synthetic_aam,24,0,54.32,11.11
AAM-KPI_BREACH_HOURLY-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,58.43,index,valid,synthetic_aam,24,0,52.59,11.11
AAM-KPI_BREACH_HOURLY-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,74.09,index,valid,synthetic_aam,24,0,66.68,11.11
AAM-KPI_BREACH_HOURLY-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,80.74,index,valid,synthetic_aam,24,0,72.67,11.11
AAM-KPI_BREACH_HOURLY-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,50.09,index,valid,synthetic_aam,24,0,45.08,11.11
AAM-KPI_BREACH_HOURLY-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,77.29,index,valid,synthetic_aam,24,0,69.56,11.11
AAM-KPI_BREACH_HOURLY-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,52.75,index,valid,synthetic_aam,24,0,47.48,11.11
AAM-KPI_BREACH_HOURLY-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,20.19,index,valid,synthetic_aam,24,0,18.17,11.11
AAM-KPI_BREACH_HOURLY-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,84.43,index,valid,synthetic_aam,24,0,75.99,11.11
AAM-KPI_BREACH_HOURLY-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,25.22,index,valid,synthetic_aam,24,0,22.7,11.11
AAM-KPI_BREACH_HOURLY-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,38.97,index,valid,synthetic_aam,24,0,35.07,11.11
AAM-KPI_BREACH_HOURLY-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,75.05,index,valid,synthetic_aam,24,0,67.55,11.11
AAM-KPI_BREACH_HOURLY-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,44.05,index,valid,synthetic_aam,24,0,39.64,11.11
AAM-KPI_BREACH_HOURLY-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,42.55,index,valid,synthetic_aam,24,0,38.3,11.11
AAM-KPI_BREACH_HOURLY-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,66.05,index,valid,synthetic_aam,24,0,59.45,11.11
AAM-KPI_BREACH_HOURLY-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,29.86,index,valid,synthetic_aam,24,0,26.87,11.11
AAM-KPI_BREACH_HOURLY-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,50.77,index,valid,synthetic_aam,24,0,45.69,11.11
AAM-KPI_BREACH_HOURLY-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,56.46,index,valid,synthetic_aam,24,0,50.81,11.11
AAM-KPI_BREACH_HOURLY-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,48.27,index,valid,synthetic_aam,24,0,43.44,11.11
AAM-KPI_BREACH_HOURLY-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,77.83,index,valid,synthetic_aam,24,0,70.05,11.11
AAM-KPI_BREACH_HOURLY-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,42.95,index,valid,synthetic_aam,24,0,38.66,11.11
AAM-KPI_BREACH_HOURLY-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,42.27,index,valid,synthetic_aam,24,0,38.04,11.11
AAM-KPI_BREACH_HOURLY-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,21.48,index,valid,synthetic_aam,24,0,19.33,11.11
AAM-KPI_BREACH_HOURLY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,29.01,index,valid,synthetic_aam,24,0,26.11,11.11
AAM-KPI_BREACH_HOURLY-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,68.11,index,valid,synthetic_aam,24,0,61.3,11.11
AAM-KPI_BREACH_HOURLY-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,53.89,index,valid,synthetic_aam,24,0,48.5,11.11
AAM-KPI_BREACH_HOURLY-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,67.52,index,valid,synthetic_aam,24,0,60.77,11.11
AAM-KPI_BREACH_HOURLY-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,67.34,index,valid,synthetic_aam,24,0,60.61,11.11
AAM-KPI_BREACH_HOURLY-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,45.89,index,valid,synthetic_aam,24,0,41.3,11.11
AAM-KPI_BREACH_HOURLY-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,43.08,index,valid,synthetic_aam,24,0,38.77,11.11
AAM-KPI_BREACH_HOURLY-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,73.19,index,valid,synthetic_aam,24,0,65.87,11.11
AAM-KPI_BREACH_HOURLY-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,40.93,index,valid,synthetic_aam,24,0,36.84,11.11
AAM-KPI_BREACH_HOURLY-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,40.56,index,valid,synthetic_aam,24,0,36.5,11.11
AAM-KPI_BREACH_HOURLY-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,41.48,index,valid,synthetic_aam,24,0,37.33,11.11
AAM-KPI_BREACH_HOURLY-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,43.22,index,valid,synthetic_aam,24,0,38.9,11.11
AAM-KPI_BREACH_HOURLY-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,44.86,index,valid,synthetic_aam,24,0,40.37,11.11
AAM-KPI_BREACH_HOURLY-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,28.96,index,valid,synthetic_aam,24,0,26.06,11.11
AAM-KPI_BREACH_HOURLY-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,63.08,index,valid,synthetic_aam,24,0,56.77,11.11
AAM-KPI_BREACH_HOURLY-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,27.78,index,valid,synthetic_aam,24,0,25.0,11.11
AAM-KPI_BREACH_HOURLY-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,60.04,index,valid,synthetic_aam,24,0,54.04,11.11
AAM-KPI_BREACH_HOURLY-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,41.19,index,valid,synthetic_aam,24,0,37.07,11.11
AAM-KPI_BREACH_HOURLY-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,82.99,index,valid,synthetic_aam,24,0,74.69,11.11
AAM-KPI_BREACH_HOURLY-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,80.39,index,valid,synthetic_aam,24,0,72.35,11.11
AAM-KPI_BREACH_HOURLY-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,20.49,index,valid,synthetic_aam,24,0,18.44,11.11
AAM-KPI_BREACH_HOURLY-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,78.83,index,degraded,synthetic_aam,24,1,70.95,11.11
AAM-KPI_BREACH_HOURLY-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,15.65,index,valid,synthetic_aam,24,0,14.09,11.11
AAM-KPI_BREACH_HOURLY-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,68.38,index,valid,synthetic_aam,24,0,61.54,11.11
AAM-KPI_BREACH_HOURLY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,21.65,index,valid,synthetic_aam,24,0,19.48,11.11
AAM-KPI_BREACH_HOURLY-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,57.09,index,valid,synthetic_aam,24,0,51.38,11.11
AAM-KPI_BREACH_HOURLY-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,35.44,index,valid,synthetic_aam,24,0,31.9,11.11
AAM-KPI_BREACH_HOURLY-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,62.17,index,valid,synthetic_aam,24,0,55.95,11.11
AAM-KPI_BREACH_HOURLY-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,34.72,index,valid,synthetic_aam,24,0,31.25,11.11
AAM-KPI_BREACH_HOURLY-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,69.23,index,valid,synthetic_aam,24,0,62.31,11.11
AAM-KPI_BREACH_HOURLY-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,59.39,index,valid,synthetic_aam,24,0,53.45,11.11
AAM-KPI_BREACH_HOURLY-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,63.14,index,valid,synthetic_aam,24,0,56.83,11.11
AAM-KPI_BREACH_HOURLY-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,54.54,index,valid,synthetic_aam,24,0,49.09,11.11
AAM-KPI_BREACH_HOURLY-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,22.47,index,valid,synthetic_aam,24,0,20.22,11.11
AAM-KPI_BREACH_HOURLY-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,54.65,index,valid,synthetic_aam,24,0,49.19,11.11
AAM-KPI_BREACH_HOURLY-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,76.66,index,valid,synthetic_aam,24,0,68.99,11.11
AAM-KPI_BREACH_HOURLY-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,31.17,index,valid,synthetic_aam,24,0,28.05,11.11
AAM-KPI_BREACH_HOURLY-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,65.56,index,valid,synthetic_aam,24,0,59.0,11.11
AAM-KPI_BREACH_HOURLY-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,36.78,index,valid,synthetic_aam,24,0,33.1,11.11
AAM-KPI_BREACH_HOURLY-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,19.55,index,valid,synthetic_aam,24,0,17.6,11.11
AAM-KPI_BREACH_HOURLY-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,33.88,index,valid,synthetic_aam,24,0,30.49,11.11
AAM-KPI_BREACH_HOURLY-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,63.02,index,valid,synthetic_aam,24,0,56.72,11.11
AAM-KPI_BREACH_HOURLY-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,50.72,index,valid,synthetic_aam,24,0,45.65,11.11
AAM-KPI_BREACH_HOURLY-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,81.73,index,valid,synthetic_aam,24,0,73.56,11.11
AAM-KPI_BREACH_HOURLY-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,77.27,index,valid,synthetic_aam,24,0,69.54,11.11
AAM-KPI_BREACH_HOURLY-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,78.68,index,valid,synthetic_aam,24,0,70.81,11.11
AAM-KPI_BREACH_HOURLY-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,64.86,index,valid,synthetic_aam,24,0,58.37,11.11
AAM-KPI_BREACH_HOURLY-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,79.27,index,valid,synthetic_aam,24,0,71.34,11.11
AAM-KPI_BREACH_HOURLY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,48.99,index,valid,synthetic_aam,24,0,44.09,11.11
AAM-KPI_BREACH_HOURLY-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,31.23,index,valid,synthetic_aam,24,0,28.11,11.11
AAM-KPI_BREACH_HOURLY-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,78.04,index,valid,synthetic_aam,24,0,70.24,11.11
AAM-KPI_BREACH_HOURLY-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,64.93,index,valid,synthetic_aam,24,0,58.44,11.11
AAM-KPI_BREACH_HOURLY-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,70.07,index,valid,synthetic_aam,24,0,63.06,11.11
AAM-KPI_BREACH_HOURLY-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,79.46,index,valid,synthetic_aam,24,0,71.51,11.11
AAM-KPI_BREACH_HOURLY-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,38.27,index,valid,synthetic_aam,24,0,34.44,11.11
AAM-KPI_BREACH_HOURLY-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,82.16,index,valid,synthetic_aam,24,0,73.94,11.11
AAM-KPI_BREACH_HOURLY-02-08,LOC003,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,48.44,index,valid,synthetic_aam,24,0,43.6,11.11
AAM-KPI_BREACH_HOURLY-02-09,LOC003,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,70.62,index,valid,synthetic_aam,24,0,63.56,11.11
AAM-KPI_BREACH_HOURLY-02-10,LOC003,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,59.05,index,valid,synthetic_aam,24,0,53.14,11.11
