kpi_hourly_network_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_HOURLY_NETWORK-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,38.86,index,valid,synthetic_aam,24,0,34.97,11.11
AAM-KPI_HOURLY_NETWORK-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,42.14,index,valid,synthetic_aam,24,0,37.93,11.11
AAM-KPI_HOURLY_NETWORK-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,66.36,index,valid,synthetic_aam,24,0,59.72,11.11
AAM-KPI_HOURLY_NETWORK-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,22.49,index,valid,synthetic_aam,24,0,20.24,11.11
AAM-KPI_HOURLY_NETWORK-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,62.6,index,valid,synthetic_aam,24,0,56.34,11.11
AAM-KPI_HOURLY_NETWORK-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,46.85,index,valid,synthetic_aam,24,0,42.16,11.11
AAM-KPI_HOURLY_NETWORK-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,57.63,index,valid,synthetic_aam,24,0,51.87,11.11
AAM-KPI_HOURLY_NETWORK-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,52.78,index,valid,synthetic_aam,24,0,47.5,11.11
AAM-KPI_HOURLY_NETWORK-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,60.56,index,valid,synthetic_aam,24,0,54.5,11.11
AAM-KPI_HOURLY_NETWORK-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,23.79,index,valid,synthetic_aam,24,0,21.41,11.11
AAM-KPI_HOURLY_NETWORK-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,26.97,index,valid,synthetic_aam,24,0,24.27,11.11
AAM-KPI_HOURLY_NETWORK-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,84.25,index,valid,synthetic_aam,24,0,75.83,11.11
AAM-KPI_HOURLY_NETWORK-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,28.19,index,degraded,synthetic_aam,24,1,25.37,11.11
AAM-KPI_HOURLY_NETWORK-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,76.55,index,valid,synthetic_aam,24,0,68.89,11.11
AAM-KPI_HOURLY_NETWORK-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,26.66,index,valid,synthetic_aam,24,0,23.99,11.11
AAM-KPI_HOURLY_NETWORK-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,18.36,index,valid,synthetic_aam,24,0,16.52,11.11
AAM-KPI_HOURLY_NETWORK-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,32.07,index,valid,synthetic_aam,24,0,28.86,11.11
AAM-KPI_HOURLY_NETWORK-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,21.61,index,valid,synthetic_aam,24,0,19.45,11.11
AAM-KPI_HOURLY_NETWORK-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,16.32,index,valid,synthetic_aam,24,0,14.69,11.11
AAM-KPI_HOURLY_NETWORK-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,31.92,index,valid,synthetic_aam,24,0,28.73,11.11
AAM-KPI_HOURLY_NETWORK-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,53.72,index,valid,synthetic_aam,24,0,48.35,11.11
AAM-KPI_HOURLY_NETWORK-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,36.42,index,valid,synthetic_aam,24,0,32.78,11.11
AAM-KPI_HOURLY_NETWORK-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,15.93,index,valid,synthetic_aam,24,0,14.34,11.11
AAM-KPI_HOURLY_NETWORK-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,56.0,index,valid,synthetic_aam,24,0,50.4,11.11
AAM-KPI_HOURLY_NETWORK-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,82.88,index,valid,synthetic_aam,24,0,74.59,11.11
AAM-KPI_HOURLY_NETWORK-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,68.85,index,valid,synthetic_aam,24,0,61.96,11.11
AAM-KPI_HOURLY_NETWORK-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,26.67,index,valid,synthetic_aam,24,0,24.0,11.11
AAM-KPI_HOURLY_NETWORK-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,45.94,index,valid,synthetic_aam,24,0,41.35,11.11
AAM-KPI_HOURLY_NETWORK-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,57.76,index,valid,synthetic_aam,24,0,51.98,11.11
AAM-KPI_HOURLY_NETWORK-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,76.16,index,valid,synthetic_aam,24,0,68.54,11.11
AAM-KPI_HOURLY_NETWORK-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,48.9,index,valid,synthetic_aam,24,0,44.01,11.11
AAM-KPI_HOURLY_NETWORK-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,59.0,index,valid,synthetic_aam,24,0,53.1,11.11
AAM-KPI_HOURLY_NETWORK-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,57.81,index,valid,synthetic_aam,24,0,52.03,11.11
AAM-KPI_HOURLY_NETWORK-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,51.58,index,valid,synthetic_aam,24,0,46.42,11.11
AAM-KPI_HOURLY_NETWORK-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,44.04,index,valid,synthetic_aam,24,0,39.64,11.11
AAM-KPI_HOURLY_NETWORK-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,71.3,index,valid,synthetic_aam,24,0,64.17,11.11
AAM-KPI_HOURLY_NETWORK-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,46.35,index,valid,synthetic_aam,24,0,41.72,11.11
AAM-KPI_HOURLY_NETWORK-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,18.63,index,valid,synthetic_aam,24,0,16.77,11.11
AAM-KPI_HOURLY_NETWORK-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,74.57,index,valid,synthetic_aam,24,0,67.11,11.11
AAM-KPI_HOURLY_NETWORK-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,46.86,index,valid,synthetic_aam,24,0,42.17,11.11
AAM-KPI_HOURLY_NETWORK-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,32.64,index,valid,synthetic_aam,24,0,29.38,11.11
AAM-KPI_HOURLY_NETWORK-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,79.8,index,valid,synthetic_aam,24,0,71.82,11.11
AAM-KPI_HOURLY_NETWORK-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,54.11,index,valid,synthetic_aam,24,0,48.7,11.11
AAM-KPI_HOURLY_NETWORK-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,16.47,index,valid,synthetic_aam,24,0,14.82,11.11
AAM-KPI_HOURLY_NETWORK-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,68.53,index,valid,synthetic_aam,24,0,61.68,11.11
AAM-KPI_HOURLY_NETWORK-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,15.73,index,valid,synthetic_aam,24,0,14.16,11.11
AAM-KPI_HOURLY_NETWORK-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,73.74,index,valid,synthetic_aam,24,0,66.37,11.11
AAM-KPI_HOURLY_NETWORK-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,20.17,index,valid,synthetic_aam,24,0,18.15,11.11
AAM-KPI_HOURLY_NETWORK-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,28.09,index,valid,synthetic_aam,24,0,25.28,11.11
AAM-KPI_HOURLY_NETWORK-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,49.88,index,valid,synthetic_aam,24,0,44.89,11.11
AAM-KPI_HOURLY_NETWORK-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,32.98,index,valid,synthetic_aam,24,0,29.68,11.11
AAM-KPI_HOURLY_NETWORK-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,73.93,index,valid,synthetic_aam,24,0,66.54,11.11
AAM-KPI_HOURLY_NETWORK-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,51.57,index,valid,synthetic_aam,24,0,46.41,11.11
AAM-KPI_HOURLY_NETWORK-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,79.65,index,valid,synthetic_aam,24,0,71.69,11.11
AAM-KPI_HOURLY_NETWORK-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,55.46,index,valid,synthetic_aam,24,0,49.91,11.11
AAM-KPI_HOURLY_NETWORK-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,38.33,index,valid,synthetic_aam,24,0,34.5,11.11
AAM-KPI_HOURLY_NETWORK-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,71.34,index,valid,synthetic_aam,24,0,64.21,11.11
AAM-KPI_HOURLY_NETWORK-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,27.96,index,valid,synthetic_aam,24,0,25.16,11.11
AAM-KPI_HOURLY_NETWORK-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,65.03,index,valid,synthetic_aam,24,0,58.53,11.11
AAM-KPI_HOURLY_NETWORK-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,51.4,index,valid,synthetic_aam,24,0,46.26,11.11
AAM-KPI_HOURLY_NETWORK-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,81.48,index,valid,synthetic_aam,24,0,73.33,11.11
AAM-KPI_HOURLY_NETWORK-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,47.14,index,valid,synthetic_aam,24,0,42.43,11.11
AAM-KPI_HOURLY_NETWORK-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,82.96,index,valid,synthetic_aam,24,0,74.66,11.11
AAM-KPI_HOURLY_NETWORK-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,26.75,index,valid,synthetic_aam,24,0,24.07,11.11
AAM-KPI_HOURLY_NETWORK-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,69.34,index,valid,synthetic_aam,24,0,62.41,11.11
AAM-KPI_HOURLY_NETWORK-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,33.58,index,valid,synthetic_aam,24,0,30.22,11.11
AAM-KPI_HOURLY_NETWORK-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,80.12,index,valid,synthetic_aam,24,0,72.11,11.11
AAM-KPI_HOURLY_NETWORK-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,59.7,index,valid,synthetic_aam,24,0,53.73,11.11
AAM-KPI_HOURLY_NETWORK-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,80.48,index,valid,synthetic_aam,24,0,72.43,11.11
AAM-KPI_HOURLY_NETWORK-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,82.0,index,valid,synthetic_aam,24,0,73.8,11.11
AAM-KPI_HOURLY_NETWORK-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,49.16,index,valid,synthetic_aam,24,0,44.24,11.11
AAM-KPI_HOURLY_NETWORK-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,73.01,index,valid,synthetic_aam,24,0,65.71,11.11
AAM-KPI_HOURLY_NETWORK-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,43.67,index,valid,synthetic_aam,24,0,39.3,11.11
AAM-KPI_HOURLY_NETWORK-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,49.81,index,valid,synthetic_aam,24,0,44.83,11.11
AAM-KPI_HOURLY_NETWORK-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,71.93,index,valid,synthetic_aam,24,0,64.74,11.11
AAM-KPI_HOURLY_NETWORK-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,22.6,index,valid,synthetic_aam,24,0,20.34,11.11
AAM-KPI_HOURLY_NETWORK-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,32.11,index,valid,synthetic_aam,24,0,28.9,11.11
AAM-KPI_HOURLY_NETWORK-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,78.23,index,valid,synthetic_aam,24,0,70.41,11.11
AAM-KPI_HOURLY_NETWORK-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,37.48,index,valid,synthetic_aam,24,0,33.73,11.11
AAM-KPI_HOURLY_NETWORK-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,45.56,index,valid,synthetic_aam,24,0,41.0,11.11
AAM-KPI_HOURLY_NETWORK-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,81.84,index,valid,synthetic_aam,24,0,73.66,11.11
AAM-KPI_HOURLY_NETWORK-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,23.89,index,valid,synthetic_aam,24,0,21.5,11.11
AAM-KPI_HOURLY_NETWORK-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,21.03,index,valid,synthetic_aam,24,0,18.93,11.11
AAM-KPI_HOURLY_NETWORK-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,24.15,index,valid,synthetic_aam,24,0,21.73,11.11
AAM-KPI_HOURLY_NETWORK-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,82.89,index,valid,synthetic_aam,24,0,74.6,11.11
AAM-KPI_HOURLY_NETWORK-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,70.23,index,valid,synthetic_aam,24,0,63.21,11.11
AAM-KPI_HOURLY_NETWORK-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,64.91,index,valid,synthetic_aam,24,0,58.42,11.11
AAM-KPI_HOURLY_NETWORK-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,73.05,index,valid,synthetic_aam,24,0,65.75,11.11
AAM-KPI_HOURLY_NETWORK-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,37.96,index,valid,synthetic_aam,24,0,34.16,11.11
AAM-KPI_HOURLY_NETWORK-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,62.63,index,valid,synthetic_aam,24,0,56.37,11.11
AAM-KPI_HOURLY_NETWORK-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,47.71,index,valid,synthetic_aam,24,0,42.94,11.11
AAM-KPI_HOURLY_NETWORK-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,44.53,index,valid,synthetic_aam,24,0,40.08,11.11
AAM-KPI_HOURLY_NETWORK-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,47.45,index,valid,synthetic_aam,24,0,42.71,11.11
AAM-KPI_HOURLY_NETWORK-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,42.72,index,valid,synthetic_aam,24,0,38.45,11.11
AAM-KPI_HOURLY_NETWORK-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,51.32,index,valid,synthetic_aam,24,0,46.19,11.11
AAM-KPI_HOURLY_NETWORK-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,62.36,index,valid,synthetic_aam,24,0,56.12,11.11
AAM-KPI_HOURLY_NETWORK-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,81.76,index,valid,synthetic_aam,24,0,73.58,11.11
AAM-KPI_HOURLY_NETWORK-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,69.22,index,valid,synthetic_aam,24,0,62.3,11.11
AAM-KPI_HOURLY_NETWORK-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,17.99,index,valid,synthetic_aam,24,0,16.19,11.11
AAM-KPI_HOURLY_NETWORK-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,37.57,index,valid,synthetic_aam,24,0,33.81,11.11
AAM-KPI_HOURLY_NETWORK-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,57.36,index,valid,synthetic_aam,24,0,51.62,11.11
AAM-KPI_HOURLY_NETWORK-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,34.86,index,valid,synthetic_aam,24,0,31.37,11.11
AAM-KPI_HOURLY_NETWORK-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,88.49,index,degraded,synthetic_aam,24,1,79.64,11.11
AAM-KPI_HOURLY_NETWORK-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,79.19,index,valid,synthetic_aam,24,0,71.27,11.11
AAM-KPI_HOURLY_NETWORK-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,24.99,index,valid,synthetic_aam,24,0,22.49,11.11
AAM-KPI_HOURLY_NETWORK-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,43.31,index,valid,synthetic_aam,24,0,38.98,11.11
AAM-KPI_HOURLY_NETWORK-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,38.82,index,valid,synthetic_aam,24,0,34.94,11.11
AAM-KPI_HOURLY_NETWORK-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,21.18,index,valid,synthetic_aam,24,0,19.06,11.11
AAM-KPI_HOURLY_NETWORK-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,49.61,index,valid,synthetic_aam,24,0,44.65,11.11
AAM-KPI_HOURLY_NETWORK-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,63.13,index,valid,synthetic_aam,24,0,56.82,11.11
AAM-KPI_HOURLY_NETWORK-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,18.7,index,valid,synthetic_aam,24,0,16.83,11.11
AAM-KPI_HOURLY_NETWORK-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,24.36,index,valid,synthetic_aam,24,0,21.92,11.11
AAM-KPI_HOURLY_NETWORK-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,76.02,index,valid,synthetic_aam,24,0,68.42,11.11
AAM-KPI_HOURLY_NETWORK-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,78.75,index,valid,synthetic_aam,24,0,70.88,11.11
AAM-KPI_HOURLY_NETWORK-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,77.05,index,valid,synthetic_aam,24,0,69.34,11.11
AAM-KPI_HOURLY_NETWORK-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,22.04,index,valid,synthetic_aam,24,0,19.84,11.11
AAM-KPI_HOURLY_NETWORK-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,48.7,index,valid,synthetic_aam,24,0,43.83,11.11
AAM-KPI_HOURLY_NETWORK-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,17.67,index,valid,synthetic_aam,24,0,15.9,11.11
AAM-KPI_HOURLY_NETWORK-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,58.95,index,valid,synthetic_aam,24,0,53.06,11.11
AAM-KPI_HOURLY_NETWORK-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,70.94,index,valid,synthetic_aam,24,0,63.85,11.11
AAM-KPI_HOURLY_NETWORK-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,23.39,index,valid,synthetic_aam,24,0,21.05,11.11
AAM-KPI_HOURLY_NETWORK-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,24.82,index,valid,synthetic_aam,24,0,22.34,11.11
AAM-KPI_HOURLY_NETWORK-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,40.84,index,valid,synthetic_aam,24,0,36.76,11.11
AAM-KPI_HOURLY_NETWORK-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,79.43,index,valid,synthetic_aam,24,0,71.49,11.11
AAM-KPI_HOURLY_NETWORK-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,54.22,index,valid,synthetic_aam,24,0,48.8,11.11
AAM-KPI_HOURLY_NETWORK-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,82.32,index,valid,synthetic_aam,24,0,74.09,11.11
AAM-KPI_HOURLY_NETWORK-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,34.15,index,valid,synthetic_aam,24,0,30.73,11.11
AAM-KPI_HOURLY_NETWORK-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,45.6,index,valid,synthetic_aam,24,0,41.04,11.11
AAM-KPI_HOURLY_NETWORK-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,53.59,index,valid,synthetic_aam,24,0,48.23,11.11
AAM-KPI_HOURLY_NETWORK-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,18.6,index,valid,synthetic_aam,24,0,16.74,11.11
AAM-KPI_HOURLY_NETWORK-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,44.59,index,valid,synthetic_aam,24,0,40.13,11.11
AAM-KPI_HOURLY_NETWORK-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,25.84,index,valid,synthetic_aam,24,0,23.26,11.11
AAM-KPI_HOURLY_NETWORK-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,70.46,index,valid,synthetic_aam,24,0,63.41,11.11
AAM-KPI_HOURLY_NETWORK-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,33.83,index,valid,synthetic_aam,24,0,30.45,11.11
AAM-KPI_HOURLY_NETWORK-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,22.86,index,valid,synthetic_aam,24,0,20.57,11.11
AAM-KPI_HOURLY_NETWORK-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,66.42,index,valid,synthetic_aam,24,0,59.78,11.11
AAM-KPI_HOURLY_NETWORK-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,16.11,index,valid,synthetic_aam,24,0,14.5,11.11
AAM-KPI_HOURLY_NETWORK-02-08,LOC003,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,48.09,index,valid,synthetic_aam,24,0,43.28,11.11
