kpi_hourly_province_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_HOURLY_PROVINCE-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,64.76,index,valid,synthetic_aam,24,0,58.28,11.11
AAM-KPI_HOURLY_PROVINCE-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,62.46,index,valid,synthetic_aam,24,0,56.21,11.11
AAM-KPI_HOURLY_PROVINCE-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,63.89,index,valid,synthetic_aam,24,0,57.5,11.11
AAM-KPI_HOURLY_PROVINCE-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,51.82,index,valid,synthetic_aam,24,0,46.64,11.11
AAM-KPI_HOURLY_PROVINCE-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,28.54,index,valid,synthetic_aam,24,0,25.69,11.11
AAM-KPI_HOURLY_PROVINCE-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,57.69,index,valid,synthetic_aam,24,0,51.92,11.11
AAM-KPI_HOURLY_PROVINCE-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,79.43,index,valid,synthetic_aam,24,0,71.49,11.11
AAM-KPI_HOURLY_PROVINCE-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,48.9,index,valid,synthetic_aam,24,0,44.01,11.11
AAM-KPI_HOURLY_PROVINCE-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,51.81,index,valid,synthetic_aam,24,0,46.63,11.11
AAM-KPI_HOURLY_PROVINCE-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,84.8,index,degraded,synthetic_aam,24,1,76.32,11.11
AAM-KPI_HOURLY_PROVINCE-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,84.63,index,valid,synthetic_aam,24,0,76.17,11.11
AAM-KPI_HOURLY_PROVINCE-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,77.86,index,valid,synthetic_aam,24,0,70.07,11.11
AAM-KPI_HOURLY_PROVINCE-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,51.68,index,valid,synthetic_aam,24,0,46.51,11.11
AAM-KPI_HOURLY_PROVINCE-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,74.96,index,valid,synthetic_aam,24,0,67.46,11.11
AAM-KPI_HOURLY_PROVINCE-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,67.91,index,valid,synthetic_aam,24,0,61.12,11.11
AAM-KPI_HOURLY_PROVINCE-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,43.54,index,valid,synthetic_aam,24,0,39.19,11.11
AAM-KPI_HOURLY_PROVINCE-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,17.11,index,valid,synthetic_aam,24,0,15.4,11.11
AAM-KPI_HOURLY_PROVINCE-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,30.98,index,valid,synthetic_aam,24,0,27.88,11.11
AAM-KPI_HOURLY_PROVINCE-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,47.4,index,valid,synthetic_aam,24,0,42.66,11.11
AAM-KPI_HOURLY_PROVINCE-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,49.33,index,valid,synthetic_aam,24,0,44.4,11.11
AAM-KPI_HOURLY_PROVINCE-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,78.81,index,valid,synthetic_aam,24,0,70.93,11.11
AAM-KPI_HOURLY_PROVINCE-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,46.42,index,valid,synthetic_aam,24,0,41.78,11.11
AAM-KPI_HOURLY_PROVINCE-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,53.09,index,valid,synthetic_aam,24,0,47.78,11.11
AAM-KPI_HOURLY_PROVINCE-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,60.29,index,valid,synthetic_aam,24,0,54.26,11.11
AAM-KPI_HOURLY_PROVINCE-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,33.31,index,valid,synthetic_aam,24,0,29.98,11.11
AAM-KPI_HOURLY_PROVINCE-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,33.91,index,valid,synthetic_aam,24,0,30.52,11.11
AAM-KPI_HOURLY_PROVINCE-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,46.12,index,valid,synthetic_aam,24,0,41.51,11.11
AAM-KPI_HOURLY_PROVINCE-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,80.39,index,valid,synthetic_aam,24,0,72.35,11.11
AAM-KPI_HOURLY_PROVINCE-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,38.48,index,valid,synthetic_aam,24,0,34.63,11.11
AAM-KPI_HOURLY_PROVINCE-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,26.82,index,valid,synthetic_aam,24,0,24.14,11.11
AAM-KPI_HOURLY_PROVINCE-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,55.78,index,valid,synthetic_aam,24,0,50.2,11.11
AAM-KPI_HOURLY_PROVINCE-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,31.71,index,valid,synthetic_aam,24,0,28.54,11.11
AAM-KPI_HOURLY_PROVINCE-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,73.35,index,valid,synthetic_aam,24,0,66.02,11.11
AAM-KPI_HOURLY_PROVINCE-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,76.76,index,valid,synthetic_aam,24,0,69.08,11.11
AAM-KPI_HOURLY_PROVINCE-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,63.04,index,valid,synthetic_aam,24,0,56.74,11.11
AAM-KPI_HOURLY_PROVINCE-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,61.48,index,valid,synthetic_aam,24,0,55.33,11.11
AAM-KPI_HOURLY_PROVINCE-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,58.25,index,valid,synthetic_aam,24,0,52.43,11.11
AAM-KPI_HOURLY_PROVINCE-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,70.99,index,valid,synthetic_aam,24,0,63.89,11.11
AAM-KPI_HOURLY_PROVINCE-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,24.08,index,valid,synthetic_aam,24,0,21.67,11.11
AAM-KPI_HOURLY_PROVINCE-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,70.49,index,valid,synthetic_aam,24,0,63.44,11.11
AAM-KPI_HOURLY_PROVINCE-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,83.49,index,valid,synthetic_aam,24,0,75.14,11.11
AAM-KPI_HOURLY_PROVINCE-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,77.38,index,valid,synthetic_aam,24,0,69.64,11.11
AAM-KPI_HOURLY_PROVINCE-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,42.8,index,valid,synthetic_aam,24,0,38.52,11.11
AAM-KPI_HOURLY_PROVINCE-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,69.8,index,valid,synthetic_aam,24,0,62.82,11.11
AAM-KPI_HOURLY_PROVINCE-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,66.04,index,valid,synthetic_aam,24,0,59.44,11.11
AAM-KPI_HOURLY_PROVINCE-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,38.43,index,valid,synthetic_aam,24,0,34.59,11.11
AAM-KPI_HOURLY_PROVINCE-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,22.67,index,valid,synthetic_aam,24,0,20.4,11.11
AAM-KPI_HOURLY_PROVINCE-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,50.97,index,valid,synthetic_aam,24,0,45.87,11.11
AAM-KPI_HOURLY_PROVINCE-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,80.42,index,valid,synthetic_aam,24,0,72.38,11.11
AAM-KPI_HOURLY_PROVINCE-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,70.17,index,valid,synthetic_aam,24,0,63.15,11.11
AAM-KPI_HOURLY_PROVINCE-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,72.48,index,valid,synthetic_aam,24,0,65.23,11.11
AAM-KPI_HOURLY_PROVINCE-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,74.56,index,valid,synthetic_aam,24,0,67.1,11.11
AAM-KPI_HOURLY_PROVINCE-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,30.6,index,valid,synthetic_aam,24,0,27.54,11.11
AAM-KPI_HOURLY_PROVINCE-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,52.39,index,valid,synthetic_aam,24,0,47.15,11.11
AAM-KPI_HOURLY_PROVINCE-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,81.71,index,valid,synthetic_aam,24,0,73.54,11.11
AAM-KPI_HOURLY_PROVINCE-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,15.07,index,valid,synthetic_aam,24,0,13.56,11.11
AAM-KPI_HOURLY_PROVINCE-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,48.7,index,valid,synthetic_aam,24,0,43.83,11.11
AAM-KPI_HOURLY_PROVINCE-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,59.27,index,valid,synthetic_aam,24,0,53.34,11.11
AAM-KPI_HOURLY_PROVINCE-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,49.58,index,valid,synthetic_aam,24,0,44.62,11.11
AAM-KPI_HOURLY_PROVINCE-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,20.42,index,valid,synthetic_aam,24,0,18.38,11.11
AAM-KPI_HOURLY_PROVINCE-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,49.0,index,valid,synthetic_aam,24,0,44.1,11.11
AAM-KPI_HOURLY_PROVINCE-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,28.84,index,valid,synthetic_aam,24,0,25.96,11.11
AAM-KPI_HOURLY_PROVINCE-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,74.05,index,valid,synthetic_aam,24,0,66.64,11.11
AAM-KPI_HOURLY_PROVINCE-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,40.51,index,valid,synthetic_aam,24,0,36.46,11.11
AAM-KPI_HOURLY_PROVINCE-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,61.72,index,valid,synthetic_aam,24,0,55.55,11.11
AAM-KPI_HOURLY_PROVINCE-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,42.84,index,valid,synthetic_aam,24,0,38.56,11.11
AAM-KPI_HOURLY_PROVINCE-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,60.05,index,valid,synthetic_aam,24,0,54.05,11.11
AAM-KPI_HOURLY_PROVINCE-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,72.7,index,valid,synthetic_aam,24,0,65.43,11.11
AAM-KPI_HOURLY_PROVINCE-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,44.9,index,valid,synthetic_aam,24,0,40.41,11.11
AAM-KPI_HOURLY_PROVINCE-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,52.96,index,valid,synthetic_aam,24,0,47.66,11.11
AAM-KPI_HOURLY_PROVINCE-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,42.3,index,valid,synthetic_aam,24,0,38.07,11.11
AAM-KPI_HOURLY_PROVINCE-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,22.02,index,valid,synthetic_aam,24,0,19.82,11.11
AAM-KPI_HOURLY_PROVINCE-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,39.38,index,valid,synthetic_aam,24,0,35.44,11.11
AAM-KPI_HOURLY_PROVINCE-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,17.5,index,valid,synthetic_aam,24,0,15.75,11.11
AAM-KPI_HOURLY_PROVINCE-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,68.31,index,valid,synthetic_aam,24,0,61.48,11.11
AAM-KPI_HOURLY_PROVINCE-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,63.87,index,valid,synthetic_aam,24,0,57.48,11.11
AAM-KPI_HOURLY_PROVINCE-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,54.68,index,valid,synthetic_aam,24,0,49.21,11.11
AAM-KPI_HOURLY_PROVINCE-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,67.22,index,valid,synthetic_aam,24,0,60.5,11.11
AAM-KPI_HOURLY_PROVINCE-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,46.68,index,valid,synthetic_aam,24,0,42.01,11.11
AAM-KPI_HOURLY_PROVINCE-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,69.84,index,valid,synthetic_aam,24,0,62.86,11.11
AAM-KPI_HOURLY_PROVINCE-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,22.81,index,valid,synthetic_aam,24,0,20.53,11.11
AAM-KPI_HOURLY_PROVINCE-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,28.67,index,valid,synthetic_aam,24,0,25.8,11.11
AAM-KPI_HOURLY_PROVINCE-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,26.47,index,valid,synthetic_aam,24,0,23.82,11.11
AAM-KPI_HOURLY_PROVINCE-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,32.69,index,valid,synthetic_aam,24,0,29.42,11.11
AAM-KPI_HOURLY_PROVINCE-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,82.72,index,valid,synthetic_aam,24,0,74.45,11.11
AAM-KPI_HOURLY_PROVINCE-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,70.99,index,valid,synthetic_aam,24,0,63.89,11.11
AAM-KPI_HOURLY_PROVINCE-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,74.96,index,valid,synthetic_aam,24,0,67.46,11.11
AAM-KPI_HOURLY_PROVINCE-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,39.85,index,valid,synthetic_aam,24,0,35.87,11.11
AAM-KPI_HOURLY_PROVINCE-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,24.0,index,valid,synthetic_aam,24,0,21.6,11.11
AAM-KPI_HOURLY_PROVINCE-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,44.18,index,valid,synthetic_aam,24,0,39.76,11.11
AAM-KPI_HOURLY_PROVINCE-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,15.45,index,valid,synthetic_aam,24,0,13.9,11.11
AAM-KPI_HOURLY_PROVINCE-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,41.07,index,valid,synthetic_aam,24,0,36.96,11.11
AAM-KPI_HOURLY_PROVINCE-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,43.62,index,valid,synthetic_aam,24,0,39.26,11.11
AAM-KPI_HOURLY_PROVINCE-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,59.29,index,valid,synthetic_aam,24,0,53.36,11.11
AAM-KPI_HOURLY_PROVINCE-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,26.42,index,valid,synthetic_aam,24,0,23.78,11.11
AAM-KPI_HOURLY_PROVINCE-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,40.86,index,valid,synthetic_aam,24,0,36.77,11.11
AAM-KPI_HOURLY_PROVINCE-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,29.33,index,valid,synthetic_aam,24,0,26.4,11.11
AAM-KPI_HOURLY_PROVINCE-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,55.19,index,valid,synthetic_aam,24,0,49.67,11.11
AAM-KPI_HOURLY_PROVINCE-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,43.7,index,valid,synthetic_aam,24,0,39.33,11.11
AAM-KPI_HOURLY_PROVINCE-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,62.81,index,degraded,synthetic_aam,24,1,56.53,11.11
AAM-KPI_HOURLY_PROVINCE-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,83.99,index,valid,synthetic_aam,24,0,75.59,11.11
AAM-KPI_HOURLY_PROVINCE-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,76.42,index,valid,synthetic_aam,24,0,68.78,11.11
AAM-KPI_HOURLY_PROVINCE-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,43.5,index,valid,synthetic_aam,24,0,39.15,11.11
AAM-KPI_HOURLY_PROVINCE-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,22.69,index,valid,synthetic_aam,24,0,20.42,11.11
AAM-KPI_HOURLY_PROVINCE-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,33.11,index,valid,synthetic_aam,24,0,29.8,11.11
AAM-KPI_HOURLY_PROVINCE-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,67.25,index,valid,synthetic_aam,24,0,60.52,11.11
AAM-KPI_HOURLY_PROVINCE-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,50.85,index,valid,synthetic_aam,24,0,45.77,11.11
AAM-KPI_HOURLY_PROVINCE-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,48.4,index,valid,synthetic_aam,24,0,43.56,11.11
AAM-KPI_HOURLY_PROVINCE-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,36.78,index,valid,synthetic_aam,24,0,33.1,11.11
AAM-KPI_HOURLY_PROVINCE-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,19.01,index,valid,synthetic_aam,24,0,17.11,11.11
AAM-KPI_HOURLY_PROVINCE-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,78.31,index,valid,synthetic_aam,24,0,70.48,11.11
AAM-KPI_HOURLY_PROVINCE-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,23.43,index,valid,synthetic_aam,24,0,21.09,11.11
AAM-KPI_HOURLY_PROVINCE-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,30.97,index,valid,synthetic_aam,24,0,27.87,11.11
AAM-KPI_HOURLY_PROVINCE-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,64.26,index,valid,synthetic_aam,24,0,57.83,11.11
AAM-KPI_HOURLY_PROVINCE-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,66.37,index,valid,synthetic_aam,24,0,59.73,11.11
AAM-KPI_HOURLY_PROVINCE-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,52.8,index,valid,synthetic_aam,24,0,47.52,11.11
AAM-KPI_HOURLY_PROVINCE-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,77.78,index,valid,synthetic_aam,24,0,70.0,11.11
AAM-KPI_HOURLY_PROVINCE-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,40.37,index,valid,synthetic_aam,24,0,36.33,11.11
AAM-KPI_HOURLY_PROVINCE-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,61.85,index,valid,synthetic_aam,24,0,55.66,11.11
AAM-KPI_HOURLY_PROVINCE-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,26.04,index,valid,synthetic_aam,24,0,23.44,11.11
AAM-KPI_HOURLY_PROVINCE-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,67.55,index,valid,synthetic_aam,24,0,60.8,11.11
AAM-KPI_HOURLY_PROVINCE-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,84.22,index,valid,synthetic_aam,24,0,75.8,11.11
AAM-KPI_HOURLY_PROVINCE-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,43.98,index,valid,synthetic_aam,24,0,39.58,11.11
AAM-KPI_HOURLY_PROVINCE-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,78.81,index,valid,synthetic_aam,24,0,70.93,11.11
AAM-KPI_HOURLY_PROVINCE-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,62.83,index,valid,synthetic_aam,24,0,56.55,11.11
AAM-KPI_HOURLY_PROVINCE-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,78.95,index,valid,synthetic_aam,24,0,71.06,11.11
AAM-KPI_HOURLY_PROVINCE-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,46.78,index,valid,synthetic_aam,24,0,42.1,11.11
AAM-KPI_HOURLY_PROVINCE-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,51.85,index,valid,synthetic_aam,24,0,46.66,11.11
AAM-KPI_HOURLY_PROVINCE-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,83.3,index,valid,synthetic_aam,24,0,74.97,11.11
AAM-KPI_HOURLY_PROVINCE-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,71.67,index,valid,synthetic_aam,24,0,64.5,11.11
AAM-KPI_HOURLY_PROVINCE-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,44.59,index,valid,synthetic_aam,24,0,40.13,11.11
AAM-KPI_HOURLY_PROVINCE-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,35.95,index,valid,synthetic_aam,24,0,32.36,11.11
AAM-KPI_HOURLY_PROVINCE-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,20.57,index,valid,synthetic_aam,24,0,18.51,11.11
AAM-KPI_HOURLY_PROVINCE-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,35.97,index,valid,synthetic_aam,24,0,32.37,11.11
