kpi_alert_history_id,location_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_ALERT_HISTORY-01-36,LOC002,SLA,KV1,active,2026-08-19 12:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,53.42,11.11
AAM-KPI_ALERT_HISTORY-01-45,LOC002,SLA,KV1,degraded,2026-08-19 21:00:00,KPI_ALERT_HISTORY,major,failed,3600,synthetic_aam,24,1,73.38,11.11
AAM-KPI_ALERT_HISTORY-01-54,LOC002,SLA,KV1,active,2026-08-20 06:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,61.55,11.11
AAM-KPI_ALERT_HISTORY-01-63,LOC002,SLA,KV1,active,2026-08-20 15:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,34.88,11.11
AAM-KPI_ALERT_HISTORY-02-00,LOC003,CMU,KV3,active,2026-08-18 00:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,18.4,11.11
AAM-KPI_ALERT_HISTORY-02-09,LOC003,CMU,KV3,active,2026-08-18 09:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,16.79,11.11
AAM-KPI_ALERT_HISTORY-02-18,LOC003,CMU,KV3,active,2026-08-18 18:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,37.09,11.11
AAM-KPI_ALERT_HISTORY-02-27,LOC003,CMU,KV3,active,2026-08-19 03:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,20.17,11.11
AAM-KPI_ALERT_HISTORY-02-36,LOC003,CMU,KV3,active,2026-08-19 12:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,16.48,11.11
AAM-KPI_ALERT_HISTORY-02-45,LOC003,CMU,KV3,active,2026-08-19 21:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,51.48,11.11
AAM-KPI_ALERT_HISTORY-02-54,LOC003,CMU,KV3,active,2026-08-20 06:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,32.1,11.11
AAM-KPI_ALERT_HISTORY-02-63,LOC003,CMU,KV3,active,2026-08-20 15:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,21.84,11.11
AAM-KPI_ALERT_HISTORY-03-00,LOC004,NBH,KV1,active,2026-08-18 00:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,67.91,11.11
AAM-KPI_ALERT_HISTORY-03-09,LOC004,NBH,KV1,active,2026-08-18 09:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,49.19,11.11
AAM-KPI_ALERT_HISTORY-03-18,LOC004,NBH,KV1,active,2026-08-18 18:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,49.13,11.11
AAM-KPI_ALERT_HISTORY-03-27,LOC004,NBH,KV1,active,2026-08-19 03:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,35.38,11.11
AAM-KPI_ALERT_HISTORY-03-36,LOC004,NBH,KV1,active,2026-08-19 12:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,59.62,11.11
AAM-KPI_ALERT_HISTORY-03-45,LOC004,NBH,KV1,active,2026-08-19 21:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,52.35,11.11
AAM-KPI_ALERT_HISTORY-03-54,LOC004,NBH,KV1,active,2026-08-20 06:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,27.14,11.11
AAM-KPI_ALERT_HISTORY-03-63,LOC004,NBH,KV1,active,2026-08-20 15:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,33.75,11.11
AAM-KPI_ALERT_HISTORY-04-00,LOC005,HCM,KV3,active,2026-08-18 00:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,65.6,11.11
AAM-KPI_ALERT_HISTORY-04-09,LOC005,HCM,KV3,active,2026-08-18 09:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,30.97,11.11
AAM-KPI_ALERT_HISTORY-04-18,LOC005,HCM,KV3,active,2026-08-18 18:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,49.67,11.11
AAM-KPI_ALERT_HISTORY-04-27,LOC005,HCM,KV3,active,2026-08-19 03:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,32.18,11.11
AAM-KPI_ALERT_HISTORY-04-36,LOC005,HCM,KV3,active,2026-08-19 12:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,67.22,11.11
AAM-KPI_ALERT_HISTORY-04-45,LOC005,HCM,KV3,active,2026-08-19 21:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,19.07,11.11
AAM-KPI_ALERT_HISTORY-04-54,LOC005,HCM,KV3,active,2026-08-20 06:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,61.93,11.11
AAM-KPI_ALERT_HISTORY-04-63,LOC005,HCM,KV3,active,2026-08-20 15:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,14.69,11.11
AAM-KPI_ALERT_HISTORY-05-00,LOC006,KHA,KV2,active,2026-08-18 00:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,24.57,11.11
AAM-KPI_ALERT_HISTORY-05-09,LOC006,KHA,KV2,active,2026-08-18 09:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,48.38,11.11
AAM-KPI_ALERT_HISTORY-05-18,LOC006,KHA,KV2,active,2026-08-18 18:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,35.56,11.11
AAM-KPI_ALERT_HISTORY-05-27,LOC006,KHA,KV2,active,2026-08-19 03:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,14.36,11.11
AAM-KPI_ALERT_HISTORY-05-36,LOC006,KHA,KV2,active,2026-08-19 12:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,22.86,11.11
AAM-KPI_ALERT_HISTORY-05-45,LOC006,KHA,KV2,active,2026-08-19 21:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,62.86,11.11
AAM-KPI_ALERT_HISTORY-05-54,LOC006,KHA,KV2,active,2026-08-20 06:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,16.08,11.11
AAM-KPI_ALERT_HISTORY-05-63,LOC006,KHA,KV2,active,2026-08-20 15:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,67.24,11.11
