power_quality_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-POWER_QUALITY_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,53.79,index,valid,synthetic_energy,6.43,0,6.43,14789
ENERGY-POWER_QUALITY_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,77.79,index,valid,synthetic_energy,3.96,0,3.96,9108
ENERGY-POWER_QUALITY_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,82.93,index,valid,synthetic_energy,6.21,0,6.21,14283
ENERGY-POWER_QUALITY_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,69.05,index,valid,synthetic_energy,4.12,0,4.12,9476
ENERGY-POWER_QUALITY_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,21.82,index,valid,synthetic_energy,6.14,0,6.14,14122
ENERGY-POWER_QUALITY_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,35.15,index,valid,synthetic_energy,5.2,0,5.2,11960
ENERGY-POWER_QUALITY_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,17.67,index,valid,synthetic_energy,5.44,0,5.44,12512
ENERGY-POWER_QUALITY_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,29.25,index,valid,synthetic_energy,7.72,0,7.72,17756
ENERGY-POWER_QUALITY_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,78.4,index,valid,synthetic_energy,5.29,0,5.29,12167
ENERGY-POWER_QUALITY_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,27.02,index,valid,synthetic_energy,7.21,0,7.21,16583
ENERGY-POWER_QUALITY_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,54.22,index,valid,synthetic_energy,5.23,0,5.23,12029
ENERGY-POWER_QUALITY_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,21.18,index,valid,synthetic_energy,5.56,0,5.56,12788
ENERGY-POWER_QUALITY_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,82.32,index,valid,synthetic_energy,4.86,0,4.86,11178
ENERGY-POWER_QUALITY_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,79.84,index,valid,synthetic_energy,4.3,0,4.3,9890
ENERGY-POWER_QUALITY_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,25.78,index,valid,synthetic_energy,7.49,0,7.49,17227
ENERGY-POWER_QUALITY_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,68.19,index,valid,synthetic_energy,7.89,0,7.89,18147
ENERGY-POWER_QUALITY_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,49.47,index,valid,synthetic_energy,6.14,0,6.14,14122
ENERGY-POWER_QUALITY_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,33.25,index,valid,synthetic_energy,5.51,0,5.51,12673
ENERGY-POWER_QUALITY_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,31.52,index,valid,synthetic_energy,7.8,0,7.8,17940
ENERGY-POWER_QUALITY_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,81.01,index,valid,synthetic_energy,3.94,0,3.94,9062
ENERGY-POWER_QUALITY_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,67.27,index,valid,synthetic_energy,5.11,0,5.11,11753
ENERGY-POWER_QUALITY_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,71.02,index,valid,synthetic_energy,3.1,0,3.1,7130
ENERGY-POWER_QUALITY_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,62.78,index,valid,synthetic_energy,4.64,0,4.64,10672
ENERGY-POWER_QUALITY_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,46.02,index,valid,synthetic_energy,7.96,0,7.96,18308
ENERGY-POWER_QUALITY_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,76.76,index,valid,synthetic_energy,3.82,0,3.82,8786
ENERGY-POWER_QUALITY_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,36.72,index,valid,synthetic_energy,5.46,0,5.46,12558
ENERGY-POWER_QUALITY_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,37.41,index,valid,synthetic_energy,6.97,0,6.97,16031
ENERGY-POWER_QUALITY_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,68.21,index,valid,synthetic_energy,7.02,0,7.02,16146
ENERGY-POWER_QUALITY_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,60.95,index,valid,synthetic_energy,6.51,0,6.51,14973
ENERGY-POWER_QUALITY_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,64.63,index,valid,synthetic_energy,3.81,0,3.81,8763
ENERGY-POWER_QUALITY_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,21.0,index,valid,synthetic_energy,5.58,0,5.58,12834
ENERGY-POWER_QUALITY_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,65.44,index,valid,synthetic_energy,5.07,0,5.07,11661
ENERGY-POWER_QUALITY_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,74.35,index,valid,synthetic_energy,4.44,0,4.44,10212
ENERGY-POWER_QUALITY_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,19.06,index,valid,synthetic_energy,5.8,0,5.8,13340
ENERGY-POWER_QUALITY_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,61.5,index,valid,synthetic_energy,5.94,0,5.94,13662
ENERGY-POWER_QUALITY_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,33.07,index,valid,synthetic_energy,3.56,0,3.56,8188
ENERGY-POWER_QUALITY_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,31.7,index,valid,synthetic_energy,5.23,0,5.23,12029
ENERGY-POWER_QUALITY_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,60.41,index,valid,synthetic_energy,5.94,0,5.94,13662
ENERGY-POWER_QUALITY_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,37.61,index,valid,synthetic_energy,3.23,0,3.23,7429
ENERGY-POWER_QUALITY_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,73.43,index,valid,synthetic_energy,7.3,0,7.3,16790
ENERGY-POWER_QUALITY_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,48.89,index,valid,synthetic_energy,4.47,0,4.47,10281
ENERGY-POWER_QUALITY_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,32.62,index,valid,synthetic_energy,7.64,0,7.64,17572
ENERGY-POWER_QUALITY_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,30.31,index,valid,synthetic_energy,7.98,0,7.98,18354
ENERGY-POWER_QUALITY_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,47.96,index,valid,synthetic_energy,6.05,0,6.05,13915
ENERGY-POWER_QUALITY_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,39.39,index,valid,synthetic_energy,6.55,0,6.55,15065
ENERGY-POWER_QUALITY_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,83.71,index,valid,synthetic_energy,3.7,0,3.7,8510
ENERGY-POWER_QUALITY_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,47.69,index,valid,synthetic_energy,7.82,0,7.82,17986
ENERGY-POWER_QUALITY_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,18.52,index,valid,synthetic_energy,6.4,0,6.4,14720
ENERGY-POWER_QUALITY_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,49.89,index,valid,synthetic_energy,3.24,0,3.24,7452
ENERGY-POWER_QUALITY_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,18.04,index,valid,synthetic_energy,6.39,0,6.39,14697
ENERGY-POWER_QUALITY_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,80.62,index,valid,synthetic_energy,3.85,0,3.85,8855
ENERGY-POWER_QUALITY_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,17.34,index,valid,synthetic_energy,6.95,0,6.95,15985
ENERGY-POWER_QUALITY_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,56.91,index,valid,synthetic_energy,5.94,0,5.94,13662
ENERGY-POWER_QUALITY_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,70.8,index,valid,synthetic_energy,7.85,0,7.85,18055
ENERGY-POWER_QUALITY_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,53.18,index,valid,synthetic_energy,6.33,0,6.33,14559
ENERGY-POWER_QUALITY_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,35.24,index,valid,synthetic_energy,3.85,0,3.85,8855
ENERGY-POWER_QUALITY_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,27.75,index,valid,synthetic_energy,6.35,0,6.35,14605
ENERGY-POWER_QUALITY_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,40.62,index,valid,synthetic_energy,4.26,0,4.26,9798
ENERGY-POWER_QUALITY_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,25.48,index,valid,synthetic_energy,6.91,0,6.91,15893
ENERGY-POWER_QUALITY_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,43.58,index,valid,synthetic_energy,5.14,0,5.14,11822
ENERGY-POWER_QUALITY_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,33.29,index,valid,synthetic_energy,6.1,0,6.1,14030
ENERGY-POWER_QUALITY_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,60.77,index,valid,synthetic_energy,5.9,0,5.9,13570
ENERGY-POWER_QUALITY_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,48.88,index,valid,synthetic_energy,6.39,0,6.39,14697
ENERGY-POWER_QUALITY_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,82.43,index,valid,synthetic_energy,7.11,0,7.11,16353
ENERGY-POWER_QUALITY_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,67.57,index,valid,synthetic_energy,4.82,0,4.82,11086
ENERGY-POWER_QUALITY_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,63.45,index,valid,synthetic_energy,6.72,0,6.72,15456
ENERGY-POWER_QUALITY_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,34.8,index,valid,synthetic_energy,4.22,0,4.22,9706
ENERGY-POWER_QUALITY_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,46.97,index,valid,synthetic_energy,3.86,0,3.86,8878
ENERGY-POWER_QUALITY_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,76.13,index,valid,synthetic_energy,7.37,0,7.37,16951
ENERGY-POWER_QUALITY_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,72.44,index,valid,synthetic_energy,4.43,0,4.43,10189
ENERGY-POWER_QUALITY_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,52.77,index,degraded,synthetic_energy,3.56,2,5.56,16188
ENERGY-POWER_QUALITY_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,26.3,index,valid,synthetic_energy,7.13,0,7.13,16399
ENERGY-POWER_QUALITY_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,26.73,index,valid,synthetic_energy,5.44,0,5.44,12512
ENERGY-POWER_QUALITY_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,70.62,index,valid,synthetic_energy,4.65,0,4.65,10695
ENERGY-POWER_QUALITY_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,15.43,index,valid,synthetic_energy,3.85,0,3.85,8855
ENERGY-POWER_QUALITY_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,62.35,index,valid,synthetic_energy,4.24,0,4.24,9752
ENERGY-POWER_QUALITY_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,18.78,index,valid,synthetic_energy,7.3,0,7.3,16790
ENERGY-POWER_QUALITY_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,29.61,index,valid,synthetic_energy,3.44,0,3.44,7912
ENERGY-POWER_QUALITY_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,65.72,index,valid,synthetic_energy,6.97,0,6.97,16031
ENERGY-POWER_QUALITY_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,71.61,index,valid,synthetic_energy,7.16,0,7.16,16468
ENERGY-POWER_QUALITY_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,62.19,index,valid,synthetic_energy,6.49,0,6.49,14927
ENERGY-POWER_QUALITY_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,67.49,index,valid,synthetic_energy,4.77,0,4.77,10971
ENERGY-POWER_QUALITY_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,77.54,index,valid,synthetic_energy,3.53,0,3.53,8119
ENERGY-POWER_QUALITY_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,20.98,index,valid,synthetic_energy,7.42,0,7.42,17066
ENERGY-POWER_QUALITY_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,52.88,index,valid,synthetic_energy,4.0,0,4.0,9200
ENERGY-POWER_QUALITY_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,53.31,index,valid,synthetic_energy,5.34,0,5.34,12282
ENERGY-POWER_QUALITY_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,40.26,index,valid,synthetic_energy,7.27,0,7.27,16721
ENERGY-POWER_QUALITY_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,33.62,index,valid,synthetic_energy,7.5,0,7.5,17250
ENERGY-POWER_QUALITY_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,40.34,index,valid,synthetic_energy,4.9,0,4.9,11270
ENERGY-POWER_QUALITY_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,42.31,index,valid,synthetic_energy,4.42,0,4.42,10166
ENERGY-POWER_QUALITY_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,57.74,index,valid,synthetic_energy,5.86,0,5.86,13478
ENERGY-POWER_QUALITY_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,77.31,index,valid,synthetic_energy,3.63,0,3.63,8349
ENERGY-POWER_QUALITY_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,84.58,index,valid,synthetic_energy,3.13,0,3.13,7199
ENERGY-POWER_QUALITY_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,64.4,index,valid,synthetic_energy,4.65,0,4.65,10695
ENERGY-POWER_QUALITY_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,27.18,index,valid,synthetic_energy,3.72,0,3.72,8556
ENERGY-POWER_QUALITY_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,39.81,index,valid,synthetic_energy,3.98,0,3.98,9154
ENERGY-POWER_QUALITY_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,15.99,index,valid,synthetic_energy,7.87,0,7.87,18101
ENERGY-POWER_QUALITY_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,69.76,index,valid,synthetic_energy,7.45,0,7.45,17135
ENERGY-POWER_QUALITY_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,49.83,index,valid,synthetic_energy,4.28,0,4.28,9844
ENERGY-POWER_QUALITY_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,75.41,index,valid,synthetic_energy,7.64,0,7.64,17572
ENERGY-POWER_QUALITY_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,24.07,index,valid,synthetic_energy,5.85,0,5.85,13455
