generator_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-GENERATOR_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,43.2,index,valid,synthetic_energy,3.28,0,3.28,7544
ENERGY-GENERATOR_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,58.35,index,valid,synthetic_energy,7.82,0,7.82,17986
ENERGY-GENERATOR_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,73.93,index,valid,synthetic_energy,7.81,0,7.81,17963
ENERGY-GENERATOR_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,83.54,index,valid,synthetic_energy,6.02,0,6.02,13846
ENERGY-GENERATOR_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,66.24,index,valid,synthetic_energy,3.59,0,3.59,8257
ENERGY-GENERATOR_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,71.73,index,valid,synthetic_energy,7.47,0,7.47,17181
ENERGY-GENERATOR_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,71.34,index,degraded,synthetic_energy,7.33,2,9.33,24859
ENERGY-GENERATOR_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,30.19,index,valid,synthetic_energy,5.7,0,5.7,13110
ENERGY-GENERATOR_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,31.24,index,valid,synthetic_energy,6.56,0,6.56,15088
ENERGY-GENERATOR_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,71.83,index,valid,synthetic_energy,5.13,0,5.13,11799
ENERGY-GENERATOR_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,69.63,index,valid,synthetic_energy,7.69,0,7.69,17687
ENERGY-GENERATOR_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,72.64,index,valid,synthetic_energy,6.93,0,6.93,15939
ENERGY-GENERATOR_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,83.05,index,valid,synthetic_energy,7.93,0,7.93,18239
ENERGY-GENERATOR_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,49.92,index,valid,synthetic_energy,3.42,0,3.42,7866
ENERGY-GENERATOR_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,36.31,index,valid,synthetic_energy,7.88,0,7.88,18124
ENERGY-GENERATOR_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,56.02,index,valid,synthetic_energy,4.21,0,4.21,9683
ENERGY-GENERATOR_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,54.54,index,valid,synthetic_energy,7.75,0,7.75,17825
ENERGY-GENERATOR_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,43.04,index,valid,synthetic_energy,6.22,0,6.22,14306
ENERGY-GENERATOR_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,40.6,index,valid,synthetic_energy,6.82,0,6.82,15686
ENERGY-GENERATOR_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,32.63,index,valid,synthetic_energy,4.54,0,4.54,10442
ENERGY-GENERATOR_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,80.18,index,valid,synthetic_energy,5.28,0,5.28,12144
ENERGY-GENERATOR_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,53.69,index,valid,synthetic_energy,5.14,0,5.14,11822
ENERGY-GENERATOR_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,57.64,index,valid,synthetic_energy,5.8,0,5.8,13340
ENERGY-GENERATOR_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,75.42,index,valid,synthetic_energy,7.73,0,7.73,17779
ENERGY-GENERATOR_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,80.38,index,valid,synthetic_energy,3.49,0,3.49,8027
ENERGY-GENERATOR_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,80.56,index,valid,synthetic_energy,4.8,0,4.8,11040
ENERGY-GENERATOR_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,44.53,index,valid,synthetic_energy,5.43,0,5.43,12489
ENERGY-GENERATOR_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,59.24,index,valid,synthetic_energy,7.09,0,7.09,16307
ENERGY-GENERATOR_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,61.29,index,valid,synthetic_energy,4.93,0,4.93,11339
ENERGY-GENERATOR_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,72.02,index,valid,synthetic_energy,7.85,0,7.85,18055
ENERGY-GENERATOR_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,21.78,index,valid,synthetic_energy,5.66,0,5.66,13018
ENERGY-GENERATOR_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,72.81,index,valid,synthetic_energy,5.26,0,5.26,12098
ENERGY-GENERATOR_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,74.83,index,valid,synthetic_energy,6.61,0,6.61,15203
ENERGY-GENERATOR_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,75.88,index,valid,synthetic_energy,3.3,0,3.3,7590
ENERGY-GENERATOR_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,49.03,index,valid,synthetic_energy,4.12,0,4.12,9476
ENERGY-GENERATOR_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,43.43,index,valid,synthetic_energy,4.16,0,4.16,9568
ENERGY-GENERATOR_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,39.23,index,valid,synthetic_energy,5.81,0,5.81,13363
ENERGY-GENERATOR_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,49.01,index,valid,synthetic_energy,7.81,0,7.81,17963
ENERGY-GENERATOR_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,75.2,index,valid,synthetic_energy,7.73,0,7.73,17779
ENERGY-GENERATOR_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,21.3,index,valid,synthetic_energy,3.76,0,3.76,8648
ENERGY-GENERATOR_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,64.36,index,valid,synthetic_energy,3.01,0,3.01,6923
ENERGY-GENERATOR_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,54.4,index,valid,synthetic_energy,4.72,0,4.72,10856
ENERGY-GENERATOR_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,19.31,index,valid,synthetic_energy,3.96,0,3.96,9108
ENERGY-GENERATOR_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,77.04,index,valid,synthetic_energy,6.1,0,6.1,14030
ENERGY-GENERATOR_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,82.78,index,valid,synthetic_energy,4.36,0,4.36,10028
ENERGY-GENERATOR_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,69.22,index,valid,synthetic_energy,6.58,0,6.58,15134
ENERGY-GENERATOR_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,46.9,index,valid,synthetic_energy,6.3,0,6.3,14490
ENERGY-GENERATOR_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,48.56,index,valid,synthetic_energy,3.88,0,3.88,8924
ENERGY-GENERATOR_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,41.84,index,valid,synthetic_energy,7.89,0,7.89,18147
ENERGY-GENERATOR_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,20.39,index,valid,synthetic_energy,5.3,0,5.3,12190
ENERGY-GENERATOR_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,44.11,index,valid,synthetic_energy,6.2,0,6.2,14260
ENERGY-GENERATOR_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,79.03,index,valid,synthetic_energy,4.54,0,4.54,10442
ENERGY-GENERATOR_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,60.58,index,valid,synthetic_energy,5.79,0,5.79,13317
ENERGY-GENERATOR_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,81.93,index,valid,synthetic_energy,3.59,0,3.59,8257
ENERGY-GENERATOR_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,21.15,index,valid,synthetic_energy,3.19,0,3.19,7337
ENERGY-GENERATOR_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,63.6,index,valid,synthetic_energy,5.05,0,5.05,11615
ENERGY-GENERATOR_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,53.05,index,valid,synthetic_energy,7.61,0,7.61,17503
ENERGY-GENERATOR_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,48.32,index,valid,synthetic_energy,6.35,0,6.35,14605
ENERGY-GENERATOR_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,66.17,index,valid,synthetic_energy,3.6,0,3.6,8280
ENERGY-GENERATOR_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,63.66,index,valid,synthetic_energy,3.18,0,3.18,7314
ENERGY-GENERATOR_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,15.28,index,valid,synthetic_energy,6.37,0,6.37,14651
ENERGY-GENERATOR_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,59.88,index,valid,synthetic_energy,4.6,0,4.6,10580
ENERGY-GENERATOR_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,21.63,index,valid,synthetic_energy,6.38,0,6.38,14674
ENERGY-GENERATOR_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,22.41,index,valid,synthetic_energy,3.44,0,3.44,7912
ENERGY-GENERATOR_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,62.53,index,valid,synthetic_energy,7.22,0,7.22,16606
ENERGY-GENERATOR_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,64.96,index,valid,synthetic_energy,5.27,0,5.27,12121
ENERGY-GENERATOR_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,45.61,index,valid,synthetic_energy,3.83,0,3.83,8809
ENERGY-GENERATOR_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,76.9,index,valid,synthetic_energy,5.48,0,5.48,12604
ENERGY-GENERATOR_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,71.74,index,valid,synthetic_energy,3.52,0,3.52,8096
ENERGY-GENERATOR_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,57.55,index,valid,synthetic_energy,6.27,0,6.27,14421
ENERGY-GENERATOR_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,75.17,index,valid,synthetic_energy,6.39,0,6.39,14697
ENERGY-GENERATOR_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,39.0,index,valid,synthetic_energy,3.38,0,3.38,7774
ENERGY-GENERATOR_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,75.08,index,valid,synthetic_energy,7.7,0,7.7,17710
ENERGY-GENERATOR_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,59.26,index,valid,synthetic_energy,4.7,0,4.7,10810
ENERGY-GENERATOR_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,53.47,index,valid,synthetic_energy,4.63,0,4.63,10649
ENERGY-GENERATOR_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,19.18,index,valid,synthetic_energy,6.61,0,6.61,15203
ENERGY-GENERATOR_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,60.02,index,valid,synthetic_energy,3.43,0,3.43,7889
ENERGY-GENERATOR_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,48.66,index,valid,synthetic_energy,5.57,0,5.57,12811
ENERGY-GENERATOR_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,74.19,index,valid,synthetic_energy,6.13,0,6.13,14099
ENERGY-GENERATOR_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,48.92,index,valid,synthetic_energy,7.5,0,7.5,17250
ENERGY-GENERATOR_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,40.18,index,valid,synthetic_energy,4.45,0,4.45,10235
ENERGY-GENERATOR_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,82.61,index,valid,synthetic_energy,5.31,0,5.31,12213
ENERGY-GENERATOR_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,23.78,index,valid,synthetic_energy,6.62,0,6.62,15226
ENERGY-GENERATOR_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,58.88,index,valid,synthetic_energy,5.87,0,5.87,13501
ENERGY-GENERATOR_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,69.6,index,valid,synthetic_energy,6.74,0,6.74,15502
ENERGY-GENERATOR_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,52.68,index,valid,synthetic_energy,5.76,0,5.76,13248
ENERGY-GENERATOR_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,51.08,index,valid,synthetic_energy,3.01,0,3.01,6923
ENERGY-GENERATOR_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,27.93,index,valid,synthetic_energy,7.28,0,7.28,16744
ENERGY-GENERATOR_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,31.72,index,valid,synthetic_energy,5.17,0,5.17,11891
ENERGY-GENERATOR_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,49.74,index,valid,synthetic_energy,4.18,0,4.18,9614
ENERGY-GENERATOR_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,17.87,index,valid,synthetic_energy,6.7,0,6.7,15410
ENERGY-GENERATOR_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,74.3,index,valid,synthetic_energy,5.59,0,5.59,12857
ENERGY-GENERATOR_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,47.53,index,valid,synthetic_energy,7.14,0,7.14,16422
ENERGY-GENERATOR_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,59.2,index,valid,synthetic_energy,4.06,0,4.06,9338
ENERGY-GENERATOR_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,31.18,index,valid,synthetic_energy,5.69,0,5.69,13087
ENERGY-GENERATOR_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,21.71,index,valid,synthetic_energy,3.43,0,3.43,7889
ENERGY-GENERATOR_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,102.64,index,degraded,synthetic_energy,6.65,2,8.65,23295
ENERGY-GENERATOR_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,83.51,index,valid,synthetic_energy,7.63,0,7.63,17549
ENERGY-GENERATOR_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,57.45,index,valid,synthetic_energy,5.0,0,5.0,11500
ENERGY-GENERATOR_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,36.55,index,valid,synthetic_energy,7.15,0,7.15,16445
ENERGY-GENERATOR_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,69.82,index,valid,synthetic_energy,3.52,0,3.52,8096
ENERGY-GENERATOR_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,68.58,index,valid,synthetic_energy,4.29,0,4.29,9867
ENERGY-GENERATOR_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,68.04,index,valid,synthetic_energy,5.16,0,5.16,11868
ENERGY-GENERATOR_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,19.98,index,valid,synthetic_energy,5.61,0,5.61,12903
ENERGY-GENERATOR_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,25.31,index,valid,synthetic_energy,4.9,0,4.9,11270
ENERGY-GENERATOR_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,38.62,index,valid,synthetic_energy,4.11,0,4.11,9453
ENERGY-GENERATOR_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,56.59,index,valid,synthetic_energy,7.9,0,7.9,18170
ENERGY-GENERATOR_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,28.56,index,valid,synthetic_energy,7.05,0,7.05,16215
ENERGY-GENERATOR_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,47.45,index,valid,synthetic_energy,3.44,0,3.44,7912
ENERGY-GENERATOR_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,24.47,index,valid,synthetic_energy,6.6,0,6.6,15180
ENERGY-GENERATOR_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,36.12,index,valid,synthetic_energy,5.92,0,5.92,13616
ENERGY-GENERATOR_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,18.87,index,valid,synthetic_energy,4.6,0,4.6,10580
ENERGY-GENERATOR_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,74.91,index,valid,synthetic_energy,3.36,0,3.36,7728
ENERGY-GENERATOR_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,79.92,index,valid,synthetic_energy,4.11,0,4.11,9453
ENERGY-GENERATOR_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,43.46,index,valid,synthetic_energy,4.04,0,4.04,9292
ENERGY-GENERATOR_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,46.36,index,valid,synthetic_energy,4.23,0,4.23,9729
ENERGY-GENERATOR_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,52.46,index,valid,synthetic_energy,7.89,0,7.89,18147
ENERGY-GENERATOR_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,63.17,index,valid,synthetic_energy,7.51,0,7.51,17273
ENERGY-GENERATOR_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,64.66,index,valid,synthetic_energy,5.44,0,5.44,12512
ENERGY-GENERATOR_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,79.85,index,valid,synthetic_energy,6.18,0,6.18,14214
ENERGY-GENERATOR_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,18.79,index,valid,synthetic_energy,7.1,0,7.1,16330
ENERGY-GENERATOR_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,18.09,index,valid,synthetic_energy,7.34,0,7.34,16882
ENERGY-GENERATOR_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,19.52,index,valid,synthetic_energy,3.83,0,3.83,8809
ENERGY-GENERATOR_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,55.84,index,valid,synthetic_energy,7.25,0,7.25,16675
ENERGY-GENERATOR_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,81.8,index,valid,synthetic_energy,7.06,0,7.06,16238
ENERGY-GENERATOR_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,83.01,index,valid,synthetic_energy,3.09,0,3.09,7107
ENERGY-GENERATOR_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,31.87,index,valid,synthetic_energy,5.62,0,5.62,12926
ENERGY-GENERATOR_HOURLY-02-04,ST0301,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,66.16,index,valid,synthetic_energy,3.81,0,3.81,8763
ENERGY-GENERATOR_HOURLY-02-05,ST0301,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,15.89,index,valid,synthetic_energy,3.3,0,3.3,7590
ENERGY-GENERATOR_HOURLY-02-06,ST0301,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,82.29,index,valid,synthetic_energy,3.08,0,3.08,7084
ENERGY-GENERATOR_HOURLY-02-07,ST0301,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,42.75,index,valid,synthetic_energy,3.61,0,3.61,8303
ENERGY-GENERATOR_HOURLY-02-08,ST0301,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,76.45,index,valid,synthetic_energy,7.32,0,7.32,16836
