load_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-LOAD_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,21.46,index,valid,synthetic_energy,5.34,0,5.34,12282
ENERGY-LOAD_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,74.87,index,valid,synthetic_energy,3.5,0,3.5,8050
ENERGY-LOAD_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,31.99,index,valid,synthetic_energy,7.51,0,7.51,17273
ENERGY-LOAD_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,57.53,index,valid,synthetic_energy,5.11,0,5.11,11753
ENERGY-LOAD_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,82.68,index,valid,synthetic_energy,5.34,0,5.34,12282
ENERGY-LOAD_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,63.31,index,valid,synthetic_energy,6.47,0,6.47,14881
ENERGY-LOAD_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,47.85,index,valid,synthetic_energy,3.43,0,3.43,7889
ENERGY-LOAD_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,68.54,index,valid,synthetic_energy,6.05,0,6.05,13915
ENERGY-LOAD_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,48.97,index,valid,synthetic_energy,3.42,0,3.42,7866
ENERGY-LOAD_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,52.17,index,valid,synthetic_energy,6.9,0,6.9,15870
ENERGY-LOAD_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,75.25,index,valid,synthetic_energy,7.88,0,7.88,18124
ENERGY-LOAD_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,29.94,index,valid,synthetic_energy,7.41,0,7.41,17043
ENERGY-LOAD_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,46.61,index,valid,synthetic_energy,4.77,0,4.77,10971
ENERGY-LOAD_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,36.65,index,valid,synthetic_energy,3.27,0,3.27,7521
ENERGY-LOAD_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,25.0,index,valid,synthetic_energy,7.8,0,7.8,17940
ENERGY-LOAD_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,28.98,index,valid,synthetic_energy,4.6,0,4.6,10580
ENERGY-LOAD_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,43.66,index,valid,synthetic_energy,3.35,0,3.35,7705
ENERGY-LOAD_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,66.9,index,valid,synthetic_energy,6.3,0,6.3,14490
ENERGY-LOAD_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,17.16,index,valid,synthetic_energy,3.55,0,3.55,8165
ENERGY-LOAD_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,81.97,index,valid,synthetic_energy,4.55,0,4.55,10465
ENERGY-LOAD_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,46.98,index,valid,synthetic_energy,3.16,0,3.16,7268
ENERGY-LOAD_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,17.91,index,valid,synthetic_energy,5.08,0,5.08,11684
ENERGY-LOAD_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,32.3,index,valid,synthetic_energy,3.23,0,3.23,7429
ENERGY-LOAD_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,80.52,index,valid,synthetic_energy,5.01,0,5.01,11523
ENERGY-LOAD_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,76.15,index,valid,synthetic_energy,4.51,0,4.51,10373
ENERGY-LOAD_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,23.8,index,valid,synthetic_energy,6.67,0,6.67,15341
ENERGY-LOAD_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,41.37,index,valid,synthetic_energy,5.37,0,5.37,12351
ENERGY-LOAD_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,50.8,index,valid,synthetic_energy,4.47,0,4.47,10281
ENERGY-LOAD_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,21.71,index,valid,synthetic_energy,6.83,0,6.83,15709
ENERGY-LOAD_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,57.87,index,valid,synthetic_energy,6.56,0,6.56,15088
ENERGY-LOAD_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,80.26,index,valid,synthetic_energy,7.84,0,7.84,18032
ENERGY-LOAD_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,23.35,index,valid,synthetic_energy,4.46,0,4.46,10258
ENERGY-LOAD_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,78.56,index,valid,synthetic_energy,4.36,0,4.36,10028
ENERGY-LOAD_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,67.95,index,valid,synthetic_energy,6.99,0,6.99,16077
ENERGY-LOAD_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,67.88,index,valid,synthetic_energy,7.93,0,7.93,18239
ENERGY-LOAD_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,81.27,index,valid,synthetic_energy,5.78,0,5.78,13294
ENERGY-LOAD_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,21.14,index,valid,synthetic_energy,3.02,0,3.02,6946
ENERGY-LOAD_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,75.21,index,valid,synthetic_energy,5.98,0,5.98,13754
ENERGY-LOAD_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,37.73,index,valid,synthetic_energy,7.54,0,7.54,17342
ENERGY-LOAD_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,44.56,index,valid,synthetic_energy,7.26,0,7.26,16698
ENERGY-LOAD_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,84.06,index,valid,synthetic_energy,6.16,0,6.16,14168
ENERGY-LOAD_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,21.79,index,valid,synthetic_energy,7.62,0,7.62,17526
ENERGY-LOAD_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,75.4,index,valid,synthetic_energy,5.5,0,5.5,12650
ENERGY-LOAD_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,38.6,index,valid,synthetic_energy,5.94,0,5.94,13662
ENERGY-LOAD_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,74.06,index,valid,synthetic_energy,3.55,0,3.55,8165
ENERGY-LOAD_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,18.45,index,valid,synthetic_energy,4.47,0,4.47,10281
ENERGY-LOAD_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,47.44,index,valid,synthetic_energy,7.97,0,7.97,18331
ENERGY-LOAD_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,55.34,index,valid,synthetic_energy,4.7,0,4.7,10810
ENERGY-LOAD_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,53.99,index,valid,synthetic_energy,3.31,0,3.31,7613
ENERGY-LOAD_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,64.39,index,valid,synthetic_energy,5.84,0,5.84,13432
ENERGY-LOAD_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,81.12,index,valid,synthetic_energy,4.05,0,4.05,9315
ENERGY-LOAD_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,34.7,index,valid,synthetic_energy,7.22,0,7.22,16606
ENERGY-LOAD_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,50.39,index,valid,synthetic_energy,3.43,0,3.43,7889
ENERGY-LOAD_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,45.67,index,valid,synthetic_energy,3.35,0,3.35,7705
ENERGY-LOAD_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,34.39,index,valid,synthetic_energy,3.59,0,3.59,8257
ENERGY-LOAD_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,44.58,index,valid,synthetic_energy,6.61,0,6.61,15203
ENERGY-LOAD_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,32.35,index,valid,synthetic_energy,6.87,0,6.87,15801
ENERGY-LOAD_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,84.53,index,valid,synthetic_energy,3.33,0,3.33,7659
ENERGY-LOAD_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,60.36,index,valid,synthetic_energy,7.65,0,7.65,17595
ENERGY-LOAD_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,74.73,index,valid,synthetic_energy,6.62,0,6.62,15226
ENERGY-LOAD_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,48.07,index,valid,synthetic_energy,6.5,0,6.5,14950
ENERGY-LOAD_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,54.71,index,valid,synthetic_energy,4.53,0,4.53,10419
ENERGY-LOAD_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,61.9,index,valid,synthetic_energy,4.31,0,4.31,9913
ENERGY-LOAD_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,53.65,index,valid,synthetic_energy,7.83,0,7.83,18009
ENERGY-LOAD_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,66.74,index,valid,synthetic_energy,6.79,0,6.79,15617
ENERGY-LOAD_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,42.9,index,valid,synthetic_energy,5.1,0,5.1,11730
ENERGY-LOAD_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,15.52,index,valid,synthetic_energy,3.59,0,3.59,8257
ENERGY-LOAD_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,19.69,index,valid,synthetic_energy,4.43,0,4.43,10189
ENERGY-LOAD_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,48.29,index,valid,synthetic_energy,6.58,0,6.58,15134
ENERGY-LOAD_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,52.88,index,valid,synthetic_energy,6.16,0,6.16,14168
ENERGY-LOAD_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,70.21,index,valid,synthetic_energy,5.34,0,5.34,12282
ENERGY-LOAD_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,71.92,index,valid,synthetic_energy,7.16,0,7.16,16468
ENERGY-LOAD_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,38.88,index,valid,synthetic_energy,3.56,0,3.56,8188
ENERGY-LOAD_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,79.88,index,valid,synthetic_energy,7.52,0,7.52,17296
ENERGY-LOAD_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,104.96,index,degraded,synthetic_energy,7.54,2,9.54,25342
ENERGY-LOAD_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,59.99,index,valid,synthetic_energy,6.5,0,6.5,14950
ENERGY-LOAD_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,81.79,index,valid,synthetic_energy,3.6,0,3.6,8280
ENERGY-LOAD_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,39.16,index,valid,synthetic_energy,5.0,0,5.0,11500
ENERGY-LOAD_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,58.7,index,valid,synthetic_energy,7.26,0,7.26,16698
ENERGY-LOAD_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,17.78,index,valid,synthetic_energy,6.69,0,6.69,15387
ENERGY-LOAD_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,46.05,index,valid,synthetic_energy,3.77,0,3.77,8671
ENERGY-LOAD_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,19.55,index,valid,synthetic_energy,6.04,0,6.04,13892
ENERGY-LOAD_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,65.06,index,valid,synthetic_energy,6.42,0,6.42,14766
ENERGY-LOAD_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,32.29,index,valid,synthetic_energy,6.95,0,6.95,15985
ENERGY-LOAD_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,55.48,index,valid,synthetic_energy,3.11,0,3.11,7153
ENERGY-LOAD_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,69.06,index,valid,synthetic_energy,4.17,0,4.17,9591
ENERGY-LOAD_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,83.1,index,valid,synthetic_energy,3.92,0,3.92,9016
ENERGY-LOAD_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,23.75,index,valid,synthetic_energy,6.64,0,6.64,15272
ENERGY-LOAD_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,42.08,index,valid,synthetic_energy,4.48,0,4.48,10304
ENERGY-LOAD_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,19.45,index,valid,synthetic_energy,5.45,0,5.45,12535
ENERGY-LOAD_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,23.6,index,valid,synthetic_energy,6.41,0,6.41,14743
ENERGY-LOAD_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,30.83,index,valid,synthetic_energy,4.44,0,4.44,10212
ENERGY-LOAD_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,19.02,index,valid,synthetic_energy,6.14,0,6.14,14122
ENERGY-LOAD_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,50.15,index,valid,synthetic_energy,6.96,0,6.96,16008
ENERGY-LOAD_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,72.21,index,valid,synthetic_energy,5.6,0,5.6,12880
ENERGY-LOAD_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,76.46,index,valid,synthetic_energy,6.11,0,6.11,14053
ENERGY-LOAD_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,65.27,index,valid,synthetic_energy,7.76,0,7.76,17848
ENERGY-LOAD_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,18.58,index,valid,synthetic_energy,7.91,0,7.91,18193
ENERGY-LOAD_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,21.53,index,valid,synthetic_energy,3.87,0,3.87,8901
ENERGY-LOAD_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,42.58,index,valid,synthetic_energy,6.55,0,6.55,15065
ENERGY-LOAD_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,31.28,index,valid,synthetic_energy,3.31,0,3.31,7613
ENERGY-LOAD_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,73.9,index,valid,synthetic_energy,4.75,0,4.75,10925
ENERGY-LOAD_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,29.91,index,valid,synthetic_energy,4.35,0,4.35,10005
ENERGY-LOAD_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,64.28,index,valid,synthetic_energy,6.74,0,6.74,15502
ENERGY-LOAD_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,38.49,index,valid,synthetic_energy,3.29,0,3.29,7567
ENERGY-LOAD_HOURLY-02-04,ST0301,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,75.28,index,valid,synthetic_energy,3.9,0,3.9,8970
ENERGY-LOAD_HOURLY-02-05,ST0301,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,35.46,index,valid,synthetic_energy,6.11,0,6.11,14053
ENERGY-LOAD_HOURLY-02-06,ST0301,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,32.89,index,valid,synthetic_energy,3.75,0,3.75,8625
ENERGY-LOAD_HOURLY-02-07,ST0301,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,32.29,index,valid,synthetic_energy,6.21,0,6.21,14283
ENERGY-LOAD_HOURLY-02-08,ST0301,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,79.22,index,valid,synthetic_energy,3.3,0,3.3,7590
ENERGY-LOAD_HOURLY-02-09,ST0301,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,17.12,index,valid,synthetic_energy,4.89,0,4.89,11247
ENERGY-LOAD_HOURLY-02-10,ST0301,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,56.22,index,valid,synthetic_energy,5.22,0,5.22,12006
ENERGY-LOAD_HOURLY-02-11,ST0301,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,43.52,index,valid,synthetic_energy,6.45,0,6.45,14835
ENERGY-LOAD_HOURLY-02-12,ST0301,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,55.59,index,valid,synthetic_energy,3.18,0,3.18,7314
