energy_anomaly_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-ENERGY_ANOMALY_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,59.95,index,valid,synthetic_energy,7.8,0,7.8,17940
ENERGY-ENERGY_ANOMALY_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,16.21,index,valid,synthetic_energy,5.71,0,5.71,13133
ENERGY-ENERGY_ANOMALY_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,62.21,index,valid,synthetic_energy,3.04,0,3.04,6992
ENERGY-ENERGY_ANOMALY_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,63.82,index,valid,synthetic_energy,4.03,0,4.03,9269
ENERGY-ENERGY_ANOMALY_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,18.1,index,valid,synthetic_energy,4.92,0,4.92,11316
ENERGY-ENERGY_ANOMALY_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,75.88,index,valid,synthetic_energy,5.12,0,5.12,11776
ENERGY-ENERGY_ANOMALY_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,38.98,index,valid,synthetic_energy,4.05,0,4.05,9315
ENERGY-ENERGY_ANOMALY_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,39.96,index,valid,synthetic_energy,4.98,0,4.98,11454
ENERGY-ENERGY_ANOMALY_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,22.7,index,valid,synthetic_energy,5.46,0,5.46,12558
ENERGY-ENERGY_ANOMALY_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,29.16,index,valid,synthetic_energy,5.61,0,5.61,12903
ENERGY-ENERGY_ANOMALY_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,59.43,index,valid,synthetic_energy,5.86,0,5.86,13478
ENERGY-ENERGY_ANOMALY_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,47.82,index,valid,synthetic_energy,5.4,0,5.4,12420
ENERGY-ENERGY_ANOMALY_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,41.1,index,valid,synthetic_energy,5.2,0,5.2,11960
ENERGY-ENERGY_ANOMALY_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,83.01,index,valid,synthetic_energy,3.83,0,3.83,8809
ENERGY-ENERGY_ANOMALY_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,46.9,index,valid,synthetic_energy,7.72,0,7.72,17756
ENERGY-ENERGY_ANOMALY_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,36.29,index,valid,synthetic_energy,6.26,0,6.26,14398
ENERGY-ENERGY_ANOMALY_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,68.27,index,valid,synthetic_energy,4.76,0,4.76,10948
ENERGY-ENERGY_ANOMALY_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,83.71,index,valid,synthetic_energy,6.48,0,6.48,14904
ENERGY-ENERGY_ANOMALY_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,42.06,index,valid,synthetic_energy,5.37,0,5.37,12351
ENERGY-ENERGY_ANOMALY_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,57.97,index,valid,synthetic_energy,4.24,0,4.24,9752
ENERGY-ENERGY_ANOMALY_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,61.13,index,valid,synthetic_energy,7.9,0,7.9,18170
ENERGY-ENERGY_ANOMALY_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,64.6,index,valid,synthetic_energy,6.73,0,6.73,15479
ENERGY-ENERGY_ANOMALY_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,75.83,index,valid,synthetic_energy,6.71,0,6.71,15433
ENERGY-ENERGY_ANOMALY_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,22.34,index,valid,synthetic_energy,5.66,0,5.66,13018
ENERGY-ENERGY_ANOMALY_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,55.78,index,valid,synthetic_energy,3.46,0,3.46,7958
ENERGY-ENERGY_ANOMALY_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,39.06,index,valid,synthetic_energy,6.91,0,6.91,15893
ENERGY-ENERGY_ANOMALY_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,28.75,index,valid,synthetic_energy,6.21,0,6.21,14283
ENERGY-ENERGY_ANOMALY_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,59.68,index,valid,synthetic_energy,6.87,0,6.87,15801
ENERGY-ENERGY_ANOMALY_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,52.22,index,valid,synthetic_energy,5.09,0,5.09,11707
ENERGY-ENERGY_ANOMALY_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,30.82,index,valid,synthetic_energy,3.1,0,3.1,7130
ENERGY-ENERGY_ANOMALY_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,45.99,index,valid,synthetic_energy,5.59,0,5.59,12857
ENERGY-ENERGY_ANOMALY_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,83.94,index,valid,synthetic_energy,3.77,0,3.77,8671
ENERGY-ENERGY_ANOMALY_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,56.41,index,valid,synthetic_energy,4.41,0,4.41,10143
ENERGY-ENERGY_ANOMALY_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,19.76,index,valid,synthetic_energy,6.74,0,6.74,15502
ENERGY-ENERGY_ANOMALY_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,48.83,index,valid,synthetic_energy,3.86,0,3.86,8878
ENERGY-ENERGY_ANOMALY_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,55.52,index,valid,synthetic_energy,3.52,0,3.52,8096
ENERGY-ENERGY_ANOMALY_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,73.81,index,valid,synthetic_energy,6.48,0,6.48,14904
ENERGY-ENERGY_ANOMALY_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,76.7,index,valid,synthetic_energy,7.87,0,7.87,18101
ENERGY-ENERGY_ANOMALY_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,58.65,index,valid,synthetic_energy,3.25,0,3.25,7475
ENERGY-ENERGY_ANOMALY_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,75.83,index,valid,synthetic_energy,6.72,0,6.72,15456
ENERGY-ENERGY_ANOMALY_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,31.12,index,valid,synthetic_energy,6.78,0,6.78,15594
ENERGY-ENERGY_ANOMALY_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,54.86,index,valid,synthetic_energy,5.23,0,5.23,12029
ENERGY-ENERGY_ANOMALY_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,55.53,index,valid,synthetic_energy,7.05,0,7.05,16215
ENERGY-ENERGY_ANOMALY_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,65.26,index,valid,synthetic_energy,5.33,0,5.33,12259
ENERGY-ENERGY_ANOMALY_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,43.58,index,valid,synthetic_energy,3.57,0,3.57,8211
ENERGY-ENERGY_ANOMALY_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,21.58,index,valid,synthetic_energy,6.51,0,6.51,14973
ENERGY-ENERGY_ANOMALY_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,81.75,index,valid,synthetic_energy,6.67,0,6.67,15341
ENERGY-ENERGY_ANOMALY_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,58.25,index,valid,synthetic_energy,3.12,0,3.12,7176
ENERGY-ENERGY_ANOMALY_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,16.04,index,valid,synthetic_energy,5.58,0,5.58,12834
ENERGY-ENERGY_ANOMALY_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,71.07,index,valid,synthetic_energy,5.09,0,5.09,11707
ENERGY-ENERGY_ANOMALY_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,46.99,index,valid,synthetic_energy,4.51,0,4.51,10373
ENERGY-ENERGY_ANOMALY_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,39.93,index,valid,synthetic_energy,7.4,0,7.4,17020
ENERGY-ENERGY_ANOMALY_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,57.22,index,valid,synthetic_energy,4.14,0,4.14,9522
ENERGY-ENERGY_ANOMALY_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,23.64,index,valid,synthetic_energy,7.98,0,7.98,18354
ENERGY-ENERGY_ANOMALY_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,83.11,index,valid,synthetic_energy,4.64,0,4.64,10672
ENERGY-ENERGY_ANOMALY_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,35.01,index,valid,synthetic_energy,6.87,0,6.87,15801
ENERGY-ENERGY_ANOMALY_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,15.81,index,valid,synthetic_energy,6.77,0,6.77,15571
ENERGY-ENERGY_ANOMALY_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,37.25,index,valid,synthetic_energy,6.38,0,6.38,14674
ENERGY-ENERGY_ANOMALY_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,58.31,index,valid,synthetic_energy,4.42,0,4.42,10166
ENERGY-ENERGY_ANOMALY_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,43.64,index,valid,synthetic_energy,3.08,0,3.08,7084
ENERGY-ENERGY_ANOMALY_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,83.64,index,valid,synthetic_energy,5.9,0,5.9,13570
ENERGY-ENERGY_ANOMALY_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,24.48,index,valid,synthetic_energy,7.21,0,7.21,16583
ENERGY-ENERGY_ANOMALY_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,79.81,index,valid,synthetic_energy,5.65,0,5.65,12995
ENERGY-ENERGY_ANOMALY_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,44.58,index,valid,synthetic_energy,3.55,0,3.55,8165
ENERGY-ENERGY_ANOMALY_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,84.92,index,valid,synthetic_energy,3.35,0,3.35,7705
ENERGY-ENERGY_ANOMALY_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,47.54,index,valid,synthetic_energy,5.23,0,5.23,12029
ENERGY-ENERGY_ANOMALY_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,70.62,index,valid,synthetic_energy,6.51,0,6.51,14973
ENERGY-ENERGY_ANOMALY_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,53.37,index,valid,synthetic_energy,4.86,0,4.86,11178
ENERGY-ENERGY_ANOMALY_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,16.03,index,valid,synthetic_energy,6.44,0,6.44,14812
ENERGY-ENERGY_ANOMALY_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,41.76,index,valid,synthetic_energy,6.15,0,6.15,14145
ENERGY-ENERGY_ANOMALY_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,83.67,index,valid,synthetic_energy,7.62,0,7.62,17526
ENERGY-ENERGY_ANOMALY_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,29.95,index,degraded,synthetic_energy,6.34,2,8.34,22582
ENERGY-ENERGY_ANOMALY_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,58.37,index,valid,synthetic_energy,3.86,0,3.86,8878
ENERGY-ENERGY_ANOMALY_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,39.38,index,valid,synthetic_energy,6.05,0,6.05,13915
ENERGY-ENERGY_ANOMALY_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,20.79,index,valid,synthetic_energy,6.93,0,6.93,15939
ENERGY-ENERGY_ANOMALY_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,83.75,index,valid,synthetic_energy,7.64,0,7.64,17572
ENERGY-ENERGY_ANOMALY_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,83.58,index,valid,synthetic_energy,5.39,0,5.39,12397
ENERGY-ENERGY_ANOMALY_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,32.77,index,valid,synthetic_energy,4.11,0,4.11,9453
ENERGY-ENERGY_ANOMALY_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,60.39,index,valid,synthetic_energy,3.28,0,3.28,7544
ENERGY-ENERGY_ANOMALY_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,19.37,index,valid,synthetic_energy,4.27,0,4.27,9821
ENERGY-ENERGY_ANOMALY_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,36.8,index,valid,synthetic_energy,6.8,0,6.8,15640
ENERGY-ENERGY_ANOMALY_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,65.67,index,valid,synthetic_energy,3.48,0,3.48,8004
ENERGY-ENERGY_ANOMALY_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,46.74,index,valid,synthetic_energy,3.89,0,3.89,8947
ENERGY-ENERGY_ANOMALY_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,29.83,index,valid,synthetic_energy,5.94,0,5.94,13662
ENERGY-ENERGY_ANOMALY_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,32.23,index,valid,synthetic_energy,4.97,0,4.97,11431
ENERGY-ENERGY_ANOMALY_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,21.91,index,valid,synthetic_energy,7.82,0,7.82,17986
ENERGY-ENERGY_ANOMALY_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,59.36,index,valid,synthetic_energy,4.31,0,4.31,9913
ENERGY-ENERGY_ANOMALY_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,60.84,index,valid,synthetic_energy,4.14,0,4.14,9522
ENERGY-ENERGY_ANOMALY_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,40.54,index,valid,synthetic_energy,4.79,0,4.79,11017
ENERGY-ENERGY_ANOMALY_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,60.63,index,valid,synthetic_energy,7.99,0,7.99,18377
ENERGY-ENERGY_ANOMALY_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,77.73,index,valid,synthetic_energy,6.75,0,6.75,15525
ENERGY-ENERGY_ANOMALY_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,47.37,index,valid,synthetic_energy,6.48,0,6.48,14904
ENERGY-ENERGY_ANOMALY_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,53.87,index,valid,synthetic_energy,7.69,0,7.69,17687
ENERGY-ENERGY_ANOMALY_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,63.68,index,valid,synthetic_energy,5.03,0,5.03,11569
ENERGY-ENERGY_ANOMALY_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,62.78,index,valid,synthetic_energy,7.15,0,7.15,16445
ENERGY-ENERGY_ANOMALY_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,21.98,index,valid,synthetic_energy,7.42,0,7.42,17066
ENERGY-ENERGY_ANOMALY_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,66.75,index,valid,synthetic_energy,4.53,0,4.53,10419
ENERGY-ENERGY_ANOMALY_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,40.65,index,valid,synthetic_energy,7.91,0,7.91,18193
