battery_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-BATTERY_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,15.9,index,valid,synthetic_energy,6.26,0,6.26,14398
ENERGY-BATTERY_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,72.8,index,valid,synthetic_energy,4.57,0,4.57,10511
ENERGY-BATTERY_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,53.55,index,valid,synthetic_energy,3.39,0,3.39,7797
ENERGY-BATTERY_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,26.17,index,valid,synthetic_energy,3.97,0,3.97,9131
ENERGY-BATTERY_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,84.72,index,valid,synthetic_energy,5.71,0,5.71,13133
ENERGY-BATTERY_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,57.54,index,valid,synthetic_energy,7.81,0,7.81,17963
ENERGY-BATTERY_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,55.01,index,degraded,synthetic_energy,7.92,2,9.92,26216
ENERGY-BATTERY_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,60.23,index,valid,synthetic_energy,6.64,0,6.64,15272
ENERGY-BATTERY_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,73.27,index,valid,synthetic_energy,5.9,0,5.9,13570
ENERGY-BATTERY_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,33.1,index,valid,synthetic_energy,5.3,0,5.3,12190
ENERGY-BATTERY_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,53.43,index,valid,synthetic_energy,5.74,0,5.74,13202
ENERGY-BATTERY_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,80.56,index,valid,synthetic_energy,7.41,0,7.41,17043
ENERGY-BATTERY_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,51.66,index,valid,synthetic_energy,3.03,0,3.03,6969
ENERGY-BATTERY_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,55.25,index,valid,synthetic_energy,6.9,0,6.9,15870
ENERGY-BATTERY_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,84.97,index,valid,synthetic_energy,6.88,0,6.88,15824
ENERGY-BATTERY_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,45.92,index,valid,synthetic_energy,3.77,0,3.77,8671
ENERGY-BATTERY_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,62.83,index,valid,synthetic_energy,5.34,0,5.34,12282
ENERGY-BATTERY_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,26.23,index,valid,synthetic_energy,5.45,0,5.45,12535
ENERGY-BATTERY_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,38.13,index,valid,synthetic_energy,5.11,0,5.11,11753
ENERGY-BATTERY_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,20.28,index,valid,synthetic_energy,3.53,0,3.53,8119
ENERGY-BATTERY_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,31.93,index,valid,synthetic_energy,4.02,0,4.02,9246
ENERGY-BATTERY_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,54.44,index,valid,synthetic_energy,7.02,0,7.02,16146
ENERGY-BATTERY_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,17.39,index,valid,synthetic_energy,6.24,0,6.24,14352
ENERGY-BATTERY_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,79.5,index,valid,synthetic_energy,5.7,0,5.7,13110
ENERGY-BATTERY_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,65.48,index,valid,synthetic_energy,4.16,0,4.16,9568
ENERGY-BATTERY_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,44.85,index,valid,synthetic_energy,7.96,0,7.96,18308
ENERGY-BATTERY_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,68.64,index,valid,synthetic_energy,3.62,0,3.62,8326
ENERGY-BATTERY_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,42.27,index,valid,synthetic_energy,7.97,0,7.97,18331
ENERGY-BATTERY_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,61.34,index,valid,synthetic_energy,7.16,0,7.16,16468
ENERGY-BATTERY_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,62.07,index,valid,synthetic_energy,5.76,0,5.76,13248
ENERGY-BATTERY_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,42.31,index,valid,synthetic_energy,7.85,0,7.85,18055
ENERGY-BATTERY_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,36.92,index,valid,synthetic_energy,4.05,0,4.05,9315
ENERGY-BATTERY_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,52.41,index,valid,synthetic_energy,6.06,0,6.06,13938
ENERGY-BATTERY_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,84.16,index,valid,synthetic_energy,3.48,0,3.48,8004
ENERGY-BATTERY_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,68.6,index,valid,synthetic_energy,3.05,0,3.05,7015
ENERGY-BATTERY_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,68.85,index,valid,synthetic_energy,7.36,0,7.36,16928
ENERGY-BATTERY_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,27.14,index,valid,synthetic_energy,3.97,0,3.97,9131
ENERGY-BATTERY_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,43.74,index,valid,synthetic_energy,3.26,0,3.26,7498
ENERGY-BATTERY_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,28.82,index,valid,synthetic_energy,3.0,0,3.0,6900
ENERGY-BATTERY_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,69.65,index,valid,synthetic_energy,6.22,0,6.22,14306
ENERGY-BATTERY_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,25.9,index,valid,synthetic_energy,4.4,0,4.4,10120
ENERGY-BATTERY_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,20.74,index,valid,synthetic_energy,3.63,0,3.63,8349
ENERGY-BATTERY_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,56.81,index,valid,synthetic_energy,7.4,0,7.4,17020
ENERGY-BATTERY_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,78.11,index,valid,synthetic_energy,3.29,0,3.29,7567
ENERGY-BATTERY_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,62.65,index,valid,synthetic_energy,6.93,0,6.93,15939
ENERGY-BATTERY_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,39.65,index,valid,synthetic_energy,4.83,0,4.83,11109
ENERGY-BATTERY_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,50.95,index,valid,synthetic_energy,7.51,0,7.51,17273
ENERGY-BATTERY_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,56.22,index,valid,synthetic_energy,4.14,0,4.14,9522
ENERGY-BATTERY_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,73.87,index,valid,synthetic_energy,7.06,0,7.06,16238
ENERGY-BATTERY_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,52.06,index,valid,synthetic_energy,3.49,0,3.49,8027
ENERGY-BATTERY_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,23.38,index,valid,synthetic_energy,5.06,0,5.06,11638
ENERGY-BATTERY_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,77.45,index,valid,synthetic_energy,4.6,0,4.6,10580
ENERGY-BATTERY_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,29.98,index,valid,synthetic_energy,3.3,0,3.3,7590
ENERGY-BATTERY_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,28.68,index,valid,synthetic_energy,5.35,0,5.35,12305
ENERGY-BATTERY_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,49.15,index,valid,synthetic_energy,7.4,0,7.4,17020
ENERGY-BATTERY_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,37.34,index,valid,synthetic_energy,6.33,0,6.33,14559
ENERGY-BATTERY_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,39.96,index,valid,synthetic_energy,3.38,0,3.38,7774
ENERGY-BATTERY_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,46.08,index,valid,synthetic_energy,7.75,0,7.75,17825
ENERGY-BATTERY_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,30.03,index,valid,synthetic_energy,3.38,0,3.38,7774
ENERGY-BATTERY_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,67.49,index,valid,synthetic_energy,3.13,0,3.13,7199
ENERGY-BATTERY_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,27.42,index,valid,synthetic_energy,4.16,0,4.16,9568
ENERGY-BATTERY_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,44.95,index,valid,synthetic_energy,4.18,0,4.18,9614
ENERGY-BATTERY_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,29.93,index,valid,synthetic_energy,3.31,0,3.31,7613
ENERGY-BATTERY_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,32.7,index,valid,synthetic_energy,4.69,0,4.69,10787
ENERGY-BATTERY_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,50.96,index,valid,synthetic_energy,6.96,0,6.96,16008
ENERGY-BATTERY_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,36.17,index,valid,synthetic_energy,3.7,0,3.7,8510
ENERGY-BATTERY_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,76.39,index,valid,synthetic_energy,3.19,0,3.19,7337
ENERGY-BATTERY_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,23.82,index,valid,synthetic_energy,3.44,0,3.44,7912
ENERGY-BATTERY_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,64.62,index,valid,synthetic_energy,4.6,0,4.6,10580
ENERGY-BATTERY_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,17.47,index,valid,synthetic_energy,3.24,0,3.24,7452
ENERGY-BATTERY_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,44.83,index,valid,synthetic_energy,7.95,0,7.95,18285
ENERGY-BATTERY_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,25.66,index,valid,synthetic_energy,5.72,0,5.72,13156
ENERGY-BATTERY_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,27.11,index,valid,synthetic_energy,7.02,0,7.02,16146
ENERGY-BATTERY_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,77.85,index,valid,synthetic_energy,5.36,0,5.36,12328
ENERGY-BATTERY_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,33.99,index,valid,synthetic_energy,4.3,0,4.3,9890
ENERGY-BATTERY_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,56.28,index,valid,synthetic_energy,3.68,0,3.68,8464
ENERGY-BATTERY_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,45.56,index,valid,synthetic_energy,6.05,0,6.05,13915
ENERGY-BATTERY_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,77.41,index,valid,synthetic_energy,3.55,0,3.55,8165
ENERGY-BATTERY_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,29.53,index,valid,synthetic_energy,5.67,0,5.67,13041
ENERGY-BATTERY_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,48.1,index,valid,synthetic_energy,4.5,0,4.5,10350
ENERGY-BATTERY_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,70.02,index,valid,synthetic_energy,3.04,0,3.04,6992
ENERGY-BATTERY_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,34.26,index,valid,synthetic_energy,6.43,0,6.43,14789
ENERGY-BATTERY_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,46.94,index,valid,synthetic_energy,7.74,0,7.74,17802
ENERGY-BATTERY_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,50.63,index,valid,synthetic_energy,3.57,0,3.57,8211
ENERGY-BATTERY_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,70.85,index,valid,synthetic_energy,3.37,0,3.37,7751
ENERGY-BATTERY_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,19.58,index,valid,synthetic_energy,4.3,0,4.3,9890
ENERGY-BATTERY_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,59.69,index,valid,synthetic_energy,3.05,0,3.05,7015
ENERGY-BATTERY_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,46.81,index,valid,synthetic_energy,7.14,0,7.14,16422
ENERGY-BATTERY_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,51.61,index,valid,synthetic_energy,4.72,0,4.72,10856
ENERGY-BATTERY_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,33.55,index,valid,synthetic_energy,6.41,0,6.41,14743
ENERGY-BATTERY_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,21.82,index,valid,synthetic_energy,7.21,0,7.21,16583
ENERGY-BATTERY_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,81.21,index,valid,synthetic_energy,4.17,0,4.17,9591
ENERGY-BATTERY_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,65.61,index,valid,synthetic_energy,3.15,0,3.15,7245
ENERGY-BATTERY_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,83.14,index,valid,synthetic_energy,6.04,0,6.04,13892
ENERGY-BATTERY_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,26.33,index,valid,synthetic_energy,4.81,0,4.81,11063
ENERGY-BATTERY_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,82.53,index,valid,synthetic_energy,6.87,0,6.87,15801
ENERGY-BATTERY_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,88.37,index,degraded,synthetic_energy,7.06,2,9.06,24238
ENERGY-BATTERY_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,66.77,index,valid,synthetic_energy,4.99,0,4.99,11477
ENERGY-BATTERY_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,25.39,index,valid,synthetic_energy,5.08,0,5.08,11684
ENERGY-BATTERY_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,65.03,index,valid,synthetic_energy,6.4,0,6.4,14720
ENERGY-BATTERY_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,57.22,index,valid,synthetic_energy,7.13,0,7.13,16399
ENERGY-BATTERY_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,46.5,index,valid,synthetic_energy,6.22,0,6.22,14306
ENERGY-BATTERY_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,65.12,index,valid,synthetic_energy,7.8,0,7.8,17940
ENERGY-BATTERY_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,49.35,index,valid,synthetic_energy,5.34,0,5.34,12282
ENERGY-BATTERY_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,71.36,index,valid,synthetic_energy,5.14,0,5.14,11822
ENERGY-BATTERY_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,63.16,index,valid,synthetic_energy,3.38,0,3.38,7774
ENERGY-BATTERY_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,53.1,index,valid,synthetic_energy,7.77,0,7.77,17871
ENERGY-BATTERY_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,84.8,index,valid,synthetic_energy,7.46,0,7.46,17158
ENERGY-BATTERY_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,47.63,index,valid,synthetic_energy,5.96,0,5.96,13708
ENERGY-BATTERY_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,39.9,index,valid,synthetic_energy,5.05,0,5.05,11615
ENERGY-BATTERY_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,78.48,index,valid,synthetic_energy,4.87,0,4.87,11201
ENERGY-BATTERY_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,78.81,index,valid,synthetic_energy,5.48,0,5.48,12604
ENERGY-BATTERY_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,28.87,index,valid,synthetic_energy,5.31,0,5.31,12213
ENERGY-BATTERY_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,42.25,index,valid,synthetic_energy,6.48,0,6.48,14904
ENERGY-BATTERY_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,80.61,index,valid,synthetic_energy,3.86,0,3.86,8878
ENERGY-BATTERY_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,19.42,index,valid,synthetic_energy,4.01,0,4.01,9223
ENERGY-BATTERY_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,20.92,index,valid,synthetic_energy,7.19,0,7.19,16537
ENERGY-BATTERY_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,79.31,index,valid,synthetic_energy,5.95,0,5.95,13685
ENERGY-BATTERY_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,63.25,index,valid,synthetic_energy,3.23,0,3.23,7429
ENERGY-BATTERY_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,70.27,index,valid,synthetic_energy,7.99,0,7.99,18377
ENERGY-BATTERY_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,57.25,index,valid,synthetic_energy,7.86,0,7.86,18078
ENERGY-BATTERY_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,31.64,index,valid,synthetic_energy,7.52,0,7.52,17296
ENERGY-BATTERY_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,55.94,index,valid,synthetic_energy,7.66,0,7.66,17618
ENERGY-BATTERY_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,65.91,index,valid,synthetic_energy,7.64,0,7.64,17572
ENERGY-BATTERY_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,32.27,index,valid,synthetic_energy,4.22,0,4.22,9706
ENERGY-BATTERY_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,45.99,index,valid,synthetic_energy,4.9,0,4.9,11270
ENERGY-BATTERY_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,38.41,index,valid,synthetic_energy,6.7,0,6.7,15410
ENERGY-BATTERY_HOURLY-02-04,ST0301,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,63.57,index,valid,synthetic_energy,5.66,0,5.66,13018
ENERGY-BATTERY_HOURLY-02-05,ST0301,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,40.96,index,valid,synthetic_energy,7.9,0,7.9,18170
ENERGY-BATTERY_HOURLY-02-06,ST0301,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,30.44,index,valid,synthetic_energy,3.09,0,3.09,7107
ENERGY-BATTERY_HOURLY-02-07,ST0301,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,66.67,index,valid,synthetic_energy,3.29,0,3.29,7567
ENERGY-BATTERY_HOURLY-02-08,ST0301,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,32.58,index,valid,synthetic_energy,7.56,0,7.56,17388
ENERGY-BATTERY_HOURLY-02-09,ST0301,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,60.71,index,valid,synthetic_energy,3.97,0,3.97,9131
ENERGY-BATTERY_HOURLY-02-10,ST0301,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,46.16,index,valid,synthetic_energy,5.23,0,5.23,12029
