solar_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-SOLAR_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,44.4,index,valid,synthetic_energy,3.97,0,3.97,9131
ENERGY-SOLAR_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,40.64,index,valid,synthetic_energy,6.25,0,6.25,14375
ENERGY-SOLAR_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,49.87,index,valid,synthetic_energy,6.88,0,6.88,15824
ENERGY-SOLAR_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,54.37,index,valid,synthetic_energy,6.65,0,6.65,15295
ENERGY-SOLAR_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,26.62,index,valid,synthetic_energy,3.88,0,3.88,8924
ENERGY-SOLAR_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,26.44,index,valid,synthetic_energy,7.76,0,7.76,17848
ENERGY-SOLAR_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,30.56,index,valid,synthetic_energy,3.74,0,3.74,8602
ENERGY-SOLAR_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,60.88,index,valid,synthetic_energy,3.31,0,3.31,7613
ENERGY-SOLAR_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,38.26,index,valid,synthetic_energy,4.21,0,4.21,9683
ENERGY-SOLAR_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,69.11,index,valid,synthetic_energy,5.1,0,5.1,11730
ENERGY-SOLAR_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,81.35,index,valid,synthetic_energy,7.54,0,7.54,17342
ENERGY-SOLAR_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,27.57,index,valid,synthetic_energy,4.02,0,4.02,9246
ENERGY-SOLAR_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,22.69,index,valid,synthetic_energy,5.58,0,5.58,12834
ENERGY-SOLAR_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,55.28,index,degraded,synthetic_energy,4.28,2,6.28,17844
ENERGY-SOLAR_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,33.98,index,valid,synthetic_energy,4.48,0,4.48,10304
ENERGY-SOLAR_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,25.53,index,valid,synthetic_energy,3.27,0,3.27,7521
ENERGY-SOLAR_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,59.27,index,valid,synthetic_energy,5.28,0,5.28,12144
ENERGY-SOLAR_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,15.07,index,valid,synthetic_energy,5.55,0,5.55,12765
ENERGY-SOLAR_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,15.85,index,valid,synthetic_energy,4.14,0,4.14,9522
ENERGY-SOLAR_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,79.77,index,valid,synthetic_energy,7.68,0,7.68,17664
ENERGY-SOLAR_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,63.87,index,valid,synthetic_energy,4.9,0,4.9,11270
ENERGY-SOLAR_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,31.62,index,valid,synthetic_energy,3.66,0,3.66,8418
ENERGY-SOLAR_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,45.85,index,valid,synthetic_energy,5.6,0,5.6,12880
ENERGY-SOLAR_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,31.76,index,valid,synthetic_energy,5.5,0,5.5,12650
ENERGY-SOLAR_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,71.12,index,valid,synthetic_energy,7.64,0,7.64,17572
ENERGY-SOLAR_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,51.69,index,valid,synthetic_energy,6.46,0,6.46,14858
ENERGY-SOLAR_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,45.63,index,valid,synthetic_energy,6.89,0,6.89,15847
ENERGY-SOLAR_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,39.83,index,valid,synthetic_energy,6.71,0,6.71,15433
ENERGY-SOLAR_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,75.91,index,valid,synthetic_energy,6.35,0,6.35,14605
ENERGY-SOLAR_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,16.46,index,valid,synthetic_energy,6.79,0,6.79,15617
ENERGY-SOLAR_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,27.07,index,valid,synthetic_energy,3.25,0,3.25,7475
ENERGY-SOLAR_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,58.25,index,valid,synthetic_energy,4.78,0,4.78,10994
ENERGY-SOLAR_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,53.22,index,valid,synthetic_energy,5.85,0,5.85,13455
ENERGY-SOLAR_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,20.16,index,valid,synthetic_energy,5.07,0,5.07,11661
ENERGY-SOLAR_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,44.7,index,valid,synthetic_energy,5.65,0,5.65,12995
ENERGY-SOLAR_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,77.96,index,valid,synthetic_energy,7.57,0,7.57,17411
ENERGY-SOLAR_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,48.77,index,valid,synthetic_energy,5.79,0,5.79,13317
ENERGY-SOLAR_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,62.78,index,valid,synthetic_energy,7.03,0,7.03,16169
ENERGY-SOLAR_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,30.85,index,valid,synthetic_energy,3.12,0,3.12,7176
ENERGY-SOLAR_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,16.25,index,valid,synthetic_energy,3.6,0,3.6,8280
ENERGY-SOLAR_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,28.54,index,valid,synthetic_energy,3.51,0,3.51,8073
ENERGY-SOLAR_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,42.71,index,valid,synthetic_energy,3.69,0,3.69,8487
ENERGY-SOLAR_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,54.41,index,valid,synthetic_energy,7.92,0,7.92,18216
ENERGY-SOLAR_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,62.96,index,valid,synthetic_energy,7.11,0,7.11,16353
ENERGY-SOLAR_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,42.25,index,valid,synthetic_energy,3.08,0,3.08,7084
ENERGY-SOLAR_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,44.09,index,valid,synthetic_energy,6.97,0,6.97,16031
ENERGY-SOLAR_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,17.02,index,valid,synthetic_energy,3.75,0,3.75,8625
ENERGY-SOLAR_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,38.67,index,valid,synthetic_energy,3.36,0,3.36,7728
ENERGY-SOLAR_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,43.92,index,valid,synthetic_energy,3.04,0,3.04,6992
ENERGY-SOLAR_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,15.6,index,valid,synthetic_energy,3.82,0,3.82,8786
ENERGY-SOLAR_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,54.94,index,valid,synthetic_energy,4.74,0,4.74,10902
ENERGY-SOLAR_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,75.6,index,valid,synthetic_energy,7.3,0,7.3,16790
ENERGY-SOLAR_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,33.47,index,valid,synthetic_energy,7.23,0,7.23,16629
ENERGY-SOLAR_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,68.83,index,valid,synthetic_energy,3.97,0,3.97,9131
ENERGY-SOLAR_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,45.21,index,valid,synthetic_energy,7.75,0,7.75,17825
ENERGY-SOLAR_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,32.32,index,valid,synthetic_energy,3.61,0,3.61,8303
ENERGY-SOLAR_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,82.23,index,valid,synthetic_energy,3.66,0,3.66,8418
ENERGY-SOLAR_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,17.01,index,valid,synthetic_energy,6.99,0,6.99,16077
ENERGY-SOLAR_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,24.14,index,valid,synthetic_energy,4.55,0,4.55,10465
ENERGY-SOLAR_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,40.78,index,valid,synthetic_energy,3.89,0,3.89,8947
ENERGY-SOLAR_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,25.15,index,valid,synthetic_energy,3.69,0,3.69,8487
ENERGY-SOLAR_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,53.48,index,valid,synthetic_energy,3.01,0,3.01,6923
ENERGY-SOLAR_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,44.82,index,valid,synthetic_energy,3.47,0,3.47,7981
ENERGY-SOLAR_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,61.81,index,valid,synthetic_energy,5.0,0,5.0,11500
ENERGY-SOLAR_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,63.27,index,valid,synthetic_energy,6.98,0,6.98,16054
ENERGY-SOLAR_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,26.89,index,valid,synthetic_energy,5.56,0,5.56,12788
ENERGY-SOLAR_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,61.97,index,valid,synthetic_energy,5.82,0,5.82,13386
ENERGY-SOLAR_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,78.24,index,valid,synthetic_energy,5.93,0,5.93,13639
ENERGY-SOLAR_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,24.72,index,valid,synthetic_energy,5.82,0,5.82,13386
ENERGY-SOLAR_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,71.73,index,valid,synthetic_energy,3.87,0,3.87,8901
ENERGY-SOLAR_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,27.77,index,valid,synthetic_energy,4.11,0,4.11,9453
ENERGY-SOLAR_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,47.01,index,valid,synthetic_energy,3.67,0,3.67,8441
ENERGY-SOLAR_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,21.43,index,valid,synthetic_energy,3.29,0,3.29,7567
ENERGY-SOLAR_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,52.18,index,valid,synthetic_energy,4.54,0,4.54,10442
ENERGY-SOLAR_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,76.55,index,valid,synthetic_energy,4.68,0,4.68,10764
ENERGY-SOLAR_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,37.38,index,valid,synthetic_energy,3.27,0,3.27,7521
ENERGY-SOLAR_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,68.84,index,valid,synthetic_energy,6.03,0,6.03,13869
ENERGY-SOLAR_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,44.18,index,valid,synthetic_energy,4.21,0,4.21,9683
ENERGY-SOLAR_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,39.45,index,valid,synthetic_energy,4.34,0,4.34,9982
ENERGY-SOLAR_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,43.27,index,valid,synthetic_energy,5.43,0,5.43,12489
ENERGY-SOLAR_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,18.56,index,valid,synthetic_energy,4.32,0,4.32,9936
ENERGY-SOLAR_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,33.56,index,valid,synthetic_energy,6.94,0,6.94,15962
ENERGY-SOLAR_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,22.49,index,valid,synthetic_energy,4.75,0,4.75,10925
ENERGY-SOLAR_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,65.39,index,valid,synthetic_energy,5.57,0,5.57,12811
ENERGY-SOLAR_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,45.87,index,valid,synthetic_energy,3.48,0,3.48,8004
ENERGY-SOLAR_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,66.05,index,valid,synthetic_energy,4.44,0,4.44,10212
ENERGY-SOLAR_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,19.34,index,valid,synthetic_energy,6.2,0,6.2,14260
ENERGY-SOLAR_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,69.65,index,valid,synthetic_energy,3.81,0,3.81,8763
ENERGY-SOLAR_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,45.39,index,valid,synthetic_energy,7.3,0,7.3,16790
ENERGY-SOLAR_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,50.73,index,valid,synthetic_energy,7.15,0,7.15,16445
ENERGY-SOLAR_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,65.47,index,valid,synthetic_energy,3.56,0,3.56,8188
ENERGY-SOLAR_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,20.7,index,valid,synthetic_energy,6.0,0,6.0,13800
ENERGY-SOLAR_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,22.71,index,valid,synthetic_energy,6.1,0,6.1,14030
ENERGY-SOLAR_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,60.55,index,valid,synthetic_energy,4.53,0,4.53,10419
ENERGY-SOLAR_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,68.46,index,valid,synthetic_energy,3.89,0,3.89,8947
ENERGY-SOLAR_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,74.28,index,valid,synthetic_energy,4.81,0,4.81,11063
ENERGY-SOLAR_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,71.2,index,valid,synthetic_energy,3.59,0,3.59,8257
ENERGY-SOLAR_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,25.83,index,valid,synthetic_energy,6.52,0,6.52,14996
ENERGY-SOLAR_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,40.34,index,valid,synthetic_energy,6.58,0,6.58,15134
ENERGY-SOLAR_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,35.72,index,valid,synthetic_energy,5.24,0,5.24,12052
ENERGY-SOLAR_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,46.01,index,valid,synthetic_energy,6.93,0,6.93,15939
ENERGY-SOLAR_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,67.13,index,valid,synthetic_energy,4.45,0,4.45,10235
ENERGY-SOLAR_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,38.14,index,valid,synthetic_energy,3.72,0,3.72,8556
ENERGY-SOLAR_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,47.68,index,degraded,synthetic_energy,3.17,2,5.17,15291
ENERGY-SOLAR_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,56.37,index,valid,synthetic_energy,5.61,0,5.61,12903
ENERGY-SOLAR_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,25.03,index,valid,synthetic_energy,7.69,0,7.69,17687
ENERGY-SOLAR_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,40.99,index,valid,synthetic_energy,5.45,0,5.45,12535
ENERGY-SOLAR_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,45.05,index,valid,synthetic_energy,6.38,0,6.38,14674
ENERGY-SOLAR_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,24.4,index,valid,synthetic_energy,5.37,0,5.37,12351
ENERGY-SOLAR_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,61.87,index,valid,synthetic_energy,3.5,0,3.5,8050
ENERGY-SOLAR_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,33.6,index,valid,synthetic_energy,3.22,0,3.22,7406
ENERGY-SOLAR_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,78.88,index,valid,synthetic_energy,7.67,0,7.67,17641
ENERGY-SOLAR_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,35.41,index,valid,synthetic_energy,6.1,0,6.1,14030
ENERGY-SOLAR_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,56.87,index,valid,synthetic_energy,6.27,0,6.27,14421
ENERGY-SOLAR_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,34.34,index,valid,synthetic_energy,5.68,0,5.68,13064
ENERGY-SOLAR_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,22.86,index,valid,synthetic_energy,3.1,0,3.1,7130
ENERGY-SOLAR_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,74.37,index,valid,synthetic_energy,3.95,0,3.95,9085
ENERGY-SOLAR_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,21.55,index,valid,synthetic_energy,3.33,0,3.33,7659
ENERGY-SOLAR_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,81.46,index,valid,synthetic_energy,7.57,0,7.57,17411
ENERGY-SOLAR_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,38.37,index,valid,synthetic_energy,5.53,0,5.53,12719
ENERGY-SOLAR_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,29.17,index,valid,synthetic_energy,3.62,0,3.62,8326
ENERGY-SOLAR_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,27.5,index,valid,synthetic_energy,6.02,0,6.02,13846
ENERGY-SOLAR_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,77.61,index,valid,synthetic_energy,4.16,0,4.16,9568
ENERGY-SOLAR_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,20.78,index,valid,synthetic_energy,6.9,0,6.9,15870
ENERGY-SOLAR_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,32.09,index,valid,synthetic_energy,7.76,0,7.76,17848
ENERGY-SOLAR_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,21.65,index,valid,synthetic_energy,7.02,0,7.02,16146
ENERGY-SOLAR_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,57.15,index,valid,synthetic_energy,3.58,0,3.58,8234
ENERGY-SOLAR_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,33.23,index,valid,synthetic_energy,5.81,0,5.81,13363
ENERGY-SOLAR_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,34.28,index,valid,synthetic_energy,7.88,0,7.88,18124
ENERGY-SOLAR_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,84.66,index,valid,synthetic_energy,5.64,0,5.64,12972
ENERGY-SOLAR_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,68.29,index,valid,synthetic_energy,3.33,0,3.33,7659
ENERGY-SOLAR_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,55.76,index,valid,synthetic_energy,5.06,0,5.06,11638
ENERGY-SOLAR_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,64.55,index,valid,synthetic_energy,3.99,0,3.99,9177
ENERGY-SOLAR_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,63.01,index,valid,synthetic_energy,5.1,0,5.1,11730
ENERGY-SOLAR_HOURLY-02-04,ST0301,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,70.48,index,valid,synthetic_energy,6.21,0,6.21,14283
ENERGY-SOLAR_HOURLY-02-05,ST0301,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,49.44,index,valid,synthetic_energy,4.48,0,4.48,10304
ENERGY-SOLAR_HOURLY-02-06,ST0301,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,63.38,index,valid,synthetic_energy,3.6,0,3.6,8280
ENERGY-SOLAR_HOURLY-02-07,ST0301,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,32.06,index,valid,synthetic_energy,5.66,0,5.66,13018
ENERGY-SOLAR_HOURLY-02-08,ST0301,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,38.92,index,valid,synthetic_energy,6.01,0,6.01,13823
ENERGY-SOLAR_HOURLY-02-09,ST0301,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,68.44,index,valid,synthetic_energy,3.73,0,3.73,8579
ENERGY-SOLAR_HOURLY-02-10,ST0301,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,48.06,index,valid,synthetic_energy,3.18,0,3.18,7314
