station_id,province_code,date_hour,grid_kwh,generator_kwh,solar_kwh,battery_soc_pct,load_kw,ambient_temp_c,site_temp_c,power_outage_min,alarm_flag,cost_vnd
ST0301,CMU,2026-08-18-02,4.04,0,0,95,4.75,34.33,38.69,0,0,9292
ST0302,CMU,2026-08-18-02,6.46,0,0,95,7.6,31.76,30.6,0,0,14858
ST0401,NBH,2026-08-18-02,5.31,0,0,95,6.25,25.33,36.96,0,0,12213
ST0402,NBH,2026-08-18-02,2.98,0,0,95,3.5,32.81,34.75,0,0,6854
ST0501,HCM,2026-08-18-02,5.14,0,0,95,6.05,33.72,36.1,0,0,11822
ST0502,HCM,2026-08-18-02,3.03,0,0,95,3.56,29.64,29.41,0,0,6969
ST0601,KHA,2026-08-18-02,6.27,0,0,95,7.38,34.94,35.75,0,0,14421
ST0602,KHA,2026-08-18-02,2.67,0,0,95,3.14,27.09,37.28,0,0,6141
ST0101,DBN,2026-08-18-03,4.79,0,0,95,5.63,26.55,30.79,0,0,11017
ST0102,DBN,2026-08-18-03,2.63,0,0,95,3.1,33.81,36.96,0,0,6049
ST0201,SLA,2026-08-18-03,6.99,0,0,95,8.22,29.03,36.18,0,0,16077
ST0202,SLA,2026-08-18-03,3.31,0,0,95,3.9,27.44,31.14,0,0,7613
ST0301,CMU,2026-08-18-03,6.21,0,0,95,7.31,33.88,32.82,0,0,14283
ST0302,CMU,2026-08-18-03,3.43,0,0,95,4.03,29.55,33.08,0,0,7889
ST0401,NBH,2026-08-18-03,7.53,0,0,95,8.86,29.72,31.61,0,0,17319
ST0402,NBH,2026-08-18-03,4.17,0,0,95,4.91,28.54,36.76,0,0,9591
ST0501,HCM,2026-08-18-03,5.52,0,0,95,6.5,28.37,29.55,0,0,12696
ST0502,HCM,2026-08-18-03,5.61,0,0,95,6.6,27.72,36.9,0,0,12903
ST0601,KHA,2026-08-18-03,4.81,0,0,95,5.66,33.19,29.41,0,0,11063
ST0602,KHA,2026-08-18-03,7.45,0,0,95,8.77,30.4,30.71,0,0,17135
ST0101,DBN,2026-08-18-04,7.23,0,0,95,8.51,34.64,38.26,0,0,16629
ST0102,DBN,2026-08-18-04,5.07,0,0,95,5.96,30.15,36.25,0,0,11661
ST0201,SLA,2026-08-18-04,4.04,0,0,95,4.75,32.13,31.7,0,0,9292
ST0202,SLA,2026-08-18-04,6.05,0,0,95,7.12,31.18,29.18,0,0,13915
ST0301,CMU,2026-08-18-04,3.88,0,0,95,4.56,27.99,33.95,0,0,8924
ST0302,CMU,2026-08-18-04,3.92,0,0,95,4.61,34.59,30.67,0,0,9016
ST0401,NBH,2026-08-18-04,3.39,0,0,95,3.99,34.41,31.06,0,0,7797
ST0402,NBH,2026-08-18-04,3.03,0,0,95,3.57,28.6,32.65,0,0,6969
ST0501,HCM,2026-08-18-04,5.97,0,0,95,7.02,32.94,36.81,0,0,13731
ST0502,HCM,2026-08-18-04,3.48,0,0,95,4.09,26.01,36.03,0,0,8004
ST0601,KHA,2026-08-18-04,3.31,0,0,95,3.89,31.67,37.23,0,0,7613
ST0602,KHA,2026-08-18-04,7.2,0,0,95,8.47,29.46,32.85,0,0,16560
ST0101,DBN,2026-08-18-05,5.65,0,0,95,6.65,34.26,36.31,0,0,12995
ST0102,DBN,2026-08-18-05,3.54,0,0,95,4.17,34.88,35.69,0,0,8142
ST0201,SLA,2026-08-18-05,4.96,0,0,95,5.83,30.09,35.02,0,0,11408
ST0202,SLA,2026-08-18-05,3.34,0,0,95,3.93,31.27,38.28,0,0,7682
ST0301,CMU,2026-08-18-05,4.54,0,0,95,5.34,26.79,38.35,0,0,10442
ST0302,CMU,2026-08-18-05,4.53,0,0,95,5.33,33.87,29.18,0,0,10419
ST0401,NBH,2026-08-18-05,5.62,0,0,95,6.61,27.31,36.85,0,0,12926
ST0402,NBH,2026-08-18-05,5.52,0,0,95,6.5,33.51,31.35,0,0,12696
ST0501,HCM,2026-08-18-05,4.25,0,0,95,5.0,28.9,33.39,0,0,9775
ST0502,HCM,2026-08-18-05,6.08,0,0,95,7.15,27.94,31.73,0,0,13984
ST0601,KHA,2026-08-18-05,6.44,0,0,95,7.58,25.56,38.03,0,0,14812
ST0602,KHA,2026-08-18-05,3.23,0,0,95,3.8,25.42,33.15,0,0,7429
ST0101,DBN,2026-08-18-06,6.47,0,0,95,7.61,34.42,29.14,0,0,14881
ST0102,DBN,2026-08-18-06,5.27,0,0,95,6.2,33.99,32.35,0,0,12121
ST0201,SLA,2026-08-18-06,6.0,0,0,95,7.06,27.71,36.42,0,0,13800
ST0202,SLA,2026-08-18-06,5.8,0,0,95,6.82,26.92,31.6,0,0,13340
ST0301,CMU,2026-08-18-06,3.09,0,0,95,3.64,33.17,30.75,0,0,7107
ST0302,CMU,2026-08-18-06,5.35,0,0,95,6.3,26.07,29.83,0,0,12305
ST0401,NBH,2026-08-18-06,6.69,0,0,95,7.87,33.22,33.04,0,0,15387
ST0402,NBH,2026-08-18-06,5.39,0,0,95,6.34,25.6,34.52,0,0,12397
ST0501,HCM,2026-08-18-06,3.19,0,0,95,3.75,30.82,35.16,0,0,7337
ST0502,HCM,2026-08-18-06,3.53,0,0,95,4.15,31.79,37.14,0,0,8119
ST0601,KHA,2026-08-18-06,6.88,0,0,95,8.1,32.59,33.78,0,0,15824
ST0602,KHA,2026-08-18-06,6.33,0,0,95,7.45,28.74,38.99,0,0,14559
ST0101,DBN,2026-08-18-07,6.86,0,0,95,8.07,26.59,37.16,0,0,15778
ST0102,DBN,2026-08-18-07,5.65,0,0,95,6.65,29.35,35.12,0,0,12995
ST0201,SLA,2026-08-18-07,5.1,0,0,95,6.0,26.09,34.77,0,0,11730
ST0202,SLA,2026-08-18-07,5.7,0,0,95,6.7,31.06,33.95,0,0,13110
ST0301,CMU,2026-08-18-07,4.02,0,0,95,4.73,33.9,29.22,0,0,9246
ST0302,CMU,2026-08-18-07,3.31,0,0,95,3.9,33.67,29.99,0,0,7613
ST0401,NBH,2026-08-18-07,3.54,0,0,95,4.17,30.33,38.32,0,0,8142
ST0402,NBH,2026-08-18-07,3.92,0,0,95,4.61,28.18,34.21,0,0,9016
ST0501,HCM,2026-08-18-07,5.72,0,0,95,6.73,31.06,37.29,0,0,13156
ST0502,HCM,2026-08-18-07,4.85,0,0,95,5.71,28.23,38.97,0,0,11155
ST0601,KHA,2026-08-18-07,5.82,0,0,95,6.85,27.12,34.12,0,0,13386
ST0602,KHA,2026-08-18-07,2.58,0,0,95,3.03,25.28,37.92,0,0,5934
ST0101,DBN,2026-08-18-08,5.56,0,0,95,6.54,29.92,32.73,0,0,12788
ST0102,DBN,2026-08-18-08,4.78,0,0,95,5.62,28.95,34.99,0,0,10994
ST0201,SLA,2026-08-18-08,5.65,0,0,95,6.65,32.67,32.48,0,0,12995
ST0202,SLA,2026-08-18-08,4.08,0,0,95,4.8,32.12,38.18,0,0,9384
ST0301,CMU,2026-08-18-08,3.26,0,0,95,3.83,25.8,38.36,0,0,7498
ST0302,CMU,2026-08-18-08,4.44,0,0,95,5.22,28.77,32.01,0,0,10212
ST0401,NBH,2026-08-18-08,4.3,0,0,95,5.06,27.38,34.58,0,0,9890
ST0402,NBH,2026-08-18-08,7.08,0,0,95,8.33,27.83,37.09,0,0,16284
ST0501,HCM,2026-08-18-08,3.82,0,0,95,4.49,32.58,36.12,0,0,8786
ST0502,HCM,2026-08-18-08,7.55,0,0,95,8.88,32.01,30.04,0,0,17365
ST0601,KHA,2026-08-18-08,3.7,0,0,95,4.35,27.2,30.94,0,0,8510
ST0602,KHA,2026-08-18-08,5.46,0,0,95,6.42,26.84,38.46,0,0,12558
ST0101,DBN,2026-08-18-09,5.47,0,0,95,6.44,33.67,36.57,0,0,12581
ST0102,DBN,2026-08-18-09,5.77,0,0,95,6.79,27.74,33.44,0,0,13271
ST0201,SLA,2026-08-18-09,3.96,0,0,95,4.66,25.1,31.94,0,0,9108
ST0202,SLA,2026-08-18-09,4.89,0,0,95,5.75,29.34,37.82,0,0,11247
ST0301,CMU,2026-08-18-09,7.17,0,0,95,8.43,31.52,32.99,0,0,16491
ST0302,CMU,2026-08-18-09,3.13,0,0,95,3.68,28.68,30.54,0,0,7199
ST0401,NBH,2026-08-18-09,2.8,0,0,95,3.29,27.63,32.93,0,0,6440
ST0402,NBH,2026-08-18-09,5.06,0,0,95,5.95,32.77,38.97,0,0,11638
ST0501,HCM,2026-08-18-09,5.03,0,0,95,5.92,27.68,38.47,0,0,11569
ST0502,HCM,2026-08-18-09,4.35,0,0,95,5.12,29.83,32.44,0,0,10005
ST0601,KHA,2026-08-18-09,3.29,0,0,95,3.87,28.72,33.18,0,0,7567
ST0602,KHA,2026-08-18-09,3.61,0,0,95,4.25,31.13,35.77,0,0,8303
ST0101,DBN,2026-08-18-10,5.75,0,0,95,6.77,33.7,30.07,0,0,13225
ST0102,DBN,2026-08-18-10,4.8,0,0,95,5.65,32.36,30.97,0,0,11040
ST0201,SLA,2026-08-18-10,6.84,0,0,95,8.05,28.05,32.59,0,0,15732
ST0202,SLA,2026-08-18-10,6.5,0,0,95,7.65,34.18,30.66,0,0,14950
ST0301,CMU,2026-08-18-10,5.32,0,0,95,6.26,32.63,38.11,0,0,12236
ST0302,CMU,2026-08-18-10,6.73,0,0,95,7.92,26.19,31.42,0,0,15479
ST0401,NBH,2026-08-18-10,4.25,0,0,95,5.0,29.37,37.04,0,0,9775
ST0402,NBH,2026-08-18-10,2.83,0,0,95,3.33,33.16,31.27,0,0,6509
ST0501,HCM,2026-08-18-10,5.96,0,0,95,7.01,32.39,38.98,0,0,13708
ST0502,HCM,2026-08-18-10,6.5,0,0,95,7.65,34.94,33.65,0,0,14950
ST0601,KHA,2026-08-18-10,6.1,0,0,95,7.18,30.49,32.78,0,0,14030
ST0602,KHA,2026-08-18-10,2.59,0,0,95,3.05,28.07,29.47,0,0,5957
ST0101,DBN,2026-08-18-11,4.7,0,0,95,5.53,34.0,37.63,0,0,10810
ST0102,DBN,2026-08-18-11,7.42,0,0,95,8.73,34.35,33.01,0,0,17066
ST0201,SLA,2026-08-18-11,7.37,0,0,95,8.67,26.64,32.77,0,0,16951
ST0202,SLA,2026-08-18-11,4.79,0,0,95,5.64,30.46,36.23,0,0,11017
ST0301,CMU,2026-08-18-11,2.83,0,0,95,3.33,31.73,29.83,0,0,6509
ST0302,CMU,2026-08-18-11,6.54,0,0,95,7.7,28.29,30.81,0,0,15042
ST0401,NBH,2026-08-18-11,3.18,0,0,95,3.74,29.93,31.56,0,0,7314
ST0402,NBH,2026-08-18-11,7.59,0,0,95,8.93,25.01,37.03,0,0,17457
ST0501,HCM,2026-08-18-11,2.76,0,0,95,3.25,27.56,32.15,0,0,6348
ST0502,HCM,2026-08-18-11,5.88,0,0,95,6.92,28.58,37.04,0,0,13524
ST0601,KHA,2026-08-18-11,6.87,0,0,95,8.08,33.81,34.47,0,0,15801
ST0602,KHA,2026-08-18-11,6.27,0,0,95,7.38,26.59,34.98,0,0,14421
ST0101,DBN,2026-08-18-12,3.65,0,0,95,4.3,28.99,30.79,0,0,8395
ST0102,DBN,2026-08-18-12,7.48,0,0,95,8.8,26.9,30.08,0,0,17204
ST0201,SLA,2026-08-18-12,6.6,0,0,95,7.76,34.95,30.9,0,0,15180
ST0202,SLA,2026-08-18-12,7.32,0,0,95,8.61,33.77,30.46,0,0,16836
ST0301,CMU,2026-08-18-12,6.13,0,0,95,7.21,27.63,35.52,0,0,14099
ST0302,CMU,2026-08-18-12,4.35,0,0,95,5.12,34.12,38.37,0,0,10005
ST0401,NBH,2026-08-18-12,7.11,0,0,95,8.36,28.38,35.2,0,0,16353
ST0402,NBH,2026-08-18-12,4.67,0,0,95,5.5,25.6,37.19,0,0,10741
ST0501,HCM,2026-08-18-12,3.89,0,0,95,4.58,25.24,38.26,0,0,8947
ST0502,HCM,2026-08-18-12,4.79,0,0,95,5.63,25.22,36.36,0,0,11017
ST0601,KHA,2026-08-18-12,4.89,0,0,95,5.75,30.67,30.48,0,0,11247
ST0602,KHA,2026-08-18-12,3.45,0,0,95,4.06,32.57,35.36,0,0,7935
ST0101,DBN,2026-08-18-13,2.63,0,0,95,3.09,25.34,29.34,0,0,6049
ST0102,DBN,2026-08-18-13,4.11,0,0,95,4.83,25.31,38.92,0,0,9453
ST0201,SLA,2026-08-18-13,4.28,0,0,95,5.04,25.49,36.4,0,0,9844
ST0202,SLA,2026-08-18-13,3.53,0,0,95,4.15,27.65,32.62,0,0,8119
ST0301,CMU,2026-08-18-13,6.56,0,0,95,7.72,26.42,29.22,0,0,15088
ST0302,CMU,2026-08-18-13,6.09,0,0,95,7.16,27.6,32.93,0,0,14007
ST0401,NBH,2026-08-18-13,2.63,0,0,95,3.1,33.86,29.88,0,0,6049
ST0402,NBH,2026-08-18-13,5.97,0,0,95,7.02,31.86,31.76,0,0,13731
ST0501,HCM,2026-08-18-13,3.16,0,0,95,3.72,30.66,38.85,0,0,7268
ST0502,HCM,2026-08-18-13,4.09,0,0,95,4.81,25.23,30.66,0,0,9407
ST0601,KHA,2026-08-18-13,7.11,0,0,95,8.36,29.54,33.25,0,0,16353
ST0602,KHA,2026-08-18-13,6.6,0,0,95,7.76,30.37,35.34,0,0,15180
ST0101,DBN,2026-08-18-14,7.28,0,0,95,8.57,33.49,36.85,0,0,16744
ST0102,DBN,2026-08-18-14,4.86,0,0,95,5.72,30.97,37.38,0,0,11178
ST0201,SLA,2026-08-18-14,5.92,0,0,95,6.97,27.78,37.07,0,0,13616
ST0202,SLA,2026-08-18-14,6.16,0,0,95,7.25,31.08,38.04,0,0,14168
ST0301,CMU,2026-08-18-14,5.68,0,0,95,6.68,26.4,32.01,0,0,13064
ST0302,CMU,2026-08-18-14,3.19,0,0,95,3.75,27.44,35.07,0,0,7337
ST0401,NBH,2026-08-18-14,6.64,0,0,95,7.81,30.48,38.17,0,0,15272
ST0402,NBH,2026-08-18-14,3.71,0,0,95,4.37,32.97,33.95,0,0,8533
ST0501,HCM,2026-08-18-14,4.8,0,0,95,5.65,32.58,37.61,0,0,11040
ST0502,HCM,2026-08-18-14,5.07,0,0,95,5.96,28.12,29.72,0,0,11661
ST0601,KHA,2026-08-18-14,4.92,0,0,95,5.79,29.54,32.89,0,0,11316
ST0602,KHA,2026-08-18-14,2.79,0,0,95,3.28,26.12,31.8,0,0,6417
ST0101,DBN,2026-08-18-15,3.28,0,0,95,3.86,26.06,29.2,0,0,7544
ST0102,DBN,2026-08-18-15,3.36,0,0,95,3.95,34.7,33.99,0,0,7728
ST0201,SLA,2026-08-18-15,5.34,0,0,95,6.28,27.91,37.75,0,0,12282
ST0202,SLA,2026-08-18-15,3.32,0,0,95,3.91,29.57,38.24,0,0,7636
ST0301,CMU,2026-08-18-15,2.93,0,0,95,3.45,33.05,35.29,0,0,6739
ST0302,CMU,2026-08-18-15,6.93,0,0,95,8.15,31.66,37.93,0,0,15939
ST0401,NBH,2026-08-18-15,7.62,0,0,95,8.97,26.53,35.86,0,0,17526
ST0402,NBH,2026-08-18-15,5.75,0,0,95,6.76,34.07,32.87,0,0,13225
ST0501,HCM,2026-08-18-15,3.6,0,0,95,4.24,32.48,34.29,0,0,8280
ST0502,HCM,2026-08-18-15,2.99,0,0,95,3.52,30.68,36.74,0,0,6877
ST0601,KHA,2026-08-18-15,7.28,0,0,95,8.56,34.18,38.24,0,0,16744
ST0602,KHA,2026-08-18-15,5.16,0,0,95,6.07,29.76,33.54,0,0,11868
ST0101,DBN,2026-08-18-16,5.75,0,0,95,6.76,33.73,31.31,0,0,13225
ST0102,DBN,2026-08-18-16,7.08,0,0,95,8.33,33.89,37.76,0,0,16284
ST0201,SLA,2026-08-18-16,5.79,0,0,95,6.81,32.76,37.96,0,0,13317
ST0202,SLA,2026-08-18-16,4.31,0,0,95,5.07,30.71,29.38,0,0,9913
ST0301,CMU,2026-08-18-16,5.08,0,0,95,5.98,33.99,29.08,0,0,11684
ST0302,CMU,2026-08-18-16,5.41,0,0,95,6.37,34.66,36.71,0,0,12443
ST0401,NBH,2026-08-18-16,2.99,0,0,95,3.52,28.14,37.51,0,0,6877
ST0402,NBH,2026-08-18-16,6.43,0,0,95,7.56,29.62,29.01,0,0,14789
ST0501,HCM,2026-08-18-16,3.01,0,0,95,3.54,30.92,31.18,0,0,6923
ST0502,HCM,2026-08-18-16,3.44,0,0,95,4.05,25.63,32.84,0,0,7912
ST0601,KHA,2026-08-18-16,4.19,0,0,95,4.93,27.74,30.65,0,0,9637
ST0602,KHA,2026-08-18-16,4.33,0,0,95,5.09,33.44,33.7,0,0,9959
ST0101,DBN,2026-08-18-17,6.88,0,0,95,8.1,28.81,35.03,0,0,15824
ST0102,DBN,2026-08-18-17,4.24,0,0,95,4.99,32.41,37.64,0,0,9752
ST0201,SLA,2026-08-18-17,7.17,0,0,95,8.43,29.49,37.05,0,0,16491
ST0202,SLA,2026-08-18-17,5.34,0,0,95,6.28,28.37,36.6,0,0,12282
ST0301,CMU,2026-08-18-17,3.07,0,0,95,3.61,30.29,38.94,0,0,7061
ST0302,CMU,2026-08-18-17,6.95,0,0,95,8.18,34.58,32.2,0,0,15985
ST0401,NBH,2026-08-18-17,6.03,0,0,95,7.09,32.35,35.16,0,0,13869
ST0402,NBH,2026-08-18-17,3.59,0,0,95,4.22,32.76,36.26,0,0,8257
ST0501,HCM,2026-08-18-17,4.93,0,0,95,5.8,25.3,37.9,0,0,11339
ST0502,HCM,2026-08-18-17,6.47,0,0,95,7.61,26.65,37.45,0,0,14881
ST0601,KHA,2026-08-18-17,6.5,0,0,95,7.65,25.08,34.63,0,0,14950
ST0602,KHA,2026-08-18-17,5.32,0,0,95,6.26,27.48,38.33,0,0,12236
ST0101,DBN,2026-08-18-18,9.27,0,0,95,10.9,33.49,36.37,0,0,21321
ST0102,DBN,2026-08-18-18,8.34,0,0,95,9.81,29.68,29.74,0,0,19182
ST0201,SLA,2026-08-18-18,6.89,0,0,95,8.11,34.91,31.63,0,0,15847
ST0202,SLA,2026-08-18-18,8.94,0,0,95,10.52,31.37,34.51,0,0,20562
ST0301,CMU,2026-08-18-18,10.51,0,0,95,12.36,27.11,37.22,0,0,24173
ST0302,CMU,2026-08-18-18,5.44,0,0,95,6.4,33.63,30.54,0,0,12512
ST0401,NBH,2026-08-18-18,8.82,0,0,95,10.38,28.05,34.59,0,0,20286
ST0402,NBH,2026-08-18-18,9.2,0,0,95,10.82,29.13,32.84,0,0,21160
ST0501,HCM,2026-08-18-18,9.7,0,0,95,11.41,30.87,37.75,0,0,22310
ST0502,HCM,2026-08-18-18,5.03,0,0,95,5.92,31.06,33.63,0,0,11569
ST0601,KHA,2026-08-18-18,7.71,0,0,95,9.07,31.38,31.34,0,0,17733
ST0602,KHA,2026-08-18-18,5.46,0,0,95,6.42,32.89,29.84,0,0,12558
ST0101,DBN,2026-08-18-19,9.94,0,0,95,11.7,26.99,38.13,0,0,22862
ST0102,DBN,2026-08-18-19,8.97,0,0,95,10.55,31.98,29.23,0,0,20631
ST0201,SLA,2026-08-18-19,10.13,0,0,95,11.92,26.47,35.82,0,0,23299
ST0202,SLA,2026-08-18-19,6.02,0,0,95,7.08,28.27,33.75,0,0,13846
ST0301,CMU,2026-08-18-19,10.34,0,0,95,12.16,31.92,34.89,0,0,23782
ST0302,CMU,2026-08-18-19,3.97,0,0,95,4.67,30.74,37.78,0,0,9131
ST0401,NBH,2026-08-18-19,5.23,0,0,95,6.15,32.56,33.79,0,0,12029
ST0402,NBH,2026-08-18-19,7.47,0,0,95,8.79,30.93,37.68,0,0,17181
ST0501,HCM,2026-08-18-19,4.66,0,0,95,5.48,31.25,30.71,0,0,10718
ST0502,HCM,2026-08-18-19,9.43,0,0,95,11.1,25.18,34.43,0,0,21689
ST0601,KHA,2026-08-18-19,10.6,0,0,95,12.47,29.14,33.76,0,0,24380
ST0602,KHA,2026-08-18-19,10.0,0,0,95,11.76,26.71,34.19,0,0,23000
ST0101,DBN,2026-08-18-20,7.45,0,0,95,8.77,34.41,34.32,0,0,17135
ST0102,DBN,2026-08-18-20,9.41,0,0,95,11.07,27.21,32.33,0,0,21643
ST0201,SLA,2026-08-18-20,4.97,0,0,95,5.85,33.65,36.64,0,0,11431
ST0202,SLA,2026-08-18-20,7.25,0,0,95,8.53,25.76,29.19,0,0,16675
ST0301,CMU,2026-08-18-20,8.79,0,0,95,10.34,34.87,37.08,0,0,20217
ST0302,CMU,2026-08-18-20,8.61,0,0,95,10.13,33.55,32.9,0,0,19803
ST0401,NBH,2026-08-18-20,4.62,0,0,95,5.43,32.89,35.96,0,0,10626
ST0402,NBH,2026-08-18-20,4.4,0,0,95,5.18,25.93,31.86,0,0,10120
ST0501,HCM,2026-08-18-20,5.43,0,0,95,6.39,30.61,30.97,0,0,12489
ST0502,HCM,2026-08-18-20,9.26,0,0,95,10.89,34.58,36.98,0,0,21298
ST0601,KHA,2026-08-18-20,8.88,0,0,95,10.45,28.19,37.12,0,0,20424
ST0602,KHA,2026-08-18-20,9.21,0,0,95,10.83,31.74,36.71,0,0,21183
ST0101,DBN,2026-08-18-21,7.92,0,0,95,9.32,29.04,35.96,0,0,18216
ST0102,DBN,2026-08-18-21,6.14,0,0,95,7.22,33.01,38.45,0,0,14122
ST0201,SLA,2026-08-18-21,6.96,0,0,95,8.19,33.03,37.9,0,0,16008
ST0202,SLA,2026-08-18-21,8.66,0,0,95,10.19,34.66,30.54,0,0,19918
ST0301,CMU,2026-08-18-21,6.39,0,0,95,7.52,29.48,38.77,0,0,14697
ST0302,CMU,2026-08-18-21,8.34,0,0,95,9.81,32.88,36.67,0,0,19182
ST0401,NBH,2026-08-18-21,5.52,0,0,95,6.5,34.1,37.3,0,0,12696
ST0402,NBH,2026-08-18-21,10.51,0,0,95,12.37,30.3,36.06,0,0,24173
ST0501,HCM,2026-08-18-21,3.81,0,0,95,4.48,32.93,31.35,0,0,8763
ST0502,HCM,2026-08-18-21,10.31,0,0,95,12.13,29.16,37.31,0,0,23713
ST0601,KHA,2026-08-18-21,10.27,0,0,95,12.08,28.81,34.04,0,0,23621
ST0602,KHA,2026-08-18-21,10.31,0,0,95,12.13,25.61,34.84,0,0,23713
ST0101,DBN,2026-08-18-22,5.08,0,0,95,5.98,32.13,38.13,0,0,11684
ST0102,DBN,2026-08-18-22,4.51,0,0,95,5.31,28.46,35.68,0,0,10373
ST0201,SLA,2026-08-18-22,7.51,0,0,95,8.84,25.42,33.91,0,0,17273
ST0202,SLA,2026-08-18-22,10.28,0,0,95,12.09,30.74,36.03,0,0,23644
ST0301,CMU,2026-08-18-22,9.27,0,0,95,10.91,33.64,30.52,0,0,21321
ST0302,CMU,2026-08-18-22,9.92,0,0,95,11.67,25.16,37.5,0,0,22816
ST0401,NBH,2026-08-18-22,8.51,0,0,95,10.01,29.63,32.53,0,0,19573
ST0402,NBH,2026-08-18-22,4.85,0,0,95,5.71,26.96,31.96,0,0,11155
ST0501,HCM,2026-08-18-22,4.63,0,0,95,5.45,29.26,35.75,0,0,10649
ST0502,HCM,2026-08-18-22,9.96,0,0,95,11.72,34.75,30.64,0,0,22908
ST0601,KHA,2026-08-18-22,4.25,0,0,95,5.0,26.78,35.63,0,0,9775
ST0602,KHA,2026-08-18-22,6.66,0,0,95,7.84,26.03,32.05,0,0,15318
ST0101,DBN,2026-08-18-23,3.48,0,0,95,4.1,25.89,33.8,0,0,8004
ST0102,DBN,2026-08-18-23,3.57,0,0,95,4.2,29.68,31.07,0,0,8211
ST0201,SLA,2026-08-18-23,4.17,0,0,95,4.9,26.84,29.14,0,0,9591
ST0202,SLA,2026-08-18-23,2.9,0,0,95,3.41,28.62,30.96,0,0,6670
ST0301,CMU,2026-08-18-23,5.43,0,0,95,6.39,25.84,30.98,0,0,12489
ST0302,CMU,2026-08-18-23,2.57,0,0,95,3.02,28.36,31.8,0,0,5911
ST0401,NBH,2026-08-18-23,6.36,0,0,95,7.48,25.23,36.14,0,0,14628
ST0402,NBH,2026-08-18-23,5.64,0,0,95,6.64,34.09,31.72,0,0,12972
ST0501,HCM,2026-08-18-23,3.11,0,0,95,3.66,33.97,30.74,0,0,7153
ST0502,HCM,2026-08-18-23,5.38,0,0,95,6.33,33.69,30.42,0,0,12374
ST0601,KHA,2026-08-18-23,2.92,0,0,95,3.43,26.48,36.02,0,0,6716
ST0602,KHA,2026-08-18-23,2.88,0,0,95,3.39,28.02,36.34,0,0,6624
ST0101,DBN,2026-08-19-00,6.07,0,0,95,7.14,29.85,32.64,0,0,13961
ST0102,DBN,2026-08-19-00,6.5,0,0,95,7.65,34.36,34.48,0,0,14950
ST0201,SLA,2026-08-19-00,5.96,0,0,95,7.01,27.36,38.46,0,0,13708
ST0202,SLA,2026-08-19-00,7.59,0,0,95,8.93,25.93,33.96,0,0,17457
ST0301,CMU,2026-08-19-00,4.71,0,0,95,5.54,34.38,32.59,0,0,10833
ST0302,CMU,2026-08-19-00,6.07,0,0,95,7.14,32.01,36.15,0,0,13961
