meter_reading_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-METER_READING_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,58.91,index,valid,synthetic_energy,7.22,0,7.22,16606
ENERGY-METER_READING_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,73.38,index,valid,synthetic_energy,4.79,0,4.79,11017
ENERGY-METER_READING_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,36.99,index,valid,synthetic_energy,3.58,0,3.58,8234
ENERGY-METER_READING_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,75.4,index,valid,synthetic_energy,7.61,0,7.61,17503
ENERGY-METER_READING_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,64.67,index,valid,synthetic_energy,7.45,0,7.45,17135
ENERGY-METER_READING_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,40.28,index,valid,synthetic_energy,7.68,0,7.68,17664
ENERGY-METER_READING_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,38.15,index,valid,synthetic_energy,4.7,0,4.7,10810
ENERGY-METER_READING_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,75.24,index,valid,synthetic_energy,5.75,0,5.75,13225
ENERGY-METER_READING_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,60.37,index,valid,synthetic_energy,5.2,0,5.2,11960
ENERGY-METER_READING_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,45.03,index,valid,synthetic_energy,7.74,0,7.74,17802
ENERGY-METER_READING_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,40.9,index,valid,synthetic_energy,5.32,0,5.32,12236
ENERGY-METER_READING_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,73.26,index,valid,synthetic_energy,5.12,0,5.12,11776
ENERGY-METER_READING_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,71.77,index,valid,synthetic_energy,5.32,0,5.32,12236
ENERGY-METER_READING_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,81.47,index,valid,synthetic_energy,5.86,0,5.86,13478
ENERGY-METER_READING_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,66.2,index,valid,synthetic_energy,3.0,0,3.0,6900
ENERGY-METER_READING_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,74.38,index,valid,synthetic_energy,3.55,0,3.55,8165
ENERGY-METER_READING_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,72.91,index,valid,synthetic_energy,3.57,0,3.57,8211
ENERGY-METER_READING_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,75.71,index,valid,synthetic_energy,7.97,0,7.97,18331
ENERGY-METER_READING_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,70.76,index,valid,synthetic_energy,5.98,0,5.98,13754
ENERGY-METER_READING_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,57.53,index,valid,synthetic_energy,4.53,0,4.53,10419
ENERGY-METER_READING_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,60.91,index,valid,synthetic_energy,5.48,0,5.48,12604
ENERGY-METER_READING_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,15.64,index,valid,synthetic_energy,4.05,0,4.05,9315
ENERGY-METER_READING_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,55.32,index,valid,synthetic_energy,3.25,0,3.25,7475
ENERGY-METER_READING_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,30.4,index,valid,synthetic_energy,5.0,0,5.0,11500
ENERGY-METER_READING_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,16.13,index,valid,synthetic_energy,7.39,0,7.39,16997
ENERGY-METER_READING_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,17.54,index,valid,synthetic_energy,6.92,0,6.92,15916
ENERGY-METER_READING_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,36.01,index,valid,synthetic_energy,7.23,0,7.23,16629
ENERGY-METER_READING_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,57.09,index,valid,synthetic_energy,3.88,0,3.88,8924
ENERGY-METER_READING_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,32.72,index,valid,synthetic_energy,6.08,0,6.08,13984
ENERGY-METER_READING_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,39.85,index,valid,synthetic_energy,5.89,0,5.89,13547
ENERGY-METER_READING_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,48.21,index,valid,synthetic_energy,6.79,0,6.79,15617
ENERGY-METER_READING_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,61.93,index,valid,synthetic_energy,6.59,0,6.59,15157
ENERGY-METER_READING_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,45.99,index,valid,synthetic_energy,7.39,0,7.39,16997
ENERGY-METER_READING_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,71.76,index,valid,synthetic_energy,6.94,0,6.94,15962
ENERGY-METER_READING_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,79.64,index,valid,synthetic_energy,7.23,0,7.23,16629
ENERGY-METER_READING_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,27.89,index,valid,synthetic_energy,7.87,0,7.87,18101
ENERGY-METER_READING_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,44.32,index,valid,synthetic_energy,6.6,0,6.6,15180
ENERGY-METER_READING_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,25.24,index,valid,synthetic_energy,7.91,0,7.91,18193
ENERGY-METER_READING_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,50.42,index,valid,synthetic_energy,5.57,0,5.57,12811
ENERGY-METER_READING_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,66.72,index,valid,synthetic_energy,7.84,0,7.84,18032
ENERGY-METER_READING_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,78.86,index,valid,synthetic_energy,3.14,0,3.14,7222
ENERGY-METER_READING_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,21.96,index,valid,synthetic_energy,3.01,0,3.01,6923
ENERGY-METER_READING_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,35.01,index,valid,synthetic_energy,4.66,0,4.66,10718
ENERGY-METER_READING_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,43.22,index,valid,synthetic_energy,5.83,0,5.83,13409
ENERGY-METER_READING_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,47.99,index,valid,synthetic_energy,6.0,0,6.0,13800
ENERGY-METER_READING_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,54.86,index,valid,synthetic_energy,4.88,0,4.88,11224
ENERGY-METER_READING_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,69.51,index,valid,synthetic_energy,5.31,0,5.31,12213
ENERGY-METER_READING_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,39.99,index,valid,synthetic_energy,4.06,0,4.06,9338
ENERGY-METER_READING_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,47.64,index,valid,synthetic_energy,4.54,0,4.54,10442
ENERGY-METER_READING_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,15.42,index,valid,synthetic_energy,5.69,0,5.69,13087
ENERGY-METER_READING_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,71.34,index,valid,synthetic_energy,5.37,0,5.37,12351
ENERGY-METER_READING_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,74.87,index,valid,synthetic_energy,3.1,0,3.1,7130
ENERGY-METER_READING_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,39.57,index,valid,synthetic_energy,5.81,0,5.81,13363
ENERGY-METER_READING_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,58.92,index,valid,synthetic_energy,5.84,0,5.84,13432
ENERGY-METER_READING_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,36.96,index,valid,synthetic_energy,3.38,0,3.38,7774
ENERGY-METER_READING_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,43.5,index,valid,synthetic_energy,3.3,0,3.3,7590
ENERGY-METER_READING_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,26.1,index,valid,synthetic_energy,6.61,0,6.61,15203
ENERGY-METER_READING_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,45.15,index,valid,synthetic_energy,4.07,0,4.07,9361
ENERGY-METER_READING_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,38.95,index,valid,synthetic_energy,4.88,0,4.88,11224
ENERGY-METER_READING_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,82.35,index,valid,synthetic_energy,7.11,0,7.11,16353
ENERGY-METER_READING_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,67.53,index,valid,synthetic_energy,7.68,0,7.68,17664
ENERGY-METER_READING_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,32.01,index,valid,synthetic_energy,3.88,0,3.88,8924
ENERGY-METER_READING_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,57.7,index,valid,synthetic_energy,6.38,0,6.38,14674
ENERGY-METER_READING_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,55.82,index,valid,synthetic_energy,5.96,0,5.96,13708
ENERGY-METER_READING_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,60.81,index,valid,synthetic_energy,7.71,0,7.71,17733
ENERGY-METER_READING_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,27.72,index,valid,synthetic_energy,4.7,0,4.7,10810
ENERGY-METER_READING_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,32.35,index,valid,synthetic_energy,3.03,0,3.03,6969
ENERGY-METER_READING_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,39.46,index,valid,synthetic_energy,5.27,0,5.27,12121
ENERGY-METER_READING_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,24.76,index,valid,synthetic_energy,6.63,0,6.63,15249
ENERGY-METER_READING_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,75.77,index,valid,synthetic_energy,5.92,0,5.92,13616
ENERGY-METER_READING_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,81.36,index,valid,synthetic_energy,6.52,0,6.52,14996
ENERGY-METER_READING_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,44.7,index,valid,synthetic_energy,4.24,0,4.24,9752
ENERGY-METER_READING_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,72.4,index,valid,synthetic_energy,5.46,0,5.46,12558
ENERGY-METER_READING_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,55.67,index,valid,synthetic_energy,3.63,0,3.63,8349
ENERGY-METER_READING_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,32.12,index,valid,synthetic_energy,3.22,0,3.22,7406
ENERGY-METER_READING_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,71.43,index,valid,synthetic_energy,4.59,0,4.59,10557
ENERGY-METER_READING_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,72.79,index,valid,synthetic_energy,6.05,0,6.05,13915
ENERGY-METER_READING_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,74.19,index,valid,synthetic_energy,3.97,0,3.97,9131
ENERGY-METER_READING_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,70.37,index,valid,synthetic_energy,6.93,0,6.93,15939
ENERGY-METER_READING_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,63.67,index,valid,synthetic_energy,5.75,0,5.75,13225
ENERGY-METER_READING_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,115.34,index,degraded,synthetic_energy,5.12,2,7.12,19776
ENERGY-METER_READING_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,18.72,index,valid,synthetic_energy,4.29,0,4.29,9867
ENERGY-METER_READING_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,44.97,index,valid,synthetic_energy,3.43,0,3.43,7889
ENERGY-METER_READING_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,17.22,index,valid,synthetic_energy,4.31,0,4.31,9913
ENERGY-METER_READING_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,43.99,index,valid,synthetic_energy,6.45,0,6.45,14835
ENERGY-METER_READING_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,59.98,index,valid,synthetic_energy,6.34,0,6.34,14582
ENERGY-METER_READING_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,48.37,index,valid,synthetic_energy,4.23,0,4.23,9729
ENERGY-METER_READING_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,23.81,index,valid,synthetic_energy,3.84,0,3.84,8832
ENERGY-METER_READING_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,57.08,index,valid,synthetic_energy,7.48,0,7.48,17204
ENERGY-METER_READING_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,42.69,index,valid,synthetic_energy,7.34,0,7.34,16882
ENERGY-METER_READING_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,76.54,index,valid,synthetic_energy,3.83,0,3.83,8809
ENERGY-METER_READING_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,34.13,index,valid,synthetic_energy,3.31,0,3.31,7613
ENERGY-METER_READING_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,78.32,index,valid,synthetic_energy,6.01,0,6.01,13823
ENERGY-METER_READING_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,77.82,index,valid,synthetic_energy,3.22,0,3.22,7406
ENERGY-METER_READING_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,39.61,index,valid,synthetic_energy,4.19,0,4.19,9637
ENERGY-METER_READING_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,68.01,index,valid,synthetic_energy,3.92,0,3.92,9016
ENERGY-METER_READING_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,58.02,index,valid,synthetic_energy,4.55,0,4.55,10465
ENERGY-METER_READING_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,20.37,index,valid,synthetic_energy,4.63,0,4.63,10649
ENERGY-METER_READING_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,22.48,index,valid,synthetic_energy,5.48,0,5.48,12604
ENERGY-METER_READING_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,60.93,index,valid,synthetic_energy,4.32,0,4.32,9936
ENERGY-METER_READING_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,53.6,index,valid,synthetic_energy,6.39,0,6.39,14697
ENERGY-METER_READING_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,55.67,index,valid,synthetic_energy,4.79,0,4.79,11017
ENERGY-METER_READING_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,35.9,index,valid,synthetic_energy,6.23,0,6.23,14329
ENERGY-METER_READING_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,17.52,index,valid,synthetic_energy,6.63,0,6.63,15249
ENERGY-METER_READING_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,57.6,index,valid,synthetic_energy,7.18,0,7.18,16514
ENERGY-METER_READING_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,77.07,index,valid,synthetic_energy,5.59,0,5.59,12857
ENERGY-METER_READING_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,60.4,index,valid,synthetic_energy,6.22,0,6.22,14306
ENERGY-METER_READING_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,65.43,index,valid,synthetic_energy,3.39,0,3.39,7797
ENERGY-METER_READING_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,61.31,index,valid,synthetic_energy,4.43,0,4.43,10189
ENERGY-METER_READING_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,21.56,index,valid,synthetic_energy,5.49,0,5.49,12627
ENERGY-METER_READING_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,35.98,index,valid,synthetic_energy,5.85,0,5.85,13455
ENERGY-METER_READING_HOURLY-02-04,ST0301,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,59.61,index,valid,synthetic_energy,4.1,0,4.1,9430
ENERGY-METER_READING_HOURLY-02-05,ST0301,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,43.61,index,valid,synthetic_energy,4.2,0,4.2,9660
ENERGY-METER_READING_HOURLY-02-06,ST0301,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,23.98,index,valid,synthetic_energy,6.56,0,6.56,15088
ENERGY-METER_READING_HOURLY-02-07,ST0301,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,72.44,index,valid,synthetic_energy,6.43,0,6.43,14789
ENERGY-METER_READING_HOURLY-02-08,ST0301,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,82.54,index,valid,synthetic_energy,4.92,0,4.92,11316
ENERGY-METER_READING_HOURLY-02-09,ST0301,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,29.49,index,valid,synthetic_energy,3.94,0,3.94,9062
ENERGY-METER_READING_HOURLY-02-10,ST0301,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,77.77,index,valid,synthetic_energy,6.23,0,6.23,14329
