power_outage_event_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-POWER_OUTAGE_EVENT-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,4.03,0,4.03,9269
ENERGY-POWER_OUTAGE_EVENT-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,POWER_OUTAGE_EVENT,major,failed,3600,synthetic_energy,4.41,2,6.41,18143
ENERGY-POWER_OUTAGE_EVENT-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,7.43,0,7.43,17089
ENERGY-POWER_OUTAGE_EVENT-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,4.27,0,4.27,9821
ENERGY-POWER_OUTAGE_EVENT-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,4.12,0,4.12,9476
ENERGY-POWER_OUTAGE_EVENT-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,5.72,0,5.72,13156
ENERGY-POWER_OUTAGE_EVENT-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,7.57,0,7.57,17411
ENERGY-POWER_OUTAGE_EVENT-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,5.15,0,5.15,11845
ENERGY-POWER_OUTAGE_EVENT-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,6.89,0,6.89,15847
ENERGY-POWER_OUTAGE_EVENT-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,5.44,0,5.44,12512
ENERGY-POWER_OUTAGE_EVENT-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,6.31,0,6.31,14513
ENERGY-POWER_OUTAGE_EVENT-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,4.22,0,4.22,9706
ENERGY-POWER_OUTAGE_EVENT-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,5.04,0,5.04,11592
ENERGY-POWER_OUTAGE_EVENT-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,6.95,0,6.95,15985
ENERGY-POWER_OUTAGE_EVENT-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,4.4,0,4.4,10120
ENERGY-POWER_OUTAGE_EVENT-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,3.09,0,3.09,7107
ENERGY-POWER_OUTAGE_EVENT-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,7.76,0,7.76,17848
ENERGY-POWER_OUTAGE_EVENT-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,3.79,0,3.79,8717
ENERGY-POWER_OUTAGE_EVENT-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,6.48,0,6.48,14904
ENERGY-POWER_OUTAGE_EVENT-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,6.34,0,6.34,14582
ENERGY-POWER_OUTAGE_EVENT-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,5.92,0,5.92,13616
ENERGY-POWER_OUTAGE_EVENT-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,6.3,0,6.3,14490
ENERGY-POWER_OUTAGE_EVENT-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,5.21,0,5.21,11983
ENERGY-POWER_OUTAGE_EVENT-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,7.87,0,7.87,18101
ENERGY-POWER_OUTAGE_EVENT-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,5.53,0,5.53,12719
ENERGY-POWER_OUTAGE_EVENT-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,6.98,0,6.98,16054
ENERGY-POWER_OUTAGE_EVENT-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,4.32,0,4.32,9936
ENERGY-POWER_OUTAGE_EVENT-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,3.96,0,3.96,9108
ENERGY-POWER_OUTAGE_EVENT-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,5.35,0,5.35,12305
ENERGY-POWER_OUTAGE_EVENT-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,4.96,0,4.96,11408
ENERGY-POWER_OUTAGE_EVENT-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,4.17,0,4.17,9591
ENERGY-POWER_OUTAGE_EVENT-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,7.75,0,7.75,17825
ENERGY-POWER_OUTAGE_EVENT-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,6.92,0,6.92,15916
ENERGY-POWER_OUTAGE_EVENT-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,3.8,0,3.8,8740
ENERGY-POWER_OUTAGE_EVENT-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,7.91,0,7.91,18193
ENERGY-POWER_OUTAGE_EVENT-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,POWER_OUTAGE_EVENT,info,success,60,synthetic_energy,7.71,0,7.71,17733
