grid_supply_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-GRID_SUPPLY_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,40.88,index,valid,synthetic_energy,6.79,0,6.79,15617
ENERGY-GRID_SUPPLY_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,66.92,index,valid,synthetic_energy,4.13,0,4.13,9499
ENERGY-GRID_SUPPLY_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,73.34,index,valid,synthetic_energy,3.34,0,3.34,7682
ENERGY-GRID_SUPPLY_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,32.9,index,valid,synthetic_energy,7.93,0,7.93,18239
ENERGY-GRID_SUPPLY_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,68.21,index,valid,synthetic_energy,4.22,0,4.22,9706
ENERGY-GRID_SUPPLY_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,76.7,index,valid,synthetic_energy,4.34,0,4.34,9982
ENERGY-GRID_SUPPLY_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,29.99,index,valid,synthetic_energy,4.08,0,4.08,9384
ENERGY-GRID_SUPPLY_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,49.03,index,valid,synthetic_energy,3.45,0,3.45,7935
ENERGY-GRID_SUPPLY_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,41.03,index,valid,synthetic_energy,3.62,0,3.62,8326
ENERGY-GRID_SUPPLY_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,80.49,index,valid,synthetic_energy,5.16,0,5.16,11868
ENERGY-GRID_SUPPLY_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,64.73,index,valid,synthetic_energy,7.54,0,7.54,17342
ENERGY-GRID_SUPPLY_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,48.26,index,valid,synthetic_energy,6.89,0,6.89,15847
ENERGY-GRID_SUPPLY_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,51.91,index,valid,synthetic_energy,4.51,0,4.51,10373
ENERGY-GRID_SUPPLY_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,16.83,index,valid,synthetic_energy,3.92,0,3.92,9016
ENERGY-GRID_SUPPLY_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,34.39,index,valid,synthetic_energy,6.35,0,6.35,14605
ENERGY-GRID_SUPPLY_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,47.74,index,valid,synthetic_energy,7.27,0,7.27,16721
ENERGY-GRID_SUPPLY_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,56.08,index,valid,synthetic_energy,6.34,0,6.34,14582
ENERGY-GRID_SUPPLY_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,56.1,index,valid,synthetic_energy,6.26,0,6.26,14398
ENERGY-GRID_SUPPLY_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,29.77,index,valid,synthetic_energy,4.51,0,4.51,10373
ENERGY-GRID_SUPPLY_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,48.0,index,valid,synthetic_energy,6.92,0,6.92,15916
ENERGY-GRID_SUPPLY_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,60.24,index,valid,synthetic_energy,4.79,0,4.79,11017
ENERGY-GRID_SUPPLY_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,55.24,index,valid,synthetic_energy,5.26,0,5.26,12098
ENERGY-GRID_SUPPLY_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,28.74,index,valid,synthetic_energy,4.27,0,4.27,9821
ENERGY-GRID_SUPPLY_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,25.0,index,valid,synthetic_energy,5.16,0,5.16,11868
ENERGY-GRID_SUPPLY_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,66.26,index,valid,synthetic_energy,4.29,0,4.29,9867
ENERGY-GRID_SUPPLY_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,75.49,index,valid,synthetic_energy,5.43,0,5.43,12489
ENERGY-GRID_SUPPLY_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,64.89,index,valid,synthetic_energy,7.16,0,7.16,16468
ENERGY-GRID_SUPPLY_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,46.67,index,valid,synthetic_energy,4.15,0,4.15,9545
ENERGY-GRID_SUPPLY_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,46.68,index,valid,synthetic_energy,4.48,0,4.48,10304
ENERGY-GRID_SUPPLY_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,38.21,index,valid,synthetic_energy,3.63,0,3.63,8349
ENERGY-GRID_SUPPLY_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,25.41,index,valid,synthetic_energy,5.86,0,5.86,13478
ENERGY-GRID_SUPPLY_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,18.81,index,valid,synthetic_energy,6.24,0,6.24,14352
ENERGY-GRID_SUPPLY_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,45.09,index,valid,synthetic_energy,3.47,0,3.47,7981
ENERGY-GRID_SUPPLY_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,35.73,index,valid,synthetic_energy,5.8,0,5.8,13340
ENERGY-GRID_SUPPLY_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,40.94,index,valid,synthetic_energy,4.51,0,4.51,10373
ENERGY-GRID_SUPPLY_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,79.59,index,valid,synthetic_energy,3.4,0,3.4,7820
ENERGY-GRID_SUPPLY_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,74.68,index,valid,synthetic_energy,7.32,0,7.32,16836
ENERGY-GRID_SUPPLY_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,44.85,index,valid,synthetic_energy,7.31,0,7.31,16813
ENERGY-GRID_SUPPLY_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,69.42,index,valid,synthetic_energy,4.89,0,4.89,11247
ENERGY-GRID_SUPPLY_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,53.45,index,valid,synthetic_energy,5.24,0,5.24,12052
ENERGY-GRID_SUPPLY_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,46.55,index,valid,synthetic_energy,3.55,0,3.55,8165
ENERGY-GRID_SUPPLY_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,51.85,index,valid,synthetic_energy,7.51,0,7.51,17273
ENERGY-GRID_SUPPLY_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,19.0,index,valid,synthetic_energy,6.21,0,6.21,14283
ENERGY-GRID_SUPPLY_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,25.76,index,valid,synthetic_energy,3.73,0,3.73,8579
ENERGY-GRID_SUPPLY_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,21.44,index,valid,synthetic_energy,7.26,0,7.26,16698
ENERGY-GRID_SUPPLY_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,59.99,index,valid,synthetic_energy,6.33,0,6.33,14559
ENERGY-GRID_SUPPLY_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,18.85,index,valid,synthetic_energy,3.07,0,3.07,7061
ENERGY-GRID_SUPPLY_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,40.11,index,valid,synthetic_energy,4.38,0,4.38,10074
ENERGY-GRID_SUPPLY_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,32.81,index,valid,synthetic_energy,3.86,0,3.86,8878
ENERGY-GRID_SUPPLY_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,32.46,index,valid,synthetic_energy,5.61,0,5.61,12903
ENERGY-GRID_SUPPLY_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,109.8,index,degraded,synthetic_energy,7.03,2,9.03,24169
ENERGY-GRID_SUPPLY_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,17.22,index,valid,synthetic_energy,6.82,0,6.82,15686
ENERGY-GRID_SUPPLY_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,42.45,index,valid,synthetic_energy,3.39,0,3.39,7797
ENERGY-GRID_SUPPLY_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,18.45,index,valid,synthetic_energy,4.48,0,4.48,10304
ENERGY-GRID_SUPPLY_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,35.52,index,valid,synthetic_energy,4.04,0,4.04,9292
ENERGY-GRID_SUPPLY_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,69.53,index,valid,synthetic_energy,5.76,0,5.76,13248
ENERGY-GRID_SUPPLY_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,82.6,index,valid,synthetic_energy,4.1,0,4.1,9430
ENERGY-GRID_SUPPLY_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,78.31,index,valid,synthetic_energy,3.83,0,3.83,8809
ENERGY-GRID_SUPPLY_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,55.14,index,valid,synthetic_energy,6.82,0,6.82,15686
ENERGY-GRID_SUPPLY_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,47.22,index,valid,synthetic_energy,6.92,0,6.92,15916
ENERGY-GRID_SUPPLY_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,77.97,index,valid,synthetic_energy,3.76,0,3.76,8648
ENERGY-GRID_SUPPLY_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,51.42,index,valid,synthetic_energy,7.26,0,7.26,16698
ENERGY-GRID_SUPPLY_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,73.0,index,valid,synthetic_energy,7.7,0,7.7,17710
ENERGY-GRID_SUPPLY_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,28.31,index,valid,synthetic_energy,4.66,0,4.66,10718
ENERGY-GRID_SUPPLY_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,77.57,index,valid,synthetic_energy,4.1,0,4.1,9430
ENERGY-GRID_SUPPLY_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,33.21,index,valid,synthetic_energy,7.97,0,7.97,18331
ENERGY-GRID_SUPPLY_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,72.35,index,valid,synthetic_energy,7.17,0,7.17,16491
ENERGY-GRID_SUPPLY_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,69.59,index,valid,synthetic_energy,3.75,0,3.75,8625
ENERGY-GRID_SUPPLY_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,57.34,index,valid,synthetic_energy,6.59,0,6.59,15157
ENERGY-GRID_SUPPLY_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,76.04,index,valid,synthetic_energy,3.59,0,3.59,8257
ENERGY-GRID_SUPPLY_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,33.75,index,valid,synthetic_energy,5.96,0,5.96,13708
ENERGY-GRID_SUPPLY_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,80.01,index,valid,synthetic_energy,3.6,0,3.6,8280
ENERGY-GRID_SUPPLY_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,65.73,index,valid,synthetic_energy,5.03,0,5.03,11569
ENERGY-GRID_SUPPLY_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,63.73,index,valid,synthetic_energy,3.31,0,3.31,7613
ENERGY-GRID_SUPPLY_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,20.66,index,valid,synthetic_energy,7.41,0,7.41,17043
ENERGY-GRID_SUPPLY_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,84.12,index,valid,synthetic_energy,4.36,0,4.36,10028
ENERGY-GRID_SUPPLY_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,31.36,index,valid,synthetic_energy,7.39,0,7.39,16997
ENERGY-GRID_SUPPLY_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,51.41,index,valid,synthetic_energy,5.84,0,5.84,13432
ENERGY-GRID_SUPPLY_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,63.74,index,valid,synthetic_energy,3.44,0,3.44,7912
ENERGY-GRID_SUPPLY_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,51.81,index,valid,synthetic_energy,5.33,0,5.33,12259
