cooling_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-COOLING_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,34.89,index,valid,synthetic_energy,6.48,0,6.48,14904
ENERGY-COOLING_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,15.38,index,valid,synthetic_energy,4.52,0,4.52,10396
ENERGY-COOLING_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,32.52,index,valid,synthetic_energy,5.77,0,5.77,13271
ENERGY-COOLING_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,42.17,index,valid,synthetic_energy,5.89,0,5.89,13547
ENERGY-COOLING_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,82.41,index,valid,synthetic_energy,6.17,0,6.17,14191
ENERGY-COOLING_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,23.19,index,valid,synthetic_energy,3.9,0,3.9,8970
ENERGY-COOLING_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,23.13,index,valid,synthetic_energy,6.85,0,6.85,15755
ENERGY-COOLING_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,15.59,index,valid,synthetic_energy,7.35,0,7.35,16905
ENERGY-COOLING_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,19.16,index,valid,synthetic_energy,6.9,0,6.9,15870
ENERGY-COOLING_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,38.92,index,valid,synthetic_energy,5.91,0,5.91,13593
ENERGY-COOLING_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,70.73,index,valid,synthetic_energy,7.92,0,7.92,18216
ENERGY-COOLING_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,27.08,index,valid,synthetic_energy,7.52,0,7.52,17296
ENERGY-COOLING_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,41.84,index,valid,synthetic_energy,6.89,0,6.89,15847
ENERGY-COOLING_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,57.96,index,valid,synthetic_energy,4.89,0,4.89,11247
ENERGY-COOLING_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,15.98,index,valid,synthetic_energy,7.92,0,7.92,18216
ENERGY-COOLING_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,40.1,index,valid,synthetic_energy,6.38,0,6.38,14674
ENERGY-COOLING_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,45.08,index,valid,synthetic_energy,7.0,0,7.0,16100
ENERGY-COOLING_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,51.38,index,valid,synthetic_energy,4.01,0,4.01,9223
ENERGY-COOLING_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,54.72,index,valid,synthetic_energy,7.12,0,7.12,16376
ENERGY-COOLING_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,23.21,index,valid,synthetic_energy,7.96,0,7.96,18308
ENERGY-COOLING_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,43.43,index,valid,synthetic_energy,5.89,0,5.89,13547
ENERGY-COOLING_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,71.84,index,valid,synthetic_energy,7.8,0,7.8,17940
ENERGY-COOLING_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,59.16,index,valid,synthetic_energy,5.75,0,5.75,13225
ENERGY-COOLING_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,73.12,index,valid,synthetic_energy,7.38,0,7.38,16974
ENERGY-COOLING_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,76.96,index,valid,synthetic_energy,5.25,0,5.25,12075
ENERGY-COOLING_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,26.13,index,valid,synthetic_energy,4.19,0,4.19,9637
ENERGY-COOLING_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,81.19,index,valid,synthetic_energy,6.6,0,6.6,15180
ENERGY-COOLING_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,18.41,index,valid,synthetic_energy,7.89,0,7.89,18147
ENERGY-COOLING_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,63.59,index,valid,synthetic_energy,4.61,0,4.61,10603
ENERGY-COOLING_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,35.89,index,valid,synthetic_energy,7.32,0,7.32,16836
ENERGY-COOLING_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,55.46,index,valid,synthetic_energy,6.43,0,6.43,14789
ENERGY-COOLING_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,56.41,index,valid,synthetic_energy,3.28,0,3.28,7544
ENERGY-COOLING_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,33.34,index,valid,synthetic_energy,4.74,0,4.74,10902
ENERGY-COOLING_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,28.85,index,valid,synthetic_energy,4.03,0,4.03,9269
ENERGY-COOLING_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,23.58,index,valid,synthetic_energy,4.12,0,4.12,9476
ENERGY-COOLING_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,58.69,index,valid,synthetic_energy,4.71,0,4.71,10833
ENERGY-COOLING_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,76.49,index,valid,synthetic_energy,6.03,0,6.03,13869
ENERGY-COOLING_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,28.2,index,valid,synthetic_energy,6.64,0,6.64,15272
ENERGY-COOLING_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,54.3,index,valid,synthetic_energy,6.01,0,6.01,13823
ENERGY-COOLING_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,18.9,index,valid,synthetic_energy,4.41,0,4.41,10143
ENERGY-COOLING_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,55.5,index,valid,synthetic_energy,3.11,0,3.11,7153
ENERGY-COOLING_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,35.92,index,valid,synthetic_energy,6.28,0,6.28,14444
ENERGY-COOLING_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,62.12,index,valid,synthetic_energy,4.51,0,4.51,10373
ENERGY-COOLING_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,27.27,index,valid,synthetic_energy,6.39,0,6.39,14697
ENERGY-COOLING_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,23.82,index,valid,synthetic_energy,4.74,0,4.74,10902
ENERGY-COOLING_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,31.08,index,valid,synthetic_energy,3.94,0,3.94,9062
ENERGY-COOLING_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,73.72,index,valid,synthetic_energy,5.85,0,5.85,13455
ENERGY-COOLING_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,47.6,index,valid,synthetic_energy,3.05,0,3.05,7015
ENERGY-COOLING_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,53.62,index,valid,synthetic_energy,6.66,0,6.66,15318
ENERGY-COOLING_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,28.12,index,valid,synthetic_energy,7.07,0,7.07,16261
ENERGY-COOLING_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,69.61,index,valid,synthetic_energy,4.45,0,4.45,10235
ENERGY-COOLING_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,82.64,index,valid,synthetic_energy,5.2,0,5.2,11960
ENERGY-COOLING_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,45.79,index,valid,synthetic_energy,5.67,0,5.67,13041
ENERGY-COOLING_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,68.78,index,valid,synthetic_energy,5.53,0,5.53,12719
ENERGY-COOLING_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,43.27,index,valid,synthetic_energy,3.19,0,3.19,7337
ENERGY-COOLING_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,53.24,index,valid,synthetic_energy,3.63,0,3.63,8349
ENERGY-COOLING_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,74.04,index,valid,synthetic_energy,7.36,0,7.36,16928
ENERGY-COOLING_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,37.86,index,valid,synthetic_energy,7.2,0,7.2,16560
ENERGY-COOLING_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,74.3,index,valid,synthetic_energy,4.35,0,4.35,10005
ENERGY-COOLING_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,66.57,index,valid,synthetic_energy,5.06,0,5.06,11638
ENERGY-COOLING_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,73.39,index,valid,synthetic_energy,7.45,0,7.45,17135
ENERGY-COOLING_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,34.09,index,valid,synthetic_energy,5.82,0,5.82,13386
ENERGY-COOLING_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,45.5,index,valid,synthetic_energy,7.27,0,7.27,16721
ENERGY-COOLING_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,77.74,index,valid,synthetic_energy,7.3,0,7.3,16790
ENERGY-COOLING_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,83.32,index,valid,synthetic_energy,7.92,0,7.92,18216
ENERGY-COOLING_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,48.42,index,valid,synthetic_energy,6.91,0,6.91,15893
ENERGY-COOLING_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,73.79,index,valid,synthetic_energy,3.45,0,3.45,7935
ENERGY-COOLING_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,30.75,index,valid,synthetic_energy,7.85,0,7.85,18055
ENERGY-COOLING_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,82.81,index,valid,synthetic_energy,7.58,0,7.58,17434
ENERGY-COOLING_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,66.8,index,valid,synthetic_energy,5.03,0,5.03,11569
ENERGY-COOLING_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,84.44,index,valid,synthetic_energy,6.3,0,6.3,14490
ENERGY-COOLING_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,60.34,index,valid,synthetic_energy,3.68,0,3.68,8464
ENERGY-COOLING_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,27.38,index,valid,synthetic_energy,4.1,0,4.1,9430
ENERGY-COOLING_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,19.25,index,valid,synthetic_energy,5.44,0,5.44,12512
ENERGY-COOLING_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,59.89,index,valid,synthetic_energy,5.86,0,5.86,13478
ENERGY-COOLING_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,40.28,index,valid,synthetic_energy,4.22,0,4.22,9706
ENERGY-COOLING_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,28.76,index,valid,synthetic_energy,4.57,0,4.57,10511
ENERGY-COOLING_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,43.04,index,valid,synthetic_energy,6.77,0,6.77,15571
ENERGY-COOLING_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,105.72,index,degraded,synthetic_energy,3.46,2,5.46,15958
ENERGY-COOLING_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,45.59,index,valid,synthetic_energy,5.94,0,5.94,13662
ENERGY-COOLING_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,54.32,index,valid,synthetic_energy,3.9,0,3.9,8970
ENERGY-COOLING_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,81.51,index,valid,synthetic_energy,5.23,0,5.23,12029
ENERGY-COOLING_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,33.03,index,valid,synthetic_energy,7.29,0,7.29,16767
ENERGY-COOLING_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,67.57,index,valid,synthetic_energy,7.99,0,7.99,18377
ENERGY-COOLING_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,41.4,index,valid,synthetic_energy,6.91,0,6.91,15893
ENERGY-COOLING_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,65.49,index,valid,synthetic_energy,7.26,0,7.26,16698
ENERGY-COOLING_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,72.43,index,valid,synthetic_energy,6.05,0,6.05,13915
ENERGY-COOLING_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,28.15,index,valid,synthetic_energy,6.25,0,6.25,14375
ENERGY-COOLING_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,64.96,index,valid,synthetic_energy,6.63,0,6.63,15249
ENERGY-COOLING_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,48.23,index,valid,synthetic_energy,4.34,0,4.34,9982
ENERGY-COOLING_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,65.65,index,valid,synthetic_energy,5.99,0,5.99,13777
ENERGY-COOLING_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,65.8,index,valid,synthetic_energy,4.29,0,4.29,9867
ENERGY-COOLING_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,52.11,index,valid,synthetic_energy,7.26,0,7.26,16698
ENERGY-COOLING_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,17.6,index,valid,synthetic_energy,3.42,0,3.42,7866
ENERGY-COOLING_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,17.38,index,valid,synthetic_energy,7.73,0,7.73,17779
ENERGY-COOLING_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,76.0,index,valid,synthetic_energy,4.07,0,4.07,9361
ENERGY-COOLING_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,57.61,index,valid,synthetic_energy,3.57,0,3.57,8211
ENERGY-COOLING_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,16.24,index,valid,synthetic_energy,4.93,0,4.93,11339
ENERGY-COOLING_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,70.15,index,valid,synthetic_energy,5.96,0,5.96,13708
ENERGY-COOLING_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,37.4,index,valid,synthetic_energy,5.2,0,5.2,11960
ENERGY-COOLING_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,62.24,index,valid,synthetic_energy,5.7,0,5.7,13110
ENERGY-COOLING_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,82.81,index,valid,synthetic_energy,4.67,0,4.67,10741
ENERGY-COOLING_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,73.7,index,valid,synthetic_energy,5.84,0,5.84,13432
ENERGY-COOLING_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,56.34,index,valid,synthetic_energy,4.17,0,4.17,9591
ENERGY-COOLING_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,47.96,index,valid,synthetic_energy,6.83,0,6.83,15709
ENERGY-COOLING_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,74.37,index,valid,synthetic_energy,3.55,0,3.55,8165
ENERGY-COOLING_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,67.95,index,valid,synthetic_energy,3.46,0,3.46,7958
ENERGY-COOLING_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,19.49,index,valid,synthetic_energy,5.13,0,5.13,11799
ENERGY-COOLING_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,82.47,index,valid,synthetic_energy,4.16,0,4.16,9568
ENERGY-COOLING_HOURLY-02-04,ST0301,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,24.51,index,valid,synthetic_energy,7.93,0,7.93,18239
ENERGY-COOLING_HOURLY-02-05,ST0301,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,74.7,index,valid,synthetic_energy,5.46,0,5.46,12558
ENERGY-COOLING_HOURLY-02-06,ST0301,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,73.82,index,valid,synthetic_energy,6.2,0,6.2,14260
ENERGY-COOLING_HOURLY-02-07,ST0301,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,26.01,index,valid,synthetic_energy,4.44,0,4.44,10212
ENERGY-COOLING_HOURLY-02-08,ST0301,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,79.0,index,valid,synthetic_energy,6.74,0,6.74,15502
ENERGY-COOLING_HOURLY-02-09,ST0301,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,29.66,index,valid,synthetic_energy,7.23,0,7.23,16629
ENERGY-COOLING_HOURLY-02-10,ST0301,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,15.46,index,valid,synthetic_energy,4.91,0,4.91,11293
ENERGY-COOLING_HOURLY-02-11,ST0301,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,62.27,index,valid,synthetic_energy,4.76,0,4.76,10948
ENERGY-COOLING_HOURLY-02-12,ST0301,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,63.29,index,valid,synthetic_energy,7.59,0,7.59,17457
