temperature_alarm_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-TEMPERATURE_ALARM-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,3.42,0,3.42,7866
ENERGY-TEMPERATURE_ALARM-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.17,0,5.17,11891
ENERGY-TEMPERATURE_ALARM-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.63,0,7.63,17549
ENERGY-TEMPERATURE_ALARM-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,TEMPERATURE_ALARM,major,failed,3600,synthetic_energy,4.77,2,6.77,18971
ENERGY-TEMPERATURE_ALARM-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,4.85,0,4.85,11155
ENERGY-TEMPERATURE_ALARM-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,3.93,0,3.93,9039
ENERGY-TEMPERATURE_ALARM-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.01,0,7.01,16123
ENERGY-TEMPERATURE_ALARM-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.27,0,5.27,12121
ENERGY-TEMPERATURE_ALARM-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.46,0,7.46,17158
ENERGY-TEMPERATURE_ALARM-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.05,0,5.05,11615
ENERGY-TEMPERATURE_ALARM-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,4.37,0,4.37,10051
ENERGY-TEMPERATURE_ALARM-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,6.27,0,6.27,14421
ENERGY-TEMPERATURE_ALARM-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.87,0,7.87,18101
ENERGY-TEMPERATURE_ALARM-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,4.33,0,4.33,9959
ENERGY-TEMPERATURE_ALARM-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,3.29,0,3.29,7567
ENERGY-TEMPERATURE_ALARM-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,4.98,0,4.98,11454
ENERGY-TEMPERATURE_ALARM-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.45,0,7.45,17135
ENERGY-TEMPERATURE_ALARM-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,3.29,0,3.29,7567
ENERGY-TEMPERATURE_ALARM-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.81,0,5.81,13363
ENERGY-TEMPERATURE_ALARM-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.18,0,7.18,16514
ENERGY-TEMPERATURE_ALARM-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.37,0,7.37,16951
ENERGY-TEMPERATURE_ALARM-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.75,0,5.75,13225
ENERGY-TEMPERATURE_ALARM-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.42,0,5.42,12466
ENERGY-TEMPERATURE_ALARM-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,6.27,0,6.27,14421
ENERGY-TEMPERATURE_ALARM-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.28,0,5.28,12144
ENERGY-TEMPERATURE_ALARM-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.42,0,7.42,17066
ENERGY-TEMPERATURE_ALARM-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,4.43,0,4.43,10189
ENERGY-TEMPERATURE_ALARM-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.59,0,7.59,17457
ENERGY-TEMPERATURE_ALARM-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,3.94,0,3.94,9062
ENERGY-TEMPERATURE_ALARM-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,4.04,0,4.04,9292
ENERGY-TEMPERATURE_ALARM-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,6.51,0,6.51,14973
ENERGY-TEMPERATURE_ALARM-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,3.66,0,3.66,8418
ENERGY-TEMPERATURE_ALARM-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.64,0,5.64,12972
ENERGY-TEMPERATURE_ALARM-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.64,0,5.64,12972
ENERGY-TEMPERATURE_ALARM-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.43,0,5.43,12489
ENERGY-TEMPERATURE_ALARM-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.4,0,5.4,12420
ENERGY-TEMPERATURE_ALARM-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,7.3,0,7.3,16790
ENERGY-TEMPERATURE_ALARM-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,TEMPERATURE_ALARM,info,success,60,synthetic_energy,5.89,0,5.89,13547
