purchase_order_id,location_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,asset_count,installed_count,age_days,unit_cost_vnd
INVENTORY-PURCHASE_ORDER-01-27,LOC002,SLA,KV1,active,2026-08-19 03:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,11,6,401,12000000
INVENTORY-PURCHASE_ORDER-01-36,LOC002,SLA,KV1,active,2026-08-19 12:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,34,7,401,12000000
INVENTORY-PURCHASE_ORDER-01-45,LOC002,SLA,KV1,degraded,2026-08-19 21:00:00,PURCHASE_ORDER,major,failed,3600,synthetic_inventory,10,9,401,4000000
INVENTORY-PURCHASE_ORDER-01-54,LOC002,SLA,KV1,active,2026-08-20 06:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,38,5,402,14000000
INVENTORY-PURCHASE_ORDER-01-63,LOC002,SLA,KV1,active,2026-08-20 15:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,15,5,402,4000000
INVENTORY-PURCHASE_ORDER-02-00,LOC003,CMU,KV3,active,2026-08-18 00:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,30,9,400,19000000
INVENTORY-PURCHASE_ORDER-02-09,LOC003,CMU,KV3,active,2026-08-18 09:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,40,10,400,15000000
INVENTORY-PURCHASE_ORDER-02-18,LOC003,CMU,KV3,active,2026-08-18 18:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,34,9,400,9000000
INVENTORY-PURCHASE_ORDER-02-27,LOC003,CMU,KV3,active,2026-08-19 03:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,31,9,401,6000000
INVENTORY-PURCHASE_ORDER-02-36,LOC003,CMU,KV3,active,2026-08-19 12:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,48,8,401,8000000
INVENTORY-PURCHASE_ORDER-02-45,LOC003,CMU,KV3,active,2026-08-19 21:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,45,10,401,15000000
INVENTORY-PURCHASE_ORDER-02-54,LOC003,CMU,KV3,active,2026-08-20 06:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,23,7,402,1000000
INVENTORY-PURCHASE_ORDER-02-63,LOC003,CMU,KV3,active,2026-08-20 15:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,29,9,402,9000000
INVENTORY-PURCHASE_ORDER-03-00,LOC004,NBH,KV1,active,2026-08-18 00:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,39,10,400,6000000
INVENTORY-PURCHASE_ORDER-03-09,LOC004,NBH,KV1,active,2026-08-18 09:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,23,10,400,10000000
INVENTORY-PURCHASE_ORDER-03-18,LOC004,NBH,KV1,active,2026-08-18 18:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,29,10,400,11000000
INVENTORY-PURCHASE_ORDER-03-27,LOC004,NBH,KV1,active,2026-08-19 03:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,41,6,401,19000000
INVENTORY-PURCHASE_ORDER-03-36,LOC004,NBH,KV1,active,2026-08-19 12:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,39,5,401,6000000
INVENTORY-PURCHASE_ORDER-03-45,LOC004,NBH,KV1,active,2026-08-19 21:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,13,6,401,11000000
INVENTORY-PURCHASE_ORDER-03-54,LOC004,NBH,KV1,active,2026-08-20 06:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,29,9,402,7000000
INVENTORY-PURCHASE_ORDER-03-63,LOC004,NBH,KV1,active,2026-08-20 15:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,15,5,402,8000000
INVENTORY-PURCHASE_ORDER-04-00,LOC005,HCM,KV3,active,2026-08-18 00:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,47,8,400,19000000
INVENTORY-PURCHASE_ORDER-04-09,LOC005,HCM,KV3,active,2026-08-18 09:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,11,7,400,8000000
INVENTORY-PURCHASE_ORDER-04-18,LOC005,HCM,KV3,active,2026-08-18 18:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,35,7,400,10000000
INVENTORY-PURCHASE_ORDER-04-27,LOC005,HCM,KV3,active,2026-08-19 03:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,26,9,401,17000000
INVENTORY-PURCHASE_ORDER-04-36,LOC005,HCM,KV3,active,2026-08-19 12:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,21,7,401,7000000
INVENTORY-PURCHASE_ORDER-04-45,LOC005,HCM,KV3,active,2026-08-19 21:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,47,6,401,18000000
INVENTORY-PURCHASE_ORDER-04-54,LOC005,HCM,KV3,active,2026-08-20 06:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,38,8,402,4000000
INVENTORY-PURCHASE_ORDER-04-63,LOC005,HCM,KV3,active,2026-08-20 15:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,48,8,402,4000000
INVENTORY-PURCHASE_ORDER-05-00,LOC006,KHA,KV2,active,2026-08-18 00:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,36,7,400,14000000
INVENTORY-PURCHASE_ORDER-05-09,LOC006,KHA,KV2,active,2026-08-18 09:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,23,6,400,11000000
INVENTORY-PURCHASE_ORDER-05-18,LOC006,KHA,KV2,active,2026-08-18 18:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,36,9,400,3000000
INVENTORY-PURCHASE_ORDER-05-27,LOC006,KHA,KV2,active,2026-08-19 03:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,38,10,401,1000000
INVENTORY-PURCHASE_ORDER-05-36,LOC006,KHA,KV2,active,2026-08-19 12:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,19,5,401,14000000
INVENTORY-PURCHASE_ORDER-05-45,LOC006,KHA,KV2,active,2026-08-19 21:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,21,10,401,6000000
INVENTORY-PURCHASE_ORDER-05-54,LOC006,KHA,KV2,active,2026-08-20 06:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,20,8,402,3000000
INVENTORY-PURCHASE_ORDER-05-63,LOC006,KHA,KV2,active,2026-08-20 15:00:00,PURCHASE_ORDER,info,success,60,synthetic_inventory,20,8,402,17000000
