asset_movement_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,asset_count,installed_count,age_days,unit_cost_vnd
INVENTORY-ASSET_MOVEMENT-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,16,5,400,17000000
INVENTORY-ASSET_MOVEMENT-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,10,8,400,10000000
INVENTORY-ASSET_MOVEMENT-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,35,9,400,7000000
INVENTORY-ASSET_MOVEMENT-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,32,9,401,3000000
INVENTORY-ASSET_MOVEMENT-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,47,8,401,13000000
INVENTORY-ASSET_MOVEMENT-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,30,9,401,10000000
INVENTORY-ASSET_MOVEMENT-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,21,7,402,14000000
INVENTORY-ASSET_MOVEMENT-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,21,8,402,4000000
INVENTORY-ASSET_MOVEMENT-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,27,10,400,10000000
INVENTORY-ASSET_MOVEMENT-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,26,7,400,1000000
INVENTORY-ASSET_MOVEMENT-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,39,5,400,19000000
INVENTORY-ASSET_MOVEMENT-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,25,7,401,9000000
INVENTORY-ASSET_MOVEMENT-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,30,10,401,9000000
INVENTORY-ASSET_MOVEMENT-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,42,8,401,14000000
INVENTORY-ASSET_MOVEMENT-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,36,9,402,3000000
INVENTORY-ASSET_MOVEMENT-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,30,5,402,11000000
INVENTORY-ASSET_MOVEMENT-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,13,6,400,6000000
INVENTORY-ASSET_MOVEMENT-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,32,6,400,14000000
INVENTORY-ASSET_MOVEMENT-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,46,6,400,9000000
INVENTORY-ASSET_MOVEMENT-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,32,5,401,12000000
INVENTORY-ASSET_MOVEMENT-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,23,5,401,8000000
INVENTORY-ASSET_MOVEMENT-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,46,9,401,6000000
INVENTORY-ASSET_MOVEMENT-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,39,9,402,12000000
INVENTORY-ASSET_MOVEMENT-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,43,9,402,20000000
INVENTORY-ASSET_MOVEMENT-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,27,6,400,5000000
INVENTORY-ASSET_MOVEMENT-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,46,8,400,18000000
INVENTORY-ASSET_MOVEMENT-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,27,6,400,15000000
INVENTORY-ASSET_MOVEMENT-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,36,9,401,6000000
INVENTORY-ASSET_MOVEMENT-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,49,10,401,20000000
INVENTORY-ASSET_MOVEMENT-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,42,6,401,15000000
INVENTORY-ASSET_MOVEMENT-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,22,8,402,14000000
INVENTORY-ASSET_MOVEMENT-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,ASSET_MOVEMENT,info,success,60,synthetic_inventory,12,8,402,15000000
