from_table,primary_key,from_column,to_table,to_column,cardinality,basis
ops.ticket,ticket_id,alarm_id,fault.alarm,alarm_id,many_to_one,synthetic_core
ops.ticket,ticket_id,station_id,inventory.station,station_id,many_to_one,synthetic_core
ops.technician_visit,visit_id,work_order_id,maintenance.work_order,work_order_id,many_to_one,synthetic_core
ops.technician_visit,visit_id,ticket_id,ops.ticket,ticket_id,many_to_one,synthetic_core
ops.technician_visit,visit_id,station_id,inventory.station,station_id,many_to_one,synthetic_core
maintenance.work_order,work_order_id,ticket_id,ops.ticket,ticket_id,many_to_one,synthetic_core
maintenance.work_order,work_order_id,station_id,inventory.station,station_id,many_to_one,synthetic_core
customer.subscriber,customer_id,province_code,geo.province,province_code,many_to_one,synthetic_core
billing.invoice,invoice_id,customer_id,customer.subscriber,customer_id,many_to_one,synthetic_core
billing.invoice,invoice_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_core
billing.invoice,invoice_id,plan_id,product.plan,plan_id,many_to_one,synthetic_core
billing.invoice,invoice_id,province_code,geo.province,province_code,many_to_one,synthetic_core
billing.cost_center_daily,station_id+cost_date,station_id,inventory.station,station_id,many_to_one,synthetic_core
service.subscription,subscription_id,customer_id,customer.subscriber,customer_id,many_to_one,synthetic_core
service.subscription,subscription_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_core
service.subscription,subscription_id,plan_id,product.plan,plan_id,many_to_one,synthetic_core
service.subscription,subscription_id,station_id,inventory.station,station_id,many_to_one,synthetic_core
experience.complaint,complaint_id,customer_id,customer.subscriber,customer_id,many_to_one,synthetic_core
experience.complaint,complaint_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_core
experience.complaint,complaint_id,station_id,inventory.station,station_id,many_to_one,synthetic_core
experience.complaint,complaint_id,ticket_id,ops.ticket,ticket_id,many_to_one,synthetic_core
energy.station_hourly,station_id+date_hour,station_id,inventory.station,station_id,many_to_one,synthetic_core
capacity.forecast_daily,station_id+forecast_date,station_id,inventory.station,station_id,many_to_one,synthetic_core
aaa.radius_server,radius_server_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aaa.radius_request_hourly,radius_request_hourly_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.radius_reject_hourly,radius_reject_hourly_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.radius_timeout_hourly,radius_timeout_hourly_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.pppoe_session,pppoe_session_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.nas_device,nas_device_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aaa.nas_port_history,nas_port_history_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.ip_assignment_history,ip_assignment_history_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.ip_pool,ip_pool_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aaa.ip_pool_hourly,ip_pool_hourly_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.auth_policy,auth_policy_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aaa.auth_policy_change,auth_policy_change_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.credential_reset,credential_reset_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.login_failure_hourly,login_failure_hourly_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.concurrent_session_hourly,concurrent_session_hourly_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aaa.account_lockout_hourly,account_lockout_hourly_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_assumption
aam.kpi_definition,kpi_definition_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_threshold,kpi_threshold_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_hourly_province,kpi_hourly_province_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_daily_province,kpi_daily_province_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_hourly_area,kpi_hourly_area_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_daily_area,kpi_daily_area_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_hourly_network,kpi_hourly_network_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_daily_network,kpi_daily_network_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_breach_hourly,kpi_breach_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_breach_daily,kpi_breach_daily_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_rollup_job,kpi_rollup_job_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_quality_audit,kpi_quality_audit_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_source_mapping,kpi_source_mapping_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_target,kpi_target_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_trend_daily,kpi_trend_daily_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_baseline_daily,kpi_baseline_daily_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_anomaly_hourly,kpi_anomaly_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
aam.kpi_alert_history,kpi_alert_history_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
acs.cpe_config_history,cpe_config_history_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.firmware_catalog,firmware_catalog_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.firmware_rollout,firmware_rollout_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.firmware_upgrade_event,firmware_upgrade_event_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.wan_interface,wan_interface_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.wan_hourly,wan_hourly_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.lan_port,lan_port_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.wifi_radio,wifi_radio_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.wifi_client_hourly,wifi_client_hourly_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.optical_rx_hourly,optical_rx_hourly_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.optical_tx_hourly,optical_tx_hourly_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.reboot_event,reboot_event_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.configuration_change,configuration_change_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.remote_command,remote_command_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.provisioning_event,provisioning_event_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
acs.device_fault,device_fault_id,device_id,acs.device_info,device_id,many_to_one,synthetic_assumption
geo.geo_boundary_history,geo_boundary_history_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.province_population_daily,province_population_daily_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.district_population_daily,district_population_daily_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.urban_classification,urban_classification_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.terrain_profile,terrain_profile_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.climate_zone,climate_zone_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.weather_hourly,weather_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.rainfall_hourly,rainfall_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.temperature_hourly,temperature_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.location_alias,location_alias_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.station_coverage_area,station_coverage_area_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.cell_coverage_area,cell_coverage_area_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
geo.service_zone,service_zone_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
inventory.equipment_rack,equipment_rack_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.equipment_card,equipment_card_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.equipment_port,equipment_port_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.antenna,antenna_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.cable_segment,cable_segment_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.splitter,splitter_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.fiber_core,fiber_core_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.optical_module,optical_module_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.battery_unit,battery_unit_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.generator_unit,generator_unit_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.rectifier_unit,rectifier_unit_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.air_conditioner,air_conditioner_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.spare_part,spare_part_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.stock_balance_daily,stock_balance_daily_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
inventory.warehouse,warehouse_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
inventory.supplier,supplier_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
inventory.purchase_order,purchase_order_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
inventory.asset_movement,asset_movement_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
inventory.site_lease,site_lease_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ran.sector,sector_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.carrier,carrier_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.neighbor_relation,neighbor_relation_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.intra_freq_neighbor,intra_freq_neighbor_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.inter_freq_neighbor,inter_freq_neighbor_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.handover_relation,handover_relation_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.pci_assignment,pci_assignment_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.tac_assignment,tac_assignment_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.frequency_plan,frequency_plan_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.antenna_config,antenna_config_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.mimo_config,mimo_config_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.beam_config,beam_config_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.power_config,power_config_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.rach_config,rach_config_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.scheduler_config,scheduler_config_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.admission_config,admission_config_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.cell_state_history,cell_state_history_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.cell_activation_event,cell_activation_event_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran.carrier_aggregation_config,carrier_aggregation_config_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_traffic_hourly,cell_traffic_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_access_hourly,cell_access_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_retention_hourly,cell_retention_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_mobility_hourly,cell_mobility_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_availability_hourly,cell_availability_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_prb_hourly,cell_prb_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_throughput_hourly,cell_throughput_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_latency_hourly,cell_latency_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_packet_loss_hourly,cell_packet_loss_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_rach_hourly,cell_rach_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_rrc_hourly,cell_rrc_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_handover_hourly,cell_handover_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_sinr_hourly,cell_sinr_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_cqi_hourly,cell_cqi_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_bler_hourly,cell_bler_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_mcs_hourly,cell_mcs_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_modulation_hourly,cell_modulation_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_users_hourly,cell_users_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
ran_kpi.cell_congestion_hourly,cell_congestion_hourly_id,cell_id,ran.cell,cell_id,many_to_one,synthetic_assumption
transport.fiber_route,fiber_route_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.fiber_span,fiber_span_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.fiber_fault_event,fiber_fault_event_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.microwave_link,microwave_link_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.microwave_hourly,microwave_hourly_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.router,router_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.switch,switch_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.port,port_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.port_hourly,port_hourly_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.vlan,vlan_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.mpls_tunnel,mpls_tunnel_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.mpls_hourly,mpls_hourly_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.bgp_peer,bgp_peer_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.bgp_hourly,bgp_hourly_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.optical_channel,optical_channel_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.optical_hourly,optical_hourly_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.link_alarm,link_alarm_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.path_reroute_event,path_reroute_event_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
transport.backbone_node,backbone_node_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
core.amf_node,amf_node_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.smf_node,smf_node_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.upf_node,upf_node_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.mme_node,mme_node_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.sgw_node,sgw_node_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.pgw_node,pgw_node_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.dns_node,dns_node_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.dhcp_node,dhcp_node_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.subscriber_attach_hourly,subscriber_attach_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.bearer_setup_hourly,bearer_setup_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.session_setup_hourly,session_setup_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.session_drop_hourly,session_drop_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.core_latency_hourly,core_latency_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.core_memory_hourly,core_memory_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.core_traffic_hourly,core_traffic_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.apn_usage_hourly,apn_usage_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.slice_usage_hourly,slice_usage_hourly_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.gateway_alarm,gateway_alarm_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
core.core_config_change,core_config_change_id,location_id,geo.location,location_id,many_to_one,synthetic_assumption
qos.sla_policy,sla_policy_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.sla_target,sla_target_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.sla_result_hourly,sla_result_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.sla_result_daily,sla_result_daily_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.application_hourly,application_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.video_hourly,video_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.gaming_hourly,gaming_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.web_hourly,web_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.voice_hourly,voice_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.download_hourly,download_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.upload_hourly,upload_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.dns_hourly,dns_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.tcp_hourly,tcp_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.udp_hourly,udp_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.jitter_hourly,jitter_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.packet_loss_hourly,packet_loss_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.latency_hourly,latency_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.throughput_hourly,throughput_hourly_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
qos.qos_breach_event,qos_breach_event_id,plan_id,product.plan,plan_id,many_to_one,synthetic_assumption
fault.alarm_rule,alarm_rule_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.alarm_suppression,alarm_suppression_id,alarm_id,fault.alarm,alarm_id,many_to_one,synthetic_assumption
fault.alarm_correlation,alarm_correlation_id,alarm_id,fault.alarm,alarm_id,many_to_one,synthetic_assumption
fault.alarm_escalation,alarm_escalation_id,alarm_id,fault.alarm,alarm_id,many_to_one,synthetic_assumption
fault.alarm_history,alarm_history_id,alarm_id,fault.alarm,alarm_id,many_to_one,synthetic_assumption
fault.fault_class,fault_class_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.fault_root_cause,fault_root_cause_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.fault_impact_hourly,fault_impact_hourly_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.fault_impact_daily,fault_impact_daily_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.cell_outage,cell_outage_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.station_outage,station_outage_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.power_fault,power_fault_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.transport_fault,transport_fault_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.device_fault,device_fault_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.fiber_cut,fiber_cut_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.degradation_event,degradation_event_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.recurring_fault,recurring_fault_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.weather_related_fault,weather_related_fault_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
fault.maintenance_related_fault,maintenance_related_fault_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.noc_shift,noc_shift_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.noc_shift_handover,noc_shift_handover_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.ticket_history,ticket_history_id,ticket_id,ops.ticket,ticket_id,many_to_one,synthetic_assumption
ops.ticket_comment,ticket_comment_id,ticket_id,ops.ticket,ticket_id,many_to_one,synthetic_assumption
ops.ticket_assignment,ticket_assignment_id,ticket_id,ops.ticket,ticket_id,many_to_one,synthetic_assumption
ops.ticket_escalation,ticket_escalation_id,ticket_id,ops.ticket,ticket_id,many_to_one,synthetic_assumption
ops.ticket_sla_hourly,ticket_sla_hourly_id,ticket_id,ops.ticket,ticket_id,many_to_one,synthetic_assumption
ops.dispatch_request,dispatch_request_id,ticket_id,ops.ticket,ticket_id,many_to_one,synthetic_assumption
ops.crew,crew_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.roster,roster_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.technician_skill,technician_skill_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.technician_certification,technician_certification_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.visit_checklist,visit_checklist_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.spare_part_usage,spare_part_usage_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.repair_action,repair_action_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.incident_timeline,incident_timeline_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.operational_kpi_daily,operational_kpi_daily_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
ops.escalation_policy,escalation_policy_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
maintenance.maintenance_plan,maintenance_plan_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
maintenance.preventive_schedule,preventive_schedule_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
maintenance.corrective_schedule,corrective_schedule_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
maintenance.inspection_schedule,inspection_schedule_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
maintenance.inspection_result,inspection_result_id,station_id,inventory.station,station_id,many_to_one,synthetic_assumption
maintenance.work_order_history,work_order_history_id,work_order_id,maintenance.work_order,work_order_id,many_to_one,synthetic_assumption
maintenance.work_order_task,work_order_task_id,work_order_id,maintenance.work_order,work_order_id,many_to_one,synthetic_assumption
maintenance.work_order_material,work_order_material_id,work_order_id,maintenance.work_order,work_order_id,many_to_one,synthetic_assumption
maintenance.work_order_labor,work_order_labor_id,work_order_id,maintenance.work_order,work_order_id,many_to_one,synthetic_assumption
