fault_impact_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,impact_users,duration_min,repeat_count,priority_score
FAULT-FAULT_IMPACT_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,63.92,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,22.66,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,74.67,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,75.81,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,17.16,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,59.55,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,28.06,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,40.09,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,23.12,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,50.92,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,49.02,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,15.74,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,29.75,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,75.76,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,16.0,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,64.77,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,27.73,count,degraded,synthetic_fault,130,60,1,90
FAULT-FAULT_IMPACT_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,83.73,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,48.52,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,74.57,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,81.74,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,52.15,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,24.21,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,59.87,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,26.26,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,56.78,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,37.73,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,70.48,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,51.57,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,56.04,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,75.1,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,50.96,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,19.32,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,15.9,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,69.16,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,60.15,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,53.14,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,36.74,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,26.87,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,27.41,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,24.79,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,73.47,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,54.09,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,49.39,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,22.86,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,42.38,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,33.57,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,59.81,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,62.03,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,51.87,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,50.95,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,51.46,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,67.23,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,31.86,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,27.92,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,44.78,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,55.46,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,76.09,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,29.77,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,15.0,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,22.1,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,61.3,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,82.64,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,49.65,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,20.7,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,77.18,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,23.99,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,67.25,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,34.61,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,35.61,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,49.43,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,52.1,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,53.32,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,15.36,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,35.89,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,22.03,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,63.03,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,58.82,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,55.69,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,27.91,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,68.88,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,80.8,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,27.46,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,73.78,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,15.13,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,48.71,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,80.49,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,59.89,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,60.09,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,51.87,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,71.84,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,73.73,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,28.58,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,62.83,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,69.68,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,39.42,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,52.9,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,61.38,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,15.61,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,34.64,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,15.1,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,64.16,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,21.99,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,26.5,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,36.81,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,51.14,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,99.79,count,degraded,synthetic_fault,130,60,1,90
FAULT-FAULT_IMPACT_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,77.05,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,67.82,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,54.95,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,74.31,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,65.58,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,64.74,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,47.33,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,74.2,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,44.9,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,37.06,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,35.33,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,66.27,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,42.08,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,19.63,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,24.82,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,37.02,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,78.29,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,20.59,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,80.22,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,47.88,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,76.06,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,79.49,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,71.11,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,39.32,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,48.24,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,16.26,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,44.96,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,60.99,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,38.82,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,46.35,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-04,ST0301,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,57.11,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-05,ST0301,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,32.49,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-06,ST0301,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,73.7,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-07,ST0301,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,73.92,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-08,ST0301,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,57.82,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-09,ST0301,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,34.97,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-10,ST0301,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,23.2,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-11,ST0301,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,36.72,count,valid,synthetic_fault,0,0,0,20
FAULT-FAULT_IMPACT_HOURLY-02-12,ST0301,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,67.07,count,valid,synthetic_fault,0,0,0,20
