plan_price_history_id,plan_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,monthly_fee_vnd,down_mbps,up_mbps,eligible_count
PRODUCT-PLAN_PRICE_HISTORY-02-09,PLAN03,CMU,KV3,active,2026-08-18 09:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,450000,300,150,112
PRODUCT-PLAN_PRICE_HISTORY-02-18,PLAN03,CMU,KV3,active,2026-08-18 18:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,450000,300,150,128
PRODUCT-PLAN_PRICE_HISTORY-02-27,PLAN03,CMU,KV3,active,2026-08-19 03:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,450000,300,150,105
PRODUCT-PLAN_PRICE_HISTORY-02-36,PLAN03,CMU,KV3,active,2026-08-19 12:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,450000,300,150,164
PRODUCT-PLAN_PRICE_HISTORY-02-45,PLAN03,CMU,KV3,active,2026-08-19 21:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,450000,300,150,141
PRODUCT-PLAN_PRICE_HISTORY-02-54,PLAN03,CMU,KV3,active,2026-08-20 06:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,450000,300,150,166
PRODUCT-PLAN_PRICE_HISTORY-02-63,PLAN03,CMU,KV3,active,2026-08-20 15:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,450000,300,150,88
PRODUCT-PLAN_PRICE_HISTORY-03-00,PLAN01,NBH,KV1,active,2026-08-18 00:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,60
PRODUCT-PLAN_PRICE_HISTORY-03-09,PLAN01,NBH,KV1,active,2026-08-18 09:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,62
PRODUCT-PLAN_PRICE_HISTORY-03-18,PLAN01,NBH,KV1,active,2026-08-18 18:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,57
PRODUCT-PLAN_PRICE_HISTORY-03-27,PLAN01,NBH,KV1,active,2026-08-19 03:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,130
PRODUCT-PLAN_PRICE_HISTORY-03-36,PLAN01,NBH,KV1,active,2026-08-19 12:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,95
PRODUCT-PLAN_PRICE_HISTORY-03-45,PLAN01,NBH,KV1,active,2026-08-19 21:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,71
PRODUCT-PLAN_PRICE_HISTORY-03-54,PLAN01,NBH,KV1,active,2026-08-20 06:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,95
PRODUCT-PLAN_PRICE_HISTORY-03-63,PLAN01,NBH,KV1,active,2026-08-20 15:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,163
PRODUCT-PLAN_PRICE_HISTORY-04-00,PLAN02,HCM,KV3,active,2026-08-18 00:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,140
PRODUCT-PLAN_PRICE_HISTORY-04-09,PLAN02,HCM,KV3,active,2026-08-18 09:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,118
PRODUCT-PLAN_PRICE_HISTORY-04-18,PLAN02,HCM,KV3,active,2026-08-18 18:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,62
PRODUCT-PLAN_PRICE_HISTORY-04-27,PLAN02,HCM,KV3,active,2026-08-19 03:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,99
PRODUCT-PLAN_PRICE_HISTORY-04-36,PLAN02,HCM,KV3,active,2026-08-19 12:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,198
PRODUCT-PLAN_PRICE_HISTORY-04-45,PLAN02,HCM,KV3,active,2026-08-19 21:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,53
PRODUCT-PLAN_PRICE_HISTORY-04-54,PLAN02,HCM,KV3,active,2026-08-20 06:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,165
PRODUCT-PLAN_PRICE_HISTORY-04-63,PLAN02,HCM,KV3,active,2026-08-20 15:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,300000,200,100,160
PRODUCT-PLAN_PRICE_HISTORY-05-00,PLAN01,KHA,KV2,active,2026-08-18 00:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,130
PRODUCT-PLAN_PRICE_HISTORY-05-09,PLAN01,KHA,KV2,active,2026-08-18 09:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,96
PRODUCT-PLAN_PRICE_HISTORY-05-18,PLAN01,KHA,KV2,active,2026-08-18 18:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,63
PRODUCT-PLAN_PRICE_HISTORY-05-27,PLAN01,KHA,KV2,active,2026-08-19 03:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,53
PRODUCT-PLAN_PRICE_HISTORY-05-36,PLAN01,KHA,KV2,active,2026-08-19 12:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,187
PRODUCT-PLAN_PRICE_HISTORY-05-45,PLAN01,KHA,KV2,active,2026-08-19 21:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,197
PRODUCT-PLAN_PRICE_HISTORY-05-54,PLAN01,KHA,KV2,active,2026-08-20 06:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,115
PRODUCT-PLAN_PRICE_HISTORY-05-63,PLAN01,KHA,KV2,active,2026-08-20 15:00:00,PLAN_PRICE_HISTORY,info,success,60,synthetic_product,220000,100,50,181
