plan_history_id,plan_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,monthly_fee_vnd,down_mbps,up_mbps,eligible_count
PRODUCT-PLAN_HISTORY-03-18,PLAN01,NBH,KV1,active,2026-08-18 18:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,158
PRODUCT-PLAN_HISTORY-03-27,PLAN01,NBH,KV1,active,2026-08-19 03:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,200
PRODUCT-PLAN_HISTORY-03-36,PLAN01,NBH,KV1,active,2026-08-19 12:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,163
PRODUCT-PLAN_HISTORY-03-45,PLAN01,NBH,KV1,active,2026-08-19 21:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,151
PRODUCT-PLAN_HISTORY-03-54,PLAN01,NBH,KV1,active,2026-08-20 06:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,138
PRODUCT-PLAN_HISTORY-03-63,PLAN01,NBH,KV1,active,2026-08-20 15:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,61
PRODUCT-PLAN_HISTORY-04-00,PLAN02,HCM,KV3,active,2026-08-18 00:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,198
PRODUCT-PLAN_HISTORY-04-09,PLAN02,HCM,KV3,active,2026-08-18 09:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,164
PRODUCT-PLAN_HISTORY-04-18,PLAN02,HCM,KV3,active,2026-08-18 18:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,160
PRODUCT-PLAN_HISTORY-04-27,PLAN02,HCM,KV3,active,2026-08-19 03:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,195
PRODUCT-PLAN_HISTORY-04-36,PLAN02,HCM,KV3,active,2026-08-19 12:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,141
PRODUCT-PLAN_HISTORY-04-45,PLAN02,HCM,KV3,active,2026-08-19 21:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,191
PRODUCT-PLAN_HISTORY-04-54,PLAN02,HCM,KV3,active,2026-08-20 06:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,158
PRODUCT-PLAN_HISTORY-04-63,PLAN02,HCM,KV3,active,2026-08-20 15:00:00,PLAN_HISTORY,info,success,60,synthetic_product,300000,200,100,78
PRODUCT-PLAN_HISTORY-05-00,PLAN01,KHA,KV2,active,2026-08-18 00:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,153
PRODUCT-PLAN_HISTORY-05-09,PLAN01,KHA,KV2,active,2026-08-18 09:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,132
PRODUCT-PLAN_HISTORY-05-18,PLAN01,KHA,KV2,active,2026-08-18 18:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,108
PRODUCT-PLAN_HISTORY-05-27,PLAN01,KHA,KV2,active,2026-08-19 03:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,169
PRODUCT-PLAN_HISTORY-05-36,PLAN01,KHA,KV2,active,2026-08-19 12:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,113
PRODUCT-PLAN_HISTORY-05-45,PLAN01,KHA,KV2,active,2026-08-19 21:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,105
PRODUCT-PLAN_HISTORY-05-54,PLAN01,KHA,KV2,active,2026-08-20 06:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,186
PRODUCT-PLAN_HISTORY-05-63,PLAN01,KHA,KV2,active,2026-08-20 15:00:00,PLAN_HISTORY,info,success,60,synthetic_product,220000,100,50,68
