forecast_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-FORECAST_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,82.14,index,degraded,synthetic_capacity,682.02,1000,68.2,2.73
CAPACITY-FORECAST_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,52.19,index,valid,synthetic_capacity,682.46,1000,68.25,0.4
CAPACITY-FORECAST_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,39.61,index,valid,synthetic_capacity,785.43,1000,78.54,-5.28
CAPACITY-FORECAST_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,59.87,index,valid,synthetic_capacity,762.68,1000,76.27,-6.58
CAPACITY-FORECAST_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,26.45,index,valid,synthetic_capacity,336.05,1000,33.6,-2.7
CAPACITY-FORECAST_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,70.93,index,valid,synthetic_capacity,346.27,1000,34.63,-3.62
CAPACITY-FORECAST_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,80.95,index,valid,synthetic_capacity,666.49,1000,66.65,-2.07
CAPACITY-FORECAST_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,54.25,index,valid,synthetic_capacity,710.79,1000,71.08,-7.28
CAPACITY-FORECAST_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,22.08,index,valid,synthetic_capacity,667.66,1000,66.77,6.84
CAPACITY-FORECAST_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,41.16,index,valid,synthetic_capacity,304.53,1000,30.45,-1.86
CAPACITY-FORECAST_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,83.7,index,valid,synthetic_capacity,725.41,1000,72.54,3.27
CAPACITY-FORECAST_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,53.63,index,valid,synthetic_capacity,585.56,1000,58.56,-2.42
CAPACITY-FORECAST_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,73.11,index,valid,synthetic_capacity,701.78,1000,70.18,3.06
CAPACITY-FORECAST_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,38.89,index,valid,synthetic_capacity,450.66,1000,45.07,-0.31
CAPACITY-FORECAST_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,19.91,index,valid,synthetic_capacity,476.86,1000,47.69,0.81
CAPACITY-FORECAST_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,56.8,index,valid,synthetic_capacity,349.38,1000,34.94,-0.53
CAPACITY-FORECAST_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,39.22,index,valid,synthetic_capacity,462.56,1000,46.26,0.32
CAPACITY-FORECAST_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,18.85,index,valid,synthetic_capacity,540.79,1000,54.08,-3.85
CAPACITY-FORECAST_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,31.09,index,valid,synthetic_capacity,425.91,1000,42.59,-0.47
CAPACITY-FORECAST_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,23.95,index,valid,synthetic_capacity,338.56,1000,33.86,-7.67
CAPACITY-FORECAST_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,69.87,index,valid,synthetic_capacity,535.23,1000,53.52,1.48
CAPACITY-FORECAST_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,43.15,index,valid,synthetic_capacity,408.2,1000,40.82,1.66
CAPACITY-FORECAST_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,43.92,index,valid,synthetic_capacity,562.67,1000,56.27,3.29
CAPACITY-FORECAST_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,52.69,index,valid,synthetic_capacity,349.27,1000,34.93,6.52
CAPACITY-FORECAST_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,77.45,index,valid,synthetic_capacity,562.69,1000,56.27,2.61
CAPACITY-FORECAST_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,53.69,index,valid,synthetic_capacity,553.43,1000,55.34,1.54
CAPACITY-FORECAST_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,66.3,index,valid,synthetic_capacity,421.18,1000,42.12,7.33
CAPACITY-FORECAST_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,47.38,index,valid,synthetic_capacity,590.52,1000,59.05,6.05
CAPACITY-FORECAST_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,59.74,index,valid,synthetic_capacity,562.71,1000,56.27,-2.95
CAPACITY-FORECAST_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,55.86,index,valid,synthetic_capacity,617.68,1000,61.77,-7.84
CAPACITY-FORECAST_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,83.24,index,valid,synthetic_capacity,416.21,1000,41.62,5.06
CAPACITY-FORECAST_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,80.47,index,valid,synthetic_capacity,721.61,1000,72.16,1.96
CAPACITY-FORECAST_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,84.26,index,valid,synthetic_capacity,761.82,1000,76.18,-1.14
CAPACITY-FORECAST_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,57.89,index,valid,synthetic_capacity,304.81,1000,30.48,-2.82
CAPACITY-FORECAST_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,33.27,index,valid,synthetic_capacity,698.88,1000,69.89,-1.08
CAPACITY-FORECAST_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,60.3,index,valid,synthetic_capacity,681.81,1000,68.18,-2.42
CAPACITY-FORECAST_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,76.48,index,valid,synthetic_capacity,447.94,1000,44.79,0.23
CAPACITY-FORECAST_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,51.75,index,valid,synthetic_capacity,527.35,1000,52.73,-3.45
CAPACITY-FORECAST_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,51.96,index,valid,synthetic_capacity,747.31,1000,74.73,5.21
CAPACITY-FORECAST_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,59.1,index,valid,synthetic_capacity,349.84,1000,34.98,3.25
CAPACITY-FORECAST_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,82.45,index,valid,synthetic_capacity,729.16,1000,72.92,-2.08
CAPACITY-FORECAST_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,82.93,index,valid,synthetic_capacity,394.92,1000,39.49,-5.64
CAPACITY-FORECAST_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,64.36,index,valid,synthetic_capacity,479.34,1000,47.93,-7.82
CAPACITY-FORECAST_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,54.65,index,valid,synthetic_capacity,353.39,1000,35.34,-4.01
CAPACITY-FORECAST_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,37.67,index,valid,synthetic_capacity,580.14,1000,58.01,-2.38
CAPACITY-FORECAST_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,23.09,index,valid,synthetic_capacity,443.13,1000,44.31,-7.81
CAPACITY-FORECAST_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,33.37,index,valid,synthetic_capacity,307.85,1000,30.79,5.12
CAPACITY-FORECAST_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,60.29,index,valid,synthetic_capacity,385.74,1000,38.57,-7.9
CAPACITY-FORECAST_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,17.74,index,valid,synthetic_capacity,477.4,1000,47.74,-3.2
CAPACITY-FORECAST_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,80.1,index,valid,synthetic_capacity,420.81,1000,42.08,1.61
CAPACITY-FORECAST_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,70.44,index,valid,synthetic_capacity,602.69,1000,60.27,-6.95
CAPACITY-FORECAST_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,20.73,index,valid,synthetic_capacity,323.55,1000,32.35,2.99
CAPACITY-FORECAST_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,54.7,index,valid,synthetic_capacity,648.46,1000,64.85,7.68
CAPACITY-FORECAST_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,79.99,index,valid,synthetic_capacity,796.29,1000,79.63,-7.53
CAPACITY-FORECAST_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,62.41,index,valid,synthetic_capacity,673.66,1000,67.37,-2.16
CAPACITY-FORECAST_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,61.88,index,valid,synthetic_capacity,462.31,1000,46.23,0.18
CAPACITY-FORECAST_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,52.53,index,valid,synthetic_capacity,484.21,1000,48.42,-4.95
CAPACITY-FORECAST_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,78.81,index,valid,synthetic_capacity,411.04,1000,41.1,-1.74
CAPACITY-FORECAST_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,39.83,index,valid,synthetic_capacity,614.85,1000,61.48,-1.56
CAPACITY-FORECAST_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,64.29,index,valid,synthetic_capacity,403.98,1000,40.4,2.67
CAPACITY-FORECAST_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,27.5,index,valid,synthetic_capacity,788.44,1000,78.84,-5.4
CAPACITY-FORECAST_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,69.74,index,valid,synthetic_capacity,537.75,1000,53.77,5.06
CAPACITY-FORECAST_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,60.26,index,valid,synthetic_capacity,303.41,1000,30.34,-5.38
CAPACITY-FORECAST_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,51.35,index,valid,synthetic_capacity,517.25,1000,51.73,6.24
CAPACITY-FORECAST_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,76.71,index,valid,synthetic_capacity,370.15,1000,37.02,5.23
CAPACITY-FORECAST_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,59.25,index,valid,synthetic_capacity,549.4,1000,54.94,-4.98
CAPACITY-FORECAST_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,82.18,index,valid,synthetic_capacity,749.62,1000,74.96,3.7
CAPACITY-FORECAST_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,39.04,index,valid,synthetic_capacity,314.57,1000,31.46,6.77
CAPACITY-FORECAST_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,32.96,index,valid,synthetic_capacity,474.0,1000,47.4,-1.29
CAPACITY-FORECAST_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,46.69,index,valid,synthetic_capacity,581.15,1000,58.12,-5.26
CAPACITY-FORECAST_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,34.15,index,valid,synthetic_capacity,519.96,1000,52.0,-5.31
CAPACITY-FORECAST_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,83.05,index,valid,synthetic_capacity,551.73,1000,55.17,4.78
CAPACITY-FORECAST_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,40.23,index,valid,synthetic_capacity,767.37,1000,76.74,4.13
CAPACITY-FORECAST_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,72.38,index,valid,synthetic_capacity,548.74,1000,54.87,6.74
CAPACITY-FORECAST_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,26.47,index,valid,synthetic_capacity,421.74,1000,42.17,4.53
CAPACITY-FORECAST_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,31.31,index,valid,synthetic_capacity,396.51,1000,39.65,-3.84
CAPACITY-FORECAST_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,42.42,index,valid,synthetic_capacity,777.62,1000,77.76,-3.68
CAPACITY-FORECAST_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,79.26,index,valid,synthetic_capacity,726.11,1000,72.61,3.13
CAPACITY-FORECAST_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,28.18,index,valid,synthetic_capacity,723.17,1000,72.32,-3.9
CAPACITY-FORECAST_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,71.4,index,valid,synthetic_capacity,714.13,1000,71.41,5.27
CAPACITY-FORECAST_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,46.11,index,valid,synthetic_capacity,304.45,1000,30.45,3.01
CAPACITY-FORECAST_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,69.32,index,valid,synthetic_capacity,517.71,1000,51.77,-0.17
CAPACITY-FORECAST_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,74.41,index,valid,synthetic_capacity,464.2,1000,46.42,1.7
CAPACITY-FORECAST_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,58.83,index,valid,synthetic_capacity,415.91,1000,41.59,-2.33
CAPACITY-FORECAST_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,55.11,index,valid,synthetic_capacity,354.17,1000,35.42,0.82
CAPACITY-FORECAST_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,67.13,index,valid,synthetic_capacity,713.28,1000,71.33,-2.97
CAPACITY-FORECAST_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,35.17,index,valid,synthetic_capacity,665.04,1000,66.5,3.51
CAPACITY-FORECAST_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,60.89,index,valid,synthetic_capacity,493.22,1000,49.32,-1.04
CAPACITY-FORECAST_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,65.5,index,valid,synthetic_capacity,746.82,1000,74.68,2.31
CAPACITY-FORECAST_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,62.69,index,valid,synthetic_capacity,759.23,1000,75.92,-1.08
CAPACITY-FORECAST_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,36.99,index,degraded,synthetic_capacity,633.59,1000,63.36,-1.68
CAPACITY-FORECAST_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,75.29,index,valid,synthetic_capacity,387.01,1000,38.7,-3.88
CAPACITY-FORECAST_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,69.37,index,valid,synthetic_capacity,699.55,1000,69.95,4.65
CAPACITY-FORECAST_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,69.29,index,valid,synthetic_capacity,332.77,1000,33.28,7.7
CAPACITY-FORECAST_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,16.31,index,valid,synthetic_capacity,427.71,1000,42.77,3.61
CAPACITY-FORECAST_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,20.62,index,valid,synthetic_capacity,364.49,1000,36.45,3.72
CAPACITY-FORECAST_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,64.34,index,valid,synthetic_capacity,551.78,1000,55.18,4.04
CAPACITY-FORECAST_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,28.9,index,valid,synthetic_capacity,361.7,1000,36.17,-6.49
CAPACITY-FORECAST_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,80.44,index,valid,synthetic_capacity,330.24,1000,33.02,-6.53
CAPACITY-FORECAST_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,33.01,index,valid,synthetic_capacity,438.76,1000,43.88,6.54
CAPACITY-FORECAST_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,24.08,index,valid,synthetic_capacity,430.1,1000,43.01,-5.4
CAPACITY-FORECAST_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,23.08,index,valid,synthetic_capacity,506.26,1000,50.63,-1.49
CAPACITY-FORECAST_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,39.78,index,valid,synthetic_capacity,466.85,1000,46.69,4.22
CAPACITY-FORECAST_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,65.66,index,valid,synthetic_capacity,423.57,1000,42.36,3.1
CAPACITY-FORECAST_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,35.52,index,valid,synthetic_capacity,349.56,1000,34.96,4.95
CAPACITY-FORECAST_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,33.12,index,valid,synthetic_capacity,458.74,1000,45.87,-6.7
CAPACITY-FORECAST_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,38.37,index,valid,synthetic_capacity,419.91,1000,41.99,5.3
CAPACITY-FORECAST_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,73.71,index,valid,synthetic_capacity,344.03,1000,34.4,5.89
CAPACITY-FORECAST_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,58.57,index,valid,synthetic_capacity,605.49,1000,60.55,1.52
CAPACITY-FORECAST_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,25.88,index,valid,synthetic_capacity,658.08,1000,65.81,-0.39
CAPACITY-FORECAST_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,63.46,index,valid,synthetic_capacity,538.18,1000,53.82,-3.38
CAPACITY-FORECAST_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,61.98,index,valid,synthetic_capacity,585.95,1000,58.6,-2.64
CAPACITY-FORECAST_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,51.18,index,valid,synthetic_capacity,771.55,1000,77.16,-2.47
CAPACITY-FORECAST_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,51.97,index,valid,synthetic_capacity,469.98,1000,47.0,0.77
CAPACITY-FORECAST_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,52.23,index,valid,synthetic_capacity,684.16,1000,68.42,-7.14
CAPACITY-FORECAST_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,79.66,index,valid,synthetic_capacity,641.04,1000,64.1,0.14
CAPACITY-FORECAST_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,52.88,index,valid,synthetic_capacity,772.52,1000,77.25,-2.7
CAPACITY-FORECAST_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,44.97,index,valid,synthetic_capacity,693.92,1000,69.39,-4.64
CAPACITY-FORECAST_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,83.4,index,valid,synthetic_capacity,419.51,1000,41.95,-5.68
CAPACITY-FORECAST_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,60.04,index,valid,synthetic_capacity,419.36,1000,41.94,0.89
