saturation_event_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-SATURATION_EVENT-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,605.48,1000,60.55,-6.97
CAPACITY-SATURATION_EVENT-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,562.51,1000,56.25,2.57
CAPACITY-SATURATION_EVENT-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,564.81,1000,56.48,-7.72
CAPACITY-SATURATION_EVENT-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,626.55,1000,62.65,1.16
CAPACITY-SATURATION_EVENT-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,390.97,1000,39.1,-7.52
CAPACITY-SATURATION_EVENT-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,671.05,1000,67.11,7.13
CAPACITY-SATURATION_EVENT-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,781.71,1000,78.17,-1.74
CAPACITY-SATURATION_EVENT-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,619.29,1000,61.93,-3.64
CAPACITY-SATURATION_EVENT-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,308.09,1000,30.81,-5.13
CAPACITY-SATURATION_EVENT-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,369.3,1000,36.93,1.12
CAPACITY-SATURATION_EVENT-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,685.51,1000,68.55,-0.13
CAPACITY-SATURATION_EVENT-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,351.64,1000,35.16,-2.86
CAPACITY-SATURATION_EVENT-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,749.18,1000,74.92,-1.44
CAPACITY-SATURATION_EVENT-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,530.63,1000,53.06,3.59
CAPACITY-SATURATION_EVENT-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,588.83,1000,58.88,0.88
CAPACITY-SATURATION_EVENT-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,716.23,1000,71.62,6.88
CAPACITY-SATURATION_EVENT-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,441.77,1000,44.18,-4.67
CAPACITY-SATURATION_EVENT-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,637.78,1000,63.78,-1.01
CAPACITY-SATURATION_EVENT-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,651.2,1000,65.12,-2.91
CAPACITY-SATURATION_EVENT-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,734.41,1000,73.44,7.9
CAPACITY-SATURATION_EVENT-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,376.68,1000,37.67,-7.47
CAPACITY-SATURATION_EVENT-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,305.42,1000,30.54,4.59
CAPACITY-SATURATION_EVENT-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,650.3,1000,65.03,2.74
CAPACITY-SATURATION_EVENT-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,575.71,1000,57.57,2.98
CAPACITY-SATURATION_EVENT-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,643.01,1000,64.3,-5.56
CAPACITY-SATURATION_EVENT-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,447.03,1000,44.7,0.51
CAPACITY-SATURATION_EVENT-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,626.71,1000,62.67,-0.63
CAPACITY-SATURATION_EVENT-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,588.48,1000,58.85,6.36
CAPACITY-SATURATION_EVENT-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,419.16,1000,41.92,2.54
CAPACITY-SATURATION_EVENT-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,341.12,1000,34.11,4.5
