upgrade_candidate_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-UPGRADE_CANDIDATE-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,583.56,1000,58.36,-3.18
CAPACITY-UPGRADE_CANDIDATE-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,UPGRADE_CANDIDATE,major,failed,3600,synthetic_capacity,511.13,1000,51.11,1.52
CAPACITY-UPGRADE_CANDIDATE-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,307.94,1000,30.79,-6.12
CAPACITY-UPGRADE_CANDIDATE-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,515.86,1000,51.59,5.55
CAPACITY-UPGRADE_CANDIDATE-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,442.82,1000,44.28,-5.39
CAPACITY-UPGRADE_CANDIDATE-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,538.41,1000,53.84,3.08
CAPACITY-UPGRADE_CANDIDATE-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,564.14,1000,56.41,7.86
CAPACITY-UPGRADE_CANDIDATE-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,300.35,1000,30.04,6.21
CAPACITY-UPGRADE_CANDIDATE-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,402.11,1000,40.21,2.69
CAPACITY-UPGRADE_CANDIDATE-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,431.26,1000,43.13,6.19
CAPACITY-UPGRADE_CANDIDATE-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,660.63,1000,66.06,-7.39
CAPACITY-UPGRADE_CANDIDATE-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,532.3,1000,53.23,5.73
CAPACITY-UPGRADE_CANDIDATE-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,630.59,1000,63.06,1.99
CAPACITY-UPGRADE_CANDIDATE-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,300.08,1000,30.01,3.65
CAPACITY-UPGRADE_CANDIDATE-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,645.27,1000,64.53,1.48
CAPACITY-UPGRADE_CANDIDATE-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,410.23,1000,41.02,3.21
CAPACITY-UPGRADE_CANDIDATE-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,726.15,1000,72.61,3.49
CAPACITY-UPGRADE_CANDIDATE-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,534.17,1000,53.42,-4.68
CAPACITY-UPGRADE_CANDIDATE-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,672.94,1000,67.29,6.38
CAPACITY-UPGRADE_CANDIDATE-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,625.01,1000,62.5,-6.35
CAPACITY-UPGRADE_CANDIDATE-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,434.18,1000,43.42,7.11
CAPACITY-UPGRADE_CANDIDATE-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,543.2,1000,54.32,-4.2
CAPACITY-UPGRADE_CANDIDATE-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,620.74,1000,62.07,-7.12
CAPACITY-UPGRADE_CANDIDATE-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,621.46,1000,62.15,5.7
CAPACITY-UPGRADE_CANDIDATE-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,316.97,1000,31.7,-7.04
CAPACITY-UPGRADE_CANDIDATE-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,444.33,1000,44.43,4.49
CAPACITY-UPGRADE_CANDIDATE-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,471.99,1000,47.2,-2.74
CAPACITY-UPGRADE_CANDIDATE-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,798.6,1000,79.86,6.37
CAPACITY-UPGRADE_CANDIDATE-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,620.65,1000,62.06,-7.63
CAPACITY-UPGRADE_CANDIDATE-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,713.55,1000,71.36,3.49
CAPACITY-UPGRADE_CANDIDATE-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,779.18,1000,77.92,6.31
CAPACITY-UPGRADE_CANDIDATE-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,383.53,1000,38.35,5.56
CAPACITY-UPGRADE_CANDIDATE-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,322.73,1000,32.27,-2.48
CAPACITY-UPGRADE_CANDIDATE-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,334.13,1000,33.41,4.5
CAPACITY-UPGRADE_CANDIDATE-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,773.83,1000,77.38,5.68
CAPACITY-UPGRADE_CANDIDATE-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,529.56,1000,52.96,6.07
