gateway_id,province_code,area_code,date_hour,active_sessions,attach_attempt,attach_success,traffic_gb,cpu_pct,memory_pct,latency_ms,drop_count,status
GW06,KHA,KV2,2026-08-18-19,329,631,622,52.23,48.53,35.94,12.44,9,up
GW01,DBN,KV1,2026-08-18-20,243,684,682,42.69,33.29,64.4,17.65,2,up
GW02,SLA,KV1,2026-08-18-20,173,689,681,54.14,35.01,67.84,12.99,8,up
GW03,CMU,KV3,2026-08-18-20,333,302,299,20.29,44.54,37.69,21.47,3,up
GW04,NBH,KV1,2026-08-18-20,166,478,466,67.78,28.48,48.85,23.86,12,up
GW05,HCM,KV3,2026-08-18-20,324,681,672,64.27,52.11,42.45,22.11,9,up
GW06,KHA,KV2,2026-08-18-20,154,698,684,46.16,52.91,54.33,10.24,14,up
GW01,DBN,KV1,2026-08-18-21,263,529,526,56.42,50.5,53.64,10.06,3,up
GW02,SLA,KV1,2026-08-18-21,207,570,565,21.5,52.52,44.84,7.39,5,up
GW03,CMU,KV3,2026-08-18-21,270,432,425,41.75,59.75,46.18,19.14,7,up
GW04,NBH,KV1,2026-08-18-21,231,591,587,62.42,20.59,45.06,7.48,4,up
GW05,HCM,KV3,2026-08-18-21,329,666,662,26.85,58.05,44.6,14.54,4,up
GW06,KHA,KV2,2026-08-18-21,227,312,307,60.87,69.27,58.44,23.8,5,up
GW01,DBN,KV1,2026-08-18-22,269,464,458,42.35,49.36,58.74,6.2,6,up
GW02,SLA,KV1,2026-08-18-22,324,374,371,60.53,61.56,46.6,13.5,3,up
GW03,CMU,KV3,2026-08-18-22,183,662,657,27.37,57.62,59.69,14.52,5,up
GW04,NBH,KV1,2026-08-18-22,286,562,552,30.7,28.51,36.18,14.82,10,up
GW05,HCM,KV3,2026-08-18-22,211,353,344,58.65,21.33,65.02,8.03,9,up
GW06,KHA,KV2,2026-08-18-22,290,638,625,30.61,45.38,51.56,18.28,13,up
GW01,DBN,KV1,2026-08-18-23,242,342,335,45.42,29.75,53.1,24.66,7,up
GW02,SLA,KV1,2026-08-18-23,303,679,666,51.85,67.71,57.64,13.95,13,up
GW03,CMU,KV3,2026-08-18-23,292,340,327,41.46,69.15,64.26,5.54,13,up
GW04,NBH,KV1,2026-08-18-23,224,304,301,68.73,31.92,55.05,21.96,3,up
GW05,HCM,KV3,2026-08-18-23,166,366,351,47.07,26.02,55.66,14.74,15,up
GW06,KHA,KV2,2026-08-18-23,345,306,292,69.12,34.77,54.19,8.01,14,up
GW01,DBN,KV1,2026-08-19-00,177,500,488,60.42,20.34,67.03,21.98,12,up
GW02,SLA,KV1,2026-08-19-00,254,340,330,46.04,63.29,72.35,24.87,10,up
GW03,CMU,KV3,2026-08-19-00,151,552,547,40.62,25.19,44.61,15.24,5,up
GW04,NBH,KV1,2026-08-19-00,253,530,525,40.51,33.95,71.2,19.76,5,up
GW05,HCM,KV3,2026-08-19-00,174,428,421,27.15,37.41,57.19,16.2,7,up
GW06,KHA,KV2,2026-08-19-00,207,672,667,20.56,38.39,70.59,8.2,5,up
GW01,DBN,KV1,2026-08-19-01,190,313,311,29.56,56.8,73.33,16.14,2,up
GW02,SLA,KV1,2026-08-19-01,243,524,516,59.53,22.07,39.09,21.89,8,up
GW03,CMU,KV3,2026-08-19-01,225,311,309,62.97,55.01,56.4,8.37,2,up
GW04,NBH,KV1,2026-08-19-01,166,488,479,45.77,21.91,54.51,9.47,9,up
GW05,HCM,KV3,2026-08-19-01,186,348,344,29.12,66.37,46.61,24.73,4,up
GW06,KHA,KV2,2026-08-19-01,219,700,694,33.86,60.6,56.7,23.44,6,up
GW01,DBN,KV1,2026-08-19-02,276,475,472,31.79,25.68,52.88,17.04,3,up
GW02,SLA,KV1,2026-08-19-02,172,329,327,50.95,44.54,35.02,9.52,2,up
GW03,CMU,KV3,2026-08-19-02,303,549,538,51.72,64.38,73.76,19.64,11,up
GW04,NBH,KV1,2026-08-19-02,187,417,411,33.33,66.01,69.35,23.92,6,up
GW05,HCM,KV3,2026-08-19-02,226,513,509,48.1,22.92,65.93,24.32,4,up
GW06,KHA,KV2,2026-08-19-02,271,444,436,68.53,22.92,59.13,9.32,8,up
GW01,DBN,KV1,2026-08-19-03,161,614,601,69.73,67.92,67.17,22.43,13,up
GW02,SLA,KV1,2026-08-19-03,178,546,540,61.56,45.89,65.3,11.32,6,up
GW03,CMU,KV3,2026-08-19-03,312,336,328,46.52,40.03,52.07,24.61,8,up
GW04,NBH,KV1,2026-08-19-03,313,482,469,53.94,64.11,47.74,19.2,13,up
GW05,HCM,KV3,2026-08-19-03,166,435,424,31.76,65.04,55.06,17.55,11,up
GW06,KHA,KV2,2026-08-19-03,184,591,582,64.23,39.93,62.66,10.93,9,up
GW01,DBN,KV1,2026-08-19-04,195,647,639,36.69,45.07,40.18,10.77,8,up
GW02,SLA,KV1,2026-08-19-04,237,451,444,44.75,61.62,43.81,18.66,7,up
GW03,CMU,KV3,2026-08-19-04,334,417,406,67.63,51.01,59.78,5.33,11,up
GW04,NBH,KV1,2026-08-19-04,309,338,327,47.69,61.67,53.57,24.42,11,up
GW05,HCM,KV3,2026-08-19-04,222,428,415,61.21,36.73,41.57,20.33,13,up
GW06,KHA,KV2,2026-08-19-04,251,488,483,40.86,24.49,63.98,24.5,5,up
GW01,DBN,KV1,2026-08-19-05,312,563,557,59.55,42.39,72.36,12.51,6,up
GW02,SLA,KV1,2026-08-19-05,217,425,410,42.79,40.39,54.92,14.14,15,up
GW03,CMU,KV3,2026-08-19-05,270,525,523,38.27,52.13,69.76,16.78,2,up
GW04,NBH,KV1,2026-08-19-05,158,652,637,67.81,65.97,62.73,6.49,15,up
GW05,HCM,KV3,2026-08-19-05,207,438,429,39.41,24.17,45.17,17.54,9,up
GW06,KHA,KV2,2026-08-19-05,219,498,486,38.1,48.9,70.86,10.77,12,up
GW01,DBN,KV1,2026-08-19-06,274,562,549,34.14,23.56,42.14,16.78,13,up
GW02,SLA,KV1,2026-08-19-06,184,416,403,21.13,42.29,64.8,14.76,13,up
GW03,CMU,KV3,2026-08-19-06,281,377,366,40.27,40.33,55.3,15.18,11,up
GW04,NBH,KV1,2026-08-19-06,301,530,522,38.85,26.4,37.09,19.46,8,up
GW05,HCM,KV3,2026-08-19-06,221,395,389,31.79,23.94,48.94,5.75,6,up
GW06,KHA,KV2,2026-08-19-06,189,687,679,69.76,45.44,44.68,9.61,8,up
GW01,DBN,KV1,2026-08-19-07,302,354,351,30.63,65.73,70.47,9.28,3,up
GW02,SLA,KV1,2026-08-19-07,160,617,613,46.01,56.99,58.08,8.21,4,up
GW03,CMU,KV3,2026-08-19-07,161,637,630,49.94,34.64,69.5,10.89,7,up
GW04,NBH,KV1,2026-08-19-07,178,609,598,30.86,50.41,62.15,7.28,11,up
GW05,HCM,KV3,2026-08-19-07,200,496,484,48.53,51.33,39.9,23.78,12,up
GW06,KHA,KV2,2026-08-19-07,190,357,351,69.28,49.22,47.0,12.0,6,up
GW01,DBN,KV1,2026-08-19-08,284,690,684,69.4,47.68,36.02,24.05,6,up
GW02,SLA,KV1,2026-08-19-08,240,316,307,63.76,69.74,68.32,17.86,9,up
GW03,CMU,KV3,2026-08-19-08,254,569,556,65.8,56.27,61.96,9.69,13,up
GW04,NBH,KV1,2026-08-19-08,197,626,621,61.09,50.22,67.24,13.86,5,up
GW05,HCM,KV3,2026-08-19-08,194,317,302,54.69,68.38,51.5,5.48,15,up
GW06,KHA,KV2,2026-08-19-08,216,474,460,62.83,44.46,58.94,17.5,14,up
GW01,DBN,KV1,2026-08-19-09,199,335,331,38.37,52.86,41.91,12.12,4,up
GW02,SLA,KV1,2026-08-19-09,214,465,454,63.36,65.31,68.28,12.26,11,up
GW03,CMU,KV3,2026-08-19-09,302,606,603,27.07,66.41,49.93,7.4,3,up
GW04,NBH,KV1,2026-08-19-09,234,401,389,58.17,44.57,36.33,20.13,12,up
GW05,HCM,KV3,2026-08-19-09,330,646,643,28.25,28.16,38.97,11.5,3,up
GW06,KHA,KV2,2026-08-19-09,299,530,519,25.7,27.23,62.03,13.35,11,up
GW01,DBN,KV1,2026-08-19-10,224,474,461,65.88,58.52,51.26,17.56,13,up
GW02,SLA,KV1,2026-08-19-10,323,473,465,46.98,32.42,53.18,14.19,8,up
GW03,CMU,KV3,2026-08-19-10,264,379,365,27.98,39.83,57.34,13.48,14,up
GW04,NBH,KV1,2026-08-19-10,322,349,340,49.31,56.41,50.18,5.39,9,up
GW05,HCM,KV3,2026-08-19-10,340,482,472,34.47,32.21,63.66,21.57,10,up
GW06,KHA,KV2,2026-08-19-10,306,333,325,54.21,37.57,73.19,22.46,8,up
GW01,DBN,KV1,2026-08-19-11,285,683,670,31.27,36.53,53.33,20.26,13,up
GW02,SLA,KV1,2026-08-19-11,157,354,351,46.67,61.2,55.57,14.37,3,up
GW03,CMU,KV3,2026-08-19-11,217,597,590,63.19,50.76,52.06,13.46,7,up
GW04,NBH,KV1,2026-08-19-11,296,333,318,33.68,59.08,39.06,10.68,15,up
GW05,HCM,KV3,2026-08-19-11,259,420,416,63.55,56.73,58.64,19.44,4,up
GW06,KHA,KV2,2026-08-19-11,337,390,376,25.79,62.5,38.74,7.82,14,up
GW01,DBN,KV1,2026-08-19-12,261,430,424,43.37,22.14,71.27,18.33,6,up
GW02,SLA,KV1,2026-08-19-12,256,656,643,46.03,56.57,68.82,23.67,13,up
GW03,CMU,KV3,2026-08-19-12,165,527,516,34.33,29.56,41.47,11.65,11,up
GW04,NBH,KV1,2026-08-19-12,318,659,657,48.54,62.63,51.57,8.85,2,up
GW05,HCM,KV3,2026-08-19-12,315,437,433,21.78,51.7,39.17,13.28,4,up
GW06,KHA,KV2,2026-08-19-12,329,470,456,46.2,41.37,70.04,18.15,14,up
GW01,DBN,KV1,2026-08-19-13,152,408,397,29.36,31.72,44.93,19.33,11,up
GW02,SLA,KV1,2026-08-19-13,346,345,331,34.65,64.2,57.4,19.92,14,up
GW03,CMU,KV3,2026-08-19-13,190,609,602,63.15,20.28,40.83,8.52,7,up
GW04,NBH,KV1,2026-08-19-13,235,389,375,41.83,65.26,36.98,5.56,14,up
GW05,HCM,KV3,2026-08-19-13,170,421,418,68.51,60.0,35.36,10.0,3,up
GW06,KHA,KV2,2026-08-19-13,188,573,571,39.73,56.0,68.45,14.36,2,up
GW01,DBN,KV1,2026-08-19-14,152,693,691,69.91,63.74,47.55,22.3,2,up
GW02,SLA,KV1,2026-08-19-14,189,647,635,25.53,53.73,64.02,19.46,12,up
GW03,CMU,KV3,2026-08-19-14,181,454,445,35.09,45.76,49.99,20.55,9,up
GW04,NBH,KV1,2026-08-19-14,334,626,621,67.69,62.79,35.45,5.56,5,up
GW05,HCM,KV3,2026-08-19-14,306,330,323,60.15,41.94,57.77,12.86,7,up
GW06,KHA,KV2,2026-08-19-14,299,481,466,21.82,44.5,55.93,6.74,15,up
GW01,DBN,KV1,2026-08-19-15,344,396,382,68.11,45.25,44.3,7.89,14,up
GW02,SLA,KV1,2026-08-19-15,314,315,302,41.92,54.74,61.49,9.07,13,up
GW03,CMU,KV3,2026-08-19-15,233,696,687,60.28,53.22,42.87,9.65,9,up
GW04,NBH,KV1,2026-08-19-15,302,652,648,40.09,26.62,62.31,23.56,4,up
GW05,HCM,KV3,2026-08-19-15,274,323,313,69.78,23.04,69.03,5.35,10,up
GW06,KHA,KV2,2026-08-19-15,184,325,318,33.08,64.89,54.54,5.67,7,up
GW01,DBN,KV1,2026-08-19-16,151,557,550,63.06,26.11,37.55,8.58,7,up
GW02,SLA,KV1,2026-08-19-16,213,638,629,20.11,59.04,45.87,13.97,9,up
GW03,CMU,KV3,2026-08-19-16,182,569,561,38.12,34.97,40.27,21.17,8,up
GW04,NBH,KV1,2026-08-19-16,176,327,322,46.38,29.65,50.35,23.33,5,up
GW05,HCM,KV3,2026-08-19-16,163,430,421,28.28,36.71,40.65,14.33,9,up
GW06,KHA,KV2,2026-08-19-16,304,474,461,54.43,66.38,70.68,17.62,13,up
GW01,DBN,KV1,2026-08-19-17,274,351,344,40.97,28.52,65.77,16.43,7,up
GW02,SLA,KV1,2026-08-19-17,183,353,345,29.29,24.56,74.86,6.25,8,up
GW03,CMU,KV3,2026-08-19-17,184,343,331,25.03,26.01,40.95,17.92,12,up
GW04,NBH,KV1,2026-08-19-17,295,672,668,22.87,32.89,72.0,8.2,4,up
GW05,HCM,KV3,2026-08-19-17,314,438,428,60.0,42.27,41.42,17.65,10,up
GW06,KHA,KV2,2026-08-19-17,224,560,554,69.79,39.39,57.35,16.15,6,up
GW01,DBN,KV1,2026-08-19-18,349,434,422,46.34,28.33,40.39,18.45,12,up
GW02,SLA,KV1,2026-08-19-18,232,689,683,50.68,67.67,37.08,13.24,6,up
GW03,CMU,KV3,2026-08-19-18,344,386,374,66.31,69.97,55.67,12.2,12,up
GW04,NBH,KV1,2026-08-19-18,325,561,558,26.14,56.08,56.94,5.88,3,up
GW05,HCM,KV3,2026-08-19-18,261,449,438,21.52,40.4,54.04,9.13,11,up
GW06,KHA,KV2,2026-08-19-18,255,342,330,31.12,53.94,36.75,19.78,12,up
GW01,DBN,KV1,2026-08-19-19,246,689,675,61.99,27.86,48.99,11.68,14,up
GW02,SLA,KV1,2026-08-19-19,196,482,477,58.37,38.36,66.29,12.78,5,up
GW03,CMU,KV3,2026-08-19-19,272,660,658,29.08,38.78,53.61,12.8,2,up
GW04,NBH,KV1,2026-08-19-19,342,335,331,36.71,47.27,39.17,24.78,4,up
GW05,HCM,KV3,2026-08-19-19,326,606,597,30.06,31.01,66.99,21.25,9,up
GW06,KHA,KV2,2026-08-19-19,256,310,305,65.61,59.55,60.86,19.56,5,up
GW01,DBN,KV1,2026-08-19-20,267,448,439,26.93,66.38,36.64,16.87,9,up
GW02,SLA,KV1,2026-08-19-20,286,592,579,37.28,23.18,68.76,8.78,13,up
GW03,CMU,KV3,2026-08-19-20,174,375,368,30.84,51.03,71.42,8.03,7,up
GW04,NBH,KV1,2026-08-19-20,151,340,331,69.2,39.61,56.77,9.41,9,up
GW05,HCM,KV3,2026-08-19-20,314,440,429,62.05,68.36,47.39,13.7,11,up
GW06,KHA,KV2,2026-08-19-20,319,519,513,30.32,45.75,55.8,15.2,6,up
GW01,DBN,KV1,2026-08-19-21,177,533,525,26.63,38.98,74.16,14.51,8,up
GW02,SLA,KV1,2026-08-19-21,340,598,593,20.87,51.03,51.57,19.03,5,up
GW03,CMU,KV3,2026-08-19-21,187,500,487,65.08,24.28,71.62,11.3,13,up
GW04,NBH,KV1,2026-08-19-21,250,320,306,38.57,63.93,42.8,18.72,14,up
GW05,HCM,KV3,2026-08-19-21,186,601,597,28.03,27.68,67.71,19.48,4,up
GW06,KHA,KV2,2026-08-19-21,346,548,543,53.64,55.84,54.6,10.99,5,up
GW01,DBN,KV1,2026-08-19-22,159,620,616,58.68,58.16,66.89,21.92,4,up
GW02,SLA,KV1,2026-08-19-22,231,366,353,57.02,64.79,66.59,8.36,13,up
GW03,CMU,KV3,2026-08-19-22,279,580,576,20.58,51.71,59.59,5.15,4,up
GW04,NBH,KV1,2026-08-19-22,283,504,495,37.6,20.44,38.19,12.62,9,up
GW05,HCM,KV3,2026-08-19-22,169,466,457,64.21,44.22,61.33,23.96,9,up
GW06,KHA,KV2,2026-08-19-22,263,679,669,32.73,27.64,58.0,16.42,10,up
GW01,DBN,KV1,2026-08-19-23,294,584,582,42.37,21.05,47.08,14.6,2,up
GW02,SLA,KV1,2026-08-19-23,331,305,295,38.83,66.22,37.8,17.21,10,up
GW03,CMU,KV3,2026-08-19-23,240,605,600,46.05,61.55,35.84,23.72,5,up
GW04,NBH,KV1,2026-08-19-23,201,684,674,46.23,64.92,69.65,7.02,10,up
GW05,HCM,KV3,2026-08-19-23,255,654,644,33.32,52.8,59.58,10.82,10,up
GW06,KHA,KV2,2026-08-19-23,190,362,351,21.58,61.65,70.11,24.13,11,up
GW01,DBN,KV1,2026-08-20-00,172,354,348,44.49,33.2,41.37,16.49,6,up
GW02,SLA,KV1,2026-08-20-00,285,676,663,35.06,65.64,47.48,21.31,13,up
GW03,CMU,KV3,2026-08-20-00,219,636,624,39.96,47.76,44.3,13.29,12,up
GW04,NBH,KV1,2026-08-20-00,269,307,299,50.97,34.03,52.65,9.44,8,up
GW05,HCM,KV3,2026-08-20-00,197,420,415,46.2,36.23,71.16,7.85,5,up
GW06,KHA,KV2,2026-08-20-00,344,564,556,61.75,22.45,56.9,9.92,8,up
