slice_usage_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-SLICE_USAGE_HOURLY-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,22.88,index,valid,synthetic_core,168,451,448,69.45
CORE-SLICE_USAGE_HOURLY-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,66.08,index,valid,synthetic_core,136,535,534,60.81
CORE-SLICE_USAGE_HOURLY-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,51.97,index,valid,synthetic_core,291,431,419,23.94
CORE-SLICE_USAGE_HOURLY-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,39.16,index,valid,synthetic_core,219,346,335,58.02
CORE-SLICE_USAGE_HOURLY-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,81.15,index,valid,synthetic_core,130,345,338,62.04
CORE-SLICE_USAGE_HOURLY-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,60.76,index,valid,synthetic_core,268,480,476,35.26
CORE-SLICE_USAGE_HOURLY-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,81.45,index,valid,synthetic_core,241,413,401,36.02
CORE-SLICE_USAGE_HOURLY-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,20.61,index,valid,synthetic_core,268,511,508,20.03
CORE-SLICE_USAGE_HOURLY-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,58.19,index,valid,synthetic_core,170,213,209,30.56
CORE-SLICE_USAGE_HOURLY-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,34.01,index,valid,synthetic_core,282,392,387,42.02
CORE-SLICE_USAGE_HOURLY-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,37.03,index,valid,synthetic_core,272,560,553,31.25
CORE-SLICE_USAGE_HOURLY-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,48.43,index,valid,synthetic_core,226,242,231,41.45
CORE-SLICE_USAGE_HOURLY-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,19.54,index,valid,synthetic_core,200,291,290,37.53
CORE-SLICE_USAGE_HOURLY-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,78.92,index,valid,synthetic_core,294,361,359,23.68
CORE-SLICE_USAGE_HOURLY-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,50.26,index,valid,synthetic_core,136,520,510,22.85
CORE-SLICE_USAGE_HOURLY-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,52.95,index,valid,synthetic_core,218,506,504,56.71
CORE-SLICE_USAGE_HOURLY-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,81.44,index,valid,synthetic_core,123,573,566,41.59
CORE-SLICE_USAGE_HOURLY-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,17.12,index,valid,synthetic_core,154,209,208,43.31
CORE-SLICE_USAGE_HOURLY-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,23.13,index,valid,synthetic_core,137,386,379,27.72
CORE-SLICE_USAGE_HOURLY-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,58.83,index,valid,synthetic_core,243,479,475,47.01
CORE-SLICE_USAGE_HOURLY-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,84.84,index,valid,synthetic_core,298,509,502,66.58
CORE-SLICE_USAGE_HOURLY-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,29.02,index,valid,synthetic_core,114,412,401,33.78
CORE-SLICE_USAGE_HOURLY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,40.53,index,valid,synthetic_core,116,332,324,69.92
CORE-SLICE_USAGE_HOURLY-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,43.66,index,valid,synthetic_core,138,349,339,62.12
CORE-SLICE_USAGE_HOURLY-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,52.46,index,valid,synthetic_core,267,216,215,63.69
CORE-SLICE_USAGE_HOURLY-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,56.89,index,valid,synthetic_core,110,412,407,57.08
CORE-SLICE_USAGE_HOURLY-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,15.89,index,valid,synthetic_core,187,502,499,44.55
CORE-SLICE_USAGE_HOURLY-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,24.32,index,valid,synthetic_core,211,232,222,58.04
CORE-SLICE_USAGE_HOURLY-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,81.56,index,valid,synthetic_core,122,437,430,45.35
CORE-SLICE_USAGE_HOURLY-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,33.05,index,valid,synthetic_core,158,445,433,44.89
CORE-SLICE_USAGE_HOURLY-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,58.35,index,valid,synthetic_core,129,426,416,29.26
CORE-SLICE_USAGE_HOURLY-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,36.46,index,valid,synthetic_core,208,523,518,63.46
CORE-SLICE_USAGE_HOURLY-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,41.27,index,valid,synthetic_core,243,229,228,67.45
CORE-SLICE_USAGE_HOURLY-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,72.31,index,valid,synthetic_core,286,305,298,40.59
CORE-SLICE_USAGE_HOURLY-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,17.57,index,valid,synthetic_core,285,227,216,32.12
CORE-SLICE_USAGE_HOURLY-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,58.71,index,valid,synthetic_core,125,209,200,54.21
CORE-SLICE_USAGE_HOURLY-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,24.25,index,valid,synthetic_core,192,478,471,21.87
CORE-SLICE_USAGE_HOURLY-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,51.7,index,valid,synthetic_core,239,451,449,68.22
CORE-SLICE_USAGE_HOURLY-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,42.88,index,valid,synthetic_core,292,531,530,33.22
CORE-SLICE_USAGE_HOURLY-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,38.24,index,valid,synthetic_core,253,524,517,56.82
CORE-SLICE_USAGE_HOURLY-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,59.6,index,valid,synthetic_core,160,332,321,67.14
CORE-SLICE_USAGE_HOURLY-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,83.79,index,valid,synthetic_core,281,553,550,65.88
CORE-SLICE_USAGE_HOURLY-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,58.08,index,valid,synthetic_core,189,545,540,31.34
CORE-SLICE_USAGE_HOURLY-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,57.68,index,degraded,synthetic_core,223,484,482,27.78
CORE-SLICE_USAGE_HOURLY-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,16.34,index,valid,synthetic_core,161,250,249,69.85
CORE-SLICE_USAGE_HOURLY-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,31.52,index,valid,synthetic_core,297,295,291,65.54
CORE-SLICE_USAGE_HOURLY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,43.78,index,valid,synthetic_core,202,318,306,66.7
CORE-SLICE_USAGE_HOURLY-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,35.08,index,valid,synthetic_core,201,452,450,42.58
CORE-SLICE_USAGE_HOURLY-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,68.14,index,valid,synthetic_core,299,323,312,43.83
CORE-SLICE_USAGE_HOURLY-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,35.26,index,valid,synthetic_core,129,200,191,54.36
CORE-SLICE_USAGE_HOURLY-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,45.8,index,valid,synthetic_core,298,557,546,20.18
CORE-SLICE_USAGE_HOURLY-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,47.12,index,valid,synthetic_core,173,216,215,36.92
CORE-SLICE_USAGE_HOURLY-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,76.94,index,valid,synthetic_core,246,334,327,49.3
CORE-SLICE_USAGE_HOURLY-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,19.07,index,valid,synthetic_core,114,230,224,29.39
CORE-SLICE_USAGE_HOURLY-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,42.42,index,valid,synthetic_core,106,516,509,60.87
CORE-SLICE_USAGE_HOURLY-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,43.78,index,valid,synthetic_core,202,204,194,62.88
CORE-SLICE_USAGE_HOURLY-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,78.74,index,valid,synthetic_core,128,226,221,50.87
CORE-SLICE_USAGE_HOURLY-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,62.81,index,valid,synthetic_core,100,548,540,68.89
CORE-SLICE_USAGE_HOURLY-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,32.38,index,valid,synthetic_core,281,396,394,40.73
CORE-SLICE_USAGE_HOURLY-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,56.82,index,valid,synthetic_core,276,455,454,27.2
CORE-SLICE_USAGE_HOURLY-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,26.37,index,valid,synthetic_core,276,298,296,57.28
CORE-SLICE_USAGE_HOURLY-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,62.05,index,valid,synthetic_core,247,503,496,35.82
CORE-SLICE_USAGE_HOURLY-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,19.16,index,valid,synthetic_core,298,250,249,39.07
CORE-SLICE_USAGE_HOURLY-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,20.58,index,valid,synthetic_core,261,228,221,49.11
CORE-SLICE_USAGE_HOURLY-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,53.18,index,valid,synthetic_core,201,589,579,22.28
CORE-SLICE_USAGE_HOURLY-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,50.95,index,valid,synthetic_core,201,262,261,28.4
CORE-SLICE_USAGE_HOURLY-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,20.84,index,valid,synthetic_core,111,258,257,31.02
CORE-SLICE_USAGE_HOURLY-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,81.63,index,valid,synthetic_core,246,583,581,44.6
CORE-SLICE_USAGE_HOURLY-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,84.21,index,valid,synthetic_core,272,202,198,20.89
CORE-SLICE_USAGE_HOURLY-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,64.17,index,valid,synthetic_core,133,493,481,20.39
CORE-SLICE_USAGE_HOURLY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,68.79,index,valid,synthetic_core,105,241,236,25.56
CORE-SLICE_USAGE_HOURLY-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,69.93,index,valid,synthetic_core,188,200,196,59.83
CORE-SLICE_USAGE_HOURLY-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,19.76,index,valid,synthetic_core,168,232,231,30.79
CORE-SLICE_USAGE_HOURLY-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,72.05,index,valid,synthetic_core,228,363,351,35.36
CORE-SLICE_USAGE_HOURLY-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,47.34,index,valid,synthetic_core,274,490,486,40.14
CORE-SLICE_USAGE_HOURLY-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,84.15,index,valid,synthetic_core,175,454,443,28.84
CORE-SLICE_USAGE_HOURLY-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,26.64,index,valid,synthetic_core,192,332,320,52.02
CORE-SLICE_USAGE_HOURLY-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,71.06,index,valid,synthetic_core,216,211,200,23.79
CORE-SLICE_USAGE_HOURLY-02-08,LOC003,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,68.63,index,valid,synthetic_core,294,269,263,22.77
CORE-SLICE_USAGE_HOURLY-02-09,LOC003,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,56.87,index,valid,synthetic_core,195,218,216,28.29
CORE-SLICE_USAGE_HOURLY-02-10,LOC003,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,45.36,index,valid,synthetic_core,246,543,532,24.23
CORE-SLICE_USAGE_HOURLY-02-11,LOC003,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,48.31,index,valid,synthetic_core,113,285,282,55.27
CORE-SLICE_USAGE_HOURLY-02-12,LOC003,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,39.56,index,valid,synthetic_core,203,341,339,38.22
CORE-SLICE_USAGE_HOURLY-02-13,LOC003,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,26.91,index,valid,synthetic_core,245,283,278,37.96
CORE-SLICE_USAGE_HOURLY-02-14,LOC003,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,45.19,index,valid,synthetic_core,276,391,388,44.3
