session_setup_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-SESSION_SETUP_HOURLY-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,18.98,index,valid,synthetic_core,189,277,269,52.51
CORE-SESSION_SETUP_HOURLY-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,67.51,index,valid,synthetic_core,274,567,558,52.21
CORE-SESSION_SETUP_HOURLY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,23.27,index,valid,synthetic_core,273,362,358,25.19
CORE-SESSION_SETUP_HOURLY-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,81.29,index,valid,synthetic_core,247,484,482,25.35
CORE-SESSION_SETUP_HOURLY-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,44.0,index,valid,synthetic_core,203,299,296,51.37
CORE-SESSION_SETUP_HOURLY-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,29.32,index,valid,synthetic_core,258,291,283,35.79
CORE-SESSION_SETUP_HOURLY-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,82.91,index,valid,synthetic_core,166,579,571,41.64
CORE-SESSION_SETUP_HOURLY-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,35.63,index,valid,synthetic_core,166,200,193,25.0
CORE-SESSION_SETUP_HOURLY-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,53.96,index,valid,synthetic_core,272,546,537,47.31
CORE-SESSION_SETUP_HOURLY-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,60.78,index,valid,synthetic_core,200,410,398,68.97
CORE-SESSION_SETUP_HOURLY-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,83.82,index,valid,synthetic_core,240,280,269,30.06
CORE-SESSION_SETUP_HOURLY-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,34.12,index,valid,synthetic_core,256,538,533,59.46
CORE-SESSION_SETUP_HOURLY-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,32.08,index,valid,synthetic_core,226,294,287,64.38
CORE-SESSION_SETUP_HOURLY-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,47.94,index,valid,synthetic_core,107,406,400,65.85
CORE-SESSION_SETUP_HOURLY-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,30.25,index,valid,synthetic_core,227,594,593,40.83
CORE-SESSION_SETUP_HOURLY-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,38.91,index,valid,synthetic_core,238,298,295,61.35
CORE-SESSION_SETUP_HOURLY-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,66.67,index,valid,synthetic_core,137,280,277,22.48
CORE-SESSION_SETUP_HOURLY-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,16.23,index,valid,synthetic_core,254,381,378,23.3
CORE-SESSION_SETUP_HOURLY-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,74.26,index,valid,synthetic_core,136,470,468,20.17
CORE-SESSION_SETUP_HOURLY-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,38.27,index,valid,synthetic_core,230,365,355,38.32
CORE-SESSION_SETUP_HOURLY-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,73.2,index,valid,synthetic_core,209,557,548,45.28
CORE-SESSION_SETUP_HOURLY-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,17.03,index,valid,synthetic_core,114,502,490,53.93
CORE-SESSION_SETUP_HOURLY-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,74.38,index,valid,synthetic_core,210,239,236,46.23
CORE-SESSION_SETUP_HOURLY-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,75.32,index,valid,synthetic_core,106,371,365,66.89
CORE-SESSION_SETUP_HOURLY-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,27.9,index,valid,synthetic_core,220,401,391,42.34
CORE-SESSION_SETUP_HOURLY-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,22.26,index,valid,synthetic_core,165,380,376,54.01
CORE-SESSION_SETUP_HOURLY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,50.23,index,valid,synthetic_core,224,600,598,38.36
CORE-SESSION_SETUP_HOURLY-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,45.91,index,valid,synthetic_core,107,321,320,61.73
CORE-SESSION_SETUP_HOURLY-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,69.37,index,valid,synthetic_core,173,534,533,61.35
CORE-SESSION_SETUP_HOURLY-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,44.24,index,valid,synthetic_core,298,424,421,56.73
CORE-SESSION_SETUP_HOURLY-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,51.34,index,valid,synthetic_core,134,443,431,25.61
CORE-SESSION_SETUP_HOURLY-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,21.47,index,valid,synthetic_core,262,533,529,42.84
CORE-SESSION_SETUP_HOURLY-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,61.32,index,valid,synthetic_core,134,426,415,69.44
CORE-SESSION_SETUP_HOURLY-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,28.64,index,valid,synthetic_core,142,373,363,52.75
CORE-SESSION_SETUP_HOURLY-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,19.56,index,valid,synthetic_core,242,511,499,53.17
CORE-SESSION_SETUP_HOURLY-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,56.21,index,valid,synthetic_core,298,575,564,25.89
CORE-SESSION_SETUP_HOURLY-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,65.31,index,valid,synthetic_core,166,588,577,65.59
CORE-SESSION_SETUP_HOURLY-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,28.3,index,valid,synthetic_core,257,364,358,50.03
CORE-SESSION_SETUP_HOURLY-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,36.48,index,valid,synthetic_core,215,549,543,48.81
CORE-SESSION_SETUP_HOURLY-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,39.8,index,valid,synthetic_core,185,376,367,65.28
CORE-SESSION_SETUP_HOURLY-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,64.15,index,valid,synthetic_core,300,526,516,39.7
CORE-SESSION_SETUP_HOURLY-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,62.65,index,valid,synthetic_core,158,444,437,48.55
CORE-SESSION_SETUP_HOURLY-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,67.47,index,valid,synthetic_core,106,346,345,65.0
CORE-SESSION_SETUP_HOURLY-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,70.29,index,valid,synthetic_core,183,542,531,60.12
CORE-SESSION_SETUP_HOURLY-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,55.4,index,valid,synthetic_core,280,354,346,54.34
CORE-SESSION_SETUP_HOURLY-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,60.53,index,valid,synthetic_core,176,565,558,69.7
CORE-SESSION_SETUP_HOURLY-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,71.5,index,valid,synthetic_core,267,327,316,24.27
CORE-SESSION_SETUP_HOURLY-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,52.02,index,valid,synthetic_core,206,528,520,44.09
CORE-SESSION_SETUP_HOURLY-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,26.32,index,valid,synthetic_core,149,444,443,48.81
CORE-SESSION_SETUP_HOURLY-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,64.19,index,valid,synthetic_core,222,207,200,48.24
CORE-SESSION_SETUP_HOURLY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,28.31,index,valid,synthetic_core,237,531,520,31.36
CORE-SESSION_SETUP_HOURLY-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,47.95,index,valid,synthetic_core,231,482,477,30.86
CORE-SESSION_SETUP_HOURLY-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,81.75,index,valid,synthetic_core,184,387,386,40.75
CORE-SESSION_SETUP_HOURLY-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,45.06,index,valid,synthetic_core,176,260,253,68.18
CORE-SESSION_SETUP_HOURLY-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,75.88,index,valid,synthetic_core,213,426,423,37.06
CORE-SESSION_SETUP_HOURLY-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,33.25,index,valid,synthetic_core,220,520,508,58.79
CORE-SESSION_SETUP_HOURLY-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,16.19,index,valid,synthetic_core,295,398,392,44.71
CORE-SESSION_SETUP_HOURLY-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,36.63,index,valid,synthetic_core,157,244,235,24.88
CORE-SESSION_SETUP_HOURLY-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,24.68,index,valid,synthetic_core,254,386,378,63.6
CORE-SESSION_SETUP_HOURLY-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,34.51,index,valid,synthetic_core,149,292,286,64.1
CORE-SESSION_SETUP_HOURLY-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,46.15,index,valid,synthetic_core,200,544,540,66.74
CORE-SESSION_SETUP_HOURLY-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,33.5,index,valid,synthetic_core,156,201,193,68.51
CORE-SESSION_SETUP_HOURLY-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,78.45,index,valid,synthetic_core,233,495,494,29.26
CORE-SESSION_SETUP_HOURLY-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,58.46,index,valid,synthetic_core,144,271,262,45.97
CORE-SESSION_SETUP_HOURLY-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,50.68,index,valid,synthetic_core,172,258,247,60.71
CORE-SESSION_SETUP_HOURLY-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,55.55,index,valid,synthetic_core,241,264,258,40.12
CORE-SESSION_SETUP_HOURLY-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,16.2,index,valid,synthetic_core,291,530,524,57.33
CORE-SESSION_SETUP_HOURLY-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,59.49,index,valid,synthetic_core,197,278,270,23.61
CORE-SESSION_SETUP_HOURLY-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,84.37,index,valid,synthetic_core,262,461,459,64.21
CORE-SESSION_SETUP_HOURLY-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,67.76,index,valid,synthetic_core,196,332,321,32.52
CORE-SESSION_SETUP_HOURLY-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,52.13,index,valid,synthetic_core,260,236,235,21.31
CORE-SESSION_SETUP_HOURLY-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,74.33,index,degraded,synthetic_core,300,489,487,54.97
CORE-SESSION_SETUP_HOURLY-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,56.88,index,valid,synthetic_core,226,407,401,60.14
CORE-SESSION_SETUP_HOURLY-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,20.84,index,valid,synthetic_core,211,250,238,43.23
CORE-SESSION_SETUP_HOURLY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,62.99,index,valid,synthetic_core,148,389,387,33.3
CORE-SESSION_SETUP_HOURLY-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,41.06,index,valid,synthetic_core,249,537,531,63.42
CORE-SESSION_SETUP_HOURLY-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,26.33,index,valid,synthetic_core,177,384,372,27.21
CORE-SESSION_SETUP_HOURLY-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,26.8,index,valid,synthetic_core,242,233,225,58.63
CORE-SESSION_SETUP_HOURLY-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,79.9,index,valid,synthetic_core,290,295,287,57.08
CORE-SESSION_SETUP_HOURLY-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,67.0,index,valid,synthetic_core,263,517,512,60.8
CORE-SESSION_SETUP_HOURLY-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,19.39,index,valid,synthetic_core,194,227,218,26.69
CORE-SESSION_SETUP_HOURLY-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,19.77,index,valid,synthetic_core,272,312,302,58.14
CORE-SESSION_SETUP_HOURLY-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,28.13,index,valid,synthetic_core,197,214,205,29.24
CORE-SESSION_SETUP_HOURLY-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,40.47,index,valid,synthetic_core,162,280,272,39.45
CORE-SESSION_SETUP_HOURLY-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,70.3,index,valid,synthetic_core,274,201,193,54.26
CORE-SESSION_SETUP_HOURLY-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,21.56,index,valid,synthetic_core,299,200,193,28.91
CORE-SESSION_SETUP_HOURLY-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,83.67,index,valid,synthetic_core,177,586,580,40.43
CORE-SESSION_SETUP_HOURLY-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,28.8,index,valid,synthetic_core,143,412,411,39.07
CORE-SESSION_SETUP_HOURLY-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,59.95,index,valid,synthetic_core,255,201,195,45.43
CORE-SESSION_SETUP_HOURLY-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,45.2,index,valid,synthetic_core,162,541,538,24.08
CORE-SESSION_SETUP_HOURLY-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,67.16,index,valid,synthetic_core,184,525,516,43.73
CORE-SESSION_SETUP_HOURLY-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,43.53,index,valid,synthetic_core,282,210,207,62.77
CORE-SESSION_SETUP_HOURLY-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,63.89,index,valid,synthetic_core,258,427,417,59.06
CORE-SESSION_SETUP_HOURLY-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,45.59,index,valid,synthetic_core,127,280,278,54.14
CORE-SESSION_SETUP_HOURLY-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,56.44,index,valid,synthetic_core,188,543,539,52.04
CORE-SESSION_SETUP_HOURLY-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,20.92,index,valid,synthetic_core,130,541,531,37.53
CORE-SESSION_SETUP_HOURLY-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,53.92,index,valid,synthetic_core,118,386,376,52.4
CORE-SESSION_SETUP_HOURLY-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,25.36,index,valid,synthetic_core,146,261,252,44.22
CORE-SESSION_SETUP_HOURLY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,31.88,index,valid,synthetic_core,260,428,421,37.17
CORE-SESSION_SETUP_HOURLY-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,39.01,index,valid,synthetic_core,286,265,262,56.8
CORE-SESSION_SETUP_HOURLY-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,65.16,index,valid,synthetic_core,274,464,457,68.68
CORE-SESSION_SETUP_HOURLY-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,81.89,index,valid,synthetic_core,242,396,386,48.17
CORE-SESSION_SETUP_HOURLY-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,47.87,index,valid,synthetic_core,153,276,265,41.1
CORE-SESSION_SETUP_HOURLY-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,65.68,index,valid,synthetic_core,160,479,468,30.72
CORE-SESSION_SETUP_HOURLY-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,23.15,index,valid,synthetic_core,158,524,516,40.75
CORE-SESSION_SETUP_HOURLY-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,24.41,index,valid,synthetic_core,131,500,488,68.68
CORE-SESSION_SETUP_HOURLY-02-08,LOC003,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,74.06,index,valid,synthetic_core,210,502,498,36.48
CORE-SESSION_SETUP_HOURLY-02-09,LOC003,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,68.28,index,valid,synthetic_core,260,561,553,36.76
CORE-SESSION_SETUP_HOURLY-02-10,LOC003,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,26.9,index,valid,synthetic_core,207,510,504,67.93
CORE-SESSION_SETUP_HOURLY-02-11,LOC003,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,80.13,index,valid,synthetic_core,146,450,438,28.56
CORE-SESSION_SETUP_HOURLY-02-12,LOC003,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,49.99,index,valid,synthetic_core,159,262,250,52.88
CORE-SESSION_SETUP_HOURLY-02-13,LOC003,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,37.46,index,valid,synthetic_core,152,522,516,25.47
CORE-SESSION_SETUP_HOURLY-02-14,LOC003,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,22.25,index,valid,synthetic_core,275,326,323,52.98
