apn_usage_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-APN_USAGE_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,75.57,index,valid,synthetic_core,298,522,518,61.63
CORE-APN_USAGE_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,52.28,index,valid,synthetic_core,267,402,395,43.74
CORE-APN_USAGE_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,80.26,index,degraded,synthetic_core,137,349,344,69.27
CORE-APN_USAGE_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,25.81,index,valid,synthetic_core,109,427,417,29.42
CORE-APN_USAGE_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,65.98,index,valid,synthetic_core,234,265,262,49.58
CORE-APN_USAGE_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,17.31,index,valid,synthetic_core,236,264,258,50.53
CORE-APN_USAGE_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,64.81,index,valid,synthetic_core,266,513,510,38.9
CORE-APN_USAGE_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,40.72,index,valid,synthetic_core,143,205,203,48.23
CORE-APN_USAGE_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,83.2,index,valid,synthetic_core,127,374,367,45.21
CORE-APN_USAGE_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,48.01,index,valid,synthetic_core,170,435,431,30.07
CORE-APN_USAGE_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,48.04,index,valid,synthetic_core,188,525,521,41.16
CORE-APN_USAGE_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,22.86,index,valid,synthetic_core,127,411,402,47.97
CORE-APN_USAGE_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,69.08,index,valid,synthetic_core,270,234,231,34.99
CORE-APN_USAGE_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,33.91,index,valid,synthetic_core,129,205,201,36.2
CORE-APN_USAGE_HOURLY-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,52.42,index,valid,synthetic_core,243,289,277,28.02
CORE-APN_USAGE_HOURLY-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,38.27,index,valid,synthetic_core,250,382,376,32.36
CORE-APN_USAGE_HOURLY-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,74.29,index,valid,synthetic_core,268,481,471,34.54
CORE-APN_USAGE_HOURLY-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,69.49,index,valid,synthetic_core,225,253,242,25.57
CORE-APN_USAGE_HOURLY-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,70.13,index,valid,synthetic_core,246,423,417,66.16
CORE-APN_USAGE_HOURLY-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,69.13,index,valid,synthetic_core,137,515,513,56.7
CORE-APN_USAGE_HOURLY-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,19.97,index,valid,synthetic_core,195,457,455,68.53
CORE-APN_USAGE_HOURLY-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,54.17,index,valid,synthetic_core,252,283,281,63.24
CORE-APN_USAGE_HOURLY-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,30.21,index,valid,synthetic_core,182,374,365,42.82
CORE-APN_USAGE_HOURLY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,56.21,index,valid,synthetic_core,213,544,534,59.66
CORE-APN_USAGE_HOURLY-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,44.23,index,valid,synthetic_core,102,433,429,51.66
CORE-APN_USAGE_HOURLY-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,50.52,index,valid,synthetic_core,234,471,459,52.7
CORE-APN_USAGE_HOURLY-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,64.44,index,valid,synthetic_core,101,271,261,23.95
CORE-APN_USAGE_HOURLY-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,46.69,index,valid,synthetic_core,254,502,497,26.44
CORE-APN_USAGE_HOURLY-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,74.29,index,valid,synthetic_core,162,238,234,61.49
CORE-APN_USAGE_HOURLY-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,39.78,index,valid,synthetic_core,286,272,270,38.17
CORE-APN_USAGE_HOURLY-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,24.94,index,valid,synthetic_core,248,587,581,60.05
CORE-APN_USAGE_HOURLY-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,56.39,index,valid,synthetic_core,259,592,589,68.37
CORE-APN_USAGE_HOURLY-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,65.87,index,valid,synthetic_core,141,330,327,46.45
CORE-APN_USAGE_HOURLY-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,52.84,index,valid,synthetic_core,163,593,591,66.69
CORE-APN_USAGE_HOURLY-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,38.48,index,valid,synthetic_core,175,259,258,24.45
CORE-APN_USAGE_HOURLY-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,53.87,index,valid,synthetic_core,209,247,238,21.75
CORE-APN_USAGE_HOURLY-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,63.88,index,valid,synthetic_core,278,580,577,45.64
CORE-APN_USAGE_HOURLY-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,36.74,index,valid,synthetic_core,107,334,322,48.02
CORE-APN_USAGE_HOURLY-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,80.1,index,valid,synthetic_core,257,367,356,52.83
CORE-APN_USAGE_HOURLY-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,32.37,index,valid,synthetic_core,223,597,595,48.73
CORE-APN_USAGE_HOURLY-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,16.11,index,valid,synthetic_core,227,275,272,21.34
CORE-APN_USAGE_HOURLY-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,77.89,index,valid,synthetic_core,135,280,271,24.1
CORE-APN_USAGE_HOURLY-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,74.91,index,valid,synthetic_core,192,242,237,57.23
CORE-APN_USAGE_HOURLY-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,56.13,index,valid,synthetic_core,158,400,399,49.4
CORE-APN_USAGE_HOURLY-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,30.46,index,valid,synthetic_core,113,232,220,48.22
CORE-APN_USAGE_HOURLY-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,39.14,index,valid,synthetic_core,224,356,354,35.18
CORE-APN_USAGE_HOURLY-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,31.67,index,valid,synthetic_core,207,441,437,39.13
CORE-APN_USAGE_HOURLY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,66.31,index,valid,synthetic_core,158,567,556,61.94
CORE-APN_USAGE_HOURLY-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,69.68,index,valid,synthetic_core,282,222,212,66.92
CORE-APN_USAGE_HOURLY-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,52.23,index,valid,synthetic_core,182,381,380,57.2
CORE-APN_USAGE_HOURLY-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,28.37,index,valid,synthetic_core,117,308,298,49.39
CORE-APN_USAGE_HOURLY-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,66.03,index,valid,synthetic_core,170,362,360,43.97
CORE-APN_USAGE_HOURLY-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,20.15,index,valid,synthetic_core,240,488,481,24.84
CORE-APN_USAGE_HOURLY-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,19.32,index,valid,synthetic_core,127,550,545,67.81
CORE-APN_USAGE_HOURLY-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,81.82,index,valid,synthetic_core,215,463,461,60.81
CORE-APN_USAGE_HOURLY-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,43.25,index,valid,synthetic_core,235,203,199,48.48
CORE-APN_USAGE_HOURLY-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,16.86,index,valid,synthetic_core,221,376,365,52.47
CORE-APN_USAGE_HOURLY-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,67.11,index,valid,synthetic_core,125,598,593,64.25
CORE-APN_USAGE_HOURLY-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,68.24,index,valid,synthetic_core,163,282,272,30.05
CORE-APN_USAGE_HOURLY-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,31.68,index,valid,synthetic_core,141,239,235,68.58
CORE-APN_USAGE_HOURLY-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,49.66,index,valid,synthetic_core,263,235,223,25.15
CORE-APN_USAGE_HOURLY-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,41.97,index,valid,synthetic_core,278,223,217,40.49
CORE-APN_USAGE_HOURLY-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,42.16,index,valid,synthetic_core,161,541,534,51.92
CORE-APN_USAGE_HOURLY-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,35.86,index,valid,synthetic_core,275,265,258,26.88
CORE-APN_USAGE_HOURLY-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,73.45,index,valid,synthetic_core,180,592,582,23.81
CORE-APN_USAGE_HOURLY-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,79.95,index,valid,synthetic_core,273,454,448,45.28
CORE-APN_USAGE_HOURLY-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,23.1,index,valid,synthetic_core,208,568,558,38.91
CORE-APN_USAGE_HOURLY-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,56.79,index,valid,synthetic_core,150,563,556,41.56
CORE-APN_USAGE_HOURLY-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,49.63,index,valid,synthetic_core,211,335,331,31.57
CORE-APN_USAGE_HOURLY-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,38.19,index,valid,synthetic_core,123,325,320,68.14
CORE-APN_USAGE_HOURLY-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,81.24,index,valid,synthetic_core,123,503,498,49.97
CORE-APN_USAGE_HOURLY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,21.76,index,valid,synthetic_core,108,257,255,26.7
CORE-APN_USAGE_HOURLY-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,71.44,index,valid,synthetic_core,101,298,296,32.94
CORE-APN_USAGE_HOURLY-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,65.19,index,valid,synthetic_core,285,468,457,22.53
CORE-APN_USAGE_HOURLY-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,27.39,index,valid,synthetic_core,257,458,452,37.01
CORE-APN_USAGE_HOURLY-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,70.34,index,valid,synthetic_core,286,473,467,56.68
CORE-APN_USAGE_HOURLY-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,41.34,index,valid,synthetic_core,289,403,392,43.16
CORE-APN_USAGE_HOURLY-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,21.74,index,valid,synthetic_core,175,220,218,37.58
CORE-APN_USAGE_HOURLY-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,77.33,index,valid,synthetic_core,113,345,338,64.64
CORE-APN_USAGE_HOURLY-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,76.28,index,valid,synthetic_core,138,383,375,52.27
CORE-APN_USAGE_HOURLY-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,44.73,index,valid,synthetic_core,124,532,529,46.97
CORE-APN_USAGE_HOURLY-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,25.77,index,valid,synthetic_core,172,279,272,41.28
CORE-APN_USAGE_HOURLY-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,27.19,index,valid,synthetic_core,136,291,290,57.34
CORE-APN_USAGE_HOURLY-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,60.4,index,valid,synthetic_core,148,398,387,21.96
CORE-APN_USAGE_HOURLY-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,30.37,index,valid,synthetic_core,266,553,545,61.57
CORE-APN_USAGE_HOURLY-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,78.05,index,valid,synthetic_core,192,374,370,68.16
CORE-APN_USAGE_HOURLY-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,26.79,index,valid,synthetic_core,109,337,332,30.58
CORE-APN_USAGE_HOURLY-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,48.43,index,valid,synthetic_core,198,249,245,65.34
CORE-APN_USAGE_HOURLY-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,15.1,index,valid,synthetic_core,281,446,440,26.2
CORE-APN_USAGE_HOURLY-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,48.47,index,valid,synthetic_core,152,363,352,36.78
CORE-APN_USAGE_HOURLY-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,32.17,index,valid,synthetic_core,205,583,580,49.86
CORE-APN_USAGE_HOURLY-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,66.7,index,valid,synthetic_core,121,510,501,63.24
CORE-APN_USAGE_HOURLY-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,48.95,index,degraded,synthetic_core,148,571,561,27.0
CORE-APN_USAGE_HOURLY-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,82.95,index,valid,synthetic_core,150,481,473,64.75
CORE-APN_USAGE_HOURLY-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,78.3,index,valid,synthetic_core,163,538,535,33.05
CORE-APN_USAGE_HOURLY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,49.89,index,valid,synthetic_core,147,469,463,31.35
CORE-APN_USAGE_HOURLY-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,61.7,index,valid,synthetic_core,260,242,230,25.48
CORE-APN_USAGE_HOURLY-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,73.67,index,valid,synthetic_core,136,581,569,28.0
CORE-APN_USAGE_HOURLY-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,29.87,index,valid,synthetic_core,279,445,442,21.05
CORE-APN_USAGE_HOURLY-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,72.44,index,valid,synthetic_core,178,380,372,62.8
CORE-APN_USAGE_HOURLY-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,46.0,index,valid,synthetic_core,251,572,566,47.75
CORE-APN_USAGE_HOURLY-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,77.77,index,valid,synthetic_core,180,492,483,57.02
CORE-APN_USAGE_HOURLY-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,30.2,index,valid,synthetic_core,214,350,342,29.08
CORE-APN_USAGE_HOURLY-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,34.05,index,valid,synthetic_core,120,292,285,42.71
CORE-APN_USAGE_HOURLY-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,16.81,index,valid,synthetic_core,189,294,292,61.38
CORE-APN_USAGE_HOURLY-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,72.25,index,valid,synthetic_core,115,284,281,52.14
CORE-APN_USAGE_HOURLY-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,33.72,index,valid,synthetic_core,102,536,527,59.33
CORE-APN_USAGE_HOURLY-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,58.32,index,valid,synthetic_core,236,554,545,39.32
CORE-APN_USAGE_HOURLY-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,54.76,index,valid,synthetic_core,281,445,436,57.11
CORE-APN_USAGE_HOURLY-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,40.73,index,valid,synthetic_core,240,311,310,20.47
CORE-APN_USAGE_HOURLY-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,33.42,index,valid,synthetic_core,183,509,504,21.4
CORE-APN_USAGE_HOURLY-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,67.77,index,valid,synthetic_core,284,448,444,55.48
CORE-APN_USAGE_HOURLY-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,36.39,index,valid,synthetic_core,267,595,592,38.42
CORE-APN_USAGE_HOURLY-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,32.36,index,valid,synthetic_core,105,503,500,53.86
CORE-APN_USAGE_HOURLY-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,42.68,index,valid,synthetic_core,295,393,382,56.42
CORE-APN_USAGE_HOURLY-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,64.03,index,valid,synthetic_core,218,504,497,39.89
CORE-APN_USAGE_HOURLY-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,70.56,index,valid,synthetic_core,173,428,420,47.8
CORE-APN_USAGE_HOURLY-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,76.07,index,valid,synthetic_core,187,261,255,24.61
CORE-APN_USAGE_HOURLY-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,15.09,index,valid,synthetic_core,259,207,195,31.13
CORE-APN_USAGE_HOURLY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,25.91,index,valid,synthetic_core,281,583,574,57.06
CORE-APN_USAGE_HOURLY-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,64.58,index,valid,synthetic_core,197,257,253,61.4
CORE-APN_USAGE_HOURLY-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,30.35,index,valid,synthetic_core,124,428,422,41.32
CORE-APN_USAGE_HOURLY-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,58.43,index,valid,synthetic_core,139,222,211,37.02
CORE-APN_USAGE_HOURLY-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,42.18,index,valid,synthetic_core,272,350,344,24.77
CORE-APN_USAGE_HOURLY-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,72.7,index,valid,synthetic_core,226,453,443,65.51
CORE-APN_USAGE_HOURLY-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,72.57,index,valid,synthetic_core,261,349,348,20.87
CORE-APN_USAGE_HOURLY-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,79.81,index,valid,synthetic_core,249,435,432,50.21
CORE-APN_USAGE_HOURLY-02-08,LOC003,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,76.47,index,valid,synthetic_core,133,572,560,24.43
CORE-APN_USAGE_HOURLY-02-09,LOC003,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,76.31,index,valid,synthetic_core,217,395,392,44.96
CORE-APN_USAGE_HOURLY-02-10,LOC003,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,82.7,index,valid,synthetic_core,142,479,476,48.98
CORE-APN_USAGE_HOURLY-02-11,LOC003,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,76.58,index,valid,synthetic_core,288,498,488,59.14
CORE-APN_USAGE_HOURLY-02-12,LOC003,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,66.76,index,valid,synthetic_core,196,587,576,63.64
CORE-APN_USAGE_HOURLY-02-13,LOC003,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,52.22,index,valid,synthetic_core,259,427,425,35.2
CORE-APN_USAGE_HOURLY-02-14,LOC003,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,68.64,index,valid,synthetic_core,122,238,229,47.99
CORE-APN_USAGE_HOURLY-02-15,LOC003,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,84.45,index,valid,synthetic_core,179,273,270,59.9
CORE-APN_USAGE_HOURLY-02-16,LOC003,CMU,KV3,active,2026-08-18-16,2026-08-18 16:00:00,45.43,index,valid,synthetic_core,232,547,536,57.27
CORE-APN_USAGE_HOURLY-02-17,LOC003,CMU,KV3,active,2026-08-18-17,2026-08-18 17:00:00,32.83,index,valid,synthetic_core,208,353,341,65.54
