core_config_change_id,location_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,session_count,request_count,success_count,cpu_pct
CORE-CORE_CONFIG_CHANGE-01-27,LOC002,SLA,KV1,active,2026-08-19 03:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,293,517,511,30.45
CORE-CORE_CONFIG_CHANGE-01-36,LOC002,SLA,KV1,active,2026-08-19 12:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,133,318,312,52.76
CORE-CORE_CONFIG_CHANGE-01-45,LOC002,SLA,KV1,degraded,2026-08-19 21:00:00,CORE_CONFIG_CHANGE,major,failed,3600,synthetic_core,265,229,222,41.85
CORE-CORE_CONFIG_CHANGE-01-54,LOC002,SLA,KV1,active,2026-08-20 06:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,112,373,364,61.46
CORE-CORE_CONFIG_CHANGE-01-63,LOC002,SLA,KV1,active,2026-08-20 15:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,224,232,229,41.93
CORE-CORE_CONFIG_CHANGE-02-00,LOC003,CMU,KV3,active,2026-08-18 00:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,228,313,302,68.56
CORE-CORE_CONFIG_CHANGE-02-09,LOC003,CMU,KV3,active,2026-08-18 09:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,178,239,231,48.95
CORE-CORE_CONFIG_CHANGE-02-18,LOC003,CMU,KV3,active,2026-08-18 18:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,218,238,226,38.46
CORE-CORE_CONFIG_CHANGE-02-27,LOC003,CMU,KV3,active,2026-08-19 03:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,274,337,333,53.2
CORE-CORE_CONFIG_CHANGE-02-36,LOC003,CMU,KV3,active,2026-08-19 12:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,260,367,356,23.25
CORE-CORE_CONFIG_CHANGE-02-45,LOC003,CMU,KV3,active,2026-08-19 21:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,263,412,411,39.56
CORE-CORE_CONFIG_CHANGE-02-54,LOC003,CMU,KV3,active,2026-08-20 06:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,300,340,329,36.07
CORE-CORE_CONFIG_CHANGE-02-63,LOC003,CMU,KV3,active,2026-08-20 15:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,188,370,364,26.42
CORE-CORE_CONFIG_CHANGE-03-00,LOC004,NBH,KV1,active,2026-08-18 00:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,117,514,512,46.2
CORE-CORE_CONFIG_CHANGE-03-09,LOC004,NBH,KV1,active,2026-08-18 09:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,215,570,561,60.34
CORE-CORE_CONFIG_CHANGE-03-18,LOC004,NBH,KV1,active,2026-08-18 18:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,246,598,587,65.68
CORE-CORE_CONFIG_CHANGE-03-27,LOC004,NBH,KV1,active,2026-08-19 03:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,298,262,255,44.67
CORE-CORE_CONFIG_CHANGE-03-36,LOC004,NBH,KV1,active,2026-08-19 12:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,221,522,521,34.08
CORE-CORE_CONFIG_CHANGE-03-45,LOC004,NBH,KV1,active,2026-08-19 21:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,134,392,383,53.44
CORE-CORE_CONFIG_CHANGE-03-54,LOC004,NBH,KV1,active,2026-08-20 06:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,228,490,486,53.12
CORE-CORE_CONFIG_CHANGE-03-63,LOC004,NBH,KV1,active,2026-08-20 15:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,252,268,263,23.05
CORE-CORE_CONFIG_CHANGE-04-00,LOC005,HCM,KV3,active,2026-08-18 00:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,170,448,445,48.42
CORE-CORE_CONFIG_CHANGE-04-09,LOC005,HCM,KV3,active,2026-08-18 09:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,112,494,486,34.97
CORE-CORE_CONFIG_CHANGE-04-18,LOC005,HCM,KV3,active,2026-08-18 18:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,143,242,238,44.38
CORE-CORE_CONFIG_CHANGE-04-27,LOC005,HCM,KV3,active,2026-08-19 03:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,277,559,547,59.05
CORE-CORE_CONFIG_CHANGE-04-36,LOC005,HCM,KV3,active,2026-08-19 12:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,147,460,457,59.22
CORE-CORE_CONFIG_CHANGE-04-45,LOC005,HCM,KV3,active,2026-08-19 21:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,193,507,506,36.83
CORE-CORE_CONFIG_CHANGE-04-54,LOC005,HCM,KV3,active,2026-08-20 06:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,290,385,380,33.77
CORE-CORE_CONFIG_CHANGE-04-63,LOC005,HCM,KV3,active,2026-08-20 15:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,264,425,418,56.76
CORE-CORE_CONFIG_CHANGE-05-00,LOC006,KHA,KV2,active,2026-08-18 00:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,279,522,511,25.16
CORE-CORE_CONFIG_CHANGE-05-09,LOC006,KHA,KV2,active,2026-08-18 09:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,287,415,411,37.3
CORE-CORE_CONFIG_CHANGE-05-18,LOC006,KHA,KV2,active,2026-08-18 18:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,246,217,209,58.89
CORE-CORE_CONFIG_CHANGE-05-27,LOC006,KHA,KV2,active,2026-08-19 03:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,170,357,355,41.44
CORE-CORE_CONFIG_CHANGE-05-36,LOC006,KHA,KV2,active,2026-08-19 12:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,228,382,370,22.64
CORE-CORE_CONFIG_CHANGE-05-45,LOC006,KHA,KV2,active,2026-08-19 21:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,290,522,514,27.77
CORE-CORE_CONFIG_CHANGE-05-54,LOC006,KHA,KV2,active,2026-08-20 06:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,250,488,482,52.83
CORE-CORE_CONFIG_CHANGE-05-63,LOC006,KHA,KV2,active,2026-08-20 15:00:00,CORE_CONFIG_CHANGE,info,success,60,synthetic_core,156,491,479,61.77
