subscriber_attach_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-SUBSCRIBER_ATTACH_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,77.7,index,valid,synthetic_core,266,307,305,33.89
CORE-SUBSCRIBER_ATTACH_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,56.76,index,valid,synthetic_core,250,215,211,33.18
CORE-SUBSCRIBER_ATTACH_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,53.47,index,valid,synthetic_core,219,348,339,29.55
CORE-SUBSCRIBER_ATTACH_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,39.73,index,valid,synthetic_core,291,230,229,26.95
CORE-SUBSCRIBER_ATTACH_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,27.28,index,valid,synthetic_core,157,202,198,55.72
CORE-SUBSCRIBER_ATTACH_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,79.2,index,valid,synthetic_core,196,291,282,57.43
CORE-SUBSCRIBER_ATTACH_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,25.45,index,valid,synthetic_core,240,290,285,61.16
CORE-SUBSCRIBER_ATTACH_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,54.59,index,valid,synthetic_core,162,590,586,60.33
CORE-SUBSCRIBER_ATTACH_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,37.55,index,valid,synthetic_core,263,342,333,40.61
CORE-SUBSCRIBER_ATTACH_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,61.81,index,valid,synthetic_core,117,334,333,68.61
CORE-SUBSCRIBER_ATTACH_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,33.54,index,degraded,synthetic_core,194,368,363,30.36
CORE-SUBSCRIBER_ATTACH_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,16.55,index,valid,synthetic_core,175,449,447,68.59
CORE-SUBSCRIBER_ATTACH_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,61.02,index,valid,synthetic_core,161,452,445,48.72
CORE-SUBSCRIBER_ATTACH_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,56.68,index,valid,synthetic_core,194,395,387,28.66
CORE-SUBSCRIBER_ATTACH_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,73.4,index,valid,synthetic_core,123,376,374,52.96
CORE-SUBSCRIBER_ATTACH_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,19.62,index,valid,synthetic_core,207,439,431,48.2
CORE-SUBSCRIBER_ATTACH_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,49.61,index,valid,synthetic_core,108,598,590,62.42
CORE-SUBSCRIBER_ATTACH_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,45.49,index,valid,synthetic_core,156,464,460,35.63
CORE-SUBSCRIBER_ATTACH_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,72.23,index,valid,synthetic_core,174,379,367,34.35
CORE-SUBSCRIBER_ATTACH_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,52.05,index,valid,synthetic_core,108,271,269,52.78
CORE-SUBSCRIBER_ATTACH_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,70.66,index,valid,synthetic_core,253,587,586,46.25
CORE-SUBSCRIBER_ATTACH_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,45.84,index,valid,synthetic_core,104,590,589,61.79
CORE-SUBSCRIBER_ATTACH_HOURLY-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,27.21,index,valid,synthetic_core,218,545,537,58.59
CORE-SUBSCRIBER_ATTACH_HOURLY-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,72.96,index,valid,synthetic_core,182,208,198,48.9
CORE-SUBSCRIBER_ATTACH_HOURLY-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,53.52,index,valid,synthetic_core,216,229,218,48.6
CORE-SUBSCRIBER_ATTACH_HOURLY-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,44.1,index,valid,synthetic_core,184,573,562,22.5
CORE-SUBSCRIBER_ATTACH_HOURLY-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,72.13,index,valid,synthetic_core,238,300,298,40.71
CORE-SUBSCRIBER_ATTACH_HOURLY-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,52.73,index,valid,synthetic_core,246,363,362,44.94
CORE-SUBSCRIBER_ATTACH_HOURLY-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,29.36,index,valid,synthetic_core,270,230,223,45.87
CORE-SUBSCRIBER_ATTACH_HOURLY-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,70.88,index,valid,synthetic_core,235,226,221,23.23
CORE-SUBSCRIBER_ATTACH_HOURLY-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,82.33,index,valid,synthetic_core,152,600,590,58.01
CORE-SUBSCRIBER_ATTACH_HOURLY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,58.06,index,valid,synthetic_core,128,547,545,46.39
CORE-SUBSCRIBER_ATTACH_HOURLY-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,62.62,index,valid,synthetic_core,230,257,253,36.79
CORE-SUBSCRIBER_ATTACH_HOURLY-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,55.66,index,valid,synthetic_core,284,375,365,63.88
CORE-SUBSCRIBER_ATTACH_HOURLY-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,49.54,index,valid,synthetic_core,124,468,456,44.39
CORE-SUBSCRIBER_ATTACH_HOURLY-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,46.89,index,valid,synthetic_core,267,448,445,50.58
CORE-SUBSCRIBER_ATTACH_HOURLY-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,82.49,index,valid,synthetic_core,234,500,492,23.69
CORE-SUBSCRIBER_ATTACH_HOURLY-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,44.65,index,valid,synthetic_core,184,455,445,57.17
CORE-SUBSCRIBER_ATTACH_HOURLY-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,32.22,index,valid,synthetic_core,204,462,461,63.67
CORE-SUBSCRIBER_ATTACH_HOURLY-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,68.86,index,valid,synthetic_core,178,425,424,48.02
CORE-SUBSCRIBER_ATTACH_HOURLY-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,62.5,index,valid,synthetic_core,153,318,307,47.13
CORE-SUBSCRIBER_ATTACH_HOURLY-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,39.63,index,valid,synthetic_core,233,448,440,49.09
CORE-SUBSCRIBER_ATTACH_HOURLY-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,50.54,index,valid,synthetic_core,137,471,466,43.79
CORE-SUBSCRIBER_ATTACH_HOURLY-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,15.54,index,valid,synthetic_core,192,388,385,27.11
CORE-SUBSCRIBER_ATTACH_HOURLY-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,44.26,index,valid,synthetic_core,244,361,355,31.45
CORE-SUBSCRIBER_ATTACH_HOURLY-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,81.08,index,valid,synthetic_core,139,556,553,57.91
CORE-SUBSCRIBER_ATTACH_HOURLY-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,45.91,index,valid,synthetic_core,260,580,568,51.54
CORE-SUBSCRIBER_ATTACH_HOURLY-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,61.44,index,valid,synthetic_core,156,455,451,68.93
CORE-SUBSCRIBER_ATTACH_HOURLY-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,24.17,index,valid,synthetic_core,199,515,509,47.39
CORE-SUBSCRIBER_ATTACH_HOURLY-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,51.57,index,valid,synthetic_core,244,357,347,65.41
CORE-SUBSCRIBER_ATTACH_HOURLY-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,23.49,index,valid,synthetic_core,140,485,482,61.46
CORE-SUBSCRIBER_ATTACH_HOURLY-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,71.79,index,valid,synthetic_core,226,382,376,68.61
CORE-SUBSCRIBER_ATTACH_HOURLY-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,48.53,index,valid,synthetic_core,252,290,279,25.72
CORE-SUBSCRIBER_ATTACH_HOURLY-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,73.83,index,valid,synthetic_core,243,587,575,46.37
CORE-SUBSCRIBER_ATTACH_HOURLY-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,36.52,index,valid,synthetic_core,227,591,586,55.31
CORE-SUBSCRIBER_ATTACH_HOURLY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,84.06,index,valid,synthetic_core,178,206,201,43.41
CORE-SUBSCRIBER_ATTACH_HOURLY-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,38.21,index,valid,synthetic_core,239,390,387,64.67
CORE-SUBSCRIBER_ATTACH_HOURLY-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,21.63,index,valid,synthetic_core,236,400,389,37.85
CORE-SUBSCRIBER_ATTACH_HOURLY-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,18.56,index,valid,synthetic_core,188,448,440,58.91
CORE-SUBSCRIBER_ATTACH_HOURLY-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,15.61,index,valid,synthetic_core,246,589,579,45.82
CORE-SUBSCRIBER_ATTACH_HOURLY-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,49.65,index,valid,synthetic_core,139,307,296,45.3
CORE-SUBSCRIBER_ATTACH_HOURLY-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,68.05,index,valid,synthetic_core,142,309,306,34.75
CORE-SUBSCRIBER_ATTACH_HOURLY-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,70.35,index,valid,synthetic_core,154,464,463,53.96
CORE-SUBSCRIBER_ATTACH_HOURLY-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,17.53,index,valid,synthetic_core,277,304,293,67.45
CORE-SUBSCRIBER_ATTACH_HOURLY-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,28.0,index,valid,synthetic_core,248,411,406,30.38
CORE-SUBSCRIBER_ATTACH_HOURLY-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,19.45,index,valid,synthetic_core,269,344,338,55.01
CORE-SUBSCRIBER_ATTACH_HOURLY-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,54.28,index,valid,synthetic_core,100,372,365,49.29
CORE-SUBSCRIBER_ATTACH_HOURLY-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,28.89,index,valid,synthetic_core,226,587,580,68.76
CORE-SUBSCRIBER_ATTACH_HOURLY-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,24.52,index,valid,synthetic_core,155,242,233,21.85
CORE-SUBSCRIBER_ATTACH_HOURLY-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,49.77,index,valid,synthetic_core,220,343,333,44.75
CORE-SUBSCRIBER_ATTACH_HOURLY-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,51.47,index,valid,synthetic_core,241,334,333,57.91
CORE-SUBSCRIBER_ATTACH_HOURLY-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,69.96,index,valid,synthetic_core,215,313,303,33.71
CORE-SUBSCRIBER_ATTACH_HOURLY-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,56.85,index,valid,synthetic_core,187,584,572,56.73
CORE-SUBSCRIBER_ATTACH_HOURLY-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,59.3,index,valid,synthetic_core,199,361,357,65.43
CORE-SUBSCRIBER_ATTACH_HOURLY-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,54.05,index,valid,synthetic_core,166,264,259,32.94
CORE-SUBSCRIBER_ATTACH_HOURLY-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,42.92,index,valid,synthetic_core,228,289,287,59.0
CORE-SUBSCRIBER_ATTACH_HOURLY-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,76.7,index,valid,synthetic_core,195,334,333,51.63
CORE-SUBSCRIBER_ATTACH_HOURLY-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,19.98,index,valid,synthetic_core,164,417,414,54.4
CORE-SUBSCRIBER_ATTACH_HOURLY-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,66.87,index,valid,synthetic_core,143,353,349,21.88
CORE-SUBSCRIBER_ATTACH_HOURLY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,70.66,index,valid,synthetic_core,108,354,344,46.06
CORE-SUBSCRIBER_ATTACH_HOURLY-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,29.25,index,valid,synthetic_core,156,363,358,27.29
CORE-SUBSCRIBER_ATTACH_HOURLY-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,37.93,index,valid,synthetic_core,232,449,448,66.93
CORE-SUBSCRIBER_ATTACH_HOURLY-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,48.67,index,valid,synthetic_core,222,228,227,67.52
CORE-SUBSCRIBER_ATTACH_HOURLY-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,22.27,index,valid,synthetic_core,148,472,465,67.33
CORE-SUBSCRIBER_ATTACH_HOURLY-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,76.9,index,valid,synthetic_core,119,342,340,20.86
CORE-SUBSCRIBER_ATTACH_HOURLY-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,74.25,index,valid,synthetic_core,254,305,299,39.89
CORE-SUBSCRIBER_ATTACH_HOURLY-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,63.76,index,valid,synthetic_core,113,589,580,35.42
CORE-SUBSCRIBER_ATTACH_HOURLY-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,24.19,index,valid,synthetic_core,138,388,385,35.31
CORE-SUBSCRIBER_ATTACH_HOURLY-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,33.87,index,valid,synthetic_core,268,213,210,36.87
CORE-SUBSCRIBER_ATTACH_HOURLY-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,20.6,index,valid,synthetic_core,285,499,494,49.84
CORE-SUBSCRIBER_ATTACH_HOURLY-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,60.29,index,valid,synthetic_core,160,591,585,66.67
CORE-SUBSCRIBER_ATTACH_HOURLY-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,56.53,index,valid,synthetic_core,271,321,320,39.3
CORE-SUBSCRIBER_ATTACH_HOURLY-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,55.45,index,valid,synthetic_core,158,551,542,50.09
CORE-SUBSCRIBER_ATTACH_HOURLY-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,43.59,index,valid,synthetic_core,155,278,277,33.12
CORE-SUBSCRIBER_ATTACH_HOURLY-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,52.69,index,valid,synthetic_core,231,489,486,28.68
CORE-SUBSCRIBER_ATTACH_HOURLY-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,34.04,index,valid,synthetic_core,270,259,258,27.21
CORE-SUBSCRIBER_ATTACH_HOURLY-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,45.54,index,valid,synthetic_core,123,312,302,59.32
CORE-SUBSCRIBER_ATTACH_HOURLY-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,73.09,index,valid,synthetic_core,182,417,415,28.57
CORE-SUBSCRIBER_ATTACH_HOURLY-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,54.1,index,valid,synthetic_core,213,599,595,59.1
CORE-SUBSCRIBER_ATTACH_HOURLY-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,71.2,index,valid,synthetic_core,188,374,371,46.0
CORE-SUBSCRIBER_ATTACH_HOURLY-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,38.34,index,degraded,synthetic_core,173,416,409,60.65
CORE-SUBSCRIBER_ATTACH_HOURLY-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,56.0,index,valid,synthetic_core,172,465,462,44.75
CORE-SUBSCRIBER_ATTACH_HOURLY-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,34.57,index,valid,synthetic_core,153,349,339,26.46
CORE-SUBSCRIBER_ATTACH_HOURLY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,65.71,index,valid,synthetic_core,295,216,212,40.04
CORE-SUBSCRIBER_ATTACH_HOURLY-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,20.8,index,valid,synthetic_core,200,464,460,48.6
CORE-SUBSCRIBER_ATTACH_HOURLY-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,43.14,index,valid,synthetic_core,254,522,514,58.31
CORE-SUBSCRIBER_ATTACH_HOURLY-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,24.55,index,valid,synthetic_core,201,305,303,30.12
CORE-SUBSCRIBER_ATTACH_HOURLY-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,61.38,index,valid,synthetic_core,118,232,220,20.27
CORE-SUBSCRIBER_ATTACH_HOURLY-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,59.82,index,valid,synthetic_core,223,590,583,61.78
CORE-SUBSCRIBER_ATTACH_HOURLY-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,45.87,index,valid,synthetic_core,157,416,405,30.24
CORE-SUBSCRIBER_ATTACH_HOURLY-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,47.7,index,valid,synthetic_core,222,408,404,34.59
CORE-SUBSCRIBER_ATTACH_HOURLY-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,42.64,index,valid,synthetic_core,181,454,449,69.71
CORE-SUBSCRIBER_ATTACH_HOURLY-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,61.62,index,valid,synthetic_core,205,325,315,20.91
CORE-SUBSCRIBER_ATTACH_HOURLY-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,64.05,index,valid,synthetic_core,267,316,306,65.01
CORE-SUBSCRIBER_ATTACH_HOURLY-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,31.85,index,valid,synthetic_core,149,325,321,36.35
CORE-SUBSCRIBER_ATTACH_HOURLY-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,60.15,index,valid,synthetic_core,285,499,491,47.66
CORE-SUBSCRIBER_ATTACH_HOURLY-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,66.45,index,valid,synthetic_core,128,208,203,25.02
CORE-SUBSCRIBER_ATTACH_HOURLY-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,80.6,index,valid,synthetic_core,178,409,406,36.19
CORE-SUBSCRIBER_ATTACH_HOURLY-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,84.22,index,valid,synthetic_core,226,222,212,36.85
CORE-SUBSCRIBER_ATTACH_HOURLY-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,33.89,index,valid,synthetic_core,297,311,308,29.14
CORE-SUBSCRIBER_ATTACH_HOURLY-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,39.63,index,valid,synthetic_core,210,321,318,48.15
CORE-SUBSCRIBER_ATTACH_HOURLY-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,33.99,index,valid,synthetic_core,229,453,446,35.05
CORE-SUBSCRIBER_ATTACH_HOURLY-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,58.9,index,valid,synthetic_core,156,434,429,58.68
CORE-SUBSCRIBER_ATTACH_HOURLY-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,15.16,index,valid,synthetic_core,108,380,374,55.68
CORE-SUBSCRIBER_ATTACH_HOURLY-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,70.77,index,valid,synthetic_core,297,213,209,44.14
CORE-SUBSCRIBER_ATTACH_HOURLY-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,16.77,index,valid,synthetic_core,270,247,243,65.12
CORE-SUBSCRIBER_ATTACH_HOURLY-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,71.45,index,valid,synthetic_core,167,589,586,53.46
CORE-SUBSCRIBER_ATTACH_HOURLY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,52.62,index,valid,synthetic_core,236,557,546,27.96
CORE-SUBSCRIBER_ATTACH_HOURLY-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,72.28,index,valid,synthetic_core,163,262,261,39.33
CORE-SUBSCRIBER_ATTACH_HOURLY-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,73.31,index,valid,synthetic_core,140,527,520,32.42
CORE-SUBSCRIBER_ATTACH_HOURLY-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,84.57,index,valid,synthetic_core,103,237,233,64.81
