core_traffic_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-CORE_TRAFFIC_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,84.95,index,valid,synthetic_core,174,330,328,36.82
CORE-CORE_TRAFFIC_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,35.1,index,valid,synthetic_core,296,367,365,47.21
CORE-CORE_TRAFFIC_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,69.18,index,valid,synthetic_core,119,402,391,20.73
CORE-CORE_TRAFFIC_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,79.74,index,valid,synthetic_core,102,265,261,61.75
CORE-CORE_TRAFFIC_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,65.58,index,valid,synthetic_core,111,392,381,47.63
CORE-CORE_TRAFFIC_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,71.01,index,valid,synthetic_core,254,552,548,53.12
CORE-CORE_TRAFFIC_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,56.65,index,valid,synthetic_core,117,368,363,65.44
CORE-CORE_TRAFFIC_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,31.94,index,valid,synthetic_core,289,544,537,53.3
CORE-CORE_TRAFFIC_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,17.69,index,valid,synthetic_core,253,488,487,64.34
CORE-CORE_TRAFFIC_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,35.09,index,valid,synthetic_core,193,572,566,65.92
CORE-CORE_TRAFFIC_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,47.65,index,valid,synthetic_core,117,458,455,46.51
CORE-CORE_TRAFFIC_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,31.64,index,valid,synthetic_core,194,412,401,63.75
CORE-CORE_TRAFFIC_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,73.33,index,valid,synthetic_core,300,234,223,41.45
CORE-CORE_TRAFFIC_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,51.38,index,valid,synthetic_core,122,523,512,25.92
CORE-CORE_TRAFFIC_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,70.18,index,degraded,synthetic_core,291,458,446,24.33
CORE-CORE_TRAFFIC_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,58.39,index,valid,synthetic_core,222,531,522,67.31
CORE-CORE_TRAFFIC_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,58.57,index,valid,synthetic_core,184,595,588,61.82
CORE-CORE_TRAFFIC_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,77.24,index,valid,synthetic_core,234,459,456,38.93
CORE-CORE_TRAFFIC_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,65.03,index,valid,synthetic_core,241,351,347,31.77
CORE-CORE_TRAFFIC_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,76.45,index,valid,synthetic_core,143,597,590,36.34
CORE-CORE_TRAFFIC_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,37.45,index,valid,synthetic_core,281,529,524,67.6
CORE-CORE_TRAFFIC_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,22.24,index,valid,synthetic_core,281,399,396,58.4
CORE-CORE_TRAFFIC_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,45.29,index,valid,synthetic_core,257,447,438,51.57
CORE-CORE_TRAFFIC_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,83.28,index,valid,synthetic_core,297,269,259,50.46
CORE-CORE_TRAFFIC_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,76.77,index,valid,synthetic_core,113,286,285,22.54
CORE-CORE_TRAFFIC_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,32.74,index,valid,synthetic_core,200,273,261,29.79
CORE-CORE_TRAFFIC_HOURLY-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,77.13,index,valid,synthetic_core,273,233,221,56.28
CORE-CORE_TRAFFIC_HOURLY-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,52.38,index,valid,synthetic_core,221,556,544,25.46
CORE-CORE_TRAFFIC_HOURLY-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,64.94,index,valid,synthetic_core,294,434,425,58.72
CORE-CORE_TRAFFIC_HOURLY-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,31.68,index,valid,synthetic_core,198,457,455,35.25
CORE-CORE_TRAFFIC_HOURLY-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,82.46,index,valid,synthetic_core,154,275,271,35.94
CORE-CORE_TRAFFIC_HOURLY-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,29.41,index,valid,synthetic_core,291,584,572,40.94
CORE-CORE_TRAFFIC_HOURLY-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,44.41,index,valid,synthetic_core,228,262,259,28.75
CORE-CORE_TRAFFIC_HOURLY-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,74.51,index,valid,synthetic_core,256,359,349,52.41
CORE-CORE_TRAFFIC_HOURLY-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,36.81,index,valid,synthetic_core,119,495,486,29.69
CORE-CORE_TRAFFIC_HOURLY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,78.0,index,valid,synthetic_core,237,441,432,49.24
CORE-CORE_TRAFFIC_HOURLY-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,49.25,index,valid,synthetic_core,220,460,452,25.46
CORE-CORE_TRAFFIC_HOURLY-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,66.67,index,valid,synthetic_core,110,297,288,28.51
CORE-CORE_TRAFFIC_HOURLY-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,37.51,index,valid,synthetic_core,179,209,200,25.81
CORE-CORE_TRAFFIC_HOURLY-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,29.02,index,valid,synthetic_core,260,464,461,59.07
CORE-CORE_TRAFFIC_HOURLY-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,46.65,index,valid,synthetic_core,240,484,474,64.22
CORE-CORE_TRAFFIC_HOURLY-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,15.44,index,valid,synthetic_core,201,441,438,59.99
CORE-CORE_TRAFFIC_HOURLY-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,29.31,index,valid,synthetic_core,284,506,503,66.71
CORE-CORE_TRAFFIC_HOURLY-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,45.6,index,valid,synthetic_core,270,370,365,59.26
CORE-CORE_TRAFFIC_HOURLY-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,25.22,index,valid,synthetic_core,102,487,479,29.81
CORE-CORE_TRAFFIC_HOURLY-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,69.81,index,valid,synthetic_core,185,296,287,36.83
CORE-CORE_TRAFFIC_HOURLY-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,16.69,index,valid,synthetic_core,142,293,281,35.23
CORE-CORE_TRAFFIC_HOURLY-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,69.19,index,valid,synthetic_core,111,434,429,67.48
CORE-CORE_TRAFFIC_HOURLY-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,40.06,index,valid,synthetic_core,125,473,472,49.8
CORE-CORE_TRAFFIC_HOURLY-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,70.53,index,valid,synthetic_core,121,573,568,45.07
CORE-CORE_TRAFFIC_HOURLY-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,65.61,index,valid,synthetic_core,298,551,549,54.87
CORE-CORE_TRAFFIC_HOURLY-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,18.29,index,valid,synthetic_core,273,356,350,56.91
CORE-CORE_TRAFFIC_HOURLY-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,58.68,index,valid,synthetic_core,116,315,308,48.71
CORE-CORE_TRAFFIC_HOURLY-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,41.48,index,valid,synthetic_core,206,455,447,51.8
CORE-CORE_TRAFFIC_HOURLY-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,43.99,index,valid,synthetic_core,113,564,560,46.15
CORE-CORE_TRAFFIC_HOURLY-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,16.82,index,valid,synthetic_core,286,430,420,28.89
CORE-CORE_TRAFFIC_HOURLY-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,42.11,index,valid,synthetic_core,294,587,580,58.05
CORE-CORE_TRAFFIC_HOURLY-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,55.47,index,valid,synthetic_core,101,285,284,51.87
CORE-CORE_TRAFFIC_HOURLY-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,72.01,index,valid,synthetic_core,165,321,317,57.54
CORE-CORE_TRAFFIC_HOURLY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,74.99,index,valid,synthetic_core,164,482,479,59.87
CORE-CORE_TRAFFIC_HOURLY-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,22.66,index,valid,synthetic_core,286,255,251,66.6
CORE-CORE_TRAFFIC_HOURLY-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,69.17,index,valid,synthetic_core,282,347,341,21.71
CORE-CORE_TRAFFIC_HOURLY-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,62.41,index,valid,synthetic_core,120,367,366,60.63
CORE-CORE_TRAFFIC_HOURLY-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,20.48,index,valid,synthetic_core,161,404,394,24.28
CORE-CORE_TRAFFIC_HOURLY-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,51.26,index,valid,synthetic_core,221,439,431,66.39
CORE-CORE_TRAFFIC_HOURLY-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,32.61,index,valid,synthetic_core,214,448,438,22.79
CORE-CORE_TRAFFIC_HOURLY-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,20.09,index,valid,synthetic_core,242,580,568,39.69
CORE-CORE_TRAFFIC_HOURLY-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,40.62,index,valid,synthetic_core,278,555,549,40.48
CORE-CORE_TRAFFIC_HOURLY-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,36.92,index,valid,synthetic_core,105,214,211,30.39
CORE-CORE_TRAFFIC_HOURLY-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,39.95,index,valid,synthetic_core,196,461,455,58.5
CORE-CORE_TRAFFIC_HOURLY-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,72.43,index,valid,synthetic_core,213,210,207,44.49
CORE-CORE_TRAFFIC_HOURLY-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,33.97,index,valid,synthetic_core,181,234,229,59.72
CORE-CORE_TRAFFIC_HOURLY-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,64.32,index,valid,synthetic_core,124,371,359,49.56
CORE-CORE_TRAFFIC_HOURLY-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,61.46,index,valid,synthetic_core,295,326,318,65.67
CORE-CORE_TRAFFIC_HOURLY-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,84.4,index,valid,synthetic_core,146,588,578,37.84
CORE-CORE_TRAFFIC_HOURLY-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,35.22,index,valid,synthetic_core,203,452,440,69.22
CORE-CORE_TRAFFIC_HOURLY-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,49.43,index,valid,synthetic_core,166,243,233,42.65
CORE-CORE_TRAFFIC_HOURLY-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,20.05,index,valid,synthetic_core,265,259,249,46.36
CORE-CORE_TRAFFIC_HOURLY-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,79.17,index,valid,synthetic_core,199,373,370,59.8
CORE-CORE_TRAFFIC_HOURLY-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,75.7,index,valid,synthetic_core,262,519,508,33.38
CORE-CORE_TRAFFIC_HOURLY-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,29.64,index,valid,synthetic_core,143,298,294,67.45
CORE-CORE_TRAFFIC_HOURLY-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,72.42,index,valid,synthetic_core,251,485,483,48.92
CORE-CORE_TRAFFIC_HOURLY-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,52.26,index,valid,synthetic_core,207,254,252,20.44
CORE-CORE_TRAFFIC_HOURLY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,72.23,index,valid,synthetic_core,171,356,345,46.72
CORE-CORE_TRAFFIC_HOURLY-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,41.56,index,valid,synthetic_core,149,212,206,20.36
CORE-CORE_TRAFFIC_HOURLY-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,28.23,index,valid,synthetic_core,234,461,452,33.31
CORE-CORE_TRAFFIC_HOURLY-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,53.32,index,valid,synthetic_core,278,459,450,56.56
CORE-CORE_TRAFFIC_HOURLY-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,77.2,index,valid,synthetic_core,145,366,356,28.79
CORE-CORE_TRAFFIC_HOURLY-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,26.16,index,valid,synthetic_core,218,254,252,50.32
CORE-CORE_TRAFFIC_HOURLY-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,41.54,index,valid,synthetic_core,236,304,301,24.48
CORE-CORE_TRAFFIC_HOURLY-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,32.7,index,valid,synthetic_core,107,463,460,43.15
CORE-CORE_TRAFFIC_HOURLY-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,34.09,index,valid,synthetic_core,284,520,508,20.09
CORE-CORE_TRAFFIC_HOURLY-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,29.62,index,valid,synthetic_core,274,504,496,34.87
CORE-CORE_TRAFFIC_HOURLY-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,72.53,index,valid,synthetic_core,274,475,470,28.06
CORE-CORE_TRAFFIC_HOURLY-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,69.3,index,valid,synthetic_core,190,268,259,53.59
CORE-CORE_TRAFFIC_HOURLY-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,84.7,index,valid,synthetic_core,273,387,384,62.14
CORE-CORE_TRAFFIC_HOURLY-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,15.85,index,valid,synthetic_core,132,365,364,40.87
CORE-CORE_TRAFFIC_HOURLY-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,72.54,index,valid,synthetic_core,203,547,535,27.12
CORE-CORE_TRAFFIC_HOURLY-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,55.06,index,valid,synthetic_core,214,557,550,31.33
CORE-CORE_TRAFFIC_HOURLY-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,25.83,index,valid,synthetic_core,163,251,246,50.63
CORE-CORE_TRAFFIC_HOURLY-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,56.65,index,valid,synthetic_core,181,523,518,55.98
CORE-CORE_TRAFFIC_HOURLY-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,46.43,index,valid,synthetic_core,150,457,452,44.37
CORE-CORE_TRAFFIC_HOURLY-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,65.09,index,valid,synthetic_core,149,280,268,39.43
CORE-CORE_TRAFFIC_HOURLY-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,74.46,index,valid,synthetic_core,136,545,537,24.12
CORE-CORE_TRAFFIC_HOURLY-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,119.94,index,degraded,synthetic_core,218,257,253,52.4
CORE-CORE_TRAFFIC_HOURLY-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,44.4,index,valid,synthetic_core,120,241,229,40.04
CORE-CORE_TRAFFIC_HOURLY-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,39.59,index,valid,synthetic_core,239,385,384,67.7
CORE-CORE_TRAFFIC_HOURLY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,24.49,index,valid,synthetic_core,296,508,505,23.37
CORE-CORE_TRAFFIC_HOURLY-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,61.85,index,valid,synthetic_core,161,476,475,26.21
CORE-CORE_TRAFFIC_HOURLY-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,69.48,index,valid,synthetic_core,257,357,350,46.35
CORE-CORE_TRAFFIC_HOURLY-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,38.29,index,valid,synthetic_core,115,377,375,54.07
CORE-CORE_TRAFFIC_HOURLY-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,24.16,index,valid,synthetic_core,155,588,577,26.18
CORE-CORE_TRAFFIC_HOURLY-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,83.89,index,valid,synthetic_core,124,384,379,20.64
CORE-CORE_TRAFFIC_HOURLY-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,20.35,index,valid,synthetic_core,160,529,522,66.38
CORE-CORE_TRAFFIC_HOURLY-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,48.9,index,valid,synthetic_core,160,340,337,56.15
CORE-CORE_TRAFFIC_HOURLY-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,62.08,index,valid,synthetic_core,225,452,445,46.81
CORE-CORE_TRAFFIC_HOURLY-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,73.67,index,valid,synthetic_core,149,415,414,39.98
CORE-CORE_TRAFFIC_HOURLY-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,25.6,index,valid,synthetic_core,272,553,542,41.44
CORE-CORE_TRAFFIC_HOURLY-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,18.19,index,valid,synthetic_core,207,358,355,70.0
CORE-CORE_TRAFFIC_HOURLY-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,36.12,index,valid,synthetic_core,249,362,358,46.09
CORE-CORE_TRAFFIC_HOURLY-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,68.36,index,valid,synthetic_core,256,248,246,44.3
CORE-CORE_TRAFFIC_HOURLY-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,18.3,index,valid,synthetic_core,177,240,229,33.02
CORE-CORE_TRAFFIC_HOURLY-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,25.61,index,valid,synthetic_core,177,270,268,55.01
CORE-CORE_TRAFFIC_HOURLY-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,32.55,index,valid,synthetic_core,115,539,529,62.87
CORE-CORE_TRAFFIC_HOURLY-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,54.06,index,valid,synthetic_core,246,313,306,34.28
CORE-CORE_TRAFFIC_HOURLY-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,67.33,index,valid,synthetic_core,275,273,270,42.38
CORE-CORE_TRAFFIC_HOURLY-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,54.19,index,valid,synthetic_core,160,227,216,64.57
CORE-CORE_TRAFFIC_HOURLY-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,29.9,index,valid,synthetic_core,256,590,584,64.44
CORE-CORE_TRAFFIC_HOURLY-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,42.74,index,valid,synthetic_core,182,579,575,53.08
CORE-CORE_TRAFFIC_HOURLY-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,15.68,index,valid,synthetic_core,289,393,385,59.24
CORE-CORE_TRAFFIC_HOURLY-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,18.58,index,valid,synthetic_core,280,591,585,32.35
CORE-CORE_TRAFFIC_HOURLY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,82.35,index,valid,synthetic_core,271,458,454,41.11
CORE-CORE_TRAFFIC_HOURLY-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,40.73,index,valid,synthetic_core,260,335,334,30.89
CORE-CORE_TRAFFIC_HOURLY-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,35.78,index,valid,synthetic_core,133,218,209,61.43
CORE-CORE_TRAFFIC_HOURLY-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,75.6,index,valid,synthetic_core,162,380,369,43.18
CORE-CORE_TRAFFIC_HOURLY-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,53.8,index,valid,synthetic_core,132,433,425,58.3
CORE-CORE_TRAFFIC_HOURLY-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,75.72,index,valid,synthetic_core,252,395,388,24.7
CORE-CORE_TRAFFIC_HOURLY-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,71.44,index,valid,synthetic_core,215,521,516,30.59
CORE-CORE_TRAFFIC_HOURLY-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,78.55,index,valid,synthetic_core,146,268,256,47.82
CORE-CORE_TRAFFIC_HOURLY-02-08,LOC003,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,48.33,index,valid,synthetic_core,153,234,228,36.44
CORE-CORE_TRAFFIC_HOURLY-02-09,LOC003,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,50.5,index,valid,synthetic_core,103,305,295,69.09
CORE-CORE_TRAFFIC_HOURLY-02-10,LOC003,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,63.79,index,valid,synthetic_core,166,299,292,34.74
