gateway_alarm_id,location_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,session_count,request_count,success_count,cpu_pct
CORE-GATEWAY_ALARM-03-36,LOC004,NBH,KV1,active,2026-08-19 12:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,140,461,453,52.3
CORE-GATEWAY_ALARM-03-45,LOC004,NBH,KV1,active,2026-08-19 21:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,136,213,210,61.83
CORE-GATEWAY_ALARM-03-54,LOC004,NBH,KV1,active,2026-08-20 06:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,239,541,536,29.21
CORE-GATEWAY_ALARM-03-63,LOC004,NBH,KV1,active,2026-08-20 15:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,104,291,289,62.32
CORE-GATEWAY_ALARM-04-00,LOC005,HCM,KV3,active,2026-08-18 00:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,226,480,469,29.97
CORE-GATEWAY_ALARM-04-09,LOC005,HCM,KV3,active,2026-08-18 09:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,252,351,341,51.06
CORE-GATEWAY_ALARM-04-18,LOC005,HCM,KV3,active,2026-08-18 18:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,193,509,504,61.09
CORE-GATEWAY_ALARM-04-27,LOC005,HCM,KV3,active,2026-08-19 03:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,201,303,291,26.52
CORE-GATEWAY_ALARM-04-36,LOC005,HCM,KV3,active,2026-08-19 12:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,219,575,570,39.84
CORE-GATEWAY_ALARM-04-45,LOC005,HCM,KV3,active,2026-08-19 21:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,266,229,222,40.98
CORE-GATEWAY_ALARM-04-54,LOC005,HCM,KV3,active,2026-08-20 06:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,269,236,234,29.79
CORE-GATEWAY_ALARM-04-63,LOC005,HCM,KV3,active,2026-08-20 15:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,128,521,511,52.53
CORE-GATEWAY_ALARM-05-00,LOC006,KHA,KV2,active,2026-08-18 00:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,110,521,510,63.35
CORE-GATEWAY_ALARM-05-09,LOC006,KHA,KV2,active,2026-08-18 09:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,231,485,478,47.59
CORE-GATEWAY_ALARM-05-18,LOC006,KHA,KV2,active,2026-08-18 18:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,188,393,389,39.52
CORE-GATEWAY_ALARM-05-27,LOC006,KHA,KV2,active,2026-08-19 03:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,135,600,596,25.51
CORE-GATEWAY_ALARM-05-36,LOC006,KHA,KV2,active,2026-08-19 12:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,155,413,401,31.47
CORE-GATEWAY_ALARM-05-45,LOC006,KHA,KV2,active,2026-08-19 21:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,155,247,242,43.45
CORE-GATEWAY_ALARM-05-54,LOC006,KHA,KV2,active,2026-08-20 06:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,209,227,221,57.49
CORE-GATEWAY_ALARM-05-63,LOC006,KHA,KV2,active,2026-08-20 15:00:00,GATEWAY_ALARM,info,success,60,synthetic_core,273,423,421,39.83
