session_drop_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,session_count,request_count,success_count,cpu_pct
CORE-SESSION_DROP_HOURLY-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,77.38,index,valid,synthetic_core,239,235,233,66.72
CORE-SESSION_DROP_HOURLY-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,54.73,index,valid,synthetic_core,289,386,375,52.67
CORE-SESSION_DROP_HOURLY-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,24.57,index,valid,synthetic_core,157,215,204,29.49
CORE-SESSION_DROP_HOURLY-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,71.5,index,valid,synthetic_core,163,427,417,58.72
CORE-SESSION_DROP_HOURLY-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,63.39,index,valid,synthetic_core,281,573,564,30.08
CORE-SESSION_DROP_HOURLY-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,41.91,index,valid,synthetic_core,183,309,305,29.9
CORE-SESSION_DROP_HOURLY-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,53.86,index,valid,synthetic_core,253,360,348,60.84
CORE-SESSION_DROP_HOURLY-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,72.65,index,valid,synthetic_core,143,375,368,31.38
CORE-SESSION_DROP_HOURLY-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,41.81,index,valid,synthetic_core,153,537,534,47.55
CORE-SESSION_DROP_HOURLY-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,33.47,index,valid,synthetic_core,137,279,272,68.55
CORE-SESSION_DROP_HOURLY-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,81.92,index,valid,synthetic_core,110,278,271,28.83
CORE-SESSION_DROP_HOURLY-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,41.67,index,valid,synthetic_core,282,225,221,56.38
CORE-SESSION_DROP_HOURLY-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,59.99,index,valid,synthetic_core,136,516,513,27.6
CORE-SESSION_DROP_HOURLY-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,41.86,index,valid,synthetic_core,137,493,489,50.48
CORE-SESSION_DROP_HOURLY-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,35.41,index,valid,synthetic_core,273,201,196,61.3
CORE-SESSION_DROP_HOURLY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,84.13,index,valid,synthetic_core,282,552,547,24.86
CORE-SESSION_DROP_HOURLY-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,33.46,index,valid,synthetic_core,187,263,262,25.76
CORE-SESSION_DROP_HOURLY-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,59.82,index,valid,synthetic_core,145,489,480,31.09
CORE-SESSION_DROP_HOURLY-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,42.81,index,valid,synthetic_core,206,253,249,59.4
CORE-SESSION_DROP_HOURLY-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,83.49,index,valid,synthetic_core,274,435,430,34.9
CORE-SESSION_DROP_HOURLY-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,36.41,index,valid,synthetic_core,182,583,581,42.85
CORE-SESSION_DROP_HOURLY-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,75.64,index,valid,synthetic_core,126,563,559,25.9
CORE-SESSION_DROP_HOURLY-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,69.77,index,valid,synthetic_core,278,379,373,33.8
CORE-SESSION_DROP_HOURLY-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,43.89,index,valid,synthetic_core,270,529,524,51.59
CORE-SESSION_DROP_HOURLY-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,67.18,index,valid,synthetic_core,173,441,433,32.99
CORE-SESSION_DROP_HOURLY-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,61.2,index,valid,synthetic_core,177,322,314,69.7
CORE-SESSION_DROP_HOURLY-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,17.27,index,valid,synthetic_core,175,364,352,49.68
CORE-SESSION_DROP_HOURLY-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,78.39,index,valid,synthetic_core,185,453,441,29.48
CORE-SESSION_DROP_HOURLY-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,37.19,index,valid,synthetic_core,245,247,236,21.09
CORE-SESSION_DROP_HOURLY-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,36.97,index,valid,synthetic_core,131,581,572,45.39
CORE-SESSION_DROP_HOURLY-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,21.41,index,valid,synthetic_core,116,234,223,60.39
CORE-SESSION_DROP_HOURLY-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,34.16,index,valid,synthetic_core,298,238,234,27.72
CORE-SESSION_DROP_HOURLY-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,33.03,index,valid,synthetic_core,202,220,211,47.96
CORE-SESSION_DROP_HOURLY-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,43.59,index,valid,synthetic_core,237,469,461,65.02
CORE-SESSION_DROP_HOURLY-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,37.1,index,valid,synthetic_core,147,513,506,39.69
CORE-SESSION_DROP_HOURLY-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,15.54,index,valid,synthetic_core,142,243,235,26.99
CORE-SESSION_DROP_HOURLY-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,36.75,index,valid,synthetic_core,275,455,443,66.34
CORE-SESSION_DROP_HOURLY-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,24.1,index,valid,synthetic_core,122,426,423,45.18
CORE-SESSION_DROP_HOURLY-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,67.03,index,valid,synthetic_core,103,452,449,48.97
CORE-SESSION_DROP_HOURLY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,41.51,index,valid,synthetic_core,109,205,195,49.16
CORE-SESSION_DROP_HOURLY-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,83.89,index,valid,synthetic_core,246,439,431,31.91
CORE-SESSION_DROP_HOURLY-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,41.33,index,valid,synthetic_core,102,247,242,54.32
CORE-SESSION_DROP_HOURLY-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,70.51,index,valid,synthetic_core,120,250,240,42.03
CORE-SESSION_DROP_HOURLY-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,65.33,index,valid,synthetic_core,232,585,575,38.25
CORE-SESSION_DROP_HOURLY-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,30.14,index,valid,synthetic_core,291,280,273,67.34
CORE-SESSION_DROP_HOURLY-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,46.93,index,valid,synthetic_core,268,332,330,55.25
CORE-SESSION_DROP_HOURLY-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,25.89,index,valid,synthetic_core,127,452,445,47.16
CORE-SESSION_DROP_HOURLY-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,56.41,index,valid,synthetic_core,120,321,312,48.0
CORE-SESSION_DROP_HOURLY-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,33.93,index,valid,synthetic_core,270,230,221,26.42
CORE-SESSION_DROP_HOURLY-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,79.48,index,valid,synthetic_core,144,570,559,26.17
CORE-SESSION_DROP_HOURLY-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,22.02,index,valid,synthetic_core,231,200,198,35.64
CORE-SESSION_DROP_HOURLY-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,76.47,index,valid,synthetic_core,196,426,423,33.2
CORE-SESSION_DROP_HOURLY-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,28.41,index,valid,synthetic_core,106,455,448,34.71
CORE-SESSION_DROP_HOURLY-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,22.0,index,valid,synthetic_core,230,433,423,37.22
CORE-SESSION_DROP_HOURLY-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,66.07,index,valid,synthetic_core,114,266,258,45.28
CORE-SESSION_DROP_HOURLY-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,48.35,index,valid,synthetic_core,100,260,251,37.05
CORE-SESSION_DROP_HOURLY-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,22.38,index,valid,synthetic_core,209,244,237,60.37
CORE-SESSION_DROP_HOURLY-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,47.16,index,valid,synthetic_core,268,238,229,54.05
CORE-SESSION_DROP_HOURLY-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,16.94,index,valid,synthetic_core,138,505,497,61.31
CORE-SESSION_DROP_HOURLY-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,52.55,index,valid,synthetic_core,213,373,364,33.0
CORE-SESSION_DROP_HOURLY-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,48.6,index,degraded,synthetic_core,105,575,563,29.15
CORE-SESSION_DROP_HOURLY-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,19.81,index,valid,synthetic_core,115,558,551,27.41
CORE-SESSION_DROP_HOURLY-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,55.53,index,valid,synthetic_core,106,514,509,48.27
CORE-SESSION_DROP_HOURLY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,35.53,index,valid,synthetic_core,152,518,515,50.57
CORE-SESSION_DROP_HOURLY-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,22.58,index,valid,synthetic_core,265,209,197,27.36
CORE-SESSION_DROP_HOURLY-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,21.56,index,valid,synthetic_core,234,348,344,54.56
CORE-SESSION_DROP_HOURLY-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,80.27,index,valid,synthetic_core,245,453,443,69.78
CORE-SESSION_DROP_HOURLY-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,46.24,index,valid,synthetic_core,140,552,547,61.34
CORE-SESSION_DROP_HOURLY-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,28.52,index,valid,synthetic_core,160,494,486,64.14
CORE-SESSION_DROP_HOURLY-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,61.51,index,valid,synthetic_core,278,401,400,22.89
CORE-SESSION_DROP_HOURLY-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,34.05,index,valid,synthetic_core,233,275,265,58.62
CORE-SESSION_DROP_HOURLY-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,44.54,index,valid,synthetic_core,183,472,467,30.13
CORE-SESSION_DROP_HOURLY-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,45.27,index,valid,synthetic_core,126,445,437,69.99
CORE-SESSION_DROP_HOURLY-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,46.19,index,valid,synthetic_core,282,208,204,54.97
CORE-SESSION_DROP_HOURLY-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,75.4,index,valid,synthetic_core,102,248,247,32.14
CORE-SESSION_DROP_HOURLY-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,23.09,index,valid,synthetic_core,182,469,460,52.09
CORE-SESSION_DROP_HOURLY-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,84.78,index,valid,synthetic_core,124,540,534,43.77
CORE-SESSION_DROP_HOURLY-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,80.06,index,valid,synthetic_core,194,495,494,37.48
CORE-SESSION_DROP_HOURLY-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,22.12,index,valid,synthetic_core,281,519,513,30.56
CORE-SESSION_DROP_HOURLY-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,30.92,index,valid,synthetic_core,128,550,547,50.38
CORE-SESSION_DROP_HOURLY-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,79.75,index,valid,synthetic_core,293,584,577,23.11
CORE-SESSION_DROP_HOURLY-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,15.67,index,valid,synthetic_core,125,385,378,61.0
CORE-SESSION_DROP_HOURLY-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,27.72,index,valid,synthetic_core,198,428,423,51.27
CORE-SESSION_DROP_HOURLY-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,43.06,index,valid,synthetic_core,159,463,461,62.58
CORE-SESSION_DROP_HOURLY-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,66.39,index,valid,synthetic_core,171,444,436,62.48
CORE-SESSION_DROP_HOURLY-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,39.83,index,valid,synthetic_core,234,217,214,58.82
CORE-SESSION_DROP_HOURLY-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,43.81,index,valid,synthetic_core,131,455,444,31.81
CORE-SESSION_DROP_HOURLY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,42.7,index,valid,synthetic_core,227,315,306,26.68
CORE-SESSION_DROP_HOURLY-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,53.9,index,valid,synthetic_core,227,204,203,67.36
CORE-SESSION_DROP_HOURLY-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,50.32,index,valid,synthetic_core,240,270,265,37.03
CORE-SESSION_DROP_HOURLY-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,70.36,index,valid,synthetic_core,110,369,368,34.63
CORE-SESSION_DROP_HOURLY-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,41.53,index,valid,synthetic_core,257,208,207,34.26
CORE-SESSION_DROP_HOURLY-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,20.15,index,valid,synthetic_core,282,350,349,20.68
CORE-SESSION_DROP_HOURLY-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,34.44,index,valid,synthetic_core,130,413,401,46.36
CORE-SESSION_DROP_HOURLY-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,73.52,index,valid,synthetic_core,131,476,470,68.79
CORE-SESSION_DROP_HOURLY-02-08,LOC003,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,45.17,index,valid,synthetic_core,137,586,579,65.29
CORE-SESSION_DROP_HOURLY-02-09,LOC003,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,46.9,index,valid,synthetic_core,134,215,203,22.23
CORE-SESSION_DROP_HOURLY-02-10,LOC003,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,27.73,index,valid,synthetic_core,115,463,461,42.7
CORE-SESSION_DROP_HOURLY-02-11,LOC003,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,47.92,index,valid,synthetic_core,272,523,511,31.18
CORE-SESSION_DROP_HOURLY-02-12,LOC003,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,55.9,index,valid,synthetic_core,107,324,312,51.11
CORE-SESSION_DROP_HOURLY-02-13,LOC003,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,55.84,index,valid,synthetic_core,185,204,195,49.13
CORE-SESSION_DROP_HOURLY-02-14,LOC003,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,66.68,index,valid,synthetic_core,256,569,564,28.78
CORE-SESSION_DROP_HOURLY-02-15,LOC003,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,43.67,index,valid,synthetic_core,283,345,336,33.31
