ip_assignment_history_id,account_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,reject_count,latency_ms
AAA-IP_ASSIGNMENT_HISTORY-02-54,ACC0013,CMU,KV3,active,2026-08-20 06:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,210,209,1,10.95
AAA-IP_ASSIGNMENT_HISTORY-02-63,ACC0013,CMU,KV3,active,2026-08-20 15:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,191,188,3,6.81
AAA-IP_ASSIGNMENT_HISTORY-03-00,ACC0019,NBH,KV1,active,2026-08-18 00:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,56,53,3,14.44
AAA-IP_ASSIGNMENT_HISTORY-03-09,ACC0019,NBH,KV1,active,2026-08-18 09:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,168,166,2,20.57
AAA-IP_ASSIGNMENT_HISTORY-03-18,ACC0019,NBH,KV1,active,2026-08-18 18:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,249,245,4,28.22
AAA-IP_ASSIGNMENT_HISTORY-03-27,ACC0019,NBH,KV1,active,2026-08-19 03:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,111,108,3,32.48
AAA-IP_ASSIGNMENT_HISTORY-03-36,ACC0019,NBH,KV1,active,2026-08-19 12:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,204,202,2,10.61
AAA-IP_ASSIGNMENT_HISTORY-03-45,ACC0019,NBH,KV1,active,2026-08-19 21:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,186,185,1,6.8
AAA-IP_ASSIGNMENT_HISTORY-03-54,ACC0019,NBH,KV1,active,2026-08-20 06:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,143,141,2,29.55
AAA-IP_ASSIGNMENT_HISTORY-03-63,ACC0019,NBH,KV1,active,2026-08-20 15:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,53,49,4,18.09
AAA-IP_ASSIGNMENT_HISTORY-04-00,ACC0025,HCM,KV3,active,2026-08-18 00:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,102,100,2,7.62
AAA-IP_ASSIGNMENT_HISTORY-04-09,ACC0025,HCM,KV3,active,2026-08-18 09:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,152,150,2,19.67
AAA-IP_ASSIGNMENT_HISTORY-04-18,ACC0025,HCM,KV3,active,2026-08-18 18:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,209,206,3,18.49
AAA-IP_ASSIGNMENT_HISTORY-04-27,ACC0025,HCM,KV3,active,2026-08-19 03:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,184,181,3,15.09
AAA-IP_ASSIGNMENT_HISTORY-04-36,ACC0025,HCM,KV3,active,2026-08-19 12:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,67,66,1,8.08
AAA-IP_ASSIGNMENT_HISTORY-04-45,ACC0025,HCM,KV3,active,2026-08-19 21:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,78,73,5,8.21
AAA-IP_ASSIGNMENT_HISTORY-04-54,ACC0025,HCM,KV3,active,2026-08-20 06:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,163,159,4,16.72
AAA-IP_ASSIGNMENT_HISTORY-04-63,ACC0025,HCM,KV3,active,2026-08-20 15:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,182,180,2,30.92
AAA-IP_ASSIGNMENT_HISTORY-05-00,ACC0026,KHA,KV2,active,2026-08-18 00:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,229,227,2,32.9
AAA-IP_ASSIGNMENT_HISTORY-05-09,ACC0026,KHA,KV2,active,2026-08-18 09:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,144,142,2,34.33
AAA-IP_ASSIGNMENT_HISTORY-05-18,ACC0026,KHA,KV2,active,2026-08-18 18:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,192,188,4,34.23
AAA-IP_ASSIGNMENT_HISTORY-05-27,ACC0026,KHA,KV2,active,2026-08-19 03:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,140,137,3,18.76
AAA-IP_ASSIGNMENT_HISTORY-05-36,ACC0026,KHA,KV2,active,2026-08-19 12:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,141,138,3,20.04
AAA-IP_ASSIGNMENT_HISTORY-05-45,ACC0026,KHA,KV2,active,2026-08-19 21:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,162,157,5,24.97
AAA-IP_ASSIGNMENT_HISTORY-05-54,ACC0026,KHA,KV2,active,2026-08-20 06:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,107,103,4,24.14
AAA-IP_ASSIGNMENT_HISTORY-05-63,ACC0026,KHA,KV2,active,2026-08-20 15:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,145,142,3,11.84
