auth_id,account_id,session_id,event_time,date_hour,hostname,nas_ip,result,reject_reason,request_count,accept_count,reject_count,latency_ms,retry_count,province_code,timestamp,ip,sbr_server,request_current_rate,request_average_rate,request_peak_rate,accept,accept_current_rate,accept_average_rate,accept_peak_rate,reject,reject_current_rate,reject_average_rate,reject_peak_rate,invalid_request,failed_authentication,total_transactions,transactions_retried,dropped_packet,total_retry_packets,failed_on_check_list,insufficient_resources,silent_discard,proxy_failure,rejected_by_proxy
AUTH016001,ACC0017,SES016001,2026-08-18 01:00:00,2026-08-18-01,radius-kv1,10.0.16.1,accept,,1,1,0,21.83,0,NBH,2026-08-18 01:00:00,10.0.16.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH019001,ACC0020,SES019001,2026-08-18 01:00:00,2026-08-18-01,radius-kv1,10.0.19.1,accept,,1,1,0,22.26,0,NBH,2026-08-18 01:00:00,10.0.19.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH022001,ACC0023,SES022001,2026-08-18 01:00:00,2026-08-18-01,radius-kv3,10.0.22.1,accept,,1,1,0,32.36,0,HCM,2026-08-18 01:00:00,10.0.22.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH025001,ACC0026,SES025001,2026-08-18 01:00:00,2026-08-18-01,radius-kv2,10.0.25.1,accept,,1,1,0,27.9,0,KHA,2026-08-18 01:00:00,10.0.25.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH028001,ACC0029,SES028001,2026-08-18 01:00:00,2026-08-18-01,radius-kv2,10.0.28.1,accept,,1,1,0,26.06,0,KHA,2026-08-18 01:00:00,10.0.28.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH002002,ACC0003,SES002002,2026-08-18 02:00:00,2026-08-18-02,radius-kv1,10.0.2.1,accept,,1,1,0,8.66,0,DBN,2026-08-18 02:00:00,10.0.2.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH005002,ACC0006,SES005002,2026-08-18 02:00:00,2026-08-18-02,radius-kv1,10.0.5.1,accept,,1,1,0,34.35,0,SLA,2026-08-18 02:00:00,10.0.5.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH008002,ACC0009,SES008002,2026-08-18 02:00:00,2026-08-18-02,radius-kv1,10.0.8.1,accept,,1,1,0,13.31,0,SLA,2026-08-18 02:00:00,10.0.8.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH011002,ACC0012,SES011002,2026-08-18 02:00:00,2026-08-18-02,radius-kv3,10.0.11.1,accept,,1,1,0,17.64,0,CMU,2026-08-18 02:00:00,10.0.11.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH014002,ACC0015,SES014002,2026-08-18 02:00:00,2026-08-18-02,radius-kv3,10.0.14.1,accept,,1,1,0,18.28,0,CMU,2026-08-18 02:00:00,10.0.14.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH017002,ACC0018,SES017002,2026-08-18 02:00:00,2026-08-18-02,radius-kv1,10.0.17.1,accept,,1,1,0,32.22,0,NBH,2026-08-18 02:00:00,10.0.17.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH020002,ACC0021,SES020002,2026-08-18 02:00:00,2026-08-18-02,radius-kv3,10.0.20.1,accept,,1,1,0,19.3,0,HCM,2026-08-18 02:00:00,10.0.20.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH023002,ACC0024,SES023002,2026-08-18 02:00:00,2026-08-18-02,radius-kv3,10.0.23.1,accept,,1,1,0,14.8,0,HCM,2026-08-18 02:00:00,10.0.23.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH026002,ACC0027,SES026002,2026-08-18 02:00:00,2026-08-18-02,radius-kv2,10.0.26.1,accept,,1,1,0,7.76,0,KHA,2026-08-18 02:00:00,10.0.26.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH029002,ACC0030,SES029002,2026-08-18 02:00:00,2026-08-18-02,radius-kv2,10.0.29.1,accept,,1,1,0,17.42,0,KHA,2026-08-18 02:00:00,10.0.29.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH000003,ACC0001,SES000003,2026-08-18 03:00:00,2026-08-18-03,radius-kv1,10.0.0.1,accept,,1,1,0,16.3,0,DBN,2026-08-18 03:00:00,10.0.0.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH003003,ACC0004,SES003003,2026-08-18 03:00:00,2026-08-18-03,radius-kv1,10.0.3.1,accept,,1,1,0,12.76,0,DBN,2026-08-18 03:00:00,10.0.3.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH006003,ACC0007,SES006003,2026-08-18 03:00:00,2026-08-18-03,radius-kv1,10.0.6.1,accept,,1,1,0,24.16,0,SLA,2026-08-18 03:00:00,10.0.6.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH009003,ACC0010,SES009003,2026-08-18 03:00:00,2026-08-18-03,radius-kv1,10.0.9.1,accept,,1,1,0,32.18,0,SLA,2026-08-18 03:00:00,10.0.9.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH012003,ACC0013,SES012003,2026-08-18 03:00:00,2026-08-18-03,radius-kv3,10.0.12.1,accept,,1,1,0,24.38,0,CMU,2026-08-18 03:00:00,10.0.12.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH015003,ACC0016,SES015003,2026-08-18 03:00:00,2026-08-18-03,radius-kv1,10.0.15.1,accept,,1,1,0,26.87,0,NBH,2026-08-18 03:00:00,10.0.15.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH018003,ACC0019,SES018003,2026-08-18 03:00:00,2026-08-18-03,radius-kv1,10.0.18.1,accept,,1,1,0,15.49,0,NBH,2026-08-18 03:00:00,10.0.18.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH021003,ACC0022,SES021003,2026-08-18 03:00:00,2026-08-18-03,radius-kv3,10.0.21.1,accept,,1,1,0,8.34,0,HCM,2026-08-18 03:00:00,10.0.21.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH024003,ACC0025,SES024003,2026-08-18 03:00:00,2026-08-18-03,radius-kv3,10.0.24.1,accept,,1,1,0,8.0,0,HCM,2026-08-18 03:00:00,10.0.24.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH027003,ACC0028,SES027003,2026-08-18 03:00:00,2026-08-18-03,radius-kv2,10.0.27.1,accept,,1,1,0,34.93,0,KHA,2026-08-18 03:00:00,10.0.27.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH001004,ACC0002,SES001004,2026-08-18 04:00:00,2026-08-18-04,radius-kv1,10.0.1.1,accept,,1,1,0,5.09,0,DBN,2026-08-18 04:00:00,10.0.1.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH004004,ACC0005,SES004004,2026-08-18 04:00:00,2026-08-18-04,radius-kv1,10.0.4.1,accept,,1,1,0,16.63,0,DBN,2026-08-18 04:00:00,10.0.4.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH007004,ACC0008,SES007004,2026-08-18 04:00:00,2026-08-18-04,radius-kv1,10.0.7.1,accept,,1,1,0,22.26,0,SLA,2026-08-18 04:00:00,10.0.7.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH010004,ACC0011,SES010004,2026-08-18 04:00:00,2026-08-18-04,radius-kv3,10.0.10.1,accept,,1,1,0,23.06,0,CMU,2026-08-18 04:00:00,10.0.10.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH013004,ACC0014,SES013004,2026-08-18 04:00:00,2026-08-18-04,radius-kv3,10.0.13.1,accept,,1,1,0,7.44,0,CMU,2026-08-18 04:00:00,10.0.13.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH016004,ACC0017,SES016004,2026-08-18 04:00:00,2026-08-18-04,radius-kv1,10.0.16.1,accept,,1,1,0,20.51,0,NBH,2026-08-18 04:00:00,10.0.16.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH019004,ACC0020,SES019004,2026-08-18 04:00:00,2026-08-18-04,radius-kv1,10.0.19.1,accept,,1,1,0,24.24,0,NBH,2026-08-18 04:00:00,10.0.19.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH022004,ACC0023,SES022004,2026-08-18 04:00:00,2026-08-18-04,radius-kv3,10.0.22.1,accept,,1,1,0,5.87,0,HCM,2026-08-18 04:00:00,10.0.22.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH025004,ACC0026,SES025004,2026-08-18 04:00:00,2026-08-18-04,radius-kv2,10.0.25.1,accept,,1,1,0,12.13,0,KHA,2026-08-18 04:00:00,10.0.25.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH028004,ACC0029,SES028004,2026-08-18 04:00:00,2026-08-18-04,radius-kv2,10.0.28.1,accept,,1,1,0,27.61,0,KHA,2026-08-18 04:00:00,10.0.28.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH002005,ACC0003,SES002005,2026-08-18 05:00:00,2026-08-18-05,radius-kv1,10.0.2.1,accept,,1,1,0,13.6,0,DBN,2026-08-18 05:00:00,10.0.2.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH005005,ACC0006,SES005005,2026-08-18 05:00:00,2026-08-18-05,radius-kv1,10.0.5.1,accept,,1,1,0,32.64,0,SLA,2026-08-18 05:00:00,10.0.5.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH008005,ACC0009,SES008005,2026-08-18 05:00:00,2026-08-18-05,radius-kv1,10.0.8.1,accept,,1,1,0,11.83,0,SLA,2026-08-18 05:00:00,10.0.8.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH011005,ACC0012,SES011005,2026-08-18 05:00:00,2026-08-18-05,radius-kv3,10.0.11.1,accept,,1,1,0,24.59,0,CMU,2026-08-18 05:00:00,10.0.11.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH014005,ACC0015,SES014005,2026-08-18 05:00:00,2026-08-18-05,radius-kv3,10.0.14.1,accept,,1,1,0,18.05,0,CMU,2026-08-18 05:00:00,10.0.14.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH017005,ACC0018,SES017005,2026-08-18 05:00:00,2026-08-18-05,radius-kv1,10.0.17.1,accept,,1,1,0,34.8,0,NBH,2026-08-18 05:00:00,10.0.17.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH020005,ACC0021,SES020005,2026-08-18 05:00:00,2026-08-18-05,radius-kv3,10.0.20.1,accept,,1,1,0,32.89,0,HCM,2026-08-18 05:00:00,10.0.20.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH023005,ACC0024,SES023005,2026-08-18 05:00:00,2026-08-18-05,radius-kv3,10.0.23.1,accept,,1,1,0,9.4,0,HCM,2026-08-18 05:00:00,10.0.23.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH026005,ACC0027,SES026005,2026-08-18 05:00:00,2026-08-18-05,radius-kv2,10.0.26.1,accept,,1,1,0,24.38,0,KHA,2026-08-18 05:00:00,10.0.26.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH029005,ACC0030,SES029005,2026-08-18 05:00:00,2026-08-18-05,radius-kv2,10.0.29.1,accept,,1,1,0,25.5,0,KHA,2026-08-18 05:00:00,10.0.29.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH000006,ACC0001,SES000006,2026-08-18 06:00:00,2026-08-18-06,radius-kv1,10.0.0.1,accept,,1,1,0,8.52,0,DBN,2026-08-18 06:00:00,10.0.0.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH003006,ACC0004,SES003006,2026-08-18 06:00:00,2026-08-18-06,radius-kv1,10.0.3.1,accept,,1,1,0,10.72,0,DBN,2026-08-18 06:00:00,10.0.3.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH006006,ACC0007,SES006006,2026-08-18 06:00:00,2026-08-18-06,radius-kv1,10.0.6.1,accept,,1,1,0,27.56,0,SLA,2026-08-18 06:00:00,10.0.6.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH009006,ACC0010,SES009006,2026-08-18 06:00:00,2026-08-18-06,radius-kv1,10.0.9.1,accept,,1,1,0,33.53,0,SLA,2026-08-18 06:00:00,10.0.9.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH012006,ACC0013,SES012006,2026-08-18 06:00:00,2026-08-18-06,radius-kv3,10.0.12.1,accept,,1,1,0,30.08,0,CMU,2026-08-18 06:00:00,10.0.12.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH015006,ACC0016,SES015006,2026-08-18 06:00:00,2026-08-18-06,radius-kv1,10.0.15.1,accept,,1,1,0,12.56,0,NBH,2026-08-18 06:00:00,10.0.15.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH018006,ACC0019,SES018006,2026-08-18 06:00:00,2026-08-18-06,radius-kv1,10.0.18.1,accept,,1,1,0,17.09,0,NBH,2026-08-18 06:00:00,10.0.18.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH021006,ACC0022,SES021006,2026-08-18 06:00:00,2026-08-18-06,radius-kv3,10.0.21.1,accept,,1,1,0,10.41,0,HCM,2026-08-18 06:00:00,10.0.21.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH024006,ACC0025,SES024006,2026-08-18 06:00:00,2026-08-18-06,radius-kv3,10.0.24.1,accept,,1,1,0,19.95,0,HCM,2026-08-18 06:00:00,10.0.24.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH027006,ACC0028,SES027006,2026-08-18 06:00:00,2026-08-18-06,radius-kv2,10.0.27.1,accept,,1,1,0,26.37,0,KHA,2026-08-18 06:00:00,10.0.27.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH001007,ACC0002,SES001007,2026-08-18 07:00:00,2026-08-18-07,radius-kv1,10.0.1.1,accept,,1,1,0,20.26,0,DBN,2026-08-18 07:00:00,10.0.1.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH004007,ACC0005,SES004007,2026-08-18 07:00:00,2026-08-18-07,radius-kv1,10.0.4.1,accept,,1,1,0,22.55,0,DBN,2026-08-18 07:00:00,10.0.4.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH007007,ACC0008,SES007007,2026-08-18 07:00:00,2026-08-18-07,radius-kv1,10.0.7.1,accept,,1,1,0,17.23,0,SLA,2026-08-18 07:00:00,10.0.7.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH010007,ACC0011,SES010007,2026-08-18 07:00:00,2026-08-18-07,radius-kv3,10.0.10.1,accept,,1,1,0,10.87,0,CMU,2026-08-18 07:00:00,10.0.10.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH013007,ACC0014,SES013007,2026-08-18 07:00:00,2026-08-18-07,radius-kv3,10.0.13.1,accept,,1,1,0,26.91,0,CMU,2026-08-18 07:00:00,10.0.13.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH016007,ACC0017,SES016007,2026-08-18 07:00:00,2026-08-18-07,radius-kv1,10.0.16.1,accept,,1,1,0,15.08,0,NBH,2026-08-18 07:00:00,10.0.16.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH019007,ACC0020,SES019007,2026-08-18 07:00:00,2026-08-18-07,radius-kv1,10.0.19.1,accept,,1,1,0,19.32,0,NBH,2026-08-18 07:00:00,10.0.19.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH022007,ACC0023,SES022007,2026-08-18 07:00:00,2026-08-18-07,radius-kv3,10.0.22.1,accept,,1,1,0,26.0,0,HCM,2026-08-18 07:00:00,10.0.22.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH025007,ACC0026,SES025007,2026-08-18 07:00:00,2026-08-18-07,radius-kv2,10.0.25.1,accept,,1,1,0,8.62,0,KHA,2026-08-18 07:00:00,10.0.25.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH028007,ACC0029,SES028007,2026-08-18 07:00:00,2026-08-18-07,radius-kv2,10.0.28.1,accept,,1,1,0,16.59,0,KHA,2026-08-18 07:00:00,10.0.28.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH002008,ACC0003,SES002008,2026-08-18 08:00:00,2026-08-18-08,radius-kv1,10.0.2.1,accept,,1,1,0,6.39,0,DBN,2026-08-18 08:00:00,10.0.2.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH005008,ACC0006,SES005008,2026-08-18 08:00:00,2026-08-18-08,radius-kv1,10.0.5.1,accept,,1,1,0,16.88,0,SLA,2026-08-18 08:00:00,10.0.5.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH008008,ACC0009,SES008008,2026-08-18 08:00:00,2026-08-18-08,radius-kv1,10.0.8.1,accept,,1,1,0,6.54,0,SLA,2026-08-18 08:00:00,10.0.8.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH011008,ACC0012,SES011008,2026-08-18 08:00:00,2026-08-18-08,radius-kv3,10.0.11.1,accept,,1,1,0,11.62,0,CMU,2026-08-18 08:00:00,10.0.11.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH014008,ACC0015,SES014008,2026-08-18 08:00:00,2026-08-18-08,radius-kv3,10.0.14.1,accept,,1,1,0,10.9,0,CMU,2026-08-18 08:00:00,10.0.14.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH017008,ACC0018,SES017008,2026-08-18 08:00:00,2026-08-18-08,radius-kv1,10.0.17.1,accept,,1,1,0,13.99,0,NBH,2026-08-18 08:00:00,10.0.17.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH020008,ACC0021,SES020008,2026-08-18 08:00:00,2026-08-18-08,radius-kv3,10.0.20.1,accept,,1,1,0,15.94,0,HCM,2026-08-18 08:00:00,10.0.20.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH023008,ACC0024,SES023008,2026-08-18 08:00:00,2026-08-18-08,radius-kv3,10.0.23.1,accept,,1,1,0,7.24,0,HCM,2026-08-18 08:00:00,10.0.23.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH026008,ACC0027,SES026008,2026-08-18 08:00:00,2026-08-18-08,radius-kv2,10.0.26.1,accept,,1,1,0,17.72,0,KHA,2026-08-18 08:00:00,10.0.26.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH029008,ACC0030,SES029008,2026-08-18 08:00:00,2026-08-18-08,radius-kv2,10.0.29.1,accept,,1,1,0,5.12,0,KHA,2026-08-18 08:00:00,10.0.29.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH000009,ACC0001,SES000009,2026-08-18 09:00:00,2026-08-18-09,radius-kv1,10.0.0.1,accept,,1,1,0,24.33,0,DBN,2026-08-18 09:00:00,10.0.0.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH003009,ACC0004,SES003009,2026-08-18 09:00:00,2026-08-18-09,radius-kv1,10.0.3.1,accept,,1,1,0,30.38,0,DBN,2026-08-18 09:00:00,10.0.3.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH006009,ACC0007,SES006009,2026-08-18 09:00:00,2026-08-18-09,radius-kv1,10.0.6.1,accept,,1,1,0,20.96,0,SLA,2026-08-18 09:00:00,10.0.6.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH009009,ACC0010,SES009009,2026-08-18 09:00:00,2026-08-18-09,radius-kv1,10.0.9.1,accept,,1,1,0,31.22,0,SLA,2026-08-18 09:00:00,10.0.9.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH012009,ACC0013,SES012009,2026-08-18 09:00:00,2026-08-18-09,radius-kv3,10.0.12.1,accept,,1,1,0,24.28,0,CMU,2026-08-18 09:00:00,10.0.12.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH015009,ACC0016,SES015009,2026-08-18 09:00:00,2026-08-18-09,radius-kv1,10.0.15.1,accept,,1,1,0,9.77,0,NBH,2026-08-18 09:00:00,10.0.15.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
