account_id,customer_id,username,groupname,loginlimit,connection_count,activation_date,status,plan_id,province_code,area_code,last_login_at,created_at,updated_at,count,count_time,date_hour
ACC0019,CUS0019,demo_acc0019,ftth,1,1,2025-05-01,active,PLAN01,NBH,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0020,CUS0020,demo_acc0020,ftth,1,1,2025-05-01,active,PLAN02,NBH,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0021,CUS0021,demo_acc0021,ftth,1,1,2025-05-01,active,PLAN01,HCM,KV3,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0022,CUS0022,demo_acc0022,ftth,1,1,2025-05-01,active,PLAN02,HCM,KV3,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0023,CUS0023,demo_acc0023,ftth,1,1,2025-05-01,active,PLAN03,HCM,KV3,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0024,CUS0024,demo_acc0024,ftth,1,1,2025-05-01,active,PLAN01,HCM,KV3,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0025,CUS0025,demo_acc0025,ftth,1,1,2025-05-01,active,PLAN02,HCM,KV3,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0026,CUS0026,demo_acc0026,ftth,1,1,2025-05-01,active,PLAN01,KHA,KV2,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0027,CUS0027,demo_acc0027,ftth,1,1,2025-05-01,active,PLAN02,KHA,KV2,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0028,CUS0028,demo_acc0028,ftth,1,1,2025-05-01,active,PLAN03,KHA,KV2,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0029,CUS0029,demo_acc0029,ftth,1,1,2025-05-01,active,PLAN01,KHA,KV2,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0030,CUS0030,demo_acc0030,ftth,1,1,2025-05-01,active,PLAN02,KHA,KV2,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
