radius_timeout_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-RADIUS_TIMEOUT_HOURLY-00-13,ACC0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,80.48,count,valid,synthetic_aaa,109,105,4,6.38
AAA-RADIUS_TIMEOUT_HOURLY-00-14,ACC0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,43.0,count,valid,synthetic_aaa,191,187,4,5.36
AAA-RADIUS_TIMEOUT_HOURLY-00-15,ACC0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,44.3,count,valid,synthetic_aaa,94,90,4,9.08
AAA-RADIUS_TIMEOUT_HOURLY-00-16,ACC0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,36.44,count,valid,synthetic_aaa,52,47,5,29.48
AAA-RADIUS_TIMEOUT_HOURLY-00-17,ACC0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,60.73,count,valid,synthetic_aaa,247,243,4,8.28
AAA-RADIUS_TIMEOUT_HOURLY-00-18,ACC0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,35.72,count,valid,synthetic_aaa,224,221,3,9.32
AAA-RADIUS_TIMEOUT_HOURLY-00-19,ACC0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,39.6,count,valid,synthetic_aaa,52,48,4,26.06
AAA-RADIUS_TIMEOUT_HOURLY-00-20,ACC0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,26.73,count,valid,synthetic_aaa,102,100,2,16.34
AAA-RADIUS_TIMEOUT_HOURLY-00-21,ACC0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,36.31,count,valid,synthetic_aaa,158,157,1,16.01
AAA-RADIUS_TIMEOUT_HOURLY-00-22,ACC0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,25.68,count,valid,synthetic_aaa,61,59,2,12.76
AAA-RADIUS_TIMEOUT_HOURLY-00-23,ACC0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,46.13,count,valid,synthetic_aaa,142,137,5,9.5
AAA-RADIUS_TIMEOUT_HOURLY-00-24,ACC0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,52.31,count,valid,synthetic_aaa,131,128,3,26.83
AAA-RADIUS_TIMEOUT_HOURLY-00-25,ACC0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,48.47,count,valid,synthetic_aaa,54,52,2,34.89
AAA-RADIUS_TIMEOUT_HOURLY-00-26,ACC0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,75.44,count,valid,synthetic_aaa,225,221,4,27.65
AAA-RADIUS_TIMEOUT_HOURLY-00-27,ACC0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,25.98,count,degraded,synthetic_aaa,121,99,22,81.14
AAA-RADIUS_TIMEOUT_HOURLY-00-28,ACC0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,31.44,count,valid,synthetic_aaa,98,93,5,17.59
AAA-RADIUS_TIMEOUT_HOURLY-00-29,ACC0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,41.96,count,valid,synthetic_aaa,109,105,4,29.37
AAA-RADIUS_TIMEOUT_HOURLY-00-30,ACC0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,78.81,count,valid,synthetic_aaa,141,140,1,19.13
AAA-RADIUS_TIMEOUT_HOURLY-00-31,ACC0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,64.89,count,valid,synthetic_aaa,114,110,4,8.43
AAA-RADIUS_TIMEOUT_HOURLY-00-32,ACC0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,63.77,count,valid,synthetic_aaa,121,119,2,21.7
AAA-RADIUS_TIMEOUT_HOURLY-00-33,ACC0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,25.77,count,valid,synthetic_aaa,176,172,4,8.78
AAA-RADIUS_TIMEOUT_HOURLY-00-34,ACC0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,74.98,count,valid,synthetic_aaa,137,133,4,24.13
AAA-RADIUS_TIMEOUT_HOURLY-00-35,ACC0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,18.69,count,valid,synthetic_aaa,237,235,2,22.53
AAA-RADIUS_TIMEOUT_HOURLY-00-36,ACC0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,46.93,count,valid,synthetic_aaa,133,130,3,13.17
AAA-RADIUS_TIMEOUT_HOURLY-00-37,ACC0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,43.25,count,valid,synthetic_aaa,101,100,1,16.72
AAA-RADIUS_TIMEOUT_HOURLY-00-38,ACC0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,20.05,count,valid,synthetic_aaa,250,248,2,13.81
AAA-RADIUS_TIMEOUT_HOURLY-00-39,ACC0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,53.22,count,valid,synthetic_aaa,248,244,4,30.37
AAA-RADIUS_TIMEOUT_HOURLY-00-40,ACC0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,20.71,count,valid,synthetic_aaa,245,244,1,28.19
AAA-RADIUS_TIMEOUT_HOURLY-00-41,ACC0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,78.22,count,valid,synthetic_aaa,131,126,5,33.21
AAA-RADIUS_TIMEOUT_HOURLY-00-42,ACC0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,44.89,count,valid,synthetic_aaa,93,90,3,18.44
AAA-RADIUS_TIMEOUT_HOURLY-00-43,ACC0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,81.12,count,valid,synthetic_aaa,196,195,1,10.37
AAA-RADIUS_TIMEOUT_HOURLY-00-44,ACC0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,18.76,count,valid,synthetic_aaa,234,233,1,27.05
AAA-RADIUS_TIMEOUT_HOURLY-00-45,ACC0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,80.66,count,valid,synthetic_aaa,172,168,4,33.04
AAA-RADIUS_TIMEOUT_HOURLY-00-46,ACC0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,52.98,count,valid,synthetic_aaa,243,241,2,10.34
AAA-RADIUS_TIMEOUT_HOURLY-00-47,ACC0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,71.61,count,valid,synthetic_aaa,205,202,3,24.29
AAA-RADIUS_TIMEOUT_HOURLY-00-48,ACC0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,60.68,count,valid,synthetic_aaa,167,163,4,32.04
AAA-RADIUS_TIMEOUT_HOURLY-00-49,ACC0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,24.66,count,valid,synthetic_aaa,228,225,3,7.08
AAA-RADIUS_TIMEOUT_HOURLY-00-50,ACC0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,75.56,count,valid,synthetic_aaa,178,177,1,22.39
AAA-RADIUS_TIMEOUT_HOURLY-00-51,ACC0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,43.77,count,valid,synthetic_aaa,190,188,2,32.85
AAA-RADIUS_TIMEOUT_HOURLY-00-52,ACC0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,20.92,count,valid,synthetic_aaa,90,87,3,15.52
AAA-RADIUS_TIMEOUT_HOURLY-00-53,ACC0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,26.4,count,valid,synthetic_aaa,67,63,4,31.6
AAA-RADIUS_TIMEOUT_HOURLY-00-54,ACC0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,71.93,count,valid,synthetic_aaa,120,118,2,18.12
AAA-RADIUS_TIMEOUT_HOURLY-00-55,ACC0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,78.44,count,valid,synthetic_aaa,199,196,3,19.87
AAA-RADIUS_TIMEOUT_HOURLY-00-56,ACC0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,19.54,count,valid,synthetic_aaa,242,239,3,5.66
AAA-RADIUS_TIMEOUT_HOURLY-00-57,ACC0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,16.8,count,valid,synthetic_aaa,51,46,5,30.03
AAA-RADIUS_TIMEOUT_HOURLY-00-58,ACC0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,19.97,count,valid,synthetic_aaa,153,149,4,15.64
AAA-RADIUS_TIMEOUT_HOURLY-00-59,ACC0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,35.62,count,valid,synthetic_aaa,229,227,2,32.32
AAA-RADIUS_TIMEOUT_HOURLY-00-60,ACC0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,31.55,count,valid,synthetic_aaa,211,209,2,5.34
AAA-RADIUS_TIMEOUT_HOURLY-00-61,ACC0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,42.42,count,valid,synthetic_aaa,179,177,2,25.64
AAA-RADIUS_TIMEOUT_HOURLY-00-62,ACC0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,54.05,count,valid,synthetic_aaa,227,226,1,32.11
AAA-RADIUS_TIMEOUT_HOURLY-00-63,ACC0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,56.84,count,valid,synthetic_aaa,98,97,1,25.4
AAA-RADIUS_TIMEOUT_HOURLY-00-64,ACC0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,43.07,count,valid,synthetic_aaa,102,100,2,5.91
AAA-RADIUS_TIMEOUT_HOURLY-00-65,ACC0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,60.81,count,valid,synthetic_aaa,243,242,1,32.17
AAA-RADIUS_TIMEOUT_HOURLY-00-66,ACC0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,42.65,count,valid,synthetic_aaa,114,111,3,28.64
AAA-RADIUS_TIMEOUT_HOURLY-00-67,ACC0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,81.5,count,valid,synthetic_aaa,72,70,2,10.06
AAA-RADIUS_TIMEOUT_HOURLY-00-68,ACC0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,46.59,count,valid,synthetic_aaa,187,185,2,7.77
AAA-RADIUS_TIMEOUT_HOURLY-00-69,ACC0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,60.74,count,valid,synthetic_aaa,170,166,4,9.73
AAA-RADIUS_TIMEOUT_HOURLY-00-70,ACC0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,81.33,count,valid,synthetic_aaa,222,218,4,21.65
AAA-RADIUS_TIMEOUT_HOURLY-00-71,ACC0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,28.77,count,valid,synthetic_aaa,188,186,2,17.57
AAA-RADIUS_TIMEOUT_HOURLY-01-00,ACC0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,34.72,count,valid,synthetic_aaa,242,240,2,11.2
AAA-RADIUS_TIMEOUT_HOURLY-01-01,ACC0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,35.07,count,valid,synthetic_aaa,71,69,2,17.82
AAA-RADIUS_TIMEOUT_HOURLY-01-02,ACC0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,29.38,count,valid,synthetic_aaa,141,137,4,18.19
AAA-RADIUS_TIMEOUT_HOURLY-01-03,ACC0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,62.25,count,valid,synthetic_aaa,233,229,4,6.73
AAA-RADIUS_TIMEOUT_HOURLY-01-04,ACC0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,43.96,count,valid,synthetic_aaa,183,179,4,20.54
AAA-RADIUS_TIMEOUT_HOURLY-01-05,ACC0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,26.73,count,valid,synthetic_aaa,188,185,3,15.3
AAA-RADIUS_TIMEOUT_HOURLY-01-06,ACC0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,47.64,count,valid,synthetic_aaa,137,132,5,21.51
AAA-RADIUS_TIMEOUT_HOURLY-01-07,ACC0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,76.94,count,valid,synthetic_aaa,250,249,1,12.33
AAA-RADIUS_TIMEOUT_HOURLY-01-08,ACC0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,50.0,count,valid,synthetic_aaa,77,76,1,31.72
AAA-RADIUS_TIMEOUT_HOURLY-01-09,ACC0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,81.26,count,valid,synthetic_aaa,236,233,3,13.9
AAA-RADIUS_TIMEOUT_HOURLY-01-10,ACC0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,38.4,count,valid,synthetic_aaa,220,215,5,31.54
AAA-RADIUS_TIMEOUT_HOURLY-01-11,ACC0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,71.24,count,valid,synthetic_aaa,221,216,5,26.54
AAA-RADIUS_TIMEOUT_HOURLY-01-12,ACC0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,57.1,count,valid,synthetic_aaa,62,58,4,25.25
AAA-RADIUS_TIMEOUT_HOURLY-01-13,ACC0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,74.64,count,valid,synthetic_aaa,246,243,3,33.47
AAA-RADIUS_TIMEOUT_HOURLY-01-14,ACC0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,27.35,count,valid,synthetic_aaa,168,166,2,26.63
AAA-RADIUS_TIMEOUT_HOURLY-01-15,ACC0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,78.5,count,valid,synthetic_aaa,86,81,5,7.24
AAA-RADIUS_TIMEOUT_HOURLY-01-16,ACC0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,32.11,count,valid,synthetic_aaa,171,170,1,34.48
AAA-RADIUS_TIMEOUT_HOURLY-01-17,ACC0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,15.5,count,valid,synthetic_aaa,81,80,1,27.52
AAA-RADIUS_TIMEOUT_HOURLY-01-18,ACC0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,22.74,count,valid,synthetic_aaa,102,101,1,32.24
AAA-RADIUS_TIMEOUT_HOURLY-01-19,ACC0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,66.43,count,valid,synthetic_aaa,225,223,2,23.13
AAA-RADIUS_TIMEOUT_HOURLY-01-20,ACC0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,56.12,count,valid,synthetic_aaa,67,62,5,25.19
AAA-RADIUS_TIMEOUT_HOURLY-01-21,ACC0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,20.88,count,valid,synthetic_aaa,51,49,2,6.38
AAA-RADIUS_TIMEOUT_HOURLY-01-22,ACC0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,32.49,count,valid,synthetic_aaa,71,67,4,21.66
AAA-RADIUS_TIMEOUT_HOURLY-01-23,ACC0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,23.24,count,valid,synthetic_aaa,84,80,4,29.36
AAA-RADIUS_TIMEOUT_HOURLY-01-24,ACC0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,46.33,count,valid,synthetic_aaa,107,102,5,23.52
AAA-RADIUS_TIMEOUT_HOURLY-01-25,ACC0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,69.98,count,valid,synthetic_aaa,151,150,1,5.35
AAA-RADIUS_TIMEOUT_HOURLY-01-26,ACC0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,44.91,count,valid,synthetic_aaa,204,200,4,20.5
AAA-RADIUS_TIMEOUT_HOURLY-01-27,ACC0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,22.25,count,valid,synthetic_aaa,116,112,4,24.12
AAA-RADIUS_TIMEOUT_HOURLY-01-28,ACC0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,70.56,count,valid,synthetic_aaa,220,217,3,20.55
AAA-RADIUS_TIMEOUT_HOURLY-01-29,ACC0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,15.21,count,valid,synthetic_aaa,120,117,3,25.46
AAA-RADIUS_TIMEOUT_HOURLY-01-30,ACC0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,70.63,count,valid,synthetic_aaa,128,126,2,34.82
AAA-RADIUS_TIMEOUT_HOURLY-01-31,ACC0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,35.79,count,valid,synthetic_aaa,64,59,5,27.06
AAA-RADIUS_TIMEOUT_HOURLY-01-32,ACC0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,63.54,count,valid,synthetic_aaa,135,133,2,6.48
AAA-RADIUS_TIMEOUT_HOURLY-01-33,ACC0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,25.46,count,valid,synthetic_aaa,114,113,1,13.22
AAA-RADIUS_TIMEOUT_HOURLY-01-34,ACC0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,23.3,count,valid,synthetic_aaa,54,51,3,24.74
AAA-RADIUS_TIMEOUT_HOURLY-01-35,ACC0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,31.02,count,valid,synthetic_aaa,156,155,1,8.48
AAA-RADIUS_TIMEOUT_HOURLY-01-36,ACC0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,47.07,count,valid,synthetic_aaa,96,91,5,14.77
AAA-RADIUS_TIMEOUT_HOURLY-01-37,ACC0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,83.73,count,valid,synthetic_aaa,201,200,1,16.35
AAA-RADIUS_TIMEOUT_HOURLY-01-38,ACC0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,22.14,count,valid,synthetic_aaa,228,223,5,8.53
AAA-RADIUS_TIMEOUT_HOURLY-01-39,ACC0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,21.66,count,valid,synthetic_aaa,177,174,3,6.44
AAA-RADIUS_TIMEOUT_HOURLY-01-40,ACC0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,70.53,count,valid,synthetic_aaa,115,114,1,27.03
AAA-RADIUS_TIMEOUT_HOURLY-01-41,ACC0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,63.24,count,valid,synthetic_aaa,59,58,1,15.31
AAA-RADIUS_TIMEOUT_HOURLY-01-42,ACC0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,18.98,count,valid,synthetic_aaa,148,146,2,8.65
AAA-RADIUS_TIMEOUT_HOURLY-01-43,ACC0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,33.73,count,valid,synthetic_aaa,157,152,5,23.57
AAA-RADIUS_TIMEOUT_HOURLY-01-44,ACC0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,32.88,count,valid,synthetic_aaa,164,159,5,31.41
AAA-RADIUS_TIMEOUT_HOURLY-01-45,ACC0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,103.33,count,degraded,synthetic_aaa,170,149,21,83.54
AAA-RADIUS_TIMEOUT_HOURLY-01-46,ACC0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,22.59,count,valid,synthetic_aaa,93,88,5,5.56
AAA-RADIUS_TIMEOUT_HOURLY-01-47,ACC0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,68.82,count,valid,synthetic_aaa,202,200,2,12.5
AAA-RADIUS_TIMEOUT_HOURLY-01-48,ACC0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,46.67,count,valid,synthetic_aaa,153,149,4,11.5
AAA-RADIUS_TIMEOUT_HOURLY-01-49,ACC0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,36.72,count,valid,synthetic_aaa,171,166,5,27.27
AAA-RADIUS_TIMEOUT_HOURLY-01-50,ACC0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,79.37,count,valid,synthetic_aaa,138,134,4,11.19
AAA-RADIUS_TIMEOUT_HOURLY-01-51,ACC0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,26.86,count,valid,synthetic_aaa,239,235,4,30.97
AAA-RADIUS_TIMEOUT_HOURLY-01-52,ACC0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,15.35,count,valid,synthetic_aaa,237,233,4,9.12
AAA-RADIUS_TIMEOUT_HOURLY-01-53,ACC0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,76.46,count,valid,synthetic_aaa,244,242,2,13.26
AAA-RADIUS_TIMEOUT_HOURLY-01-54,ACC0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,43.28,count,valid,synthetic_aaa,248,246,2,23.59
AAA-RADIUS_TIMEOUT_HOURLY-01-55,ACC0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,38.61,count,valid,synthetic_aaa,70,67,3,13.09
AAA-RADIUS_TIMEOUT_HOURLY-01-56,ACC0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,29.74,count,valid,synthetic_aaa,76,75,1,23.89
AAA-RADIUS_TIMEOUT_HOURLY-01-57,ACC0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,79.8,count,valid,synthetic_aaa,199,198,1,26.07
AAA-RADIUS_TIMEOUT_HOURLY-01-58,ACC0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,84.49,count,valid,synthetic_aaa,211,210,1,29.2
AAA-RADIUS_TIMEOUT_HOURLY-01-59,ACC0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,59.05,count,valid,synthetic_aaa,149,148,1,7.59
AAA-RADIUS_TIMEOUT_HOURLY-01-60,ACC0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,45.65,count,valid,synthetic_aaa,234,231,3,15.51
AAA-RADIUS_TIMEOUT_HOURLY-01-61,ACC0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,47.78,count,valid,synthetic_aaa,135,133,2,5.43
AAA-RADIUS_TIMEOUT_HOURLY-01-62,ACC0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,39.34,count,valid,synthetic_aaa,85,84,1,11.38
AAA-RADIUS_TIMEOUT_HOURLY-01-63,ACC0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,54.71,count,valid,synthetic_aaa,102,100,2,7.47
AAA-RADIUS_TIMEOUT_HOURLY-01-64,ACC0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,38.46,count,valid,synthetic_aaa,118,117,1,6.34
AAA-RADIUS_TIMEOUT_HOURLY-01-65,ACC0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,71.55,count,valid,synthetic_aaa,176,174,2,27.52
AAA-RADIUS_TIMEOUT_HOURLY-01-66,ACC0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,43.37,count,valid,synthetic_aaa,125,123,2,25.69
AAA-RADIUS_TIMEOUT_HOURLY-01-67,ACC0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,82.75,count,valid,synthetic_aaa,123,120,3,28.91
AAA-RADIUS_TIMEOUT_HOURLY-01-68,ACC0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,62.7,count,valid,synthetic_aaa,122,118,4,33.05
AAA-RADIUS_TIMEOUT_HOURLY-01-69,ACC0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,21.62,count,valid,synthetic_aaa,65,63,2,15.04
AAA-RADIUS_TIMEOUT_HOURLY-01-70,ACC0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,45.4,count,valid,synthetic_aaa,205,201,4,31.88
AAA-RADIUS_TIMEOUT_HOURLY-01-71,ACC0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,63.71,count,valid,synthetic_aaa,69,68,1,26.8
AAA-RADIUS_TIMEOUT_HOURLY-02-00,ACC0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,61.79,count,valid,synthetic_aaa,240,239,1,30.98
AAA-RADIUS_TIMEOUT_HOURLY-02-01,ACC0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,66.84,count,valid,synthetic_aaa,88,87,1,28.75
AAA-RADIUS_TIMEOUT_HOURLY-02-02,ACC0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,28.28,count,valid,synthetic_aaa,107,102,5,7.88
