account_lockout_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-ACCOUNT_LOCKOUT_HOURLY-00-19,ACC0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,15.85,count,valid,synthetic_aaa,201,200,1,7.81
AAA-ACCOUNT_LOCKOUT_HOURLY-00-20,ACC0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,21.05,count,valid,synthetic_aaa,134,130,4,30.94
AAA-ACCOUNT_LOCKOUT_HOURLY-00-21,ACC0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,46.03,count,valid,synthetic_aaa,176,172,4,22.19
AAA-ACCOUNT_LOCKOUT_HOURLY-00-22,ACC0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,21.98,count,valid,synthetic_aaa,141,137,4,18.7
AAA-ACCOUNT_LOCKOUT_HOURLY-00-23,ACC0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,65.9,count,valid,synthetic_aaa,233,228,5,15.4
AAA-ACCOUNT_LOCKOUT_HOURLY-00-24,ACC0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,15.02,count,valid,synthetic_aaa,74,73,1,10.87
AAA-ACCOUNT_LOCKOUT_HOURLY-00-25,ACC0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,79.75,count,valid,synthetic_aaa,208,205,3,26.18
AAA-ACCOUNT_LOCKOUT_HOURLY-00-26,ACC0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,72.01,count,valid,synthetic_aaa,211,206,5,14.29
AAA-ACCOUNT_LOCKOUT_HOURLY-00-27,ACC0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,103.05,count,degraded,synthetic_aaa,56,34,22,75.17
AAA-ACCOUNT_LOCKOUT_HOURLY-00-28,ACC0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,66.87,count,valid,synthetic_aaa,56,54,2,14.84
AAA-ACCOUNT_LOCKOUT_HOURLY-00-29,ACC0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,39.69,count,valid,synthetic_aaa,145,143,2,15.73
AAA-ACCOUNT_LOCKOUT_HOURLY-00-30,ACC0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,23.61,count,valid,synthetic_aaa,63,59,4,19.63
AAA-ACCOUNT_LOCKOUT_HOURLY-00-31,ACC0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,39.87,count,valid,synthetic_aaa,119,114,5,34.0
AAA-ACCOUNT_LOCKOUT_HOURLY-00-32,ACC0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,60.76,count,valid,synthetic_aaa,236,235,1,16.4
AAA-ACCOUNT_LOCKOUT_HOURLY-00-33,ACC0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,16.19,count,valid,synthetic_aaa,146,143,3,15.52
AAA-ACCOUNT_LOCKOUT_HOURLY-00-34,ACC0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,84.24,count,valid,synthetic_aaa,129,128,1,34.2
AAA-ACCOUNT_LOCKOUT_HOURLY-00-35,ACC0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,62.81,count,valid,synthetic_aaa,65,64,1,25.33
AAA-ACCOUNT_LOCKOUT_HOURLY-00-36,ACC0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,27.06,count,valid,synthetic_aaa,161,160,1,18.05
AAA-ACCOUNT_LOCKOUT_HOURLY-00-37,ACC0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,15.01,count,valid,synthetic_aaa,167,164,3,32.93
AAA-ACCOUNT_LOCKOUT_HOURLY-00-38,ACC0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,55.03,count,valid,synthetic_aaa,177,172,5,26.79
AAA-ACCOUNT_LOCKOUT_HOURLY-00-39,ACC0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,78.68,count,valid,synthetic_aaa,111,106,5,24.1
AAA-ACCOUNT_LOCKOUT_HOURLY-00-40,ACC0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,49.33,count,valid,synthetic_aaa,182,177,5,34.9
AAA-ACCOUNT_LOCKOUT_HOURLY-00-41,ACC0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,41.21,count,valid,synthetic_aaa,161,156,5,34.79
AAA-ACCOUNT_LOCKOUT_HOURLY-00-42,ACC0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,76.34,count,valid,synthetic_aaa,223,222,1,22.15
AAA-ACCOUNT_LOCKOUT_HOURLY-00-43,ACC0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,41.51,count,valid,synthetic_aaa,68,67,1,24.9
AAA-ACCOUNT_LOCKOUT_HOURLY-00-44,ACC0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,84.24,count,valid,synthetic_aaa,120,115,5,7.72
AAA-ACCOUNT_LOCKOUT_HOURLY-00-45,ACC0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,22.8,count,valid,synthetic_aaa,141,140,1,33.97
AAA-ACCOUNT_LOCKOUT_HOURLY-00-46,ACC0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,15.94,count,valid,synthetic_aaa,218,213,5,28.7
AAA-ACCOUNT_LOCKOUT_HOURLY-00-47,ACC0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,52.21,count,valid,synthetic_aaa,136,131,5,13.3
AAA-ACCOUNT_LOCKOUT_HOURLY-00-48,ACC0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,67.75,count,valid,synthetic_aaa,227,226,1,33.53
AAA-ACCOUNT_LOCKOUT_HOURLY-00-49,ACC0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,26.64,count,valid,synthetic_aaa,162,158,4,16.89
AAA-ACCOUNT_LOCKOUT_HOURLY-00-50,ACC0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,16.37,count,valid,synthetic_aaa,223,219,4,26.03
AAA-ACCOUNT_LOCKOUT_HOURLY-00-51,ACC0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,58.79,count,valid,synthetic_aaa,230,227,3,20.49
AAA-ACCOUNT_LOCKOUT_HOURLY-00-52,ACC0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,76.92,count,valid,synthetic_aaa,224,221,3,12.78
AAA-ACCOUNT_LOCKOUT_HOURLY-00-53,ACC0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,37.15,count,valid,synthetic_aaa,202,198,4,31.69
AAA-ACCOUNT_LOCKOUT_HOURLY-00-54,ACC0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,58.62,count,valid,synthetic_aaa,220,215,5,31.27
AAA-ACCOUNT_LOCKOUT_HOURLY-00-55,ACC0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,74.42,count,valid,synthetic_aaa,210,207,3,25.94
AAA-ACCOUNT_LOCKOUT_HOURLY-00-56,ACC0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,51.09,count,valid,synthetic_aaa,129,125,4,5.46
AAA-ACCOUNT_LOCKOUT_HOURLY-00-57,ACC0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,24.32,count,valid,synthetic_aaa,191,188,3,27.66
AAA-ACCOUNT_LOCKOUT_HOURLY-00-58,ACC0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,84.45,count,valid,synthetic_aaa,125,124,1,28.14
AAA-ACCOUNT_LOCKOUT_HOURLY-00-59,ACC0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,52.94,count,valid,synthetic_aaa,197,194,3,9.39
AAA-ACCOUNT_LOCKOUT_HOURLY-00-60,ACC0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,71.67,count,valid,synthetic_aaa,141,136,5,16.26
AAA-ACCOUNT_LOCKOUT_HOURLY-00-61,ACC0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,28.57,count,valid,synthetic_aaa,217,213,4,21.21
AAA-ACCOUNT_LOCKOUT_HOURLY-00-62,ACC0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,57.08,count,valid,synthetic_aaa,102,97,5,32.2
AAA-ACCOUNT_LOCKOUT_HOURLY-00-63,ACC0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,59.77,count,valid,synthetic_aaa,87,84,3,29.98
AAA-ACCOUNT_LOCKOUT_HOURLY-00-64,ACC0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,22.25,count,valid,synthetic_aaa,96,91,5,30.11
AAA-ACCOUNT_LOCKOUT_HOURLY-00-65,ACC0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,53.93,count,valid,synthetic_aaa,57,56,1,32.26
AAA-ACCOUNT_LOCKOUT_HOURLY-00-66,ACC0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,29.97,count,valid,synthetic_aaa,204,199,5,19.07
AAA-ACCOUNT_LOCKOUT_HOURLY-00-67,ACC0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,31.4,count,valid,synthetic_aaa,247,244,3,8.75
AAA-ACCOUNT_LOCKOUT_HOURLY-00-68,ACC0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,45.75,count,valid,synthetic_aaa,59,54,5,5.62
AAA-ACCOUNT_LOCKOUT_HOURLY-00-69,ACC0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,15.6,count,valid,synthetic_aaa,238,233,5,14.25
AAA-ACCOUNT_LOCKOUT_HOURLY-00-70,ACC0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,49.73,count,valid,synthetic_aaa,183,182,1,6.43
AAA-ACCOUNT_LOCKOUT_HOURLY-00-71,ACC0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,75.84,count,valid,synthetic_aaa,114,109,5,24.68
AAA-ACCOUNT_LOCKOUT_HOURLY-01-00,ACC0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,83.52,count,valid,synthetic_aaa,124,119,5,11.1
AAA-ACCOUNT_LOCKOUT_HOURLY-01-01,ACC0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,51.95,count,valid,synthetic_aaa,119,117,2,11.96
AAA-ACCOUNT_LOCKOUT_HOURLY-01-02,ACC0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,82.29,count,valid,synthetic_aaa,198,197,1,10.11
AAA-ACCOUNT_LOCKOUT_HOURLY-01-03,ACC0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,81.47,count,valid,synthetic_aaa,130,125,5,14.61
AAA-ACCOUNT_LOCKOUT_HOURLY-01-04,ACC0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,46.3,count,valid,synthetic_aaa,246,242,4,8.58
AAA-ACCOUNT_LOCKOUT_HOURLY-01-05,ACC0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,78.6,count,valid,synthetic_aaa,222,218,4,14.86
AAA-ACCOUNT_LOCKOUT_HOURLY-01-06,ACC0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,35.07,count,valid,synthetic_aaa,103,101,2,24.19
AAA-ACCOUNT_LOCKOUT_HOURLY-01-07,ACC0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,28.75,count,valid,synthetic_aaa,128,125,3,21.52
AAA-ACCOUNT_LOCKOUT_HOURLY-01-08,ACC0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,26.06,count,valid,synthetic_aaa,197,196,1,28.77
AAA-ACCOUNT_LOCKOUT_HOURLY-01-09,ACC0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,75.12,count,valid,synthetic_aaa,160,157,3,5.45
AAA-ACCOUNT_LOCKOUT_HOURLY-01-10,ACC0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,33.89,count,valid,synthetic_aaa,120,118,2,9.54
AAA-ACCOUNT_LOCKOUT_HOURLY-01-11,ACC0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,78.36,count,valid,synthetic_aaa,98,95,3,33.89
AAA-ACCOUNT_LOCKOUT_HOURLY-01-12,ACC0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,39.42,count,valid,synthetic_aaa,93,92,1,26.99
AAA-ACCOUNT_LOCKOUT_HOURLY-01-13,ACC0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,47.49,count,valid,synthetic_aaa,185,180,5,33.68
AAA-ACCOUNT_LOCKOUT_HOURLY-01-14,ACC0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,77.69,count,valid,synthetic_aaa,76,75,1,26.95
AAA-ACCOUNT_LOCKOUT_HOURLY-01-15,ACC0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,21.64,count,valid,synthetic_aaa,236,234,2,26.69
AAA-ACCOUNT_LOCKOUT_HOURLY-01-16,ACC0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,66.55,count,valid,synthetic_aaa,248,244,4,10.74
AAA-ACCOUNT_LOCKOUT_HOURLY-01-17,ACC0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,61.17,count,valid,synthetic_aaa,228,227,1,24.1
AAA-ACCOUNT_LOCKOUT_HOURLY-01-18,ACC0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,79.25,count,valid,synthetic_aaa,196,195,1,16.02
AAA-ACCOUNT_LOCKOUT_HOURLY-01-19,ACC0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,79.03,count,valid,synthetic_aaa,220,215,5,26.33
AAA-ACCOUNT_LOCKOUT_HOURLY-01-20,ACC0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,61.75,count,valid,synthetic_aaa,78,73,5,28.04
AAA-ACCOUNT_LOCKOUT_HOURLY-01-21,ACC0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,28.76,count,valid,synthetic_aaa,201,200,1,27.33
AAA-ACCOUNT_LOCKOUT_HOURLY-01-22,ACC0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,35.82,count,valid,synthetic_aaa,94,89,5,28.96
AAA-ACCOUNT_LOCKOUT_HOURLY-01-23,ACC0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,70.75,count,valid,synthetic_aaa,66,63,3,6.24
AAA-ACCOUNT_LOCKOUT_HOURLY-01-24,ACC0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,79.55,count,valid,synthetic_aaa,151,150,1,11.07
AAA-ACCOUNT_LOCKOUT_HOURLY-01-25,ACC0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,76.89,count,valid,synthetic_aaa,70,66,4,25.82
AAA-ACCOUNT_LOCKOUT_HOURLY-01-26,ACC0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,28.34,count,valid,synthetic_aaa,215,210,5,15.71
AAA-ACCOUNT_LOCKOUT_HOURLY-01-27,ACC0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,28.26,count,valid,synthetic_aaa,231,227,4,23.25
AAA-ACCOUNT_LOCKOUT_HOURLY-01-28,ACC0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,50.62,count,valid,synthetic_aaa,205,200,5,23.19
AAA-ACCOUNT_LOCKOUT_HOURLY-01-29,ACC0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,66.58,count,valid,synthetic_aaa,192,191,1,6.43
AAA-ACCOUNT_LOCKOUT_HOURLY-01-30,ACC0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,20.16,count,valid,synthetic_aaa,79,76,3,7.51
AAA-ACCOUNT_LOCKOUT_HOURLY-01-31,ACC0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,27.32,count,valid,synthetic_aaa,123,120,3,12.32
AAA-ACCOUNT_LOCKOUT_HOURLY-01-32,ACC0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,48.52,count,valid,synthetic_aaa,113,110,3,28.6
AAA-ACCOUNT_LOCKOUT_HOURLY-01-33,ACC0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,64.67,count,valid,synthetic_aaa,228,225,3,5.88
AAA-ACCOUNT_LOCKOUT_HOURLY-01-34,ACC0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,43.06,count,valid,synthetic_aaa,56,53,3,16.06
AAA-ACCOUNT_LOCKOUT_HOURLY-01-35,ACC0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,48.95,count,valid,synthetic_aaa,109,105,4,7.03
AAA-ACCOUNT_LOCKOUT_HOURLY-01-36,ACC0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,64.15,count,valid,synthetic_aaa,248,246,2,30.7
AAA-ACCOUNT_LOCKOUT_HOURLY-01-37,ACC0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,75.15,count,valid,synthetic_aaa,249,248,1,12.04
AAA-ACCOUNT_LOCKOUT_HOURLY-01-38,ACC0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,59.98,count,valid,synthetic_aaa,227,222,5,23.29
AAA-ACCOUNT_LOCKOUT_HOURLY-01-39,ACC0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,34.53,count,valid,synthetic_aaa,148,144,4,30.42
AAA-ACCOUNT_LOCKOUT_HOURLY-01-40,ACC0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,66.92,count,valid,synthetic_aaa,86,81,5,27.41
AAA-ACCOUNT_LOCKOUT_HOURLY-01-41,ACC0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,74.22,count,valid,synthetic_aaa,124,120,4,15.34
AAA-ACCOUNT_LOCKOUT_HOURLY-01-42,ACC0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,75.35,count,valid,synthetic_aaa,155,152,3,19.53
AAA-ACCOUNT_LOCKOUT_HOURLY-01-43,ACC0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,64.85,count,valid,synthetic_aaa,174,173,1,9.47
AAA-ACCOUNT_LOCKOUT_HOURLY-01-44,ACC0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,41.99,count,valid,synthetic_aaa,72,69,3,15.31
AAA-ACCOUNT_LOCKOUT_HOURLY-01-45,ACC0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,96.2,count,degraded,synthetic_aaa,100,77,23,58.59
AAA-ACCOUNT_LOCKOUT_HOURLY-01-46,ACC0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,31.54,count,valid,synthetic_aaa,109,107,2,19.67
AAA-ACCOUNT_LOCKOUT_HOURLY-01-47,ACC0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,49.59,count,valid,synthetic_aaa,64,59,5,6.56
AAA-ACCOUNT_LOCKOUT_HOURLY-01-48,ACC0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,51.16,count,valid,synthetic_aaa,228,223,5,10.15
AAA-ACCOUNT_LOCKOUT_HOURLY-01-49,ACC0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,65.29,count,valid,synthetic_aaa,236,233,3,8.61
AAA-ACCOUNT_LOCKOUT_HOURLY-01-50,ACC0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,26.41,count,valid,synthetic_aaa,75,71,4,33.25
AAA-ACCOUNT_LOCKOUT_HOURLY-01-51,ACC0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,64.73,count,valid,synthetic_aaa,62,59,3,7.58
AAA-ACCOUNT_LOCKOUT_HOURLY-01-52,ACC0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,26.89,count,valid,synthetic_aaa,232,228,4,27.78
AAA-ACCOUNT_LOCKOUT_HOURLY-01-53,ACC0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,71.53,count,valid,synthetic_aaa,228,225,3,9.51
AAA-ACCOUNT_LOCKOUT_HOURLY-01-54,ACC0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,61.8,count,valid,synthetic_aaa,206,201,5,15.42
AAA-ACCOUNT_LOCKOUT_HOURLY-01-55,ACC0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,74.28,count,valid,synthetic_aaa,178,173,5,24.48
AAA-ACCOUNT_LOCKOUT_HOURLY-01-56,ACC0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,69.24,count,valid,synthetic_aaa,236,235,1,10.52
AAA-ACCOUNT_LOCKOUT_HOURLY-01-57,ACC0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,76.38,count,valid,synthetic_aaa,115,112,3,21.12
AAA-ACCOUNT_LOCKOUT_HOURLY-01-58,ACC0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,74.67,count,valid,synthetic_aaa,86,81,5,14.16
AAA-ACCOUNT_LOCKOUT_HOURLY-01-59,ACC0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,55.98,count,valid,synthetic_aaa,64,60,4,16.71
AAA-ACCOUNT_LOCKOUT_HOURLY-01-60,ACC0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,24.92,count,valid,synthetic_aaa,164,163,1,23.27
AAA-ACCOUNT_LOCKOUT_HOURLY-01-61,ACC0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,84.51,count,valid,synthetic_aaa,59,56,3,32.68
AAA-ACCOUNT_LOCKOUT_HOURLY-01-62,ACC0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,72.75,count,valid,synthetic_aaa,205,200,5,21.41
AAA-ACCOUNT_LOCKOUT_HOURLY-01-63,ACC0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,58.47,count,valid,synthetic_aaa,213,208,5,5.2
AAA-ACCOUNT_LOCKOUT_HOURLY-01-64,ACC0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,31.77,count,valid,synthetic_aaa,51,47,4,15.93
AAA-ACCOUNT_LOCKOUT_HOURLY-01-65,ACC0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,54.25,count,valid,synthetic_aaa,103,101,2,15.71
AAA-ACCOUNT_LOCKOUT_HOURLY-01-66,ACC0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,19.59,count,valid,synthetic_aaa,193,192,1,14.24
AAA-ACCOUNT_LOCKOUT_HOURLY-01-67,ACC0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,29.88,count,valid,synthetic_aaa,90,86,4,34.83
AAA-ACCOUNT_LOCKOUT_HOURLY-01-68,ACC0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,53.51,count,valid,synthetic_aaa,199,197,2,27.56
AAA-ACCOUNT_LOCKOUT_HOURLY-01-69,ACC0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,52.66,count,valid,synthetic_aaa,229,227,2,27.21
AAA-ACCOUNT_LOCKOUT_HOURLY-01-70,ACC0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,48.5,count,valid,synthetic_aaa,62,58,4,7.36
AAA-ACCOUNT_LOCKOUT_HOURLY-01-71,ACC0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,42.64,count,valid,synthetic_aaa,160,155,5,21.08
