login_failure_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-LOGIN_FAILURE_HOURLY-00-21,ACC0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,38.48,count,valid,synthetic_aaa,167,163,4,33.23
AAA-LOGIN_FAILURE_HOURLY-00-22,ACC0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,43.75,count,valid,synthetic_aaa,167,165,2,12.91
AAA-LOGIN_FAILURE_HOURLY-00-23,ACC0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,62.96,count,valid,synthetic_aaa,179,178,1,26.99
AAA-LOGIN_FAILURE_HOURLY-00-24,ACC0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,28.74,count,valid,synthetic_aaa,98,96,2,32.68
AAA-LOGIN_FAILURE_HOURLY-00-25,ACC0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,55.39,count,valid,synthetic_aaa,146,141,5,25.99
AAA-LOGIN_FAILURE_HOURLY-00-26,ACC0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,23.17,count,valid,synthetic_aaa,144,142,2,15.65
AAA-LOGIN_FAILURE_HOURLY-00-27,ACC0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,117.01,count,degraded,synthetic_aaa,70,45,25,79.52
AAA-LOGIN_FAILURE_HOURLY-00-28,ACC0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,70.03,count,valid,synthetic_aaa,151,146,5,24.85
AAA-LOGIN_FAILURE_HOURLY-00-29,ACC0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,72.04,count,valid,synthetic_aaa,140,138,2,9.2
AAA-LOGIN_FAILURE_HOURLY-00-30,ACC0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,27.75,count,valid,synthetic_aaa,110,105,5,9.05
AAA-LOGIN_FAILURE_HOURLY-00-31,ACC0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,25.48,count,valid,synthetic_aaa,204,201,3,29.12
AAA-LOGIN_FAILURE_HOURLY-00-32,ACC0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,75.94,count,valid,synthetic_aaa,243,241,2,29.27
AAA-LOGIN_FAILURE_HOURLY-00-33,ACC0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,60.61,count,valid,synthetic_aaa,224,220,4,34.23
AAA-LOGIN_FAILURE_HOURLY-00-34,ACC0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,35.97,count,valid,synthetic_aaa,171,166,5,6.73
AAA-LOGIN_FAILURE_HOURLY-00-35,ACC0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,46.55,count,valid,synthetic_aaa,141,137,4,8.39
AAA-LOGIN_FAILURE_HOURLY-00-36,ACC0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,17.96,count,valid,synthetic_aaa,235,232,3,11.14
AAA-LOGIN_FAILURE_HOURLY-00-37,ACC0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,27.75,count,valid,synthetic_aaa,153,152,1,7.53
AAA-LOGIN_FAILURE_HOURLY-00-38,ACC0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,56.18,count,valid,synthetic_aaa,92,89,3,17.64
AAA-LOGIN_FAILURE_HOURLY-00-39,ACC0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,22.02,count,valid,synthetic_aaa,246,243,3,33.09
AAA-LOGIN_FAILURE_HOURLY-00-40,ACC0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,63.69,count,valid,synthetic_aaa,146,143,3,9.53
AAA-LOGIN_FAILURE_HOURLY-00-41,ACC0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,33.08,count,valid,synthetic_aaa,245,243,2,12.55
AAA-LOGIN_FAILURE_HOURLY-00-42,ACC0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,19.75,count,valid,synthetic_aaa,81,77,4,27.85
AAA-LOGIN_FAILURE_HOURLY-00-43,ACC0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,45.3,count,valid,synthetic_aaa,107,104,3,7.08
AAA-LOGIN_FAILURE_HOURLY-00-44,ACC0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,21.67,count,valid,synthetic_aaa,224,221,3,32.4
AAA-LOGIN_FAILURE_HOURLY-00-45,ACC0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,25.47,count,valid,synthetic_aaa,205,200,5,24.17
AAA-LOGIN_FAILURE_HOURLY-00-46,ACC0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,69.78,count,valid,synthetic_aaa,143,138,5,24.75
AAA-LOGIN_FAILURE_HOURLY-00-47,ACC0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,28.58,count,valid,synthetic_aaa,92,89,3,20.19
AAA-LOGIN_FAILURE_HOURLY-00-48,ACC0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,34.83,count,valid,synthetic_aaa,73,68,5,30.35
AAA-LOGIN_FAILURE_HOURLY-00-49,ACC0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,72.33,count,valid,synthetic_aaa,242,237,5,25.97
AAA-LOGIN_FAILURE_HOURLY-00-50,ACC0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,31.29,count,valid,synthetic_aaa,98,95,3,19.69
AAA-LOGIN_FAILURE_HOURLY-00-51,ACC0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,49.67,count,valid,synthetic_aaa,195,192,3,15.4
AAA-LOGIN_FAILURE_HOURLY-00-52,ACC0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,79.85,count,valid,synthetic_aaa,98,97,1,6.13
AAA-LOGIN_FAILURE_HOURLY-00-53,ACC0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,38.5,count,valid,synthetic_aaa,189,185,4,12.37
AAA-LOGIN_FAILURE_HOURLY-00-54,ACC0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,20.83,count,valid,synthetic_aaa,221,219,2,16.1
AAA-LOGIN_FAILURE_HOURLY-00-55,ACC0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,36.35,count,valid,synthetic_aaa,66,65,1,34.95
AAA-LOGIN_FAILURE_HOURLY-00-56,ACC0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,43.73,count,valid,synthetic_aaa,70,69,1,14.75
AAA-LOGIN_FAILURE_HOURLY-00-57,ACC0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,54.72,count,valid,synthetic_aaa,204,201,3,14.33
AAA-LOGIN_FAILURE_HOURLY-00-58,ACC0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,68.25,count,valid,synthetic_aaa,182,179,3,9.43
AAA-LOGIN_FAILURE_HOURLY-00-59,ACC0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,65.63,count,valid,synthetic_aaa,146,144,2,31.79
AAA-LOGIN_FAILURE_HOURLY-00-60,ACC0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,19.73,count,valid,synthetic_aaa,76,71,5,27.1
AAA-LOGIN_FAILURE_HOURLY-00-61,ACC0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,82.27,count,valid,synthetic_aaa,138,136,2,18.28
AAA-LOGIN_FAILURE_HOURLY-00-62,ACC0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,29.32,count,valid,synthetic_aaa,73,68,5,5.22
AAA-LOGIN_FAILURE_HOURLY-00-63,ACC0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,76.97,count,valid,synthetic_aaa,100,97,3,9.75
AAA-LOGIN_FAILURE_HOURLY-00-64,ACC0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,31.1,count,valid,synthetic_aaa,236,233,3,20.59
AAA-LOGIN_FAILURE_HOURLY-00-65,ACC0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,55.72,count,valid,synthetic_aaa,59,55,4,12.97
AAA-LOGIN_FAILURE_HOURLY-00-66,ACC0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,32.7,count,valid,synthetic_aaa,166,164,2,17.93
AAA-LOGIN_FAILURE_HOURLY-00-67,ACC0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,19.69,count,valid,synthetic_aaa,151,147,4,34.2
AAA-LOGIN_FAILURE_HOURLY-00-68,ACC0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,42.64,count,valid,synthetic_aaa,152,150,2,8.94
AAA-LOGIN_FAILURE_HOURLY-00-69,ACC0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,30.23,count,valid,synthetic_aaa,136,135,1,27.11
AAA-LOGIN_FAILURE_HOURLY-00-70,ACC0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,81.06,count,valid,synthetic_aaa,113,108,5,24.44
AAA-LOGIN_FAILURE_HOURLY-00-71,ACC0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,35.58,count,valid,synthetic_aaa,70,65,5,26.17
AAA-LOGIN_FAILURE_HOURLY-01-00,ACC0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,81.01,count,valid,synthetic_aaa,99,97,2,20.63
AAA-LOGIN_FAILURE_HOURLY-01-01,ACC0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,20.62,count,valid,synthetic_aaa,228,225,3,26.51
AAA-LOGIN_FAILURE_HOURLY-01-02,ACC0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,84.18,count,valid,synthetic_aaa,203,198,5,27.94
AAA-LOGIN_FAILURE_HOURLY-01-03,ACC0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,34.44,count,valid,synthetic_aaa,122,117,5,31.47
AAA-LOGIN_FAILURE_HOURLY-01-04,ACC0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,49.65,count,valid,synthetic_aaa,124,120,4,18.36
AAA-LOGIN_FAILURE_HOURLY-01-05,ACC0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,61.6,count,valid,synthetic_aaa,91,89,2,16.75
AAA-LOGIN_FAILURE_HOURLY-01-06,ACC0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,16.74,count,valid,synthetic_aaa,116,112,4,15.42
AAA-LOGIN_FAILURE_HOURLY-01-07,ACC0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,49.37,count,valid,synthetic_aaa,220,219,1,22.91
AAA-LOGIN_FAILURE_HOURLY-01-08,ACC0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,61.3,count,valid,synthetic_aaa,127,125,2,33.51
AAA-LOGIN_FAILURE_HOURLY-01-09,ACC0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,25.42,count,valid,synthetic_aaa,203,199,4,12.09
AAA-LOGIN_FAILURE_HOURLY-01-10,ACC0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,34.15,count,valid,synthetic_aaa,191,189,2,14.44
AAA-LOGIN_FAILURE_HOURLY-01-11,ACC0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,81.38,count,valid,synthetic_aaa,163,161,2,15.52
AAA-LOGIN_FAILURE_HOURLY-01-12,ACC0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,39.97,count,valid,synthetic_aaa,149,144,5,28.9
AAA-LOGIN_FAILURE_HOURLY-01-13,ACC0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,50.48,count,valid,synthetic_aaa,183,178,5,20.8
AAA-LOGIN_FAILURE_HOURLY-01-14,ACC0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,76.59,count,valid,synthetic_aaa,62,58,4,31.42
AAA-LOGIN_FAILURE_HOURLY-01-15,ACC0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,32.77,count,valid,synthetic_aaa,110,107,3,5.99
AAA-LOGIN_FAILURE_HOURLY-01-16,ACC0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,61.95,count,valid,synthetic_aaa,134,132,2,21.51
AAA-LOGIN_FAILURE_HOURLY-01-17,ACC0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,41.94,count,valid,synthetic_aaa,85,84,1,20.97
AAA-LOGIN_FAILURE_HOURLY-01-18,ACC0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,38.23,count,valid,synthetic_aaa,187,185,2,9.61
AAA-LOGIN_FAILURE_HOURLY-01-19,ACC0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,79.72,count,valid,synthetic_aaa,206,202,4,13.7
AAA-LOGIN_FAILURE_HOURLY-01-20,ACC0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,67.08,count,valid,synthetic_aaa,159,154,5,11.75
AAA-LOGIN_FAILURE_HOURLY-01-21,ACC0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,56.06,count,valid,synthetic_aaa,196,192,4,21.58
AAA-LOGIN_FAILURE_HOURLY-01-22,ACC0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,81.22,count,valid,synthetic_aaa,115,114,1,10.48
AAA-LOGIN_FAILURE_HOURLY-01-23,ACC0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,74.34,count,valid,synthetic_aaa,184,181,3,19.99
AAA-LOGIN_FAILURE_HOURLY-01-24,ACC0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,63.44,count,valid,synthetic_aaa,139,134,5,23.05
AAA-LOGIN_FAILURE_HOURLY-01-25,ACC0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,61.71,count,valid,synthetic_aaa,105,101,4,12.1
AAA-LOGIN_FAILURE_HOURLY-01-26,ACC0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,61.86,count,valid,synthetic_aaa,158,157,1,8.22
AAA-LOGIN_FAILURE_HOURLY-01-27,ACC0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,67.89,count,valid,synthetic_aaa,134,130,4,19.39
AAA-LOGIN_FAILURE_HOURLY-01-28,ACC0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,20.4,count,valid,synthetic_aaa,50,45,5,25.47
AAA-LOGIN_FAILURE_HOURLY-01-29,ACC0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,42.72,count,valid,synthetic_aaa,111,108,3,12.48
AAA-LOGIN_FAILURE_HOURLY-01-30,ACC0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,65.55,count,valid,synthetic_aaa,227,226,1,23.8
AAA-LOGIN_FAILURE_HOURLY-01-31,ACC0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,67.86,count,valid,synthetic_aaa,165,162,3,10.15
AAA-LOGIN_FAILURE_HOURLY-01-32,ACC0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,26.89,count,valid,synthetic_aaa,165,161,4,5.83
AAA-LOGIN_FAILURE_HOURLY-01-33,ACC0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,82.76,count,valid,synthetic_aaa,237,234,3,32.42
AAA-LOGIN_FAILURE_HOURLY-01-34,ACC0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,25.62,count,valid,synthetic_aaa,172,171,1,12.45
AAA-LOGIN_FAILURE_HOURLY-01-35,ACC0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,68.02,count,valid,synthetic_aaa,73,68,5,33.58
AAA-LOGIN_FAILURE_HOURLY-01-36,ACC0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,58.93,count,valid,synthetic_aaa,64,61,3,27.18
AAA-LOGIN_FAILURE_HOURLY-01-37,ACC0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,84.95,count,valid,synthetic_aaa,144,143,1,31.0
AAA-LOGIN_FAILURE_HOURLY-01-38,ACC0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,75.04,count,valid,synthetic_aaa,121,119,2,23.5
AAA-LOGIN_FAILURE_HOURLY-01-39,ACC0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,35.85,count,valid,synthetic_aaa,190,189,1,26.28
AAA-LOGIN_FAILURE_HOURLY-01-40,ACC0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,58.59,count,valid,synthetic_aaa,169,165,4,27.38
AAA-LOGIN_FAILURE_HOURLY-01-41,ACC0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,42.53,count,valid,synthetic_aaa,77,75,2,23.92
AAA-LOGIN_FAILURE_HOURLY-01-42,ACC0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,47.47,count,valid,synthetic_aaa,137,133,4,17.28
AAA-LOGIN_FAILURE_HOURLY-01-43,ACC0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,82.65,count,valid,synthetic_aaa,66,62,4,26.88
AAA-LOGIN_FAILURE_HOURLY-01-44,ACC0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,80.47,count,valid,synthetic_aaa,243,238,5,17.88
AAA-LOGIN_FAILURE_HOURLY-01-45,ACC0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,117.04,count,degraded,synthetic_aaa,136,113,23,82.87
AAA-LOGIN_FAILURE_HOURLY-01-46,ACC0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,42.08,count,valid,synthetic_aaa,106,105,1,11.49
AAA-LOGIN_FAILURE_HOURLY-01-47,ACC0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,72.97,count,valid,synthetic_aaa,93,91,2,32.73
AAA-LOGIN_FAILURE_HOURLY-01-48,ACC0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,19.09,count,valid,synthetic_aaa,187,185,2,20.51
AAA-LOGIN_FAILURE_HOURLY-01-49,ACC0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,84.61,count,valid,synthetic_aaa,180,178,2,13.7
AAA-LOGIN_FAILURE_HOURLY-01-50,ACC0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,56.62,count,valid,synthetic_aaa,242,241,1,29.88
AAA-LOGIN_FAILURE_HOURLY-01-51,ACC0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,18.12,count,valid,synthetic_aaa,201,196,5,32.99
AAA-LOGIN_FAILURE_HOURLY-01-52,ACC0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,30.79,count,valid,synthetic_aaa,178,173,5,28.08
AAA-LOGIN_FAILURE_HOURLY-01-53,ACC0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,48.05,count,valid,synthetic_aaa,227,225,2,7.4
AAA-LOGIN_FAILURE_HOURLY-01-54,ACC0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,32.18,count,valid,synthetic_aaa,243,238,5,33.63
AAA-LOGIN_FAILURE_HOURLY-01-55,ACC0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,64.85,count,valid,synthetic_aaa,73,68,5,7.64
AAA-LOGIN_FAILURE_HOURLY-01-56,ACC0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,19.32,count,valid,synthetic_aaa,218,217,1,32.76
AAA-LOGIN_FAILURE_HOURLY-01-57,ACC0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,41.26,count,valid,synthetic_aaa,130,129,1,16.5
AAA-LOGIN_FAILURE_HOURLY-01-58,ACC0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,74.21,count,valid,synthetic_aaa,207,206,1,20.09
AAA-LOGIN_FAILURE_HOURLY-01-59,ACC0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,78.32,count,valid,synthetic_aaa,115,110,5,29.32
AAA-LOGIN_FAILURE_HOURLY-01-60,ACC0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,44.53,count,valid,synthetic_aaa,188,185,3,30.34
AAA-LOGIN_FAILURE_HOURLY-01-61,ACC0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,57.27,count,valid,synthetic_aaa,82,81,1,11.56
AAA-LOGIN_FAILURE_HOURLY-01-62,ACC0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,43.69,count,valid,synthetic_aaa,243,242,1,7.13
AAA-LOGIN_FAILURE_HOURLY-01-63,ACC0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,54.5,count,valid,synthetic_aaa,235,230,5,15.8
AAA-LOGIN_FAILURE_HOURLY-01-64,ACC0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,34.86,count,valid,synthetic_aaa,195,190,5,13.51
AAA-LOGIN_FAILURE_HOURLY-01-65,ACC0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,75.14,count,valid,synthetic_aaa,197,196,1,13.8
AAA-LOGIN_FAILURE_HOURLY-01-66,ACC0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,22.61,count,valid,synthetic_aaa,131,126,5,30.89
AAA-LOGIN_FAILURE_HOURLY-01-67,ACC0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,17.04,count,valid,synthetic_aaa,248,247,1,18.63
AAA-LOGIN_FAILURE_HOURLY-01-68,ACC0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,36.03,count,valid,synthetic_aaa,77,76,1,27.7
AAA-LOGIN_FAILURE_HOURLY-01-69,ACC0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,68.38,count,valid,synthetic_aaa,120,118,2,17.58
AAA-LOGIN_FAILURE_HOURLY-01-70,ACC0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,70.62,count,valid,synthetic_aaa,180,179,1,19.3
AAA-LOGIN_FAILURE_HOURLY-01-71,ACC0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,19.56,count,valid,synthetic_aaa,92,89,3,10.45
AAA-LOGIN_FAILURE_HOURLY-02-00,ACC0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,37.22,count,valid,synthetic_aaa,219,216,3,10.55
AAA-LOGIN_FAILURE_HOURLY-02-01,ACC0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,44.32,count,valid,synthetic_aaa,109,106,3,32.63
AAA-LOGIN_FAILURE_HOURLY-02-02,ACC0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,25.3,count,valid,synthetic_aaa,147,146,1,7.35
AAA-LOGIN_FAILURE_HOURLY-02-03,ACC0013,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,41.01,count,valid,synthetic_aaa,62,61,1,16.72
AAA-LOGIN_FAILURE_HOURLY-02-04,ACC0013,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,39.97,count,valid,synthetic_aaa,91,90,1,22.48
AAA-LOGIN_FAILURE_HOURLY-02-05,ACC0013,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,78.51,count,valid,synthetic_aaa,141,136,5,26.37
