auth_policy_change_id,account_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,reject_count,latency_ms
AAA-AUTH_POLICY_CHANGE-02-18,ACC0013,CMU,KV3,active,2026-08-18 18:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,128,126,2,30.05
AAA-AUTH_POLICY_CHANGE-02-27,ACC0013,CMU,KV3,active,2026-08-19 03:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,126,121,5,20.33
AAA-AUTH_POLICY_CHANGE-02-36,ACC0013,CMU,KV3,active,2026-08-19 12:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,243,238,5,23.91
AAA-AUTH_POLICY_CHANGE-02-45,ACC0013,CMU,KV3,active,2026-08-19 21:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,248,245,3,23.68
AAA-AUTH_POLICY_CHANGE-02-54,ACC0013,CMU,KV3,active,2026-08-20 06:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,130,128,2,30.15
AAA-AUTH_POLICY_CHANGE-02-63,ACC0013,CMU,KV3,active,2026-08-20 15:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,71,69,2,7.8
AAA-AUTH_POLICY_CHANGE-03-00,ACC0019,NBH,KV1,active,2026-08-18 00:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,206,205,1,10.7
AAA-AUTH_POLICY_CHANGE-03-09,ACC0019,NBH,KV1,active,2026-08-18 09:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,65,62,3,15.24
AAA-AUTH_POLICY_CHANGE-03-18,ACC0019,NBH,KV1,active,2026-08-18 18:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,108,106,2,22.03
AAA-AUTH_POLICY_CHANGE-03-27,ACC0019,NBH,KV1,active,2026-08-19 03:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,91,89,2,23.09
AAA-AUTH_POLICY_CHANGE-03-36,ACC0019,NBH,KV1,active,2026-08-19 12:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,181,178,3,25.62
AAA-AUTH_POLICY_CHANGE-03-45,ACC0019,NBH,KV1,active,2026-08-19 21:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,86,83,3,25.74
AAA-AUTH_POLICY_CHANGE-03-54,ACC0019,NBH,KV1,active,2026-08-20 06:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,161,160,1,20.89
AAA-AUTH_POLICY_CHANGE-03-63,ACC0019,NBH,KV1,active,2026-08-20 15:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,179,174,5,6.46
AAA-AUTH_POLICY_CHANGE-04-00,ACC0025,HCM,KV3,active,2026-08-18 00:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,236,232,4,20.3
AAA-AUTH_POLICY_CHANGE-04-09,ACC0025,HCM,KV3,active,2026-08-18 09:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,206,204,2,12.57
AAA-AUTH_POLICY_CHANGE-04-18,ACC0025,HCM,KV3,active,2026-08-18 18:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,223,220,3,5.5
AAA-AUTH_POLICY_CHANGE-04-27,ACC0025,HCM,KV3,active,2026-08-19 03:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,143,140,3,25.87
AAA-AUTH_POLICY_CHANGE-04-36,ACC0025,HCM,KV3,active,2026-08-19 12:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,101,100,1,13.87
AAA-AUTH_POLICY_CHANGE-04-45,ACC0025,HCM,KV3,active,2026-08-19 21:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,118,114,4,19.12
AAA-AUTH_POLICY_CHANGE-04-54,ACC0025,HCM,KV3,active,2026-08-20 06:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,168,163,5,25.96
AAA-AUTH_POLICY_CHANGE-04-63,ACC0025,HCM,KV3,active,2026-08-20 15:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,109,107,2,17.0
AAA-AUTH_POLICY_CHANGE-05-00,ACC0026,KHA,KV2,active,2026-08-18 00:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,171,170,1,23.74
AAA-AUTH_POLICY_CHANGE-05-09,ACC0026,KHA,KV2,active,2026-08-18 09:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,185,182,3,8.44
AAA-AUTH_POLICY_CHANGE-05-18,ACC0026,KHA,KV2,active,2026-08-18 18:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,130,126,4,27.78
AAA-AUTH_POLICY_CHANGE-05-27,ACC0026,KHA,KV2,active,2026-08-19 03:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,164,162,2,18.76
AAA-AUTH_POLICY_CHANGE-05-36,ACC0026,KHA,KV2,active,2026-08-19 12:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,71,66,5,32.94
AAA-AUTH_POLICY_CHANGE-05-45,ACC0026,KHA,KV2,active,2026-08-19 21:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,197,195,2,30.99
AAA-AUTH_POLICY_CHANGE-05-54,ACC0026,KHA,KV2,active,2026-08-20 06:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,64,59,5,8.11
AAA-AUTH_POLICY_CHANGE-05-63,ACC0026,KHA,KV2,active,2026-08-20 15:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,89,85,4,22.37
