credential_reset_id,account_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,reject_count,latency_ms
AAA-CREDENTIAL_RESET-02-63,ACC0013,CMU,KV3,active,2026-08-20 15:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,190,189,1,29.29
AAA-CREDENTIAL_RESET-03-00,ACC0019,NBH,KV1,active,2026-08-18 00:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,169,165,4,31.95
AAA-CREDENTIAL_RESET-03-09,ACC0019,NBH,KV1,active,2026-08-18 09:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,176,173,3,17.89
AAA-CREDENTIAL_RESET-03-18,ACC0019,NBH,KV1,active,2026-08-18 18:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,64,59,5,34.57
AAA-CREDENTIAL_RESET-03-27,ACC0019,NBH,KV1,active,2026-08-19 03:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,93,89,4,14.25
AAA-CREDENTIAL_RESET-03-36,ACC0019,NBH,KV1,active,2026-08-19 12:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,66,65,1,29.53
AAA-CREDENTIAL_RESET-03-45,ACC0019,NBH,KV1,active,2026-08-19 21:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,191,186,5,7.43
AAA-CREDENTIAL_RESET-03-54,ACC0019,NBH,KV1,active,2026-08-20 06:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,78,75,3,5.6
AAA-CREDENTIAL_RESET-03-63,ACC0019,NBH,KV1,active,2026-08-20 15:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,240,239,1,25.81
AAA-CREDENTIAL_RESET-04-00,ACC0025,HCM,KV3,active,2026-08-18 00:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,67,64,3,28.33
AAA-CREDENTIAL_RESET-04-09,ACC0025,HCM,KV3,active,2026-08-18 09:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,58,54,4,14.1
AAA-CREDENTIAL_RESET-04-18,ACC0025,HCM,KV3,active,2026-08-18 18:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,76,71,5,33.28
AAA-CREDENTIAL_RESET-04-27,ACC0025,HCM,KV3,active,2026-08-19 03:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,230,226,4,34.98
AAA-CREDENTIAL_RESET-04-36,ACC0025,HCM,KV3,active,2026-08-19 12:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,77,76,1,27.15
AAA-CREDENTIAL_RESET-04-45,ACC0025,HCM,KV3,active,2026-08-19 21:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,154,149,5,14.76
AAA-CREDENTIAL_RESET-04-54,ACC0025,HCM,KV3,active,2026-08-20 06:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,190,187,3,33.91
AAA-CREDENTIAL_RESET-04-63,ACC0025,HCM,KV3,active,2026-08-20 15:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,136,133,3,19.64
AAA-CREDENTIAL_RESET-05-00,ACC0026,KHA,KV2,active,2026-08-18 00:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,189,187,2,27.56
AAA-CREDENTIAL_RESET-05-09,ACC0026,KHA,KV2,active,2026-08-18 09:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,242,239,3,34.11
AAA-CREDENTIAL_RESET-05-18,ACC0026,KHA,KV2,active,2026-08-18 18:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,111,107,4,16.8
AAA-CREDENTIAL_RESET-05-27,ACC0026,KHA,KV2,active,2026-08-19 03:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,80,76,4,12.99
AAA-CREDENTIAL_RESET-05-36,ACC0026,KHA,KV2,active,2026-08-19 12:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,227,222,5,28.56
AAA-CREDENTIAL_RESET-05-45,ACC0026,KHA,KV2,active,2026-08-19 21:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,98,93,5,11.88
AAA-CREDENTIAL_RESET-05-54,ACC0026,KHA,KV2,active,2026-08-20 06:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,152,151,1,8.03
AAA-CREDENTIAL_RESET-05-63,ACC0026,KHA,KV2,active,2026-08-20 15:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,85,82,3,8.3
