concurrent_session_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-CONCURRENT_SESSION_HOURLY-00-10,ACC0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,18.07,count,valid,synthetic_aaa,231,229,2,14.81
AAA-CONCURRENT_SESSION_HOURLY-00-11,ACC0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,83.34,count,valid,synthetic_aaa,195,191,4,12.71
AAA-CONCURRENT_SESSION_HOURLY-00-12,ACC0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,25.69,count,valid,synthetic_aaa,95,91,4,31.14
AAA-CONCURRENT_SESSION_HOURLY-00-13,ACC0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,30.98,count,valid,synthetic_aaa,206,204,2,15.01
AAA-CONCURRENT_SESSION_HOURLY-00-14,ACC0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,71.25,count,valid,synthetic_aaa,242,239,3,33.87
AAA-CONCURRENT_SESSION_HOURLY-00-15,ACC0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,16.31,count,valid,synthetic_aaa,59,58,1,10.85
AAA-CONCURRENT_SESSION_HOURLY-00-16,ACC0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,84.2,count,valid,synthetic_aaa,150,145,5,7.28
AAA-CONCURRENT_SESSION_HOURLY-00-17,ACC0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,71.09,count,valid,synthetic_aaa,125,123,2,6.1
AAA-CONCURRENT_SESSION_HOURLY-00-18,ACC0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,69.43,count,valid,synthetic_aaa,124,123,1,28.15
AAA-CONCURRENT_SESSION_HOURLY-00-19,ACC0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,21.15,count,valid,synthetic_aaa,159,156,3,11.16
AAA-CONCURRENT_SESSION_HOURLY-00-20,ACC0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,28.19,count,valid,synthetic_aaa,162,160,2,27.86
AAA-CONCURRENT_SESSION_HOURLY-00-21,ACC0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,78.33,count,valid,synthetic_aaa,209,206,3,5.39
AAA-CONCURRENT_SESSION_HOURLY-00-22,ACC0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,73.01,count,valid,synthetic_aaa,216,211,5,17.54
AAA-CONCURRENT_SESSION_HOURLY-00-23,ACC0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,74.76,count,valid,synthetic_aaa,234,229,5,8.68
AAA-CONCURRENT_SESSION_HOURLY-00-24,ACC0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,49.67,count,valid,synthetic_aaa,65,61,4,15.45
AAA-CONCURRENT_SESSION_HOURLY-00-25,ACC0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,47.8,count,valid,synthetic_aaa,221,220,1,21.97
AAA-CONCURRENT_SESSION_HOURLY-00-26,ACC0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,21.25,count,valid,synthetic_aaa,226,223,3,7.87
AAA-CONCURRENT_SESSION_HOURLY-00-27,ACC0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,83.17,count,degraded,synthetic_aaa,123,98,25,62.78
AAA-CONCURRENT_SESSION_HOURLY-00-28,ACC0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,82.68,count,valid,synthetic_aaa,149,144,5,29.5
AAA-CONCURRENT_SESSION_HOURLY-00-29,ACC0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,23.27,count,valid,synthetic_aaa,194,193,1,5.71
AAA-CONCURRENT_SESSION_HOURLY-00-30,ACC0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,75.78,count,valid,synthetic_aaa,112,111,1,30.41
AAA-CONCURRENT_SESSION_HOURLY-00-31,ACC0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,77.9,count,valid,synthetic_aaa,136,131,5,25.01
AAA-CONCURRENT_SESSION_HOURLY-00-32,ACC0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,56.31,count,valid,synthetic_aaa,176,171,5,30.37
AAA-CONCURRENT_SESSION_HOURLY-00-33,ACC0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,72.57,count,valid,synthetic_aaa,194,193,1,9.38
AAA-CONCURRENT_SESSION_HOURLY-00-34,ACC0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,16.11,count,valid,synthetic_aaa,63,62,1,15.67
AAA-CONCURRENT_SESSION_HOURLY-00-35,ACC0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,47.66,count,valid,synthetic_aaa,242,238,4,8.55
AAA-CONCURRENT_SESSION_HOURLY-00-36,ACC0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,37.79,count,valid,synthetic_aaa,149,144,5,17.07
AAA-CONCURRENT_SESSION_HOURLY-00-37,ACC0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,39.58,count,valid,synthetic_aaa,115,111,4,16.97
AAA-CONCURRENT_SESSION_HOURLY-00-38,ACC0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,52.22,count,valid,synthetic_aaa,211,210,1,26.68
AAA-CONCURRENT_SESSION_HOURLY-00-39,ACC0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,35.9,count,valid,synthetic_aaa,81,80,1,20.96
AAA-CONCURRENT_SESSION_HOURLY-00-40,ACC0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,70.3,count,valid,synthetic_aaa,124,121,3,31.34
AAA-CONCURRENT_SESSION_HOURLY-00-41,ACC0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,76.88,count,valid,synthetic_aaa,116,114,2,23.68
AAA-CONCURRENT_SESSION_HOURLY-00-42,ACC0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,23.63,count,valid,synthetic_aaa,231,229,2,31.25
AAA-CONCURRENT_SESSION_HOURLY-00-43,ACC0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,26.07,count,valid,synthetic_aaa,102,99,3,16.53
AAA-CONCURRENT_SESSION_HOURLY-00-44,ACC0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,56.04,count,valid,synthetic_aaa,94,91,3,33.76
AAA-CONCURRENT_SESSION_HOURLY-00-45,ACC0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,18.01,count,valid,synthetic_aaa,108,103,5,23.98
AAA-CONCURRENT_SESSION_HOURLY-00-46,ACC0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,80.61,count,valid,synthetic_aaa,123,121,2,5.69
AAA-CONCURRENT_SESSION_HOURLY-00-47,ACC0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,17.91,count,valid,synthetic_aaa,78,75,3,20.64
AAA-CONCURRENT_SESSION_HOURLY-00-48,ACC0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,29.49,count,valid,synthetic_aaa,159,156,3,22.56
AAA-CONCURRENT_SESSION_HOURLY-00-49,ACC0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,28.23,count,valid,synthetic_aaa,131,130,1,12.54
AAA-CONCURRENT_SESSION_HOURLY-00-50,ACC0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,15.07,count,valid,synthetic_aaa,50,45,5,34.39
AAA-CONCURRENT_SESSION_HOURLY-00-51,ACC0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,38.83,count,valid,synthetic_aaa,132,127,5,32.74
AAA-CONCURRENT_SESSION_HOURLY-00-52,ACC0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,58.1,count,valid,synthetic_aaa,150,146,4,7.42
AAA-CONCURRENT_SESSION_HOURLY-00-53,ACC0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,77.83,count,valid,synthetic_aaa,206,205,1,29.99
AAA-CONCURRENT_SESSION_HOURLY-00-54,ACC0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,71.7,count,valid,synthetic_aaa,157,152,5,19.75
AAA-CONCURRENT_SESSION_HOURLY-00-55,ACC0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,50.89,count,valid,synthetic_aaa,70,67,3,15.88
AAA-CONCURRENT_SESSION_HOURLY-00-56,ACC0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,31.69,count,valid,synthetic_aaa,233,228,5,34.53
AAA-CONCURRENT_SESSION_HOURLY-00-57,ACC0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,71.19,count,valid,synthetic_aaa,64,59,5,25.62
AAA-CONCURRENT_SESSION_HOURLY-00-58,ACC0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,62.29,count,valid,synthetic_aaa,139,137,2,32.02
AAA-CONCURRENT_SESSION_HOURLY-00-59,ACC0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,34.52,count,valid,synthetic_aaa,89,84,5,21.02
AAA-CONCURRENT_SESSION_HOURLY-00-60,ACC0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,75.86,count,valid,synthetic_aaa,197,194,3,32.31
AAA-CONCURRENT_SESSION_HOURLY-00-61,ACC0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,72.23,count,valid,synthetic_aaa,69,64,5,7.79
AAA-CONCURRENT_SESSION_HOURLY-00-62,ACC0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,73.53,count,valid,synthetic_aaa,127,125,2,21.53
AAA-CONCURRENT_SESSION_HOURLY-00-63,ACC0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,22.4,count,valid,synthetic_aaa,90,87,3,13.0
AAA-CONCURRENT_SESSION_HOURLY-00-64,ACC0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,45.37,count,valid,synthetic_aaa,217,213,4,7.28
AAA-CONCURRENT_SESSION_HOURLY-00-65,ACC0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,20.97,count,valid,synthetic_aaa,108,104,4,7.7
AAA-CONCURRENT_SESSION_HOURLY-00-66,ACC0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,16.37,count,valid,synthetic_aaa,152,149,3,21.59
AAA-CONCURRENT_SESSION_HOURLY-00-67,ACC0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,75.81,count,valid,synthetic_aaa,159,154,5,11.91
AAA-CONCURRENT_SESSION_HOURLY-00-68,ACC0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,71.26,count,valid,synthetic_aaa,177,176,1,31.48
AAA-CONCURRENT_SESSION_HOURLY-00-69,ACC0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,62.83,count,valid,synthetic_aaa,108,103,5,11.32
AAA-CONCURRENT_SESSION_HOURLY-00-70,ACC0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,24.82,count,valid,synthetic_aaa,62,57,5,27.27
AAA-CONCURRENT_SESSION_HOURLY-00-71,ACC0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,62.16,count,valid,synthetic_aaa,189,187,2,12.41
AAA-CONCURRENT_SESSION_HOURLY-01-00,ACC0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,61.32,count,valid,synthetic_aaa,177,174,3,34.98
AAA-CONCURRENT_SESSION_HOURLY-01-01,ACC0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,67.7,count,valid,synthetic_aaa,190,187,3,9.27
AAA-CONCURRENT_SESSION_HOURLY-01-02,ACC0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,36.94,count,valid,synthetic_aaa,76,72,4,27.05
AAA-CONCURRENT_SESSION_HOURLY-01-03,ACC0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,32.3,count,valid,synthetic_aaa,131,127,4,11.82
AAA-CONCURRENT_SESSION_HOURLY-01-04,ACC0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,55.19,count,valid,synthetic_aaa,70,68,2,14.2
AAA-CONCURRENT_SESSION_HOURLY-01-05,ACC0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,23.1,count,valid,synthetic_aaa,54,53,1,28.65
AAA-CONCURRENT_SESSION_HOURLY-01-06,ACC0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,84.02,count,valid,synthetic_aaa,131,130,1,16.88
AAA-CONCURRENT_SESSION_HOURLY-01-07,ACC0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,45.22,count,valid,synthetic_aaa,172,171,1,16.28
AAA-CONCURRENT_SESSION_HOURLY-01-08,ACC0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,67.88,count,valid,synthetic_aaa,149,147,2,12.04
AAA-CONCURRENT_SESSION_HOURLY-01-09,ACC0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,16.48,count,valid,synthetic_aaa,128,124,4,26.02
AAA-CONCURRENT_SESSION_HOURLY-01-10,ACC0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,23.65,count,valid,synthetic_aaa,206,201,5,8.23
AAA-CONCURRENT_SESSION_HOURLY-01-11,ACC0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,20.87,count,valid,synthetic_aaa,195,193,2,5.37
AAA-CONCURRENT_SESSION_HOURLY-01-12,ACC0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,83.78,count,valid,synthetic_aaa,161,157,4,31.34
AAA-CONCURRENT_SESSION_HOURLY-01-13,ACC0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,59.17,count,valid,synthetic_aaa,209,204,5,7.56
AAA-CONCURRENT_SESSION_HOURLY-01-14,ACC0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,26.16,count,valid,synthetic_aaa,79,78,1,28.12
AAA-CONCURRENT_SESSION_HOURLY-01-15,ACC0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,82.72,count,valid,synthetic_aaa,101,96,5,21.79
AAA-CONCURRENT_SESSION_HOURLY-01-16,ACC0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,24.18,count,valid,synthetic_aaa,57,52,5,29.14
AAA-CONCURRENT_SESSION_HOURLY-01-17,ACC0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,51.03,count,valid,synthetic_aaa,157,155,2,8.56
AAA-CONCURRENT_SESSION_HOURLY-01-18,ACC0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,71.56,count,valid,synthetic_aaa,114,111,3,12.74
AAA-CONCURRENT_SESSION_HOURLY-01-19,ACC0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,70.74,count,valid,synthetic_aaa,197,194,3,16.34
AAA-CONCURRENT_SESSION_HOURLY-01-20,ACC0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,61.71,count,valid,synthetic_aaa,185,184,1,5.98
AAA-CONCURRENT_SESSION_HOURLY-01-21,ACC0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,37.84,count,valid,synthetic_aaa,144,141,3,17.46
AAA-CONCURRENT_SESSION_HOURLY-01-22,ACC0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,68.69,count,valid,synthetic_aaa,192,188,4,34.92
AAA-CONCURRENT_SESSION_HOURLY-01-23,ACC0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,46.34,count,valid,synthetic_aaa,213,208,5,32.02
AAA-CONCURRENT_SESSION_HOURLY-01-24,ACC0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,68.84,count,valid,synthetic_aaa,188,186,2,26.05
AAA-CONCURRENT_SESSION_HOURLY-01-25,ACC0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,52.19,count,valid,synthetic_aaa,241,236,5,28.96
AAA-CONCURRENT_SESSION_HOURLY-01-26,ACC0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,15.36,count,valid,synthetic_aaa,67,62,5,21.09
AAA-CONCURRENT_SESSION_HOURLY-01-27,ACC0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,20.48,count,valid,synthetic_aaa,91,86,5,30.46
AAA-CONCURRENT_SESSION_HOURLY-01-28,ACC0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,30.23,count,valid,synthetic_aaa,93,91,2,14.04
AAA-CONCURRENT_SESSION_HOURLY-01-29,ACC0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,28.26,count,valid,synthetic_aaa,183,181,2,12.94
AAA-CONCURRENT_SESSION_HOURLY-01-30,ACC0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,57.15,count,valid,synthetic_aaa,122,121,1,22.6
AAA-CONCURRENT_SESSION_HOURLY-01-31,ACC0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,82.98,count,valid,synthetic_aaa,99,95,4,25.15
AAA-CONCURRENT_SESSION_HOURLY-01-32,ACC0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,77.85,count,valid,synthetic_aaa,250,245,5,21.89
AAA-CONCURRENT_SESSION_HOURLY-01-33,ACC0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,46.48,count,valid,synthetic_aaa,72,71,1,24.14
AAA-CONCURRENT_SESSION_HOURLY-01-34,ACC0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,38.42,count,valid,synthetic_aaa,116,113,3,23.25
AAA-CONCURRENT_SESSION_HOURLY-01-35,ACC0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,30.42,count,valid,synthetic_aaa,154,149,5,13.76
AAA-CONCURRENT_SESSION_HOURLY-01-36,ACC0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,15.61,count,valid,synthetic_aaa,120,117,3,28.15
AAA-CONCURRENT_SESSION_HOURLY-01-37,ACC0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,75.71,count,valid,synthetic_aaa,144,143,1,13.26
AAA-CONCURRENT_SESSION_HOURLY-01-38,ACC0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,79.35,count,valid,synthetic_aaa,236,235,1,13.95
AAA-CONCURRENT_SESSION_HOURLY-01-39,ACC0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,60.84,count,valid,synthetic_aaa,68,64,4,5.35
AAA-CONCURRENT_SESSION_HOURLY-01-40,ACC0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,20.09,count,valid,synthetic_aaa,197,195,2,24.33
AAA-CONCURRENT_SESSION_HOURLY-01-41,ACC0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,66.22,count,valid,synthetic_aaa,50,46,4,10.76
AAA-CONCURRENT_SESSION_HOURLY-01-42,ACC0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,81.69,count,valid,synthetic_aaa,114,110,4,20.1
AAA-CONCURRENT_SESSION_HOURLY-01-43,ACC0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,62.3,count,valid,synthetic_aaa,214,211,3,10.19
AAA-CONCURRENT_SESSION_HOURLY-01-44,ACC0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,22.36,count,valid,synthetic_aaa,61,56,5,33.15
AAA-CONCURRENT_SESSION_HOURLY-01-45,ACC0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,23.43,count,degraded,synthetic_aaa,205,184,21,77.41
AAA-CONCURRENT_SESSION_HOURLY-01-46,ACC0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,74.62,count,valid,synthetic_aaa,149,146,3,13.63
AAA-CONCURRENT_SESSION_HOURLY-01-47,ACC0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,32.41,count,valid,synthetic_aaa,194,189,5,28.81
AAA-CONCURRENT_SESSION_HOURLY-01-48,ACC0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,84.68,count,valid,synthetic_aaa,109,108,1,14.83
AAA-CONCURRENT_SESSION_HOURLY-01-49,ACC0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,65.62,count,valid,synthetic_aaa,167,162,5,24.78
AAA-CONCURRENT_SESSION_HOURLY-01-50,ACC0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,25.19,count,valid,synthetic_aaa,117,112,5,5.24
AAA-CONCURRENT_SESSION_HOURLY-01-51,ACC0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,39.66,count,valid,synthetic_aaa,144,141,3,13.82
AAA-CONCURRENT_SESSION_HOURLY-01-52,ACC0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,57.92,count,valid,synthetic_aaa,209,208,1,18.9
AAA-CONCURRENT_SESSION_HOURLY-01-53,ACC0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,23.17,count,valid,synthetic_aaa,227,226,1,12.31
AAA-CONCURRENT_SESSION_HOURLY-01-54,ACC0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,15.17,count,valid,synthetic_aaa,97,95,2,19.42
AAA-CONCURRENT_SESSION_HOURLY-01-55,ACC0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,41.3,count,valid,synthetic_aaa,123,118,5,15.03
AAA-CONCURRENT_SESSION_HOURLY-01-56,ACC0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,60.96,count,valid,synthetic_aaa,71,67,4,14.79
AAA-CONCURRENT_SESSION_HOURLY-01-57,ACC0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,36.28,count,valid,synthetic_aaa,78,73,5,5.32
AAA-CONCURRENT_SESSION_HOURLY-01-58,ACC0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,78.97,count,valid,synthetic_aaa,247,244,3,15.47
AAA-CONCURRENT_SESSION_HOURLY-01-59,ACC0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,54.59,count,valid,synthetic_aaa,217,212,5,32.79
AAA-CONCURRENT_SESSION_HOURLY-01-60,ACC0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,80.14,count,valid,synthetic_aaa,232,227,5,19.05
AAA-CONCURRENT_SESSION_HOURLY-01-61,ACC0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,82.1,count,valid,synthetic_aaa,135,132,3,9.66
AAA-CONCURRENT_SESSION_HOURLY-01-62,ACC0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,47.22,count,valid,synthetic_aaa,111,106,5,9.09
AAA-CONCURRENT_SESSION_HOURLY-01-63,ACC0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,28.83,count,valid,synthetic_aaa,208,205,3,17.55
AAA-CONCURRENT_SESSION_HOURLY-01-64,ACC0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,65.69,count,valid,synthetic_aaa,159,155,4,11.0
AAA-CONCURRENT_SESSION_HOURLY-01-65,ACC0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,35.9,count,valid,synthetic_aaa,182,177,5,23.85
AAA-CONCURRENT_SESSION_HOURLY-01-66,ACC0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,33.73,count,valid,synthetic_aaa,153,148,5,20.56
AAA-CONCURRENT_SESSION_HOURLY-01-67,ACC0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,82.0,count,valid,synthetic_aaa,219,214,5,16.97
AAA-CONCURRENT_SESSION_HOURLY-01-68,ACC0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,63.84,count,valid,synthetic_aaa,147,144,3,31.0
AAA-CONCURRENT_SESSION_HOURLY-01-69,ACC0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,74.05,count,valid,synthetic_aaa,130,128,2,16.44
AAA-CONCURRENT_SESSION_HOURLY-01-70,ACC0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,44.82,count,valid,synthetic_aaa,149,148,1,18.18
AAA-CONCURRENT_SESSION_HOURLY-01-71,ACC0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,47.49,count,valid,synthetic_aaa,198,196,2,18.08
AAA-CONCURRENT_SESSION_HOURLY-02-00,ACC0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,43.91,count,valid,synthetic_aaa,243,238,5,10.93
AAA-CONCURRENT_SESSION_HOURLY-02-01,ACC0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,61.54,count,valid,synthetic_aaa,98,93,5,7.15
AAA-CONCURRENT_SESSION_HOURLY-02-02,ACC0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,31.4,count,valid,synthetic_aaa,162,157,5,11.39
AAA-CONCURRENT_SESSION_HOURLY-02-03,ACC0013,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,68.59,count,valid,synthetic_aaa,224,223,1,26.14
