radius_reject_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-RADIUS_REJECT_HOURLY-00-26,ACC0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,20.25,count,valid,synthetic_aaa,69,67,2,28.28
AAA-RADIUS_REJECT_HOURLY-00-27,ACC0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,22.56,count,degraded,synthetic_aaa,94,69,25,58.53
AAA-RADIUS_REJECT_HOURLY-00-28,ACC0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,32.79,count,valid,synthetic_aaa,134,132,2,12.33
AAA-RADIUS_REJECT_HOURLY-00-29,ACC0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,52.02,count,valid,synthetic_aaa,165,164,1,15.99
AAA-RADIUS_REJECT_HOURLY-00-30,ACC0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,19.57,count,valid,synthetic_aaa,63,60,3,17.49
AAA-RADIUS_REJECT_HOURLY-00-31,ACC0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,31.87,count,valid,synthetic_aaa,160,155,5,15.41
AAA-RADIUS_REJECT_HOURLY-00-32,ACC0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,76.84,count,valid,synthetic_aaa,193,189,4,31.33
AAA-RADIUS_REJECT_HOURLY-00-33,ACC0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,57.51,count,valid,synthetic_aaa,216,215,1,10.07
AAA-RADIUS_REJECT_HOURLY-00-34,ACC0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,33.04,count,valid,synthetic_aaa,146,141,5,6.78
AAA-RADIUS_REJECT_HOURLY-00-35,ACC0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,56.69,count,valid,synthetic_aaa,82,78,4,6.18
AAA-RADIUS_REJECT_HOURLY-00-36,ACC0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,61.64,count,valid,synthetic_aaa,212,208,4,10.99
AAA-RADIUS_REJECT_HOURLY-00-37,ACC0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,25.71,count,valid,synthetic_aaa,108,107,1,16.1
AAA-RADIUS_REJECT_HOURLY-00-38,ACC0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,84.57,count,valid,synthetic_aaa,130,129,1,6.33
AAA-RADIUS_REJECT_HOURLY-00-39,ACC0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,34.92,count,valid,synthetic_aaa,88,87,1,13.09
AAA-RADIUS_REJECT_HOURLY-00-40,ACC0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,70.64,count,valid,synthetic_aaa,128,127,1,5.87
AAA-RADIUS_REJECT_HOURLY-00-41,ACC0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,56.62,count,valid,synthetic_aaa,244,241,3,10.41
AAA-RADIUS_REJECT_HOURLY-00-42,ACC0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,84.81,count,valid,synthetic_aaa,136,132,4,14.46
AAA-RADIUS_REJECT_HOURLY-00-43,ACC0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,21.23,count,valid,synthetic_aaa,77,73,4,22.9
AAA-RADIUS_REJECT_HOURLY-00-44,ACC0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,72.55,count,valid,synthetic_aaa,70,65,5,30.9
AAA-RADIUS_REJECT_HOURLY-00-45,ACC0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,24.95,count,valid,synthetic_aaa,116,115,1,18.54
AAA-RADIUS_REJECT_HOURLY-00-46,ACC0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,71.94,count,valid,synthetic_aaa,81,80,1,15.32
AAA-RADIUS_REJECT_HOURLY-00-47,ACC0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,38.53,count,valid,synthetic_aaa,219,218,1,32.23
AAA-RADIUS_REJECT_HOURLY-00-48,ACC0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,26.92,count,valid,synthetic_aaa,239,236,3,25.99
AAA-RADIUS_REJECT_HOURLY-00-49,ACC0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,50.01,count,valid,synthetic_aaa,64,60,4,12.71
AAA-RADIUS_REJECT_HOURLY-00-50,ACC0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,20.06,count,valid,synthetic_aaa,167,166,1,26.65
AAA-RADIUS_REJECT_HOURLY-00-51,ACC0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,59.76,count,valid,synthetic_aaa,204,200,4,26.89
AAA-RADIUS_REJECT_HOURLY-00-52,ACC0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,74.24,count,valid,synthetic_aaa,145,140,5,14.87
AAA-RADIUS_REJECT_HOURLY-00-53,ACC0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,45.76,count,valid,synthetic_aaa,210,209,1,19.92
AAA-RADIUS_REJECT_HOURLY-00-54,ACC0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,26.6,count,valid,synthetic_aaa,159,157,2,34.7
AAA-RADIUS_REJECT_HOURLY-00-55,ACC0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,44.72,count,valid,synthetic_aaa,237,233,4,12.38
AAA-RADIUS_REJECT_HOURLY-00-56,ACC0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,67.62,count,valid,synthetic_aaa,87,86,1,33.57
AAA-RADIUS_REJECT_HOURLY-00-57,ACC0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,54.9,count,valid,synthetic_aaa,212,210,2,9.47
AAA-RADIUS_REJECT_HOURLY-00-58,ACC0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,74.16,count,valid,synthetic_aaa,138,135,3,22.15
AAA-RADIUS_REJECT_HOURLY-00-59,ACC0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,67.0,count,valid,synthetic_aaa,130,126,4,5.79
AAA-RADIUS_REJECT_HOURLY-00-60,ACC0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,21.27,count,valid,synthetic_aaa,76,71,5,32.57
AAA-RADIUS_REJECT_HOURLY-00-61,ACC0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,54.81,count,valid,synthetic_aaa,162,157,5,16.14
AAA-RADIUS_REJECT_HOURLY-00-62,ACC0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,76.37,count,valid,synthetic_aaa,55,50,5,10.25
AAA-RADIUS_REJECT_HOURLY-00-63,ACC0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,55.96,count,valid,synthetic_aaa,219,218,1,16.65
AAA-RADIUS_REJECT_HOURLY-00-64,ACC0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,71.08,count,valid,synthetic_aaa,78,77,1,28.45
AAA-RADIUS_REJECT_HOURLY-00-65,ACC0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,65.49,count,valid,synthetic_aaa,183,178,5,17.53
AAA-RADIUS_REJECT_HOURLY-00-66,ACC0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,39.26,count,valid,synthetic_aaa,233,230,3,6.03
AAA-RADIUS_REJECT_HOURLY-00-67,ACC0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,82.81,count,valid,synthetic_aaa,62,60,2,9.71
AAA-RADIUS_REJECT_HOURLY-00-68,ACC0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,55.98,count,valid,synthetic_aaa,122,120,2,23.55
AAA-RADIUS_REJECT_HOURLY-00-69,ACC0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,55.18,count,valid,synthetic_aaa,88,85,3,32.01
AAA-RADIUS_REJECT_HOURLY-00-70,ACC0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,69.87,count,valid,synthetic_aaa,229,225,4,12.98
AAA-RADIUS_REJECT_HOURLY-00-71,ACC0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,34.98,count,valid,synthetic_aaa,62,57,5,11.92
AAA-RADIUS_REJECT_HOURLY-01-00,ACC0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,60.65,count,valid,synthetic_aaa,86,83,3,22.02
AAA-RADIUS_REJECT_HOURLY-01-01,ACC0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,60.67,count,valid,synthetic_aaa,227,224,3,14.78
AAA-RADIUS_REJECT_HOURLY-01-02,ACC0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,81.61,count,valid,synthetic_aaa,60,55,5,19.68
AAA-RADIUS_REJECT_HOURLY-01-03,ACC0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,33.97,count,valid,synthetic_aaa,119,118,1,15.05
AAA-RADIUS_REJECT_HOURLY-01-04,ACC0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,19.69,count,valid,synthetic_aaa,50,46,4,5.53
AAA-RADIUS_REJECT_HOURLY-01-05,ACC0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,50.13,count,valid,synthetic_aaa,73,69,4,21.07
AAA-RADIUS_REJECT_HOURLY-01-06,ACC0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,81.06,count,valid,synthetic_aaa,159,157,2,15.84
AAA-RADIUS_REJECT_HOURLY-01-07,ACC0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,24.62,count,valid,synthetic_aaa,82,77,5,7.62
AAA-RADIUS_REJECT_HOURLY-01-08,ACC0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,78.92,count,valid,synthetic_aaa,229,228,1,7.26
AAA-RADIUS_REJECT_HOURLY-01-09,ACC0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,66.23,count,valid,synthetic_aaa,206,202,4,28.09
AAA-RADIUS_REJECT_HOURLY-01-10,ACC0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,73.65,count,valid,synthetic_aaa,105,102,3,13.7
AAA-RADIUS_REJECT_HOURLY-01-11,ACC0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,15.37,count,valid,synthetic_aaa,56,55,1,33.84
AAA-RADIUS_REJECT_HOURLY-01-12,ACC0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,64.77,count,valid,synthetic_aaa,156,151,5,27.88
AAA-RADIUS_REJECT_HOURLY-01-13,ACC0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,75.86,count,valid,synthetic_aaa,137,135,2,12.84
AAA-RADIUS_REJECT_HOURLY-01-14,ACC0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,48.18,count,valid,synthetic_aaa,144,141,3,5.09
AAA-RADIUS_REJECT_HOURLY-01-15,ACC0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,35.87,count,valid,synthetic_aaa,150,147,3,13.95
AAA-RADIUS_REJECT_HOURLY-01-16,ACC0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,36.72,count,valid,synthetic_aaa,234,231,3,34.77
AAA-RADIUS_REJECT_HOURLY-01-17,ACC0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,47.33,count,valid,synthetic_aaa,170,167,3,5.7
AAA-RADIUS_REJECT_HOURLY-01-18,ACC0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,78.83,count,valid,synthetic_aaa,60,58,2,7.65
AAA-RADIUS_REJECT_HOURLY-01-19,ACC0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,32.96,count,valid,synthetic_aaa,71,66,5,14.22
AAA-RADIUS_REJECT_HOURLY-01-20,ACC0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,70.75,count,valid,synthetic_aaa,108,107,1,27.01
AAA-RADIUS_REJECT_HOURLY-01-21,ACC0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,51.86,count,valid,synthetic_aaa,91,86,5,29.32
AAA-RADIUS_REJECT_HOURLY-01-22,ACC0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,20.56,count,valid,synthetic_aaa,147,142,5,28.53
AAA-RADIUS_REJECT_HOURLY-01-23,ACC0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,59.69,count,valid,synthetic_aaa,144,139,5,10.2
AAA-RADIUS_REJECT_HOURLY-01-24,ACC0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,44.02,count,valid,synthetic_aaa,196,194,2,21.95
AAA-RADIUS_REJECT_HOURLY-01-25,ACC0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,72.57,count,valid,synthetic_aaa,132,128,4,12.17
AAA-RADIUS_REJECT_HOURLY-01-26,ACC0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,84.42,count,valid,synthetic_aaa,243,239,4,12.6
AAA-RADIUS_REJECT_HOURLY-01-27,ACC0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,56.08,count,valid,synthetic_aaa,101,97,4,27.09
AAA-RADIUS_REJECT_HOURLY-01-28,ACC0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,62.38,count,valid,synthetic_aaa,188,185,3,15.09
AAA-RADIUS_REJECT_HOURLY-01-29,ACC0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,41.62,count,valid,synthetic_aaa,187,182,5,18.8
AAA-RADIUS_REJECT_HOURLY-01-30,ACC0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,81.94,count,valid,synthetic_aaa,237,236,1,29.87
AAA-RADIUS_REJECT_HOURLY-01-31,ACC0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,45.0,count,valid,synthetic_aaa,120,115,5,6.95
AAA-RADIUS_REJECT_HOURLY-01-32,ACC0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,19.03,count,valid,synthetic_aaa,223,221,2,14.44
AAA-RADIUS_REJECT_HOURLY-01-33,ACC0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,43.02,count,valid,synthetic_aaa,137,132,5,22.4
AAA-RADIUS_REJECT_HOURLY-01-34,ACC0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,65.44,count,valid,synthetic_aaa,231,227,4,25.88
AAA-RADIUS_REJECT_HOURLY-01-35,ACC0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,38.47,count,valid,synthetic_aaa,98,96,2,9.6
AAA-RADIUS_REJECT_HOURLY-01-36,ACC0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,43.95,count,valid,synthetic_aaa,203,198,5,34.65
AAA-RADIUS_REJECT_HOURLY-01-37,ACC0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,51.26,count,valid,synthetic_aaa,216,215,1,16.39
AAA-RADIUS_REJECT_HOURLY-01-38,ACC0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,75.13,count,valid,synthetic_aaa,173,170,3,16.66
AAA-RADIUS_REJECT_HOURLY-01-39,ACC0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,38.09,count,valid,synthetic_aaa,209,208,1,28.53
AAA-RADIUS_REJECT_HOURLY-01-40,ACC0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,22.89,count,valid,synthetic_aaa,171,168,3,6.19
AAA-RADIUS_REJECT_HOURLY-01-41,ACC0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,45.54,count,valid,synthetic_aaa,211,208,3,27.26
AAA-RADIUS_REJECT_HOURLY-01-42,ACC0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,26.2,count,valid,synthetic_aaa,118,115,3,26.62
AAA-RADIUS_REJECT_HOURLY-01-43,ACC0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,66.39,count,valid,synthetic_aaa,242,240,2,33.76
AAA-RADIUS_REJECT_HOURLY-01-44,ACC0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,59.11,count,valid,synthetic_aaa,187,186,1,30.95
AAA-RADIUS_REJECT_HOURLY-01-45,ACC0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,100.07,count,degraded,synthetic_aaa,163,140,23,71.17
AAA-RADIUS_REJECT_HOURLY-01-46,ACC0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,59.33,count,valid,synthetic_aaa,93,92,1,27.12
AAA-RADIUS_REJECT_HOURLY-01-47,ACC0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,56.42,count,valid,synthetic_aaa,149,145,4,18.16
AAA-RADIUS_REJECT_HOURLY-01-48,ACC0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,29.63,count,valid,synthetic_aaa,242,237,5,17.74
AAA-RADIUS_REJECT_HOURLY-01-49,ACC0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,65.16,count,valid,synthetic_aaa,138,134,4,6.7
AAA-RADIUS_REJECT_HOURLY-01-50,ACC0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,51.25,count,valid,synthetic_aaa,108,107,1,12.54
AAA-RADIUS_REJECT_HOURLY-01-51,ACC0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,59.93,count,valid,synthetic_aaa,69,66,3,31.79
AAA-RADIUS_REJECT_HOURLY-01-52,ACC0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,25.77,count,valid,synthetic_aaa,155,154,1,33.4
AAA-RADIUS_REJECT_HOURLY-01-53,ACC0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,58.64,count,valid,synthetic_aaa,139,137,2,16.75
AAA-RADIUS_REJECT_HOURLY-01-54,ACC0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,79.31,count,valid,synthetic_aaa,61,60,1,24.35
AAA-RADIUS_REJECT_HOURLY-01-55,ACC0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,52.7,count,valid,synthetic_aaa,205,200,5,28.6
AAA-RADIUS_REJECT_HOURLY-01-56,ACC0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,18.29,count,valid,synthetic_aaa,55,53,2,10.57
AAA-RADIUS_REJECT_HOURLY-01-57,ACC0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,69.55,count,valid,synthetic_aaa,60,58,2,32.87
AAA-RADIUS_REJECT_HOURLY-01-58,ACC0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,62.53,count,valid,synthetic_aaa,209,208,1,23.55
AAA-RADIUS_REJECT_HOURLY-01-59,ACC0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,41.82,count,valid,synthetic_aaa,93,89,4,29.46
AAA-RADIUS_REJECT_HOURLY-01-60,ACC0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,43.0,count,valid,synthetic_aaa,207,206,1,22.85
AAA-RADIUS_REJECT_HOURLY-01-61,ACC0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,21.47,count,valid,synthetic_aaa,198,194,4,23.76
AAA-RADIUS_REJECT_HOURLY-01-62,ACC0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,23.27,count,valid,synthetic_aaa,152,150,2,10.54
AAA-RADIUS_REJECT_HOURLY-01-63,ACC0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,22.83,count,valid,synthetic_aaa,235,232,3,16.9
AAA-RADIUS_REJECT_HOURLY-01-64,ACC0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,83.04,count,valid,synthetic_aaa,235,231,4,20.93
AAA-RADIUS_REJECT_HOURLY-01-65,ACC0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,77.37,count,valid,synthetic_aaa,76,74,2,6.2
AAA-RADIUS_REJECT_HOURLY-01-66,ACC0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,58.34,count,valid,synthetic_aaa,150,149,1,24.66
AAA-RADIUS_REJECT_HOURLY-01-67,ACC0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,66.3,count,valid,synthetic_aaa,160,158,2,21.67
AAA-RADIUS_REJECT_HOURLY-01-68,ACC0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,61.68,count,valid,synthetic_aaa,173,171,2,25.55
AAA-RADIUS_REJECT_HOURLY-01-69,ACC0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,40.29,count,valid,synthetic_aaa,193,189,4,15.7
AAA-RADIUS_REJECT_HOURLY-01-70,ACC0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,19.18,count,valid,synthetic_aaa,174,170,4,32.04
AAA-RADIUS_REJECT_HOURLY-01-71,ACC0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,73.09,count,valid,synthetic_aaa,179,178,1,15.98
AAA-RADIUS_REJECT_HOURLY-02-00,ACC0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,53.85,count,valid,synthetic_aaa,105,100,5,26.93
AAA-RADIUS_REJECT_HOURLY-02-01,ACC0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,26.42,count,valid,synthetic_aaa,211,209,2,22.28
AAA-RADIUS_REJECT_HOURLY-02-02,ACC0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,28.74,count,valid,synthetic_aaa,233,230,3,17.16
AAA-RADIUS_REJECT_HOURLY-02-03,ACC0013,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,62.02,count,valid,synthetic_aaa,234,230,4,24.16
AAA-RADIUS_REJECT_HOURLY-02-04,ACC0013,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,57.72,count,valid,synthetic_aaa,246,244,2,28.49
AAA-RADIUS_REJECT_HOURLY-02-05,ACC0013,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,42.86,count,valid,synthetic_aaa,58,55,3,16.34
AAA-RADIUS_REJECT_HOURLY-02-06,ACC0013,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,42.59,count,valid,synthetic_aaa,190,185,5,21.25
AAA-RADIUS_REJECT_HOURLY-02-07,ACC0013,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,56.11,count,valid,synthetic_aaa,71,70,1,10.08
