radius_request_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-RADIUS_REQUEST_HOURLY-00-15,ACC0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,32.97,count,valid,synthetic_aaa,164,160,4,11.14
AAA-RADIUS_REQUEST_HOURLY-00-16,ACC0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,57.48,count,valid,synthetic_aaa,161,157,4,16.23
AAA-RADIUS_REQUEST_HOURLY-00-17,ACC0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,77.49,count,valid,synthetic_aaa,62,59,3,23.25
AAA-RADIUS_REQUEST_HOURLY-00-18,ACC0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,44.29,count,valid,synthetic_aaa,144,142,2,17.67
AAA-RADIUS_REQUEST_HOURLY-00-19,ACC0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,53.81,count,valid,synthetic_aaa,51,50,1,11.28
AAA-RADIUS_REQUEST_HOURLY-00-20,ACC0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,42.36,count,valid,synthetic_aaa,199,198,1,13.32
AAA-RADIUS_REQUEST_HOURLY-00-21,ACC0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,16.01,count,valid,synthetic_aaa,145,144,1,29.16
AAA-RADIUS_REQUEST_HOURLY-00-22,ACC0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,78.67,count,valid,synthetic_aaa,67,65,2,17.77
AAA-RADIUS_REQUEST_HOURLY-00-23,ACC0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,27.4,count,valid,synthetic_aaa,168,163,5,16.1
AAA-RADIUS_REQUEST_HOURLY-00-24,ACC0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,75.22,count,valid,synthetic_aaa,218,215,3,11.6
AAA-RADIUS_REQUEST_HOURLY-00-25,ACC0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,30.46,count,valid,synthetic_aaa,199,195,4,26.57
AAA-RADIUS_REQUEST_HOURLY-00-26,ACC0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,18.93,count,valid,synthetic_aaa,209,204,5,16.45
AAA-RADIUS_REQUEST_HOURLY-00-27,ACC0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,92.54,count,degraded,synthetic_aaa,78,53,25,65.76
AAA-RADIUS_REQUEST_HOURLY-00-28,ACC0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,39.48,count,valid,synthetic_aaa,79,78,1,33.18
AAA-RADIUS_REQUEST_HOURLY-00-29,ACC0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,75.11,count,valid,synthetic_aaa,53,50,3,21.23
AAA-RADIUS_REQUEST_HOURLY-00-30,ACC0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,61.65,count,valid,synthetic_aaa,135,132,3,23.86
AAA-RADIUS_REQUEST_HOURLY-00-31,ACC0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,45.86,count,valid,synthetic_aaa,66,64,2,16.98
AAA-RADIUS_REQUEST_HOURLY-00-32,ACC0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,68.57,count,valid,synthetic_aaa,71,69,2,18.01
AAA-RADIUS_REQUEST_HOURLY-00-33,ACC0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,65.25,count,valid,synthetic_aaa,237,233,4,15.74
AAA-RADIUS_REQUEST_HOURLY-00-34,ACC0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,34.47,count,valid,synthetic_aaa,178,175,3,7.13
AAA-RADIUS_REQUEST_HOURLY-00-35,ACC0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,80.9,count,valid,synthetic_aaa,238,234,4,17.65
AAA-RADIUS_REQUEST_HOURLY-00-36,ACC0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,76.44,count,valid,synthetic_aaa,75,73,2,10.65
AAA-RADIUS_REQUEST_HOURLY-00-37,ACC0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,19.6,count,valid,synthetic_aaa,145,143,2,15.05
AAA-RADIUS_REQUEST_HOURLY-00-38,ACC0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,26.73,count,valid,synthetic_aaa,156,153,3,10.67
AAA-RADIUS_REQUEST_HOURLY-00-39,ACC0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,51.86,count,valid,synthetic_aaa,68,66,2,34.94
AAA-RADIUS_REQUEST_HOURLY-00-40,ACC0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,50.53,count,valid,synthetic_aaa,111,108,3,32.75
AAA-RADIUS_REQUEST_HOURLY-00-41,ACC0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,67.49,count,valid,synthetic_aaa,141,137,4,34.82
AAA-RADIUS_REQUEST_HOURLY-00-42,ACC0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,79.95,count,valid,synthetic_aaa,120,119,1,9.23
AAA-RADIUS_REQUEST_HOURLY-00-43,ACC0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,31.82,count,valid,synthetic_aaa,102,101,1,31.48
AAA-RADIUS_REQUEST_HOURLY-00-44,ACC0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,53.66,count,valid,synthetic_aaa,85,82,3,27.43
AAA-RADIUS_REQUEST_HOURLY-00-45,ACC0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,21.3,count,valid,synthetic_aaa,174,173,1,20.11
AAA-RADIUS_REQUEST_HOURLY-00-46,ACC0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,68.15,count,valid,synthetic_aaa,179,175,4,27.5
AAA-RADIUS_REQUEST_HOURLY-00-47,ACC0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,28.27,count,valid,synthetic_aaa,246,245,1,30.77
AAA-RADIUS_REQUEST_HOURLY-00-48,ACC0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,76.88,count,valid,synthetic_aaa,133,132,1,14.76
AAA-RADIUS_REQUEST_HOURLY-00-49,ACC0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,19.61,count,valid,synthetic_aaa,96,91,5,26.69
AAA-RADIUS_REQUEST_HOURLY-00-50,ACC0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,59.9,count,valid,synthetic_aaa,100,96,4,28.15
AAA-RADIUS_REQUEST_HOURLY-00-51,ACC0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,78.45,count,valid,synthetic_aaa,95,93,2,29.86
AAA-RADIUS_REQUEST_HOURLY-00-52,ACC0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,82.25,count,valid,synthetic_aaa,133,129,4,25.7
AAA-RADIUS_REQUEST_HOURLY-00-53,ACC0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,77.25,count,valid,synthetic_aaa,174,169,5,14.11
AAA-RADIUS_REQUEST_HOURLY-00-54,ACC0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,82.4,count,valid,synthetic_aaa,165,164,1,16.22
AAA-RADIUS_REQUEST_HOURLY-00-55,ACC0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,36.29,count,valid,synthetic_aaa,196,191,5,23.72
AAA-RADIUS_REQUEST_HOURLY-00-56,ACC0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,83.98,count,valid,synthetic_aaa,248,247,1,16.79
AAA-RADIUS_REQUEST_HOURLY-00-57,ACC0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,18.76,count,valid,synthetic_aaa,232,231,1,20.19
AAA-RADIUS_REQUEST_HOURLY-00-58,ACC0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,41.6,count,valid,synthetic_aaa,148,144,4,21.7
AAA-RADIUS_REQUEST_HOURLY-00-59,ACC0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,65.22,count,valid,synthetic_aaa,239,238,1,22.93
AAA-RADIUS_REQUEST_HOURLY-00-60,ACC0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,23.63,count,valid,synthetic_aaa,215,213,2,32.35
AAA-RADIUS_REQUEST_HOURLY-00-61,ACC0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,24.46,count,valid,synthetic_aaa,85,83,2,13.41
AAA-RADIUS_REQUEST_HOURLY-00-62,ACC0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,32.58,count,valid,synthetic_aaa,236,234,2,14.19
AAA-RADIUS_REQUEST_HOURLY-00-63,ACC0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,64.46,count,valid,synthetic_aaa,166,163,3,32.09
AAA-RADIUS_REQUEST_HOURLY-00-64,ACC0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,82.26,count,valid,synthetic_aaa,154,152,2,24.28
AAA-RADIUS_REQUEST_HOURLY-00-65,ACC0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,28.86,count,valid,synthetic_aaa,185,182,3,9.2
AAA-RADIUS_REQUEST_HOURLY-00-66,ACC0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,62.06,count,valid,synthetic_aaa,222,218,4,14.51
AAA-RADIUS_REQUEST_HOURLY-00-67,ACC0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,57.73,count,valid,synthetic_aaa,125,123,2,5.38
AAA-RADIUS_REQUEST_HOURLY-00-68,ACC0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,58.32,count,valid,synthetic_aaa,200,196,4,14.58
AAA-RADIUS_REQUEST_HOURLY-00-69,ACC0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,32.34,count,valid,synthetic_aaa,95,92,3,34.27
AAA-RADIUS_REQUEST_HOURLY-00-70,ACC0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,81.74,count,valid,synthetic_aaa,69,65,4,34.63
AAA-RADIUS_REQUEST_HOURLY-00-71,ACC0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,53.86,count,valid,synthetic_aaa,140,136,4,28.78
AAA-RADIUS_REQUEST_HOURLY-01-00,ACC0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,32.24,count,valid,synthetic_aaa,209,206,3,26.53
AAA-RADIUS_REQUEST_HOURLY-01-01,ACC0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,41.52,count,valid,synthetic_aaa,82,79,3,15.95
AAA-RADIUS_REQUEST_HOURLY-01-02,ACC0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,35.63,count,valid,synthetic_aaa,99,96,3,7.54
AAA-RADIUS_REQUEST_HOURLY-01-03,ACC0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,62.4,count,valid,synthetic_aaa,119,114,5,5.74
AAA-RADIUS_REQUEST_HOURLY-01-04,ACC0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,29.54,count,valid,synthetic_aaa,183,180,3,5.66
AAA-RADIUS_REQUEST_HOURLY-01-05,ACC0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,78.52,count,valid,synthetic_aaa,62,57,5,17.29
AAA-RADIUS_REQUEST_HOURLY-01-06,ACC0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,38.65,count,valid,synthetic_aaa,90,86,4,31.65
AAA-RADIUS_REQUEST_HOURLY-01-07,ACC0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,37.78,count,valid,synthetic_aaa,213,209,4,26.6
AAA-RADIUS_REQUEST_HOURLY-01-08,ACC0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,37.11,count,valid,synthetic_aaa,100,98,2,24.7
AAA-RADIUS_REQUEST_HOURLY-01-09,ACC0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,66.71,count,valid,synthetic_aaa,91,90,1,19.82
AAA-RADIUS_REQUEST_HOURLY-01-10,ACC0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,45.82,count,valid,synthetic_aaa,195,191,4,28.52
AAA-RADIUS_REQUEST_HOURLY-01-11,ACC0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,71.01,count,valid,synthetic_aaa,239,238,1,20.78
AAA-RADIUS_REQUEST_HOURLY-01-12,ACC0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,20.15,count,valid,synthetic_aaa,214,209,5,34.91
AAA-RADIUS_REQUEST_HOURLY-01-13,ACC0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,26.18,count,valid,synthetic_aaa,104,103,1,10.76
AAA-RADIUS_REQUEST_HOURLY-01-14,ACC0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,28.24,count,valid,synthetic_aaa,159,158,1,22.59
AAA-RADIUS_REQUEST_HOURLY-01-15,ACC0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,30.88,count,valid,synthetic_aaa,205,202,3,27.91
AAA-RADIUS_REQUEST_HOURLY-01-16,ACC0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,62.27,count,valid,synthetic_aaa,103,99,4,7.37
AAA-RADIUS_REQUEST_HOURLY-01-17,ACC0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,40.19,count,valid,synthetic_aaa,54,52,2,8.05
AAA-RADIUS_REQUEST_HOURLY-01-18,ACC0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,53.12,count,valid,synthetic_aaa,249,245,4,29.77
AAA-RADIUS_REQUEST_HOURLY-01-19,ACC0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,82.7,count,valid,synthetic_aaa,226,223,3,31.36
AAA-RADIUS_REQUEST_HOURLY-01-20,ACC0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,26.54,count,valid,synthetic_aaa,148,143,5,25.69
AAA-RADIUS_REQUEST_HOURLY-01-21,ACC0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,76.71,count,valid,synthetic_aaa,212,209,3,21.23
AAA-RADIUS_REQUEST_HOURLY-01-22,ACC0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,82.8,count,valid,synthetic_aaa,58,56,2,17.86
AAA-RADIUS_REQUEST_HOURLY-01-23,ACC0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,65.92,count,valid,synthetic_aaa,147,144,3,16.02
AAA-RADIUS_REQUEST_HOURLY-01-24,ACC0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,24.47,count,valid,synthetic_aaa,100,95,5,19.06
AAA-RADIUS_REQUEST_HOURLY-01-25,ACC0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,57.38,count,valid,synthetic_aaa,101,99,2,6.12
AAA-RADIUS_REQUEST_HOURLY-01-26,ACC0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,34.45,count,valid,synthetic_aaa,135,130,5,26.49
AAA-RADIUS_REQUEST_HOURLY-01-27,ACC0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,79.71,count,valid,synthetic_aaa,196,192,4,12.0
AAA-RADIUS_REQUEST_HOURLY-01-28,ACC0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,53.95,count,valid,synthetic_aaa,191,188,3,5.97
AAA-RADIUS_REQUEST_HOURLY-01-29,ACC0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,50.12,count,valid,synthetic_aaa,133,130,3,33.27
AAA-RADIUS_REQUEST_HOURLY-01-30,ACC0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,64.1,count,valid,synthetic_aaa,97,94,3,30.34
AAA-RADIUS_REQUEST_HOURLY-01-31,ACC0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,54.0,count,valid,synthetic_aaa,211,209,2,31.21
AAA-RADIUS_REQUEST_HOURLY-01-32,ACC0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,56.07,count,valid,synthetic_aaa,62,61,1,29.94
AAA-RADIUS_REQUEST_HOURLY-01-33,ACC0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,81.09,count,valid,synthetic_aaa,197,193,4,25.98
AAA-RADIUS_REQUEST_HOURLY-01-34,ACC0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,31.92,count,valid,synthetic_aaa,240,235,5,11.68
AAA-RADIUS_REQUEST_HOURLY-01-35,ACC0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,66.91,count,valid,synthetic_aaa,58,53,5,18.92
AAA-RADIUS_REQUEST_HOURLY-01-36,ACC0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,64.09,count,valid,synthetic_aaa,100,97,3,31.0
AAA-RADIUS_REQUEST_HOURLY-01-37,ACC0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,31.25,count,valid,synthetic_aaa,122,119,3,12.61
AAA-RADIUS_REQUEST_HOURLY-01-38,ACC0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,45.39,count,valid,synthetic_aaa,218,214,4,31.19
AAA-RADIUS_REQUEST_HOURLY-01-39,ACC0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,18.59,count,valid,synthetic_aaa,109,107,2,16.63
AAA-RADIUS_REQUEST_HOURLY-01-40,ACC0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,69.24,count,valid,synthetic_aaa,223,220,3,18.63
AAA-RADIUS_REQUEST_HOURLY-01-41,ACC0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,41.74,count,valid,synthetic_aaa,185,182,3,32.8
AAA-RADIUS_REQUEST_HOURLY-01-42,ACC0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,70.33,count,valid,synthetic_aaa,143,138,5,6.78
AAA-RADIUS_REQUEST_HOURLY-01-43,ACC0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,34.82,count,valid,synthetic_aaa,209,204,5,7.36
AAA-RADIUS_REQUEST_HOURLY-01-44,ACC0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,46.1,count,valid,synthetic_aaa,178,177,1,22.87
AAA-RADIUS_REQUEST_HOURLY-01-45,ACC0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,59.12,count,degraded,synthetic_aaa,148,124,24,59.72
AAA-RADIUS_REQUEST_HOURLY-01-46,ACC0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,81.81,count,valid,synthetic_aaa,121,120,1,21.92
AAA-RADIUS_REQUEST_HOURLY-01-47,ACC0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,73.94,count,valid,synthetic_aaa,69,68,1,30.88
AAA-RADIUS_REQUEST_HOURLY-01-48,ACC0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,18.22,count,valid,synthetic_aaa,139,136,3,13.77
AAA-RADIUS_REQUEST_HOURLY-01-49,ACC0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,46.78,count,valid,synthetic_aaa,122,118,4,8.26
AAA-RADIUS_REQUEST_HOURLY-01-50,ACC0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,56.05,count,valid,synthetic_aaa,163,161,2,16.96
AAA-RADIUS_REQUEST_HOURLY-01-51,ACC0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,26.82,count,valid,synthetic_aaa,180,178,2,25.87
AAA-RADIUS_REQUEST_HOURLY-01-52,ACC0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,41.7,count,valid,synthetic_aaa,63,59,4,22.9
AAA-RADIUS_REQUEST_HOURLY-01-53,ACC0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,20.24,count,valid,synthetic_aaa,83,82,1,24.81
AAA-RADIUS_REQUEST_HOURLY-01-54,ACC0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,66.08,count,valid,synthetic_aaa,237,236,1,20.58
AAA-RADIUS_REQUEST_HOURLY-01-55,ACC0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,74.25,count,valid,synthetic_aaa,51,48,3,23.98
AAA-RADIUS_REQUEST_HOURLY-01-56,ACC0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,78.18,count,valid,synthetic_aaa,93,89,4,23.92
AAA-RADIUS_REQUEST_HOURLY-01-57,ACC0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,84.21,count,valid,synthetic_aaa,111,109,2,16.97
AAA-RADIUS_REQUEST_HOURLY-01-58,ACC0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,48.85,count,valid,synthetic_aaa,61,58,3,29.78
AAA-RADIUS_REQUEST_HOURLY-01-59,ACC0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,49.25,count,valid,synthetic_aaa,126,122,4,7.81
AAA-RADIUS_REQUEST_HOURLY-01-60,ACC0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,20.2,count,valid,synthetic_aaa,217,214,3,21.96
AAA-RADIUS_REQUEST_HOURLY-01-61,ACC0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,77.86,count,valid,synthetic_aaa,190,189,1,15.35
AAA-RADIUS_REQUEST_HOURLY-01-62,ACC0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,79.22,count,valid,synthetic_aaa,103,99,4,30.07
AAA-RADIUS_REQUEST_HOURLY-01-63,ACC0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,71.21,count,valid,synthetic_aaa,174,173,1,33.13
AAA-RADIUS_REQUEST_HOURLY-01-64,ACC0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,76.86,count,valid,synthetic_aaa,114,112,2,23.72
AAA-RADIUS_REQUEST_HOURLY-01-65,ACC0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,24.54,count,valid,synthetic_aaa,180,178,2,8.86
AAA-RADIUS_REQUEST_HOURLY-01-66,ACC0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,51.24,count,valid,synthetic_aaa,232,228,4,13.87
AAA-RADIUS_REQUEST_HOURLY-01-67,ACC0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,53.26,count,valid,synthetic_aaa,150,149,1,11.09
AAA-RADIUS_REQUEST_HOURLY-01-68,ACC0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,19.64,count,valid,synthetic_aaa,215,213,2,32.66
AAA-RADIUS_REQUEST_HOURLY-01-69,ACC0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,39.35,count,valid,synthetic_aaa,66,61,5,10.14
AAA-RADIUS_REQUEST_HOURLY-01-70,ACC0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,20.39,count,valid,synthetic_aaa,125,122,3,24.43
AAA-RADIUS_REQUEST_HOURLY-01-71,ACC0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,32.7,count,valid,synthetic_aaa,189,185,4,31.41
AAA-RADIUS_REQUEST_HOURLY-02-00,ACC0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,43.49,count,valid,synthetic_aaa,248,243,5,6.58
AAA-RADIUS_REQUEST_HOURLY-02-01,ACC0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,59.99,count,valid,synthetic_aaa,60,59,1,20.1
AAA-RADIUS_REQUEST_HOURLY-02-02,ACC0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,82.42,count,valid,synthetic_aaa,197,196,1,6.37
AAA-RADIUS_REQUEST_HOURLY-02-03,ACC0013,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,29.63,count,valid,synthetic_aaa,242,238,4,33.86
AAA-RADIUS_REQUEST_HOURLY-02-04,ACC0013,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,56.04,count,valid,synthetic_aaa,164,163,1,33.63
AAA-RADIUS_REQUEST_HOURLY-02-05,ACC0013,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,16.28,count,valid,synthetic_aaa,231,229,2,32.79
