ip_pool_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-IP_POOL_HOURLY-00-17,ACC0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,34.21,count,valid,synthetic_aaa,121,116,5,18.06
AAA-IP_POOL_HOURLY-00-18,ACC0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,64.12,count,valid,synthetic_aaa,63,60,3,6.82
AAA-IP_POOL_HOURLY-00-19,ACC0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,79.23,count,valid,synthetic_aaa,116,111,5,9.35
AAA-IP_POOL_HOURLY-00-20,ACC0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,79.39,count,valid,synthetic_aaa,70,69,1,10.99
AAA-IP_POOL_HOURLY-00-21,ACC0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,62.42,count,valid,synthetic_aaa,75,74,1,29.49
AAA-IP_POOL_HOURLY-00-22,ACC0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,61.42,count,valid,synthetic_aaa,218,213,5,13.54
AAA-IP_POOL_HOURLY-00-23,ACC0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,52.11,count,valid,synthetic_aaa,142,140,2,15.51
AAA-IP_POOL_HOURLY-00-24,ACC0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,61.39,count,valid,synthetic_aaa,107,105,2,5.54
AAA-IP_POOL_HOURLY-00-25,ACC0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,48.97,count,valid,synthetic_aaa,84,79,5,23.25
AAA-IP_POOL_HOURLY-00-26,ACC0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,36.96,count,valid,synthetic_aaa,52,48,4,32.7
AAA-IP_POOL_HOURLY-00-27,ACC0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,66.27,count,degraded,synthetic_aaa,103,81,22,76.16
AAA-IP_POOL_HOURLY-00-28,ACC0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,34.33,count,valid,synthetic_aaa,99,95,4,17.09
AAA-IP_POOL_HOURLY-00-29,ACC0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,16.46,count,valid,synthetic_aaa,117,113,4,17.64
AAA-IP_POOL_HOURLY-00-30,ACC0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,74.73,count,valid,synthetic_aaa,220,219,1,16.17
AAA-IP_POOL_HOURLY-00-31,ACC0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,55.65,count,valid,synthetic_aaa,57,53,4,23.65
AAA-IP_POOL_HOURLY-00-32,ACC0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,72.88,count,valid,synthetic_aaa,184,181,3,26.85
AAA-IP_POOL_HOURLY-00-33,ACC0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,74.46,count,valid,synthetic_aaa,81,77,4,20.79
AAA-IP_POOL_HOURLY-00-34,ACC0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,41.25,count,valid,synthetic_aaa,163,160,3,17.89
AAA-IP_POOL_HOURLY-00-35,ACC0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,35.64,count,valid,synthetic_aaa,230,227,3,21.54
AAA-IP_POOL_HOURLY-00-36,ACC0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,28.28,count,valid,synthetic_aaa,234,232,2,32.1
AAA-IP_POOL_HOURLY-00-37,ACC0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,75.11,count,valid,synthetic_aaa,234,232,2,22.14
AAA-IP_POOL_HOURLY-00-38,ACC0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,34.57,count,valid,synthetic_aaa,70,65,5,21.19
AAA-IP_POOL_HOURLY-00-39,ACC0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,32.78,count,valid,synthetic_aaa,170,167,3,7.44
AAA-IP_POOL_HOURLY-00-40,ACC0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,75.38,count,valid,synthetic_aaa,149,146,3,21.96
AAA-IP_POOL_HOURLY-00-41,ACC0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,78.18,count,valid,synthetic_aaa,95,94,1,29.18
AAA-IP_POOL_HOURLY-00-42,ACC0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,45.75,count,valid,synthetic_aaa,135,130,5,22.72
AAA-IP_POOL_HOURLY-00-43,ACC0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,73.52,count,valid,synthetic_aaa,236,231,5,9.94
AAA-IP_POOL_HOURLY-00-44,ACC0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,20.41,count,valid,synthetic_aaa,162,159,3,14.32
AAA-IP_POOL_HOURLY-00-45,ACC0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,66.16,count,valid,synthetic_aaa,63,58,5,34.24
AAA-IP_POOL_HOURLY-00-46,ACC0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,15.35,count,valid,synthetic_aaa,205,202,3,22.18
AAA-IP_POOL_HOURLY-00-47,ACC0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,26.5,count,valid,synthetic_aaa,248,247,1,16.03
AAA-IP_POOL_HOURLY-00-48,ACC0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,54.93,count,valid,synthetic_aaa,146,143,3,22.61
AAA-IP_POOL_HOURLY-00-49,ACC0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,21.21,count,valid,synthetic_aaa,199,194,5,21.33
AAA-IP_POOL_HOURLY-00-50,ACC0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,67.27,count,valid,synthetic_aaa,143,142,1,20.18
AAA-IP_POOL_HOURLY-00-51,ACC0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,53.07,count,valid,synthetic_aaa,160,155,5,31.27
AAA-IP_POOL_HOURLY-00-52,ACC0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,74.77,count,valid,synthetic_aaa,73,70,3,18.17
AAA-IP_POOL_HOURLY-00-53,ACC0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,54.59,count,valid,synthetic_aaa,80,75,5,31.9
AAA-IP_POOL_HOURLY-00-54,ACC0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,19.48,count,valid,synthetic_aaa,51,49,2,14.36
AAA-IP_POOL_HOURLY-00-55,ACC0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,68.64,count,valid,synthetic_aaa,119,116,3,12.93
AAA-IP_POOL_HOURLY-00-56,ACC0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,78.38,count,valid,synthetic_aaa,136,131,5,34.05
AAA-IP_POOL_HOURLY-00-57,ACC0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,35.82,count,valid,synthetic_aaa,191,186,5,13.36
AAA-IP_POOL_HOURLY-00-58,ACC0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,71.22,count,valid,synthetic_aaa,206,202,4,19.51
AAA-IP_POOL_HOURLY-00-59,ACC0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,73.52,count,valid,synthetic_aaa,60,58,2,11.53
AAA-IP_POOL_HOURLY-00-60,ACC0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,48.15,count,valid,synthetic_aaa,98,96,2,5.93
AAA-IP_POOL_HOURLY-00-61,ACC0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,67.83,count,valid,synthetic_aaa,125,120,5,5.7
AAA-IP_POOL_HOURLY-00-62,ACC0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,24.25,count,valid,synthetic_aaa,197,196,1,32.54
AAA-IP_POOL_HOURLY-00-63,ACC0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,84.22,count,valid,synthetic_aaa,178,177,1,19.01
AAA-IP_POOL_HOURLY-00-64,ACC0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,19.35,count,valid,synthetic_aaa,103,98,5,16.91
AAA-IP_POOL_HOURLY-00-65,ACC0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,32.99,count,valid,synthetic_aaa,94,93,1,5.48
AAA-IP_POOL_HOURLY-00-66,ACC0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,47.74,count,valid,synthetic_aaa,176,171,5,13.2
AAA-IP_POOL_HOURLY-00-67,ACC0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,73.74,count,valid,synthetic_aaa,65,60,5,30.08
AAA-IP_POOL_HOURLY-00-68,ACC0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,25.64,count,valid,synthetic_aaa,246,245,1,30.18
AAA-IP_POOL_HOURLY-00-69,ACC0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,16.17,count,valid,synthetic_aaa,229,226,3,33.57
AAA-IP_POOL_HOURLY-00-70,ACC0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,82.44,count,valid,synthetic_aaa,100,98,2,7.74
AAA-IP_POOL_HOURLY-00-71,ACC0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,44.98,count,valid,synthetic_aaa,229,224,5,15.82
AAA-IP_POOL_HOURLY-01-00,ACC0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,41.03,count,valid,synthetic_aaa,123,120,3,12.68
AAA-IP_POOL_HOURLY-01-01,ACC0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,35.78,count,valid,synthetic_aaa,90,87,3,12.62
AAA-IP_POOL_HOURLY-01-02,ACC0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,76.05,count,valid,synthetic_aaa,175,171,4,10.52
AAA-IP_POOL_HOURLY-01-03,ACC0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,47.92,count,valid,synthetic_aaa,157,155,2,30.28
AAA-IP_POOL_HOURLY-01-04,ACC0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,35.26,count,valid,synthetic_aaa,146,142,4,30.55
AAA-IP_POOL_HOURLY-01-05,ACC0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,40.25,count,valid,synthetic_aaa,190,186,4,16.91
AAA-IP_POOL_HOURLY-01-06,ACC0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,58.8,count,valid,synthetic_aaa,78,75,3,20.08
AAA-IP_POOL_HOURLY-01-07,ACC0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,28.95,count,valid,synthetic_aaa,241,236,5,10.47
AAA-IP_POOL_HOURLY-01-08,ACC0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,45.2,count,valid,synthetic_aaa,169,168,1,25.63
AAA-IP_POOL_HOURLY-01-09,ACC0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,23.4,count,valid,synthetic_aaa,120,118,2,26.62
AAA-IP_POOL_HOURLY-01-10,ACC0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,64.61,count,valid,synthetic_aaa,201,197,4,25.86
AAA-IP_POOL_HOURLY-01-11,ACC0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,56.93,count,valid,synthetic_aaa,227,223,4,18.81
AAA-IP_POOL_HOURLY-01-12,ACC0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,40.98,count,valid,synthetic_aaa,54,52,2,31.63
AAA-IP_POOL_HOURLY-01-13,ACC0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,16.84,count,valid,synthetic_aaa,52,49,3,9.74
AAA-IP_POOL_HOURLY-01-14,ACC0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,19.88,count,valid,synthetic_aaa,115,112,3,10.38
AAA-IP_POOL_HOURLY-01-15,ACC0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,56.3,count,valid,synthetic_aaa,198,197,1,21.04
AAA-IP_POOL_HOURLY-01-16,ACC0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,84.55,count,valid,synthetic_aaa,89,88,1,31.49
AAA-IP_POOL_HOURLY-01-17,ACC0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,74.48,count,valid,synthetic_aaa,208,205,3,31.12
AAA-IP_POOL_HOURLY-01-18,ACC0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,53.54,count,valid,synthetic_aaa,250,248,2,17.12
AAA-IP_POOL_HOURLY-01-19,ACC0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,62.77,count,valid,synthetic_aaa,245,242,3,12.84
AAA-IP_POOL_HOURLY-01-20,ACC0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,80.58,count,valid,synthetic_aaa,150,147,3,23.26
AAA-IP_POOL_HOURLY-01-21,ACC0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,68.43,count,valid,synthetic_aaa,187,184,3,8.24
AAA-IP_POOL_HOURLY-01-22,ACC0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,66.76,count,valid,synthetic_aaa,70,69,1,13.0
AAA-IP_POOL_HOURLY-01-23,ACC0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,21.82,count,valid,synthetic_aaa,104,99,5,9.23
AAA-IP_POOL_HOURLY-01-24,ACC0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,20.33,count,valid,synthetic_aaa,119,118,1,17.28
AAA-IP_POOL_HOURLY-01-25,ACC0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,83.55,count,valid,synthetic_aaa,206,202,4,16.89
AAA-IP_POOL_HOURLY-01-26,ACC0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,62.89,count,valid,synthetic_aaa,206,202,4,14.83
AAA-IP_POOL_HOURLY-01-27,ACC0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,62.07,count,valid,synthetic_aaa,54,53,1,8.47
AAA-IP_POOL_HOURLY-01-28,ACC0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,71.85,count,valid,synthetic_aaa,158,155,3,15.51
AAA-IP_POOL_HOURLY-01-29,ACC0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,17.91,count,valid,synthetic_aaa,164,161,3,13.53
AAA-IP_POOL_HOURLY-01-30,ACC0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,25.5,count,valid,synthetic_aaa,227,225,2,16.58
AAA-IP_POOL_HOURLY-01-31,ACC0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,32.48,count,valid,synthetic_aaa,92,87,5,20.2
AAA-IP_POOL_HOURLY-01-32,ACC0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,84.59,count,valid,synthetic_aaa,132,129,3,28.82
AAA-IP_POOL_HOURLY-01-33,ACC0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,78.34,count,valid,synthetic_aaa,145,143,2,32.45
AAA-IP_POOL_HOURLY-01-34,ACC0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,44.14,count,valid,synthetic_aaa,141,136,5,21.81
AAA-IP_POOL_HOURLY-01-35,ACC0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,20.12,count,valid,synthetic_aaa,138,133,5,32.39
AAA-IP_POOL_HOURLY-01-36,ACC0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,73.17,count,valid,synthetic_aaa,139,136,3,13.31
AAA-IP_POOL_HOURLY-01-37,ACC0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,59.18,count,valid,synthetic_aaa,140,135,5,32.65
AAA-IP_POOL_HOURLY-01-38,ACC0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,23.03,count,valid,synthetic_aaa,217,216,1,16.84
AAA-IP_POOL_HOURLY-01-39,ACC0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,72.07,count,valid,synthetic_aaa,162,161,1,23.25
AAA-IP_POOL_HOURLY-01-40,ACC0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,35.81,count,valid,synthetic_aaa,203,199,4,6.32
AAA-IP_POOL_HOURLY-01-41,ACC0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,60.64,count,valid,synthetic_aaa,91,87,4,34.44
AAA-IP_POOL_HOURLY-01-42,ACC0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,73.93,count,valid,synthetic_aaa,51,49,2,15.9
AAA-IP_POOL_HOURLY-01-43,ACC0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,62.65,count,valid,synthetic_aaa,101,96,5,10.79
AAA-IP_POOL_HOURLY-01-44,ACC0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,55.99,count,valid,synthetic_aaa,194,193,1,24.28
AAA-IP_POOL_HOURLY-01-45,ACC0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,91.6,count,degraded,synthetic_aaa,213,192,21,55.76
AAA-IP_POOL_HOURLY-01-46,ACC0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,21.91,count,valid,synthetic_aaa,204,199,5,28.41
AAA-IP_POOL_HOURLY-01-47,ACC0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,46.31,count,valid,synthetic_aaa,106,102,4,9.08
AAA-IP_POOL_HOURLY-01-48,ACC0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,26.46,count,valid,synthetic_aaa,94,89,5,29.29
AAA-IP_POOL_HOURLY-01-49,ACC0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,80.04,count,valid,synthetic_aaa,232,229,3,12.42
AAA-IP_POOL_HOURLY-01-50,ACC0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,20.83,count,valid,synthetic_aaa,168,165,3,16.08
AAA-IP_POOL_HOURLY-01-51,ACC0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,70.78,count,valid,synthetic_aaa,198,194,4,22.47
AAA-IP_POOL_HOURLY-01-52,ACC0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,42.92,count,valid,synthetic_aaa,129,126,3,10.39
AAA-IP_POOL_HOURLY-01-53,ACC0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,81.62,count,valid,synthetic_aaa,226,222,4,29.58
AAA-IP_POOL_HOURLY-01-54,ACC0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,78.22,count,valid,synthetic_aaa,121,120,1,18.84
AAA-IP_POOL_HOURLY-01-55,ACC0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,67.23,count,valid,synthetic_aaa,205,200,5,11.23
AAA-IP_POOL_HOURLY-01-56,ACC0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,55.74,count,valid,synthetic_aaa,200,196,4,7.15
AAA-IP_POOL_HOURLY-01-57,ACC0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,75.85,count,valid,synthetic_aaa,157,152,5,11.95
AAA-IP_POOL_HOURLY-01-58,ACC0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,79.54,count,valid,synthetic_aaa,162,160,2,21.59
AAA-IP_POOL_HOURLY-01-59,ACC0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,65.55,count,valid,synthetic_aaa,185,182,3,19.04
AAA-IP_POOL_HOURLY-01-60,ACC0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,30.49,count,valid,synthetic_aaa,199,194,5,21.06
AAA-IP_POOL_HOURLY-01-61,ACC0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,74.16,count,valid,synthetic_aaa,121,119,2,11.8
AAA-IP_POOL_HOURLY-01-62,ACC0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,27.32,count,valid,synthetic_aaa,96,93,3,5.69
AAA-IP_POOL_HOURLY-01-63,ACC0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,77.24,count,valid,synthetic_aaa,141,137,4,15.03
AAA-IP_POOL_HOURLY-01-64,ACC0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,56.76,count,valid,synthetic_aaa,109,108,1,19.97
AAA-IP_POOL_HOURLY-01-65,ACC0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,67.65,count,valid,synthetic_aaa,137,135,2,16.43
AAA-IP_POOL_HOURLY-01-66,ACC0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,39.84,count,valid,synthetic_aaa,169,164,5,31.25
AAA-IP_POOL_HOURLY-01-67,ACC0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,71.09,count,valid,synthetic_aaa,116,112,4,13.85
AAA-IP_POOL_HOURLY-01-68,ACC0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,70.66,count,valid,synthetic_aaa,167,166,1,32.22
AAA-IP_POOL_HOURLY-01-69,ACC0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,53.66,count,valid,synthetic_aaa,242,240,2,10.04
AAA-IP_POOL_HOURLY-01-70,ACC0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,30.42,count,valid,synthetic_aaa,90,89,1,7.43
AAA-IP_POOL_HOURLY-01-71,ACC0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,33.21,count,valid,synthetic_aaa,240,235,5,13.62
AAA-IP_POOL_HOURLY-02-00,ACC0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,21.26,count,valid,synthetic_aaa,116,114,2,31.65
AAA-IP_POOL_HOURLY-02-01,ACC0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,33.14,count,valid,synthetic_aaa,151,149,2,31.71
AAA-IP_POOL_HOURLY-02-02,ACC0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,49.19,count,valid,synthetic_aaa,61,59,2,8.76
AAA-IP_POOL_HOURLY-02-03,ACC0013,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,15.36,count,valid,synthetic_aaa,103,98,5,7.2
AAA-IP_POOL_HOURLY-02-04,ACC0013,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,15.97,count,valid,synthetic_aaa,140,138,2,9.71
AAA-IP_POOL_HOURLY-02-05,ACC0013,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,73.95,count,valid,synthetic_aaa,145,141,4,21.7
AAA-IP_POOL_HOURLY-02-06,ACC0013,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,60.26,count,valid,synthetic_aaa,88,85,3,32.92
AAA-IP_POOL_HOURLY-02-07,ACC0013,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,44.08,count,valid,synthetic_aaa,117,115,2,34.57
AAA-IP_POOL_HOURLY-02-08,ACC0013,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,23.01,count,valid,synthetic_aaa,112,110,2,15.88
AAA-IP_POOL_HOURLY-02-09,ACC0013,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,79.28,count,valid,synthetic_aaa,89,84,5,15.18
AAA-IP_POOL_HOURLY-02-10,ACC0013,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,38.96,count,valid,synthetic_aaa,221,219,2,9.71
AAA-IP_POOL_HOURLY-02-11,ACC0013,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,23.82,count,valid,synthetic_aaa,211,206,5,7.74
AAA-IP_POOL_HOURLY-02-12,ACC0013,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,54.29,count,valid,synthetic_aaa,154,153,1,9.6
AAA-IP_POOL_HOURLY-02-13,ACC0013,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,84.85,count,valid,synthetic_aaa,205,202,3,9.12
AAA-IP_POOL_HOURLY-02-14,ACC0013,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,77.07,count,valid,synthetic_aaa,245,241,4,32.27
