table_fqn,catalog,schema,table_name,domain,column_name,column_fqn,data_type,data_type_display,is_key_candidate,description
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ul_cell_throughput_mbps_ms,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ul_cell_throughput_mbps_ms,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,en_dc_cdr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.en_dc_cdr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,dl_cell_throughput_mbps_ts,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.dl_cell_throughput_mbps_ts,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ra_cb_att,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ra_cb_att,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nr_ps_traffic_total_gb,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nr_ps_traffic_total_gb,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ra_cf_att,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ra_cf_att,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,prb_dl_available,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.prb_dl_available,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,avg_rrc_connected_nr_en_dc_user,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.avg_rrc_connected_nr_en_dc_user,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,dl_user_throughput_mbps_ms,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.dl_user_throughput_mbps_ms,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ra_cf_succ,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ra_cf_succ,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,en_dc_total_release,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.en_dc_total_release,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ul_user_throughput_mbps_ms,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ul_user_throughput_mbps_ms,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,rasr_cfra,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.rasr_cfra,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,dl_cell_throughput_mbps,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.dl_cell_throughput_mbps,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ul_cell_throughput_mbps,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ul_cell_throughput_mbps,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,en_dc_reconf_succ,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.en_dc_reconf_succ,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ul_cellr_throughput_mbps_ts,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ul_cellr_throughput_mbps_ts,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,en_dc_reconf_att,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.en_dc_reconf_att,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,dl_cell_throughput_mbps_ms,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.dl_cell_throughput_mbps_ms,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nr_dl_ps_traffic_gb,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nr_dl_ps_traffic_gb,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,prb_ul_used,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.prb_ul_used,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,en_dc_arnormal_release,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.en_dc_arnormal_release,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,dl_user_throughput_mbps,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.dl_user_throughput_mbps,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,tu_prb_ul,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.tu_prb_ul,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,dl_user_throughput_mbps_ts,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.dl_user_throughput_mbps_ts,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,prb_dl_used,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.prb_dl_used,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,prb_ul_available,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.prb_ul_available,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nr_ul_ps_traffic_gb,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nr_ul_ps_traffic_gb,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,interval_str,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.interval_str,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,local_time,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.local_time,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,tz,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.tz,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,area_code,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.area_code,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,province_code,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.province_code,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,district_code,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.district_code,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,village_code,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.village_code,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,intra_freq_ho_succ,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.intra_freq_ho_succ,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,intra_freq_hosr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.intra_freq_hosr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,cell_downtime_auto_s,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.cell_downtime_auto_s,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,intra_freq_ho_att,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.intra_freq_ho_att,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,cell_downtime_man_s,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.cell_downtime_man_s,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nr_rasr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nr_rasr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nr_ra_attempt,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nr_ra_attempt,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,pscell_change_sr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.pscell_change_sr,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,pscell_change_attempt,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.pscell_change_attempt,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,pscell_change_success,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.pscell_change_success,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nr_ra_success,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nr_ra_success,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,cell_availability_ratio_ms,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.cell_availability_ratio_ms,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,cell_availability_ratio_ts,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.cell_availability_ratio_ts,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,cell_availability_ratio,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.cell_availability_ratio,VARCHAR,varchar,True,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ul_packet_loss_rate_ms,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ul_packet_loss_rate_ms,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,dl_packet_loss_rate_ms,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.dl_packet_loss_rate_ms,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ul_packet_loss_rate_ts,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ul_packet_loss_rate_ts,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,dl_packet_loss_rate,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.dl_packet_loss_rate,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,dl_packet_loss_rate_ts,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.dl_packet_loss_rate_ts,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,max_rrc_connected_nr_en_dc_user,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.max_rrc_connected_nr_en_dc_user,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ul_packet_loss_rate,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ul_packet_loss_rate,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,latency_dl_ts,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.latency_dl_ts,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,avg_latency_dl_ms,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.avg_latency_dl_ms,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,latency_dl_ms,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.latency_dl_ms,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nps_total_release,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nps_total_release,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nps_drb_sr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nps_drb_sr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,inter_rat_ho_exe_succ,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.inter_rat_ho_exe_succ,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ng_sr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ng_sr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nps_cssr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nps_cssr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,vonr_drb_attempt,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.vonr_drb_attempt,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,inter_rat_ho_pre_succ,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.inter_rat_ho_pre_succ,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nps_abnormal_release,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nps_abnormal_release,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,inter_rat_ho_exe_att,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.inter_rat_ho_exe_att,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ng_attempt,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ng_attempt,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,vonr_drb_sr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.vonr_drb_sr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nhosr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nhosr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nps_drb_attempt,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nps_drb_attempt,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nho_exe_sr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nho_exe_sr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,inter_rat_ho_exe_sr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.inter_rat_ho_exe_sr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,epsfb_sr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.epsfb_sr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nrrc_sr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nrrc_sr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,vonr_drb_success,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.vonr_drb_success,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nho_pre_attempt,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nho_pre_attempt,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nrrc_attempt,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nrrc_attempt,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,vonr_total_release,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.vonr_total_release,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,epsfb_attempt,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.epsfb_attempt,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nps_cdr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nps_cdr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ng_success,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ng_success,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nho_exe_attempt,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nho_exe_attempt,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,nps_drb_success,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.nps_drb_success,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,vonr_abnormal_release,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.vonr_abnormal_release,VARCHAR,varchar,False,
