contact_center_call_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-CONTACT_CENTER_CALL-03-54,CUS0019,NBH,KV1,active,2026-08-20 06:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,20,18,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-03-63,CUS0019,NBH,KV1,active,2026-08-20 15:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,29,25,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-04-00,CUS0025,HCM,KV3,active,2026-08-18 00:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,16,11,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-04-09,CUS0025,HCM,KV3,active,2026-08-18 09:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,50,46,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-04-18,CUS0025,HCM,KV3,active,2026-08-18 18:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,12,8,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-04-27,CUS0025,HCM,KV3,active,2026-08-19 03:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,21,18,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-04-36,CUS0025,HCM,KV3,active,2026-08-19 12:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,49,44,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-04-45,CUS0025,HCM,KV3,active,2026-08-19 21:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,47,46,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-04-54,CUS0025,HCM,KV3,active,2026-08-20 06:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,10,9,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-04-63,CUS0025,HCM,KV3,active,2026-08-20 15:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,17,12,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-05-00,CUS0026,KHA,KV2,active,2026-08-18 00:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,28,27,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-05-09,CUS0026,KHA,KV2,active,2026-08-18 09:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,10,5,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-05-18,CUS0026,KHA,KV2,active,2026-08-18 18:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,24,23,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-05-27,CUS0026,KHA,KV2,active,2026-08-19 03:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,27,24,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-05-36,CUS0026,KHA,KV2,active,2026-08-19 12:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,46,42,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-05-45,CUS0026,KHA,KV2,active,2026-08-19 21:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,48,45,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-05-54,CUS0026,KHA,KV2,active,2026-08-20 06:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,22,18,4.5,0
EXPERIENCE-CONTACT_CENTER_CALL-05-63,CUS0026,KHA,KV2,active,2026-08-20 15:00:00,CONTACT_CENTER_CALL,info,success,60,synthetic_experience,14,9,4.5,0
