journey_event_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-JOURNEY_EVENT-01-63,CUS0007,SLA,KV1,active,2026-08-20 15:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,28,27,4.5,0
EXPERIENCE-JOURNEY_EVENT-02-00,CUS0013,CMU,KV3,active,2026-08-18 00:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,49,45,4.5,0
EXPERIENCE-JOURNEY_EVENT-02-09,CUS0013,CMU,KV3,active,2026-08-18 09:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,15,14,4.5,0
EXPERIENCE-JOURNEY_EVENT-02-18,CUS0013,CMU,KV3,active,2026-08-18 18:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,15,14,4.5,0
EXPERIENCE-JOURNEY_EVENT-02-27,CUS0013,CMU,KV3,active,2026-08-19 03:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,33,30,4.5,0
EXPERIENCE-JOURNEY_EVENT-02-36,CUS0013,CMU,KV3,active,2026-08-19 12:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,23,20,4.5,0
EXPERIENCE-JOURNEY_EVENT-02-45,CUS0013,CMU,KV3,active,2026-08-19 21:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,16,12,4.5,0
EXPERIENCE-JOURNEY_EVENT-02-54,CUS0013,CMU,KV3,active,2026-08-20 06:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,44,42,4.5,0
EXPERIENCE-JOURNEY_EVENT-02-63,CUS0013,CMU,KV3,active,2026-08-20 15:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,33,28,4.5,0
EXPERIENCE-JOURNEY_EVENT-03-00,CUS0019,NBH,KV1,active,2026-08-18 00:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,26,22,4.5,0
EXPERIENCE-JOURNEY_EVENT-03-09,CUS0019,NBH,KV1,active,2026-08-18 09:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,44,39,4.5,0
EXPERIENCE-JOURNEY_EVENT-03-18,CUS0019,NBH,KV1,active,2026-08-18 18:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,30,28,4.5,0
EXPERIENCE-JOURNEY_EVENT-03-27,CUS0019,NBH,KV1,active,2026-08-19 03:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,15,14,4.5,0
EXPERIENCE-JOURNEY_EVENT-03-36,CUS0019,NBH,KV1,active,2026-08-19 12:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,26,25,4.5,0
EXPERIENCE-JOURNEY_EVENT-03-45,CUS0019,NBH,KV1,active,2026-08-19 21:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,34,29,4.5,0
EXPERIENCE-JOURNEY_EVENT-03-54,CUS0019,NBH,KV1,active,2026-08-20 06:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,37,34,4.5,0
EXPERIENCE-JOURNEY_EVENT-03-63,CUS0019,NBH,KV1,active,2026-08-20 15:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,20,15,4.5,0
EXPERIENCE-JOURNEY_EVENT-04-00,CUS0025,HCM,KV3,active,2026-08-18 00:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,49,47,4.5,0
EXPERIENCE-JOURNEY_EVENT-04-09,CUS0025,HCM,KV3,active,2026-08-18 09:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,29,27,4.5,0
EXPERIENCE-JOURNEY_EVENT-04-18,CUS0025,HCM,KV3,active,2026-08-18 18:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,21,20,4.5,0
EXPERIENCE-JOURNEY_EVENT-04-27,CUS0025,HCM,KV3,active,2026-08-19 03:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,11,7,4.5,0
EXPERIENCE-JOURNEY_EVENT-04-36,CUS0025,HCM,KV3,active,2026-08-19 12:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,18,13,4.5,0
EXPERIENCE-JOURNEY_EVENT-04-45,CUS0025,HCM,KV3,active,2026-08-19 21:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,26,21,4.5,0
EXPERIENCE-JOURNEY_EVENT-04-54,CUS0025,HCM,KV3,active,2026-08-20 06:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,42,37,4.5,0
EXPERIENCE-JOURNEY_EVENT-04-63,CUS0025,HCM,KV3,active,2026-08-20 15:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,34,31,4.5,0
EXPERIENCE-JOURNEY_EVENT-05-00,CUS0026,KHA,KV2,active,2026-08-18 00:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,30,29,4.5,0
EXPERIENCE-JOURNEY_EVENT-05-09,CUS0026,KHA,KV2,active,2026-08-18 09:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,42,41,4.5,0
EXPERIENCE-JOURNEY_EVENT-05-18,CUS0026,KHA,KV2,active,2026-08-18 18:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,19,15,4.5,0
EXPERIENCE-JOURNEY_EVENT-05-27,CUS0026,KHA,KV2,active,2026-08-19 03:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,21,17,4.5,0
EXPERIENCE-JOURNEY_EVENT-05-36,CUS0026,KHA,KV2,active,2026-08-19 12:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,38,35,4.5,0
EXPERIENCE-JOURNEY_EVENT-05-45,CUS0026,KHA,KV2,active,2026-08-19 21:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,49,44,4.5,0
EXPERIENCE-JOURNEY_EVENT-05-54,CUS0026,KHA,KV2,active,2026-08-20 06:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,48,45,4.5,0
EXPERIENCE-JOURNEY_EVENT-05-63,CUS0026,KHA,KV2,active,2026-08-20 15:00:00,JOURNEY_EVENT,info,success,60,synthetic_experience,18,17,4.5,0
