network_experience_hourly_id,customer_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-48,CUS0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,83.2,index,valid,synthetic_experience,45,44,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-49,CUS0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,36.57,index,valid,synthetic_experience,31,27,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-50,CUS0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,56.07,index,valid,synthetic_experience,35,33,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-51,CUS0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,49.66,index,valid,synthetic_experience,50,46,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-52,CUS0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,59.93,index,valid,synthetic_experience,14,10,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-53,CUS0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,63.77,index,valid,synthetic_experience,48,45,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-54,CUS0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,59.15,index,valid,synthetic_experience,38,35,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-55,CUS0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,51.67,index,valid,synthetic_experience,31,27,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-56,CUS0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,65.89,index,valid,synthetic_experience,42,37,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-57,CUS0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,56.8,index,valid,synthetic_experience,20,17,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-58,CUS0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,19.39,index,valid,synthetic_experience,50,48,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-59,CUS0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,32.35,index,valid,synthetic_experience,47,46,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-60,CUS0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,80.14,index,valid,synthetic_experience,29,27,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-61,CUS0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,54.57,index,valid,synthetic_experience,46,45,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-62,CUS0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,76.69,index,valid,synthetic_experience,16,12,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-63,CUS0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,79.54,index,valid,synthetic_experience,26,23,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-64,CUS0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,42.23,index,valid,synthetic_experience,18,14,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-65,CUS0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,26.91,index,valid,synthetic_experience,22,21,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-66,CUS0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,26.72,index,valid,synthetic_experience,12,8,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-67,CUS0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,34.14,index,valid,synthetic_experience,38,35,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-68,CUS0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,17.97,index,valid,synthetic_experience,43,38,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-69,CUS0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,83.81,index,valid,synthetic_experience,42,40,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-70,CUS0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,60.96,index,valid,synthetic_experience,16,13,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-00-71,CUS0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,48.94,index,valid,synthetic_experience,12,11,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-00,CUS0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,77.12,index,valid,synthetic_experience,25,24,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-01,CUS0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,83.79,index,valid,synthetic_experience,43,39,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-02,CUS0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,60.49,index,valid,synthetic_experience,21,18,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-03,CUS0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,36.5,index,valid,synthetic_experience,36,32,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-04,CUS0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,79.87,index,valid,synthetic_experience,48,44,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-05,CUS0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,20.14,index,valid,synthetic_experience,34,33,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-06,CUS0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,72.22,index,valid,synthetic_experience,23,18,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-07,CUS0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,27.07,index,valid,synthetic_experience,21,17,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-08,CUS0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,37.07,index,valid,synthetic_experience,33,28,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-09,CUS0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,82.64,index,valid,synthetic_experience,10,8,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-10,CUS0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,48.34,index,valid,synthetic_experience,32,30,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-11,CUS0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,26.01,index,valid,synthetic_experience,12,10,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-12,CUS0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,76.46,index,valid,synthetic_experience,16,12,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-13,CUS0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,45.83,index,valid,synthetic_experience,48,47,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-14,CUS0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,52.15,index,valid,synthetic_experience,41,38,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-15,CUS0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,76.12,index,valid,synthetic_experience,27,25,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-16,CUS0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,23.6,index,valid,synthetic_experience,11,9,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-17,CUS0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,50.79,index,valid,synthetic_experience,19,17,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-18,CUS0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,22.81,index,valid,synthetic_experience,30,27,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-19,CUS0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,70.33,index,valid,synthetic_experience,39,35,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-20,CUS0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,40.98,index,valid,synthetic_experience,33,28,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-21,CUS0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,75.24,index,valid,synthetic_experience,17,16,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-22,CUS0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,29.95,index,valid,synthetic_experience,23,18,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-23,CUS0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,38.34,index,valid,synthetic_experience,14,11,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-24,CUS0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,58.87,index,valid,synthetic_experience,21,18,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-25,CUS0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,29.67,index,valid,synthetic_experience,40,35,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-26,CUS0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,78.67,index,valid,synthetic_experience,16,11,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-27,CUS0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,18.85,index,valid,synthetic_experience,47,46,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-28,CUS0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,57.23,index,valid,synthetic_experience,37,35,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-29,CUS0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,34.43,index,valid,synthetic_experience,46,41,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-30,CUS0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,77.14,index,valid,synthetic_experience,12,10,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-31,CUS0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,29.53,index,valid,synthetic_experience,35,31,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-32,CUS0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,63.16,index,valid,synthetic_experience,20,18,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-33,CUS0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,21.33,index,valid,synthetic_experience,21,16,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-34,CUS0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,35.0,index,valid,synthetic_experience,15,10,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-35,CUS0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,81.93,index,valid,synthetic_experience,23,22,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-36,CUS0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,38.72,index,valid,synthetic_experience,30,28,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-37,CUS0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,46.21,index,valid,synthetic_experience,43,38,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-38,CUS0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,38.62,index,valid,synthetic_experience,36,31,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-39,CUS0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,77.35,index,valid,synthetic_experience,25,20,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-40,CUS0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,24.18,index,valid,synthetic_experience,18,17,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-41,CUS0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,40.81,index,valid,synthetic_experience,11,9,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-42,CUS0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,21.52,index,valid,synthetic_experience,49,47,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-43,CUS0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,76.41,index,valid,synthetic_experience,40,38,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-44,CUS0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,45.6,index,valid,synthetic_experience,40,39,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-45,CUS0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,60.88,index,degraded,synthetic_experience,32,27,3,1
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-46,CUS0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,47.29,index,valid,synthetic_experience,49,47,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-47,CUS0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,67.51,index,valid,synthetic_experience,22,19,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-48,CUS0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,24.8,index,valid,synthetic_experience,13,12,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-49,CUS0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,59.24,index,valid,synthetic_experience,15,10,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-50,CUS0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,36.54,index,valid,synthetic_experience,15,12,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-51,CUS0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,75.09,index,valid,synthetic_experience,12,11,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-52,CUS0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,28.92,index,valid,synthetic_experience,37,33,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-53,CUS0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,42.49,index,valid,synthetic_experience,44,42,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-54,CUS0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,51.41,index,valid,synthetic_experience,18,14,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-55,CUS0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,52.61,index,valid,synthetic_experience,42,41,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-56,CUS0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,27.27,index,valid,synthetic_experience,24,22,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-57,CUS0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,16.69,index,valid,synthetic_experience,21,20,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-58,CUS0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,82.14,index,valid,synthetic_experience,26,24,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-59,CUS0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,69.45,index,valid,synthetic_experience,17,15,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-60,CUS0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,30.47,index,valid,synthetic_experience,22,20,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-61,CUS0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,78.49,index,valid,synthetic_experience,41,38,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-62,CUS0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,69.21,index,valid,synthetic_experience,12,8,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-63,CUS0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,16.1,index,valid,synthetic_experience,17,15,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-64,CUS0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,58.25,index,valid,synthetic_experience,38,36,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-65,CUS0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,57.01,index,valid,synthetic_experience,32,28,4.5,0
EXPERIENCE-NETWORK_EXPERIENCE_HOURLY-01-66,CUS0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,17.0,index,valid,synthetic_experience,41,40,4.5,0
