chat_session_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-CHAT_SESSION-01-63,CUS0007,SLA,KV1,active,2026-08-20 15:00:00,CHAT_SESSION,info,success,60,synthetic_experience,25,23,4.5,0
EXPERIENCE-CHAT_SESSION-02-00,CUS0013,CMU,KV3,active,2026-08-18 00:00:00,CHAT_SESSION,info,success,60,synthetic_experience,40,39,4.5,0
EXPERIENCE-CHAT_SESSION-02-09,CUS0013,CMU,KV3,active,2026-08-18 09:00:00,CHAT_SESSION,info,success,60,synthetic_experience,27,24,4.5,0
EXPERIENCE-CHAT_SESSION-02-18,CUS0013,CMU,KV3,active,2026-08-18 18:00:00,CHAT_SESSION,info,success,60,synthetic_experience,26,24,4.5,0
EXPERIENCE-CHAT_SESSION-02-27,CUS0013,CMU,KV3,active,2026-08-19 03:00:00,CHAT_SESSION,info,success,60,synthetic_experience,44,41,4.5,0
EXPERIENCE-CHAT_SESSION-02-36,CUS0013,CMU,KV3,active,2026-08-19 12:00:00,CHAT_SESSION,info,success,60,synthetic_experience,19,15,4.5,0
EXPERIENCE-CHAT_SESSION-02-45,CUS0013,CMU,KV3,active,2026-08-19 21:00:00,CHAT_SESSION,info,success,60,synthetic_experience,23,22,4.5,0
EXPERIENCE-CHAT_SESSION-02-54,CUS0013,CMU,KV3,active,2026-08-20 06:00:00,CHAT_SESSION,info,success,60,synthetic_experience,14,12,4.5,0
EXPERIENCE-CHAT_SESSION-02-63,CUS0013,CMU,KV3,active,2026-08-20 15:00:00,CHAT_SESSION,info,success,60,synthetic_experience,25,20,4.5,0
EXPERIENCE-CHAT_SESSION-03-00,CUS0019,NBH,KV1,active,2026-08-18 00:00:00,CHAT_SESSION,info,success,60,synthetic_experience,46,42,4.5,0
EXPERIENCE-CHAT_SESSION-03-09,CUS0019,NBH,KV1,active,2026-08-18 09:00:00,CHAT_SESSION,info,success,60,synthetic_experience,29,28,4.5,0
EXPERIENCE-CHAT_SESSION-03-18,CUS0019,NBH,KV1,active,2026-08-18 18:00:00,CHAT_SESSION,info,success,60,synthetic_experience,14,9,4.5,0
EXPERIENCE-CHAT_SESSION-03-27,CUS0019,NBH,KV1,active,2026-08-19 03:00:00,CHAT_SESSION,info,success,60,synthetic_experience,37,33,4.5,0
EXPERIENCE-CHAT_SESSION-03-36,CUS0019,NBH,KV1,active,2026-08-19 12:00:00,CHAT_SESSION,info,success,60,synthetic_experience,24,22,4.5,0
EXPERIENCE-CHAT_SESSION-03-45,CUS0019,NBH,KV1,active,2026-08-19 21:00:00,CHAT_SESSION,info,success,60,synthetic_experience,23,21,4.5,0
EXPERIENCE-CHAT_SESSION-03-54,CUS0019,NBH,KV1,active,2026-08-20 06:00:00,CHAT_SESSION,info,success,60,synthetic_experience,14,12,4.5,0
EXPERIENCE-CHAT_SESSION-03-63,CUS0019,NBH,KV1,active,2026-08-20 15:00:00,CHAT_SESSION,info,success,60,synthetic_experience,10,8,4.5,0
EXPERIENCE-CHAT_SESSION-04-00,CUS0025,HCM,KV3,active,2026-08-18 00:00:00,CHAT_SESSION,info,success,60,synthetic_experience,46,43,4.5,0
EXPERIENCE-CHAT_SESSION-04-09,CUS0025,HCM,KV3,active,2026-08-18 09:00:00,CHAT_SESSION,info,success,60,synthetic_experience,50,48,4.5,0
EXPERIENCE-CHAT_SESSION-04-18,CUS0025,HCM,KV3,active,2026-08-18 18:00:00,CHAT_SESSION,info,success,60,synthetic_experience,47,46,4.5,0
EXPERIENCE-CHAT_SESSION-04-27,CUS0025,HCM,KV3,active,2026-08-19 03:00:00,CHAT_SESSION,info,success,60,synthetic_experience,46,43,4.5,0
EXPERIENCE-CHAT_SESSION-04-36,CUS0025,HCM,KV3,active,2026-08-19 12:00:00,CHAT_SESSION,info,success,60,synthetic_experience,27,23,4.5,0
EXPERIENCE-CHAT_SESSION-04-45,CUS0025,HCM,KV3,active,2026-08-19 21:00:00,CHAT_SESSION,info,success,60,synthetic_experience,21,20,4.5,0
EXPERIENCE-CHAT_SESSION-04-54,CUS0025,HCM,KV3,active,2026-08-20 06:00:00,CHAT_SESSION,info,success,60,synthetic_experience,11,6,4.5,0
EXPERIENCE-CHAT_SESSION-04-63,CUS0025,HCM,KV3,active,2026-08-20 15:00:00,CHAT_SESSION,info,success,60,synthetic_experience,22,18,4.5,0
EXPERIENCE-CHAT_SESSION-05-00,CUS0026,KHA,KV2,active,2026-08-18 00:00:00,CHAT_SESSION,info,success,60,synthetic_experience,34,32,4.5,0
EXPERIENCE-CHAT_SESSION-05-09,CUS0026,KHA,KV2,active,2026-08-18 09:00:00,CHAT_SESSION,info,success,60,synthetic_experience,15,14,4.5,0
EXPERIENCE-CHAT_SESSION-05-18,CUS0026,KHA,KV2,active,2026-08-18 18:00:00,CHAT_SESSION,info,success,60,synthetic_experience,24,19,4.5,0
EXPERIENCE-CHAT_SESSION-05-27,CUS0026,KHA,KV2,active,2026-08-19 03:00:00,CHAT_SESSION,info,success,60,synthetic_experience,41,38,4.5,0
EXPERIENCE-CHAT_SESSION-05-36,CUS0026,KHA,KV2,active,2026-08-19 12:00:00,CHAT_SESSION,info,success,60,synthetic_experience,32,29,4.5,0
EXPERIENCE-CHAT_SESSION-05-45,CUS0026,KHA,KV2,active,2026-08-19 21:00:00,CHAT_SESSION,info,success,60,synthetic_experience,13,11,4.5,0
EXPERIENCE-CHAT_SESSION-05-54,CUS0026,KHA,KV2,active,2026-08-20 06:00:00,CHAT_SESSION,info,success,60,synthetic_experience,39,35,4.5,0
EXPERIENCE-CHAT_SESSION-05-63,CUS0026,KHA,KV2,active,2026-08-20 15:00:00,CHAT_SESSION,info,success,60,synthetic_experience,34,30,4.5,0
