outage_notification_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-OUTAGE_NOTIFICATION-01-18,CUS0007,SLA,KV1,active,2026-08-18 18:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,18,13,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-01-27,CUS0007,SLA,KV1,active,2026-08-19 03:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,38,33,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-01-36,CUS0007,SLA,KV1,active,2026-08-19 12:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,47,42,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-01-45,CUS0007,SLA,KV1,degraded,2026-08-19 21:00:00,OUTAGE_NOTIFICATION,major,failed,3600,synthetic_experience,31,30,3,1
EXPERIENCE-OUTAGE_NOTIFICATION-01-54,CUS0007,SLA,KV1,active,2026-08-20 06:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,47,45,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-01-63,CUS0007,SLA,KV1,active,2026-08-20 15:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,41,38,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-02-00,CUS0013,CMU,KV3,active,2026-08-18 00:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,48,46,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-02-09,CUS0013,CMU,KV3,active,2026-08-18 09:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,17,15,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-02-18,CUS0013,CMU,KV3,active,2026-08-18 18:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,20,17,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-02-27,CUS0013,CMU,KV3,active,2026-08-19 03:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,24,22,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-02-36,CUS0013,CMU,KV3,active,2026-08-19 12:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,29,28,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-02-45,CUS0013,CMU,KV3,active,2026-08-19 21:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,32,27,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-02-54,CUS0013,CMU,KV3,active,2026-08-20 06:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,24,23,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-02-63,CUS0013,CMU,KV3,active,2026-08-20 15:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,13,9,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-03-00,CUS0019,NBH,KV1,active,2026-08-18 00:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,38,35,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-03-09,CUS0019,NBH,KV1,active,2026-08-18 09:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,12,10,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-03-18,CUS0019,NBH,KV1,active,2026-08-18 18:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,41,36,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-03-27,CUS0019,NBH,KV1,active,2026-08-19 03:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,18,14,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-03-36,CUS0019,NBH,KV1,active,2026-08-19 12:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,11,7,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-03-45,CUS0019,NBH,KV1,active,2026-08-19 21:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,18,13,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-03-54,CUS0019,NBH,KV1,active,2026-08-20 06:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,27,25,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-03-63,CUS0019,NBH,KV1,active,2026-08-20 15:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,20,18,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-04-00,CUS0025,HCM,KV3,active,2026-08-18 00:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,47,46,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-04-09,CUS0025,HCM,KV3,active,2026-08-18 09:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,24,23,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-04-18,CUS0025,HCM,KV3,active,2026-08-18 18:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,18,13,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-04-27,CUS0025,HCM,KV3,active,2026-08-19 03:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,29,26,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-04-36,CUS0025,HCM,KV3,active,2026-08-19 12:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,42,40,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-04-45,CUS0025,HCM,KV3,active,2026-08-19 21:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,32,29,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-04-54,CUS0025,HCM,KV3,active,2026-08-20 06:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,34,32,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-04-63,CUS0025,HCM,KV3,active,2026-08-20 15:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,26,21,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-05-00,CUS0026,KHA,KV2,active,2026-08-18 00:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,44,43,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-05-09,CUS0026,KHA,KV2,active,2026-08-18 09:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,19,18,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-05-18,CUS0026,KHA,KV2,active,2026-08-18 18:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,17,12,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-05-27,CUS0026,KHA,KV2,active,2026-08-19 03:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,35,30,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-05-36,CUS0026,KHA,KV2,active,2026-08-19 12:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,29,26,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-05-45,CUS0026,KHA,KV2,active,2026-08-19 21:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,16,15,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-05-54,CUS0026,KHA,KV2,active,2026-08-20 06:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,36,32,4.5,0
EXPERIENCE-OUTAGE_NOTIFICATION-05-63,CUS0026,KHA,KV2,active,2026-08-20 15:00:00,OUTAGE_NOTIFICATION,info,success,60,synthetic_experience,16,11,4.5,0
