survey_response_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,response_count,positive_count,score,repeat_count
EXPERIENCE-SURVEY_RESPONSE-04-36,CUS0025,HCM,KV3,active,2026-08-19 12:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,27,22,4.5,0
EXPERIENCE-SURVEY_RESPONSE-04-45,CUS0025,HCM,KV3,active,2026-08-19 21:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,46,43,4.5,0
EXPERIENCE-SURVEY_RESPONSE-04-54,CUS0025,HCM,KV3,active,2026-08-20 06:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,38,33,4.5,0
EXPERIENCE-SURVEY_RESPONSE-04-63,CUS0025,HCM,KV3,active,2026-08-20 15:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,17,13,4.5,0
EXPERIENCE-SURVEY_RESPONSE-05-00,CUS0026,KHA,KV2,active,2026-08-18 00:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,26,24,4.5,0
EXPERIENCE-SURVEY_RESPONSE-05-09,CUS0026,KHA,KV2,active,2026-08-18 09:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,35,33,4.5,0
EXPERIENCE-SURVEY_RESPONSE-05-18,CUS0026,KHA,KV2,active,2026-08-18 18:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,41,36,4.5,0
EXPERIENCE-SURVEY_RESPONSE-05-27,CUS0026,KHA,KV2,active,2026-08-19 03:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,16,12,4.5,0
EXPERIENCE-SURVEY_RESPONSE-05-36,CUS0026,KHA,KV2,active,2026-08-19 12:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,49,46,4.5,0
EXPERIENCE-SURVEY_RESPONSE-05-45,CUS0026,KHA,KV2,active,2026-08-19 21:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,46,41,4.5,0
EXPERIENCE-SURVEY_RESPONSE-05-54,CUS0026,KHA,KV2,active,2026-08-20 06:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,41,38,4.5,0
EXPERIENCE-SURVEY_RESPONSE-05-63,CUS0026,KHA,KV2,active,2026-08-20 15:00:00,SURVEY_RESPONSE,info,success,60,synthetic_experience,43,40,4.5,0
