preventive_checklist_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,planned_duration_min,actual_duration_min,part_count,labor_cost_vnd
MAINTENANCE-PREVENTIVE_CHECKLIST-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,PREVENTIVE_CHECKLIST,major,failed,3600,synthetic_maintenance,180,200,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
MAINTENANCE-PREVENTIVE_CHECKLIST-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,PREVENTIVE_CHECKLIST,info,success,60,synthetic_maintenance,180,160,1,200000
