uptime_id,device_id,ne_id,record_time,date_hour,uptime_s,uptime_delta_s,wan_uptime_s,connect_status,ip_address,province_code,station_id,firmware_version,temperature_c,duration,created_date,uptime,uptime_delta,uptime_wanppp,uptime_wanppp_delta,product_class,sw_version,manufacture,serial_number,last_contact_time,pppoe_username,device_code,device_type_code,network_type,network_class,station_code,location_id,location_code,country_name,area_name,province_name,district_name,country_code,area_code,district_code
UP001001,CPE0002,NE0002,2026-08-18 01:00:00,2026-08-18-01,90000,3600,89900,connected,100.64.0.1,DBN,ST0102,1.2.1,38.88,3600,2026-08-18 01:00:00,90000,3600,89900,3600,CPE,1.2.1,ZTE,SYNTH00000002,2026-08-18 01:00:00,demo_acc0002,ONT,ONT,FTTH,access,ST0102,LOC001,LOC001,Việt Nam,,Điện Biên,Quận/Huyện 1 Điện Biên,VNM,,DBN001
UP004001,CPE0005,NE0005,2026-08-18 01:00:00,2026-08-18-01,90000,3600,89900,connected,100.64.0.4,DBN,ST0101,1.2.1,38.42,3600,2026-08-18 01:00:00,90000,3600,89900,3600,CPE,1.2.1,ZTE,SYNTH00000005,2026-08-18 01:00:00,demo_acc0005,ONT,ONT,FTTH,access,ST0101,LOC001,LOC001,Việt Nam,,Điện Biên,Quận/Huyện 1 Điện Biên,VNM,,DBN001
UP007001,CPE0008,NE0008,2026-08-18 01:00:00,2026-08-18-01,90000,3600,89900,connected,100.64.0.7,SLA,ST0201,1.2.1,35.79,3600,2026-08-18 01:00:00,90000,3600,89900,3600,CPE,1.2.1,ZTE,SYNTH00000008,2026-08-18 01:00:00,demo_acc0008,ONT,ONT,FTTH,access,ST0201,LOC002,LOC002,Việt Nam,,Sơn La,Quận/Huyện 1 Sơn La,VNM,,SLA001
UP010001,CPE0011,NE0011,2026-08-18 01:00:00,2026-08-18-01,90000,3600,89900,connected,100.64.0.10,CMU,ST0301,1.2.1,38.31,3600,2026-08-18 01:00:00,90000,3600,89900,3600,CPE,1.2.1,ZTE,SYNTH00000011,2026-08-18 01:00:00,demo_acc0011,ONT,ONT,FTTH,access,ST0301,LOC003,LOC003,Việt Nam,,Cà Mau,Quận/Huyện 1 Cà Mau,VNM,,CMU001
UP013001,CPE0014,NE0014,2026-08-18 01:00:00,2026-08-18-01,90000,3600,89900,connected,100.64.0.13,CMU,ST0302,1.2.1,43.29,3600,2026-08-18 01:00:00,90000,3600,89900,3600,CPE,1.2.1,ZTE,SYNTH00000014,2026-08-18 01:00:00,demo_acc0014,ONT,ONT,FTTH,access,ST0302,LOC003,LOC003,Việt Nam,,Cà Mau,Quận/Huyện 1 Cà Mau,VNM,,CMU001
UP016001,CPE0017,NE0017,2026-08-18 01:00:00,2026-08-18-01,90000,3600,89900,connected,100.64.0.16,NBH,ST0402,1.2.1,54.36,3600,2026-08-18 01:00:00,90000,3600,89900,3600,CPE,1.2.1,ZTE,SYNTH00000017,2026-08-18 01:00:00,demo_acc0017,ONT,ONT,FTTH,access,ST0402,LOC004,LOC004,Việt Nam,,Ninh Bình,Quận/Huyện 1 Ninh Bình,VNM,,NBH001
UP019001,CPE0020,NE0020,2026-08-18 01:00:00,2026-08-18-01,90000,3600,89900,connected,100.64.0.19,NBH,ST0401,1.2.1,54.27,3600,2026-08-18 01:00:00,90000,3600,89900,3600,CPE,1.2.1,ZTE,SYNTH00000020,2026-08-18 01:00:00,demo_acc0020,ONT,ONT,FTTH,access,ST0401,LOC004,LOC004,Việt Nam,,Ninh Bình,Quận/Huyện 1 Ninh Bình,VNM,,NBH001
UP022001,CPE0023,NE0023,2026-08-18 01:00:00,2026-08-18-01,90000,3600,89900,connected,100.64.0.22,HCM,ST0501,1.2.1,37.66,3600,2026-08-18 01:00:00,90000,3600,89900,3600,CPE,1.2.1,ZTE,SYNTH00000023,2026-08-18 01:00:00,demo_acc0023,ONT,ONT,FTTH,access,ST0501,LOC005,LOC005,Việt Nam,,Hồ Chí Minh,Quận/Huyện 1 Hồ Chí Minh,VNM,,HCM001
UP025001,CPE0026,NE0026,2026-08-18 01:00:00,2026-08-18-01,90000,3600,89900,connected,100.64.0.25,KHA,ST0601,1.2.1,38.41,3600,2026-08-18 01:00:00,90000,3600,89900,3600,CPE,1.2.1,ZTE,SYNTH00000026,2026-08-18 01:00:00,demo_acc0026,ONT,ONT,FTTH,access,ST0601,LOC006,LOC006,Việt Nam,,Khánh Hòa,Quận/Huyện 1 Khánh Hòa,VNM,,KHA001
UP028001,CPE0029,NE0029,2026-08-18 01:00:00,2026-08-18-01,90000,3600,89900,connected,100.64.0.28,KHA,ST0602,1.2.1,46.72,3600,2026-08-18 01:00:00,90000,3600,89900,3600,CPE,1.2.1,ZTE,SYNTH00000029,2026-08-18 01:00:00,demo_acc0029,ONT,ONT,FTTH,access,ST0602,LOC006,LOC006,Việt Nam,,Khánh Hòa,Quận/Huyện 1 Khánh Hòa,VNM,,KHA001
UP002002,CPE0003,NE0003,2026-08-18 02:00:00,2026-08-18-02,93600,3600,93500,connected,100.64.0.2,DBN,ST0101,1.2.1,36.33,3600,2026-08-18 02:00:00,93600,3600,93500,3600,CPE,1.2.1,ZTE,SYNTH00000003,2026-08-18 02:00:00,demo_acc0003,ONT,ONT,FTTH,access,ST0101,LOC001,LOC001,Việt Nam,,Điện Biên,Quận/Huyện 1 Điện Biên,VNM,,DBN001
UP005002,CPE0006,NE0006,2026-08-18 02:00:00,2026-08-18-02,93600,3600,93500,connected,100.64.0.5,SLA,ST0201,1.2.1,49.77,3600,2026-08-18 02:00:00,93600,3600,93500,3600,CPE,1.2.1,ZTE,SYNTH00000006,2026-08-18 02:00:00,demo_acc0006,ONT,ONT,FTTH,access,ST0201,LOC002,LOC002,Việt Nam,,Sơn La,Quận/Huyện 1 Sơn La,VNM,,SLA001
UP008002,CPE0009,NE0009,2026-08-18 02:00:00,2026-08-18-02,93600,3600,93500,connected,100.64.0.8,SLA,ST0202,1.2.1,47.18,3600,2026-08-18 02:00:00,93600,3600,93500,3600,CPE,1.2.1,ZTE,SYNTH00000009,2026-08-18 02:00:00,demo_acc0009,ONT,ONT,FTTH,access,ST0202,LOC002,LOC002,Việt Nam,,Sơn La,Quận/Huyện 1 Sơn La,VNM,,SLA001
UP011002,CPE0012,NE0012,2026-08-18 02:00:00,2026-08-18-02,93600,3600,93500,connected,100.64.0.11,CMU,ST0302,1.2.1,45.64,3600,2026-08-18 02:00:00,93600,3600,93500,3600,CPE,1.2.1,ZTE,SYNTH00000012,2026-08-18 02:00:00,demo_acc0012,ONT,ONT,FTTH,access,ST0302,LOC003,LOC003,Việt Nam,,Cà Mau,Quận/Huyện 1 Cà Mau,VNM,,CMU001
UP014002,CPE0015,NE0015,2026-08-18 02:00:00,2026-08-18-02,93600,3600,93500,connected,100.64.0.14,CMU,ST0301,1.2.1,37.51,3600,2026-08-18 02:00:00,93600,3600,93500,3600,CPE,1.2.1,ZTE,SYNTH00000015,2026-08-18 02:00:00,demo_acc0015,ONT,ONT,FTTH,access,ST0301,LOC003,LOC003,Việt Nam,,Cà Mau,Quận/Huyện 1 Cà Mau,VNM,,CMU001
UP017002,CPE0018,NE0018,2026-08-18 02:00:00,2026-08-18-02,93600,3600,93500,connected,100.64.0.17,NBH,ST0401,1.2.1,51.59,3600,2026-08-18 02:00:00,93600,3600,93500,3600,CPE,1.2.1,ZTE,SYNTH00000018,2026-08-18 02:00:00,demo_acc0018,ONT,ONT,FTTH,access,ST0401,LOC004,LOC004,Việt Nam,,Ninh Bình,Quận/Huyện 1 Ninh Bình,VNM,,NBH001
UP020002,CPE0021,NE0021,2026-08-18 02:00:00,2026-08-18-02,93600,3600,93500,connected,100.64.0.20,HCM,ST0501,1.2.1,50.76,3600,2026-08-18 02:00:00,93600,3600,93500,3600,CPE,1.2.1,ZTE,SYNTH00000021,2026-08-18 02:00:00,demo_acc0021,ONT,ONT,FTTH,access,ST0501,LOC005,LOC005,Việt Nam,,Hồ Chí Minh,Quận/Huyện 1 Hồ Chí Minh,VNM,,HCM001
UP023002,CPE0024,NE0024,2026-08-18 02:00:00,2026-08-18-02,93600,3600,93500,connected,100.64.0.23,HCM,ST0502,1.2.1,37.33,3600,2026-08-18 02:00:00,93600,3600,93500,3600,CPE,1.2.1,ZTE,SYNTH00000024,2026-08-18 02:00:00,demo_acc0024,ONT,ONT,FTTH,access,ST0502,LOC005,LOC005,Việt Nam,,Hồ Chí Minh,Quận/Huyện 1 Hồ Chí Minh,VNM,,HCM001
UP026002,CPE0027,NE0027,2026-08-18 02:00:00,2026-08-18-02,93600,3600,93500,connected,100.64.0.26,KHA,ST0602,1.2.1,40.43,3600,2026-08-18 02:00:00,93600,3600,93500,3600,CPE,1.2.1,ZTE,SYNTH00000027,2026-08-18 02:00:00,demo_acc0027,ONT,ONT,FTTH,access,ST0602,LOC006,LOC006,Việt Nam,,Khánh Hòa,Quận/Huyện 1 Khánh Hòa,VNM,,KHA001
UP029002,CPE0030,NE0030,2026-08-18 02:00:00,2026-08-18-02,93600,3600,93500,connected,100.64.0.29,KHA,ST0601,1.2.1,48.25,3600,2026-08-18 02:00:00,93600,3600,93500,3600,CPE,1.2.1,ZTE,SYNTH00000030,2026-08-18 02:00:00,demo_acc0030,ONT,ONT,FTTH,access,ST0601,LOC006,LOC006,Việt Nam,,Khánh Hòa,Quận/Huyện 1 Khánh Hòa,VNM,,KHA001
UP000003,CPE0001,NE0001,2026-08-18 03:00:00,2026-08-18-03,97200,10800,97100,connected,100.64.0.0,DBN,ST0101,1.2.1,45.18,10800,2026-08-18 03:00:00,97200,10800,97100,10800,CPE,1.2.1,ZTE,SYNTH00000001,2026-08-18 03:00:00,demo_acc0001,ONT,ONT,FTTH,access,ST0101,LOC001,LOC001,Việt Nam,,Điện Biên,Quận/Huyện 1 Điện Biên,VNM,,DBN001
UP003003,CPE0004,NE0004,2026-08-18 03:00:00,2026-08-18-03,97200,10800,97100,connected,100.64.0.3,DBN,ST0102,1.2.1,40.82,10800,2026-08-18 03:00:00,97200,10800,97100,10800,CPE,1.2.1,ZTE,SYNTH00000004,2026-08-18 03:00:00,demo_acc0004,ONT,ONT,FTTH,access,ST0102,LOC001,LOC001,Việt Nam,,Điện Biên,Quận/Huyện 1 Điện Biên,VNM,,DBN001
UP006003,CPE0007,NE0007,2026-08-18 03:00:00,2026-08-18-03,97200,10800,97100,connected,100.64.0.6,SLA,ST0202,1.2.1,37.16,10800,2026-08-18 03:00:00,97200,10800,97100,10800,CPE,1.2.1,ZTE,SYNTH00000007,2026-08-18 03:00:00,demo_acc0007,ONT,ONT,FTTH,access,ST0202,LOC002,LOC002,Việt Nam,,Sơn La,Quận/Huyện 1 Sơn La,VNM,,SLA001
UP009003,CPE0010,NE0010,2026-08-18 03:00:00,2026-08-18-03,97200,10800,97100,connected,100.64.0.9,SLA,ST0201,1.2.1,46.36,10800,2026-08-18 03:00:00,97200,10800,97100,10800,CPE,1.2.1,ZTE,SYNTH00000010,2026-08-18 03:00:00,demo_acc0010,ONT,ONT,FTTH,access,ST0201,LOC002,LOC002,Việt Nam,,Sơn La,Quận/Huyện 1 Sơn La,VNM,,SLA001
UP012003,CPE0013,NE0013,2026-08-18 03:00:00,2026-08-18-03,97200,10800,97100,connected,100.64.0.12,CMU,ST0301,1.2.1,45.42,10800,2026-08-18 03:00:00,97200,10800,97100,10800,CPE,1.2.1,ZTE,SYNTH00000013,2026-08-18 03:00:00,demo_acc0013,ONT,ONT,FTTH,access,ST0301,LOC003,LOC003,Việt Nam,,Cà Mau,Quận/Huyện 1 Cà Mau,VNM,,CMU001
UP015003,CPE0016,NE0016,2026-08-18 03:00:00,2026-08-18-03,97200,10800,97100,connected,100.64.0.15,NBH,ST0401,1.2.1,36.47,10800,2026-08-18 03:00:00,97200,10800,97100,10800,CPE,1.2.1,ZTE,SYNTH00000016,2026-08-18 03:00:00,demo_acc0016,ONT,ONT,FTTH,access,ST0401,LOC004,LOC004,Việt Nam,,Ninh Bình,Quận/Huyện 1 Ninh Bình,VNM,,NBH001
UP018003,CPE0019,NE0019,2026-08-18 03:00:00,2026-08-18-03,97200,10800,97100,connected,100.64.0.18,NBH,ST0402,1.2.1,40.62,10800,2026-08-18 03:00:00,97200,10800,97100,10800,CPE,1.2.1,ZTE,SYNTH00000019,2026-08-18 03:00:00,demo_acc0019,ONT,ONT,FTTH,access,ST0402,LOC004,LOC004,Việt Nam,,Ninh Bình,Quận/Huyện 1 Ninh Bình,VNM,,NBH001
UP021003,CPE0022,NE0022,2026-08-18 03:00:00,2026-08-18-03,97200,10800,97100,connected,100.64.0.21,HCM,ST0502,1.2.1,40.77,10800,2026-08-18 03:00:00,97200,10800,97100,10800,CPE,1.2.1,ZTE,SYNTH00000022,2026-08-18 03:00:00,demo_acc0022,ONT,ONT,FTTH,access,ST0502,LOC005,LOC005,Việt Nam,,Hồ Chí Minh,Quận/Huyện 1 Hồ Chí Minh,VNM,,HCM001
UP024003,CPE0025,NE0025,2026-08-18 03:00:00,2026-08-18-03,97200,10800,97100,connected,100.64.0.24,HCM,ST0501,1.2.1,47.03,10800,2026-08-18 03:00:00,97200,10800,97100,10800,CPE,1.2.1,ZTE,SYNTH00000025,2026-08-18 03:00:00,demo_acc0025,ONT,ONT,FTTH,access,ST0501,LOC005,LOC005,Việt Nam,,Hồ Chí Minh,Quận/Huyện 1 Hồ Chí Minh,VNM,,HCM001
UP027003,CPE0028,NE0028,2026-08-18 03:00:00,2026-08-18-03,97200,10800,97100,connected,100.64.0.27,KHA,ST0601,1.2.1,36.84,10800,2026-08-18 03:00:00,97200,10800,97100,10800,CPE,1.2.1,ZTE,SYNTH00000028,2026-08-18 03:00:00,demo_acc0028,ONT,ONT,FTTH,access,ST0601,LOC006,LOC006,Việt Nam,,Khánh Hòa,Quận/Huyện 1 Khánh Hòa,VNM,,KHA001
UP001004,CPE0002,NE0002,2026-08-18 04:00:00,2026-08-18-04,100800,10800,100700,connected,100.64.0.1,DBN,ST0102,1.2.1,35.17,10800,2026-08-18 04:00:00,100800,10800,100700,10800,CPE,1.2.1,ZTE,SYNTH00000002,2026-08-18 04:00:00,demo_acc0002,ONT,ONT,FTTH,access,ST0102,LOC001,LOC001,Việt Nam,,Điện Biên,Quận/Huyện 1 Điện Biên,VNM,,DBN001
UP004004,CPE0005,NE0005,2026-08-18 04:00:00,2026-08-18-04,100800,10800,100700,connected,100.64.0.4,DBN,ST0101,1.2.1,46.43,10800,2026-08-18 04:00:00,100800,10800,100700,10800,CPE,1.2.1,ZTE,SYNTH00000005,2026-08-18 04:00:00,demo_acc0005,ONT,ONT,FTTH,access,ST0101,LOC001,LOC001,Việt Nam,,Điện Biên,Quận/Huyện 1 Điện Biên,VNM,,DBN001
UP007004,CPE0008,NE0008,2026-08-18 04:00:00,2026-08-18-04,100800,10800,100700,connected,100.64.0.7,SLA,ST0201,1.2.1,48.89,10800,2026-08-18 04:00:00,100800,10800,100700,10800,CPE,1.2.1,ZTE,SYNTH00000008,2026-08-18 04:00:00,demo_acc0008,ONT,ONT,FTTH,access,ST0201,LOC002,LOC002,Việt Nam,,Sơn La,Quận/Huyện 1 Sơn La,VNM,,SLA001
UP010004,CPE0011,NE0011,2026-08-18 04:00:00,2026-08-18-04,100800,10800,100700,connected,100.64.0.10,CMU,ST0301,1.2.1,44.27,10800,2026-08-18 04:00:00,100800,10800,100700,10800,CPE,1.2.1,ZTE,SYNTH00000011,2026-08-18 04:00:00,demo_acc0011,ONT,ONT,FTTH,access,ST0301,LOC003,LOC003,Việt Nam,,Cà Mau,Quận/Huyện 1 Cà Mau,VNM,,CMU001
UP013004,CPE0014,NE0014,2026-08-18 04:00:00,2026-08-18-04,100800,10800,100700,connected,100.64.0.13,CMU,ST0302,1.2.1,46.74,10800,2026-08-18 04:00:00,100800,10800,100700,10800,CPE,1.2.1,ZTE,SYNTH00000014,2026-08-18 04:00:00,demo_acc0014,ONT,ONT,FTTH,access,ST0302,LOC003,LOC003,Việt Nam,,Cà Mau,Quận/Huyện 1 Cà Mau,VNM,,CMU001
UP016004,CPE0017,NE0017,2026-08-18 04:00:00,2026-08-18-04,100800,10800,100700,connected,100.64.0.16,NBH,ST0402,1.2.1,47.93,10800,2026-08-18 04:00:00,100800,10800,100700,10800,CPE,1.2.1,ZTE,SYNTH00000017,2026-08-18 04:00:00,demo_acc0017,ONT,ONT,FTTH,access,ST0402,LOC004,LOC004,Việt Nam,,Ninh Bình,Quận/Huyện 1 Ninh Bình,VNM,,NBH001
UP019004,CPE0020,NE0020,2026-08-18 04:00:00,2026-08-18-04,100800,10800,100700,connected,100.64.0.19,NBH,ST0401,1.2.1,42.18,10800,2026-08-18 04:00:00,100800,10800,100700,10800,CPE,1.2.1,ZTE,SYNTH00000020,2026-08-18 04:00:00,demo_acc0020,ONT,ONT,FTTH,access,ST0401,LOC004,LOC004,Việt Nam,,Ninh Bình,Quận/Huyện 1 Ninh Bình,VNM,,NBH001
UP022004,CPE0023,NE0023,2026-08-18 04:00:00,2026-08-18-04,100800,10800,100700,connected,100.64.0.22,HCM,ST0501,1.2.1,42.53,10800,2026-08-18 04:00:00,100800,10800,100700,10800,CPE,1.2.1,ZTE,SYNTH00000023,2026-08-18 04:00:00,demo_acc0023,ONT,ONT,FTTH,access,ST0501,LOC005,LOC005,Việt Nam,,Hồ Chí Minh,Quận/Huyện 1 Hồ Chí Minh,VNM,,HCM001
UP025004,CPE0026,NE0026,2026-08-18 04:00:00,2026-08-18-04,100800,10800,100700,connected,100.64.0.25,KHA,ST0601,1.2.1,41.08,10800,2026-08-18 04:00:00,100800,10800,100700,10800,CPE,1.2.1,ZTE,SYNTH00000026,2026-08-18 04:00:00,demo_acc0026,ONT,ONT,FTTH,access,ST0601,LOC006,LOC006,Việt Nam,,Khánh Hòa,Quận/Huyện 1 Khánh Hòa,VNM,,KHA001
UP028004,CPE0029,NE0029,2026-08-18 04:00:00,2026-08-18-04,100800,10800,100700,connected,100.64.0.28,KHA,ST0602,1.2.1,38.39,10800,2026-08-18 04:00:00,100800,10800,100700,10800,CPE,1.2.1,ZTE,SYNTH00000029,2026-08-18 04:00:00,demo_acc0029,ONT,ONT,FTTH,access,ST0602,LOC006,LOC006,Việt Nam,,Khánh Hòa,Quận/Huyện 1 Khánh Hòa,VNM,,KHA001
UP002005,CPE0003,NE0003,2026-08-18 05:00:00,2026-08-18-05,104400,10800,104300,connected,100.64.0.2,DBN,ST0101,1.2.1,39.75,10800,2026-08-18 05:00:00,104400,10800,104300,10800,CPE,1.2.1,ZTE,SYNTH00000003,2026-08-18 05:00:00,demo_acc0003,ONT,ONT,FTTH,access,ST0101,LOC001,LOC001,Việt Nam,,Điện Biên,Quận/Huyện 1 Điện Biên,VNM,,DBN001
UP005005,CPE0006,NE0006,2026-08-18 05:00:00,2026-08-18-05,104400,10800,104300,connected,100.64.0.5,SLA,ST0201,1.2.1,48.62,10800,2026-08-18 05:00:00,104400,10800,104300,10800,CPE,1.2.1,ZTE,SYNTH00000006,2026-08-18 05:00:00,demo_acc0006,ONT,ONT,FTTH,access,ST0201,LOC002,LOC002,Việt Nam,,Sơn La,Quận/Huyện 1 Sơn La,VNM,,SLA001
UP008005,CPE0009,NE0009,2026-08-18 05:00:00,2026-08-18-05,104400,10800,104300,connected,100.64.0.8,SLA,ST0202,1.2.1,54.89,10800,2026-08-18 05:00:00,104400,10800,104300,10800,CPE,1.2.1,ZTE,SYNTH00000009,2026-08-18 05:00:00,demo_acc0009,ONT,ONT,FTTH,access,ST0202,LOC002,LOC002,Việt Nam,,Sơn La,Quận/Huyện 1 Sơn La,VNM,,SLA001
UP011005,CPE0012,NE0012,2026-08-18 05:00:00,2026-08-18-05,104400,10800,104300,connected,100.64.0.11,CMU,ST0302,1.2.1,37.61,10800,2026-08-18 05:00:00,104400,10800,104300,10800,CPE,1.2.1,ZTE,SYNTH00000012,2026-08-18 05:00:00,demo_acc0012,ONT,ONT,FTTH,access,ST0302,LOC003,LOC003,Việt Nam,,Cà Mau,Quận/Huyện 1 Cà Mau,VNM,,CMU001
UP014005,CPE0015,NE0015,2026-08-18 05:00:00,2026-08-18-05,104400,10800,104300,connected,100.64.0.14,CMU,ST0301,1.2.1,50.6,10800,2026-08-18 05:00:00,104400,10800,104300,10800,CPE,1.2.1,ZTE,SYNTH00000015,2026-08-18 05:00:00,demo_acc0015,ONT,ONT,FTTH,access,ST0301,LOC003,LOC003,Việt Nam,,Cà Mau,Quận/Huyện 1 Cà Mau,VNM,,CMU001
UP017005,CPE0018,NE0018,2026-08-18 05:00:00,2026-08-18-05,104400,10800,104300,connected,100.64.0.17,NBH,ST0401,1.2.1,54.84,10800,2026-08-18 05:00:00,104400,10800,104300,10800,CPE,1.2.1,ZTE,SYNTH00000018,2026-08-18 05:00:00,demo_acc0018,ONT,ONT,FTTH,access,ST0401,LOC004,LOC004,Việt Nam,,Ninh Bình,Quận/Huyện 1 Ninh Bình,VNM,,NBH001
UP020005,CPE0021,NE0021,2026-08-18 05:00:00,2026-08-18-05,104400,10800,104300,connected,100.64.0.20,HCM,ST0501,1.2.1,54.22,10800,2026-08-18 05:00:00,104400,10800,104300,10800,CPE,1.2.1,ZTE,SYNTH00000021,2026-08-18 05:00:00,demo_acc0021,ONT,ONT,FTTH,access,ST0501,LOC005,LOC005,Việt Nam,,Hồ Chí Minh,Quận/Huyện 1 Hồ Chí Minh,VNM,,HCM001
UP023005,CPE0024,NE0024,2026-08-18 05:00:00,2026-08-18-05,104400,10800,104300,connected,100.64.0.23,HCM,ST0502,1.2.1,50.17,10800,2026-08-18 05:00:00,104400,10800,104300,10800,CPE,1.2.1,ZTE,SYNTH00000024,2026-08-18 05:00:00,demo_acc0024,ONT,ONT,FTTH,access,ST0502,LOC005,LOC005,Việt Nam,,Hồ Chí Minh,Quận/Huyện 1 Hồ Chí Minh,VNM,,HCM001
UP026005,CPE0027,NE0027,2026-08-18 05:00:00,2026-08-18-05,104400,10800,104300,connected,100.64.0.26,KHA,ST0602,1.2.1,40.92,10800,2026-08-18 05:00:00,104400,10800,104300,10800,CPE,1.2.1,ZTE,SYNTH00000027,2026-08-18 05:00:00,demo_acc0027,ONT,ONT,FTTH,access,ST0602,LOC006,LOC006,Việt Nam,,Khánh Hòa,Quận/Huyện 1 Khánh Hòa,VNM,,KHA001
UP029005,CPE0030,NE0030,2026-08-18 05:00:00,2026-08-18-05,104400,10800,104300,connected,100.64.0.29,KHA,ST0601,1.2.1,51.65,10800,2026-08-18 05:00:00,104400,10800,104300,10800,CPE,1.2.1,ZTE,SYNTH00000030,2026-08-18 05:00:00,demo_acc0030,ONT,ONT,FTTH,access,ST0601,LOC006,LOC006,Việt Nam,,Khánh Hòa,Quận/Huyện 1 Khánh Hòa,VNM,,KHA001
