cpe_config_history_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-CPE_CONFIG_HISTORY-03-63,CPE0019,NBH,KV1,active,2026-08-20 15:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,40.46,313200,0,-55.47
ACS-CPE_CONFIG_HISTORY-04-00,CPE0025,HCM,KV3,active,2026-08-18 00:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,38.7,86400,2,-60.9
ACS-CPE_CONFIG_HISTORY-04-09,CPE0025,HCM,KV3,active,2026-08-18 09:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,39.06,118800,2,-60.78
ACS-CPE_CONFIG_HISTORY-04-18,CPE0025,HCM,KV3,active,2026-08-18 18:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,40.89,151200,1,-47.84
ACS-CPE_CONFIG_HISTORY-04-27,CPE0025,HCM,KV3,active,2026-08-19 03:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,50.86,183600,1,-56.09
ACS-CPE_CONFIG_HISTORY-04-36,CPE0025,HCM,KV3,active,2026-08-19 12:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,43.7,216000,2,-63.16
ACS-CPE_CONFIG_HISTORY-04-45,CPE0025,HCM,KV3,active,2026-08-19 21:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,40.44,248400,5,-65.59
ACS-CPE_CONFIG_HISTORY-04-54,CPE0025,HCM,KV3,active,2026-08-20 06:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,47.93,280800,1,-45.93
ACS-CPE_CONFIG_HISTORY-04-63,CPE0025,HCM,KV3,active,2026-08-20 15:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,50.2,313200,4,-70.95
ACS-CPE_CONFIG_HISTORY-05-00,CPE0026,KHA,KV2,active,2026-08-18 00:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,52.21,86400,3,-63.03
ACS-CPE_CONFIG_HISTORY-05-09,CPE0026,KHA,KV2,active,2026-08-18 09:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,50.47,118800,3,-74.2
ACS-CPE_CONFIG_HISTORY-05-18,CPE0026,KHA,KV2,active,2026-08-18 18:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,38.48,151200,0,-47.27
ACS-CPE_CONFIG_HISTORY-05-27,CPE0026,KHA,KV2,active,2026-08-19 03:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,40.1,183600,0,-74.43
ACS-CPE_CONFIG_HISTORY-05-36,CPE0026,KHA,KV2,active,2026-08-19 12:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,54.05,216000,1,-62.55
ACS-CPE_CONFIG_HISTORY-05-45,CPE0026,KHA,KV2,active,2026-08-19 21:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,41.84,248400,4,-72.51
ACS-CPE_CONFIG_HISTORY-05-54,CPE0026,KHA,KV2,active,2026-08-20 06:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,47.33,280800,2,-64.86
ACS-CPE_CONFIG_HISTORY-05-63,CPE0026,KHA,KV2,active,2026-08-20 15:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,51.48,313200,4,-55.63
