configuration_change_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-CONFIGURATION_CHANGE-03-36,CPE0019,NBH,KV1,active,2026-08-19 12:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,45.21,216000,0,-53.25
ACS-CONFIGURATION_CHANGE-03-45,CPE0019,NBH,KV1,active,2026-08-19 21:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,52.95,248400,5,-50.75
ACS-CONFIGURATION_CHANGE-03-54,CPE0019,NBH,KV1,active,2026-08-20 06:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,42.19,280800,1,-65.45
ACS-CONFIGURATION_CHANGE-03-63,CPE0019,NBH,KV1,active,2026-08-20 15:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,48.5,313200,4,-47.58
ACS-CONFIGURATION_CHANGE-04-00,CPE0025,HCM,KV3,active,2026-08-18 00:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,38.19,86400,4,-73.27
ACS-CONFIGURATION_CHANGE-04-09,CPE0025,HCM,KV3,active,2026-08-18 09:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,35.79,118800,1,-57.19
ACS-CONFIGURATION_CHANGE-04-18,CPE0025,HCM,KV3,active,2026-08-18 18:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,50.61,151200,2,-69.63
ACS-CONFIGURATION_CHANGE-04-27,CPE0025,HCM,KV3,active,2026-08-19 03:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,53.72,183600,1,-63.05
ACS-CONFIGURATION_CHANGE-04-36,CPE0025,HCM,KV3,active,2026-08-19 12:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,45.31,216000,0,-69.44
ACS-CONFIGURATION_CHANGE-04-45,CPE0025,HCM,KV3,active,2026-08-19 21:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,46.41,248400,0,-64.88
ACS-CONFIGURATION_CHANGE-04-54,CPE0025,HCM,KV3,active,2026-08-20 06:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,46.83,280800,0,-59.85
ACS-CONFIGURATION_CHANGE-04-63,CPE0025,HCM,KV3,active,2026-08-20 15:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,38.7,313200,0,-54.98
ACS-CONFIGURATION_CHANGE-05-00,CPE0026,KHA,KV2,active,2026-08-18 00:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,42.33,86400,3,-49.66
ACS-CONFIGURATION_CHANGE-05-09,CPE0026,KHA,KV2,active,2026-08-18 09:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,36.77,118800,4,-58.26
ACS-CONFIGURATION_CHANGE-05-18,CPE0026,KHA,KV2,active,2026-08-18 18:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,54.02,151200,3,-68.66
ACS-CONFIGURATION_CHANGE-05-27,CPE0026,KHA,KV2,active,2026-08-19 03:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,37.4,183600,5,-54.39
ACS-CONFIGURATION_CHANGE-05-36,CPE0026,KHA,KV2,active,2026-08-19 12:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,38.03,216000,0,-63.99
ACS-CONFIGURATION_CHANGE-05-45,CPE0026,KHA,KV2,active,2026-08-19 21:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,50.97,248400,4,-74.63
ACS-CONFIGURATION_CHANGE-05-54,CPE0026,KHA,KV2,active,2026-08-20 06:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,43.49,280800,4,-57.51
ACS-CONFIGURATION_CHANGE-05-63,CPE0026,KHA,KV2,active,2026-08-20 15:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,46.0,313200,0,-47.0
