firmware_rollout_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-FIRMWARE_ROLLOUT-03-09,CPE0019,NBH,KV1,active,2026-08-18 09:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,38.35,118800,3,-63.87
ACS-FIRMWARE_ROLLOUT-03-18,CPE0019,NBH,KV1,active,2026-08-18 18:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,43.03,151200,3,-47.29
ACS-FIRMWARE_ROLLOUT-03-27,CPE0019,NBH,KV1,active,2026-08-19 03:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,54.84,183600,5,-48.82
ACS-FIRMWARE_ROLLOUT-03-36,CPE0019,NBH,KV1,active,2026-08-19 12:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,40.32,216000,0,-59.53
ACS-FIRMWARE_ROLLOUT-03-45,CPE0019,NBH,KV1,active,2026-08-19 21:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,45.41,248400,5,-59.29
ACS-FIRMWARE_ROLLOUT-03-54,CPE0019,NBH,KV1,active,2026-08-20 06:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,38.47,280800,4,-47.74
ACS-FIRMWARE_ROLLOUT-03-63,CPE0019,NBH,KV1,active,2026-08-20 15:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,39.77,313200,4,-69.88
ACS-FIRMWARE_ROLLOUT-04-00,CPE0025,HCM,KV3,active,2026-08-18 00:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,37.69,86400,2,-50.7
ACS-FIRMWARE_ROLLOUT-04-09,CPE0025,HCM,KV3,active,2026-08-18 09:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,46.76,118800,5,-69.09
ACS-FIRMWARE_ROLLOUT-04-18,CPE0025,HCM,KV3,active,2026-08-18 18:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,54.81,151200,3,-50.33
ACS-FIRMWARE_ROLLOUT-04-27,CPE0025,HCM,KV3,active,2026-08-19 03:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,49.54,183600,3,-73.97
ACS-FIRMWARE_ROLLOUT-04-36,CPE0025,HCM,KV3,active,2026-08-19 12:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,51.41,216000,3,-53.78
ACS-FIRMWARE_ROLLOUT-04-45,CPE0025,HCM,KV3,active,2026-08-19 21:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,43.4,248400,2,-60.54
ACS-FIRMWARE_ROLLOUT-04-54,CPE0025,HCM,KV3,active,2026-08-20 06:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,42.11,280800,5,-45.08
ACS-FIRMWARE_ROLLOUT-04-63,CPE0025,HCM,KV3,active,2026-08-20 15:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,43.14,313200,4,-56.9
ACS-FIRMWARE_ROLLOUT-05-00,CPE0026,KHA,KV2,active,2026-08-18 00:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,36.83,86400,3,-57.43
ACS-FIRMWARE_ROLLOUT-05-09,CPE0026,KHA,KV2,active,2026-08-18 09:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,47.29,118800,5,-46.84
ACS-FIRMWARE_ROLLOUT-05-18,CPE0026,KHA,KV2,active,2026-08-18 18:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,42.59,151200,4,-73.29
ACS-FIRMWARE_ROLLOUT-05-27,CPE0026,KHA,KV2,active,2026-08-19 03:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,40.0,183600,0,-71.53
ACS-FIRMWARE_ROLLOUT-05-36,CPE0026,KHA,KV2,active,2026-08-19 12:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,46.07,216000,5,-57.39
ACS-FIRMWARE_ROLLOUT-05-45,CPE0026,KHA,KV2,active,2026-08-19 21:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,52.78,248400,2,-58.67
ACS-FIRMWARE_ROLLOUT-05-54,CPE0026,KHA,KV2,active,2026-08-20 06:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,42.18,280800,2,-61.43
ACS-FIRMWARE_ROLLOUT-05-63,CPE0026,KHA,KV2,active,2026-08-20 15:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,46.89,313200,1,-63.17
