optical_rx_hourly_id,device_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-OPTICAL_RX_HOURLY-00-19,CPE0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,60.83,index,valid,synthetic_acs,38.45,154800,5,-54.2
ACS-OPTICAL_RX_HOURLY-00-20,CPE0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,46.54,index,valid,synthetic_acs,36.14,158400,0,-51.28
ACS-OPTICAL_RX_HOURLY-00-21,CPE0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,21.71,index,valid,synthetic_acs,54.9,162000,0,-74.97
ACS-OPTICAL_RX_HOURLY-00-22,CPE0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,46.92,index,valid,synthetic_acs,42.62,165600,4,-65.78
ACS-OPTICAL_RX_HOURLY-00-23,CPE0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,67.66,index,valid,synthetic_acs,37.48,169200,2,-69.38
ACS-OPTICAL_RX_HOURLY-00-24,CPE0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,78.47,index,valid,synthetic_acs,35.98,172800,2,-70.4
ACS-OPTICAL_RX_HOURLY-00-25,CPE0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,82.64,index,valid,synthetic_acs,39.29,176400,4,-46.05
ACS-OPTICAL_RX_HOURLY-00-26,CPE0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,38.04,index,valid,synthetic_acs,51.98,180000,3,-56.74
ACS-OPTICAL_RX_HOURLY-00-27,CPE0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,22.32,index,degraded,synthetic_acs,48.46,183600,2,-71.87
ACS-OPTICAL_RX_HOURLY-00-28,CPE0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,45.97,index,valid,synthetic_acs,43.69,187200,4,-53.73
ACS-OPTICAL_RX_HOURLY-00-29,CPE0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,74.83,index,valid,synthetic_acs,48.3,190800,5,-46.25
ACS-OPTICAL_RX_HOURLY-00-30,CPE0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,26.47,index,valid,synthetic_acs,51.86,194400,0,-65.31
ACS-OPTICAL_RX_HOURLY-00-31,CPE0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,48.6,index,valid,synthetic_acs,51.6,198000,3,-66.17
ACS-OPTICAL_RX_HOURLY-00-32,CPE0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,29.84,index,valid,synthetic_acs,35.6,201600,2,-53.23
ACS-OPTICAL_RX_HOURLY-00-33,CPE0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,46.07,index,valid,synthetic_acs,43.09,205200,3,-61.96
ACS-OPTICAL_RX_HOURLY-00-34,CPE0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,56.71,index,valid,synthetic_acs,52.38,208800,1,-70.49
ACS-OPTICAL_RX_HOURLY-00-35,CPE0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,39.72,index,valid,synthetic_acs,40.24,212400,3,-47.71
ACS-OPTICAL_RX_HOURLY-00-36,CPE0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,84.25,index,valid,synthetic_acs,38.26,216000,2,-49.71
ACS-OPTICAL_RX_HOURLY-00-37,CPE0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,37.46,index,valid,synthetic_acs,53.27,219600,4,-64.11
ACS-OPTICAL_RX_HOURLY-00-38,CPE0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,15.21,index,valid,synthetic_acs,49.1,223200,0,-46.8
ACS-OPTICAL_RX_HOURLY-00-39,CPE0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,70.16,index,valid,synthetic_acs,37.3,226800,2,-55.35
ACS-OPTICAL_RX_HOURLY-00-40,CPE0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,27.1,index,valid,synthetic_acs,51.74,230400,3,-56.83
ACS-OPTICAL_RX_HOURLY-00-41,CPE0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,56.2,index,valid,synthetic_acs,45.3,234000,0,-66.43
ACS-OPTICAL_RX_HOURLY-00-42,CPE0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,18.3,index,valid,synthetic_acs,47.66,237600,1,-71.82
ACS-OPTICAL_RX_HOURLY-00-43,CPE0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,46.92,index,valid,synthetic_acs,51.86,241200,1,-71.41
ACS-OPTICAL_RX_HOURLY-00-44,CPE0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,48.0,index,valid,synthetic_acs,45.77,244800,4,-60.79
ACS-OPTICAL_RX_HOURLY-00-45,CPE0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,24.62,index,valid,synthetic_acs,49.08,248400,0,-70.74
ACS-OPTICAL_RX_HOURLY-00-46,CPE0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,67.77,index,valid,synthetic_acs,51.63,252000,1,-50.3
ACS-OPTICAL_RX_HOURLY-00-47,CPE0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,77.99,index,valid,synthetic_acs,41.28,255600,4,-52.1
ACS-OPTICAL_RX_HOURLY-00-48,CPE0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,58.94,index,valid,synthetic_acs,38.83,259200,2,-67.93
ACS-OPTICAL_RX_HOURLY-00-49,CPE0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,32.2,index,valid,synthetic_acs,54.34,262800,4,-52.29
ACS-OPTICAL_RX_HOURLY-00-50,CPE0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,21.05,index,valid,synthetic_acs,41.31,266400,2,-65.86
ACS-OPTICAL_RX_HOURLY-00-51,CPE0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,52.52,index,valid,synthetic_acs,47.93,270000,5,-74.48
ACS-OPTICAL_RX_HOURLY-00-52,CPE0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,55.31,index,valid,synthetic_acs,54.8,273600,5,-58.36
ACS-OPTICAL_RX_HOURLY-00-53,CPE0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,73.91,index,valid,synthetic_acs,35.79,277200,3,-52.54
ACS-OPTICAL_RX_HOURLY-00-54,CPE0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,72.45,index,valid,synthetic_acs,35.87,280800,5,-49.28
ACS-OPTICAL_RX_HOURLY-00-55,CPE0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,30.37,index,valid,synthetic_acs,37.35,284400,4,-55.59
ACS-OPTICAL_RX_HOURLY-00-56,CPE0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,16.71,index,valid,synthetic_acs,39.6,288000,2,-51.51
ACS-OPTICAL_RX_HOURLY-00-57,CPE0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,41.26,index,valid,synthetic_acs,49.68,291600,3,-50.37
ACS-OPTICAL_RX_HOURLY-00-58,CPE0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,19.93,index,valid,synthetic_acs,41.99,295200,5,-53.97
ACS-OPTICAL_RX_HOURLY-00-59,CPE0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,32.71,index,valid,synthetic_acs,53.9,298800,3,-63.02
ACS-OPTICAL_RX_HOURLY-00-60,CPE0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,49.45,index,valid,synthetic_acs,47.37,302400,5,-60.43
ACS-OPTICAL_RX_HOURLY-00-61,CPE0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,58.9,index,valid,synthetic_acs,52.44,306000,5,-59.92
ACS-OPTICAL_RX_HOURLY-00-62,CPE0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,26.39,index,valid,synthetic_acs,47.87,309600,2,-49.09
ACS-OPTICAL_RX_HOURLY-00-63,CPE0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,37.71,index,valid,synthetic_acs,45.09,313200,1,-67.79
ACS-OPTICAL_RX_HOURLY-00-64,CPE0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,73.38,index,valid,synthetic_acs,48.6,316800,3,-65.5
ACS-OPTICAL_RX_HOURLY-00-65,CPE0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,70.02,index,valid,synthetic_acs,39.39,320400,2,-56.51
ACS-OPTICAL_RX_HOURLY-00-66,CPE0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,78.85,index,valid,synthetic_acs,38.16,324000,5,-66.01
ACS-OPTICAL_RX_HOURLY-00-67,CPE0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,17.4,index,valid,synthetic_acs,35.48,327600,0,-72.06
ACS-OPTICAL_RX_HOURLY-00-68,CPE0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,27.03,index,valid,synthetic_acs,53.47,331200,3,-62.0
ACS-OPTICAL_RX_HOURLY-00-69,CPE0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,52.84,index,valid,synthetic_acs,41.86,334800,1,-60.14
ACS-OPTICAL_RX_HOURLY-00-70,CPE0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,35.59,index,valid,synthetic_acs,39.93,338400,4,-62.24
ACS-OPTICAL_RX_HOURLY-00-71,CPE0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,78.17,index,valid,synthetic_acs,41.19,342000,5,-60.46
ACS-OPTICAL_RX_HOURLY-01-00,CPE0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,26.75,index,valid,synthetic_acs,51.69,86400,1,-73.97
ACS-OPTICAL_RX_HOURLY-01-01,CPE0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,68.79,index,valid,synthetic_acs,35.44,90000,4,-65.37
ACS-OPTICAL_RX_HOURLY-01-02,CPE0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,51.31,index,valid,synthetic_acs,36.38,93600,1,-72.53
ACS-OPTICAL_RX_HOURLY-01-03,CPE0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,34.17,index,valid,synthetic_acs,50.91,97200,0,-67.96
ACS-OPTICAL_RX_HOURLY-01-04,CPE0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,84.07,index,valid,synthetic_acs,41.67,100800,0,-57.22
ACS-OPTICAL_RX_HOURLY-01-05,CPE0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,72.86,index,valid,synthetic_acs,37.4,104400,3,-55.68
ACS-OPTICAL_RX_HOURLY-01-06,CPE0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,41.32,index,valid,synthetic_acs,35.4,108000,0,-60.31
ACS-OPTICAL_RX_HOURLY-01-07,CPE0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,43.58,index,valid,synthetic_acs,35.55,111600,5,-62.92
ACS-OPTICAL_RX_HOURLY-01-08,CPE0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,69.2,index,valid,synthetic_acs,46.84,115200,5,-62.14
ACS-OPTICAL_RX_HOURLY-01-09,CPE0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,27.27,index,valid,synthetic_acs,36.99,118800,2,-67.2
ACS-OPTICAL_RX_HOURLY-01-10,CPE0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,79.11,index,valid,synthetic_acs,48.36,122400,2,-59.6
ACS-OPTICAL_RX_HOURLY-01-11,CPE0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,39.29,index,valid,synthetic_acs,47.66,126000,0,-47.65
ACS-OPTICAL_RX_HOURLY-01-12,CPE0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,78.43,index,valid,synthetic_acs,41.55,129600,2,-71.57
ACS-OPTICAL_RX_HOURLY-01-13,CPE0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,60.63,index,valid,synthetic_acs,40.9,133200,4,-69.78
ACS-OPTICAL_RX_HOURLY-01-14,CPE0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,39.72,index,valid,synthetic_acs,54.48,136800,5,-70.75
ACS-OPTICAL_RX_HOURLY-01-15,CPE0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,42.66,index,valid,synthetic_acs,43.19,140400,0,-68.69
ACS-OPTICAL_RX_HOURLY-01-16,CPE0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,68.91,index,valid,synthetic_acs,45.21,144000,2,-53.59
ACS-OPTICAL_RX_HOURLY-01-17,CPE0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,63.39,index,valid,synthetic_acs,37.65,147600,2,-72.12
ACS-OPTICAL_RX_HOURLY-01-18,CPE0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,24.67,index,valid,synthetic_acs,40.97,151200,5,-74.09
ACS-OPTICAL_RX_HOURLY-01-19,CPE0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,83.77,index,valid,synthetic_acs,54.1,154800,4,-55.6
ACS-OPTICAL_RX_HOURLY-01-20,CPE0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,20.88,index,valid,synthetic_acs,35.65,158400,2,-59.18
ACS-OPTICAL_RX_HOURLY-01-21,CPE0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,21.75,index,valid,synthetic_acs,53.49,162000,3,-48.35
ACS-OPTICAL_RX_HOURLY-01-22,CPE0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,17.43,index,valid,synthetic_acs,52.61,165600,2,-67.44
ACS-OPTICAL_RX_HOURLY-01-23,CPE0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,54.38,index,valid,synthetic_acs,44.23,169200,0,-70.15
ACS-OPTICAL_RX_HOURLY-01-24,CPE0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,65.61,index,valid,synthetic_acs,39.63,172800,3,-72.32
ACS-OPTICAL_RX_HOURLY-01-25,CPE0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,21.02,index,valid,synthetic_acs,47.47,176400,4,-55.26
ACS-OPTICAL_RX_HOURLY-01-26,CPE0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,39.71,index,valid,synthetic_acs,53.27,180000,1,-60.73
ACS-OPTICAL_RX_HOURLY-01-27,CPE0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,56.16,index,valid,synthetic_acs,36.96,183600,0,-46.19
ACS-OPTICAL_RX_HOURLY-01-28,CPE0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,37.14,index,valid,synthetic_acs,54.15,187200,1,-56.58
ACS-OPTICAL_RX_HOURLY-01-29,CPE0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,61.25,index,valid,synthetic_acs,39.41,190800,4,-66.23
ACS-OPTICAL_RX_HOURLY-01-30,CPE0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,53.06,index,valid,synthetic_acs,38.08,194400,3,-53.4
ACS-OPTICAL_RX_HOURLY-01-31,CPE0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,56.23,index,valid,synthetic_acs,42.89,198000,4,-59.07
ACS-OPTICAL_RX_HOURLY-01-32,CPE0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,84.63,index,valid,synthetic_acs,39.15,201600,1,-49.33
ACS-OPTICAL_RX_HOURLY-01-33,CPE0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,51.55,index,valid,synthetic_acs,50.25,205200,2,-55.03
ACS-OPTICAL_RX_HOURLY-01-34,CPE0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,48.34,index,valid,synthetic_acs,35.9,208800,2,-57.13
ACS-OPTICAL_RX_HOURLY-01-35,CPE0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,82.06,index,valid,synthetic_acs,37.85,212400,3,-68.52
ACS-OPTICAL_RX_HOURLY-01-36,CPE0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,50.27,index,valid,synthetic_acs,41.55,216000,1,-64.73
ACS-OPTICAL_RX_HOURLY-01-37,CPE0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,42.42,index,valid,synthetic_acs,41.66,219600,5,-48.65
ACS-OPTICAL_RX_HOURLY-01-38,CPE0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,30.98,index,valid,synthetic_acs,51.04,223200,1,-73.65
ACS-OPTICAL_RX_HOURLY-01-39,CPE0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,61.41,index,valid,synthetic_acs,53.31,226800,4,-72.26
ACS-OPTICAL_RX_HOURLY-01-40,CPE0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,42.48,index,valid,synthetic_acs,39.96,230400,4,-46.19
ACS-OPTICAL_RX_HOURLY-01-41,CPE0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,52.85,index,valid,synthetic_acs,42.77,234000,3,-51.61
ACS-OPTICAL_RX_HOURLY-01-42,CPE0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,25.82,index,valid,synthetic_acs,53.28,237600,0,-70.46
ACS-OPTICAL_RX_HOURLY-01-43,CPE0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,20.43,index,valid,synthetic_acs,48.23,241200,0,-66.41
ACS-OPTICAL_RX_HOURLY-01-44,CPE0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,45.75,index,valid,synthetic_acs,39.07,244800,1,-47.31
ACS-OPTICAL_RX_HOURLY-01-45,CPE0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,110.67,index,degraded,synthetic_acs,46.12,248400,5,-70.91
ACS-OPTICAL_RX_HOURLY-01-46,CPE0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,78.86,index,valid,synthetic_acs,52.19,252000,5,-53.37
ACS-OPTICAL_RX_HOURLY-01-47,CPE0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,70.18,index,valid,synthetic_acs,38.64,255600,3,-70.93
ACS-OPTICAL_RX_HOURLY-01-48,CPE0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,62.09,index,valid,synthetic_acs,45.51,259200,5,-69.18
ACS-OPTICAL_RX_HOURLY-01-49,CPE0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,58.43,index,valid,synthetic_acs,45.62,262800,3,-62.22
ACS-OPTICAL_RX_HOURLY-01-50,CPE0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,21.63,index,valid,synthetic_acs,42.95,266400,1,-49.11
ACS-OPTICAL_RX_HOURLY-01-51,CPE0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,25.02,index,valid,synthetic_acs,40.33,270000,2,-64.28
ACS-OPTICAL_RX_HOURLY-01-52,CPE0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,55.43,index,valid,synthetic_acs,51.26,273600,0,-64.99
ACS-OPTICAL_RX_HOURLY-01-53,CPE0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,53.98,index,valid,synthetic_acs,35.18,277200,2,-70.07
ACS-OPTICAL_RX_HOURLY-01-54,CPE0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,50.61,index,valid,synthetic_acs,38.03,280800,3,-49.02
ACS-OPTICAL_RX_HOURLY-01-55,CPE0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,35.86,index,valid,synthetic_acs,43.02,284400,5,-48.14
ACS-OPTICAL_RX_HOURLY-01-56,CPE0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,56.8,index,valid,synthetic_acs,47.56,288000,5,-47.65
ACS-OPTICAL_RX_HOURLY-01-57,CPE0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,76.29,index,valid,synthetic_acs,35.21,291600,3,-58.06
ACS-OPTICAL_RX_HOURLY-01-58,CPE0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,31.88,index,valid,synthetic_acs,54.93,295200,4,-70.14
ACS-OPTICAL_RX_HOURLY-01-59,CPE0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,54.18,index,valid,synthetic_acs,49.79,298800,1,-50.26
ACS-OPTICAL_RX_HOURLY-01-60,CPE0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,77.52,index,valid,synthetic_acs,36.41,302400,1,-67.02
ACS-OPTICAL_RX_HOURLY-01-61,CPE0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,68.97,index,valid,synthetic_acs,45.52,306000,3,-46.49
ACS-OPTICAL_RX_HOURLY-01-62,CPE0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,70.94,index,valid,synthetic_acs,40.67,309600,1,-57.9
ACS-OPTICAL_RX_HOURLY-01-63,CPE0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,17.88,index,valid,synthetic_acs,51.94,313200,2,-58.52
ACS-OPTICAL_RX_HOURLY-01-64,CPE0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,29.81,index,valid,synthetic_acs,47.91,316800,0,-66.23
ACS-OPTICAL_RX_HOURLY-01-65,CPE0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,70.48,index,valid,synthetic_acs,38.23,320400,3,-65.85
ACS-OPTICAL_RX_HOURLY-01-66,CPE0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,64.53,index,valid,synthetic_acs,42.65,324000,0,-59.2
ACS-OPTICAL_RX_HOURLY-01-67,CPE0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,39.48,index,valid,synthetic_acs,48.26,327600,2,-60.61
ACS-OPTICAL_RX_HOURLY-01-68,CPE0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,41.29,index,valid,synthetic_acs,39.94,331200,2,-49.05
ACS-OPTICAL_RX_HOURLY-01-69,CPE0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,77.84,index,valid,synthetic_acs,54.09,334800,2,-51.82
ACS-OPTICAL_RX_HOURLY-01-70,CPE0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,44.66,index,valid,synthetic_acs,51.21,338400,5,-67.73
ACS-OPTICAL_RX_HOURLY-01-71,CPE0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,70.45,index,valid,synthetic_acs,36.52,342000,3,-72.0
ACS-OPTICAL_RX_HOURLY-02-00,CPE0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,60.34,index,valid,synthetic_acs,54.49,86400,5,-67.95
ACS-OPTICAL_RX_HOURLY-02-01,CPE0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,44.8,index,valid,synthetic_acs,37.93,90000,5,-54.19
ACS-OPTICAL_RX_HOURLY-02-02,CPE0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,83.32,index,valid,synthetic_acs,36.13,93600,4,-58.02
ACS-OPTICAL_RX_HOURLY-02-03,CPE0013,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,73.66,index,valid,synthetic_acs,36.66,97200,3,-49.03
