remote_command_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-REMOTE_COMMAND-03-18,CPE0019,NBH,KV1,active,2026-08-18 18:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,41.09,151200,0,-52.71
ACS-REMOTE_COMMAND-03-27,CPE0019,NBH,KV1,active,2026-08-19 03:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,45.27,183600,2,-73.69
ACS-REMOTE_COMMAND-03-36,CPE0019,NBH,KV1,active,2026-08-19 12:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,50.77,216000,5,-66.13
ACS-REMOTE_COMMAND-03-45,CPE0019,NBH,KV1,active,2026-08-19 21:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,45.85,248400,5,-54.41
ACS-REMOTE_COMMAND-03-54,CPE0019,NBH,KV1,active,2026-08-20 06:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,53.63,280800,3,-60.65
ACS-REMOTE_COMMAND-03-63,CPE0019,NBH,KV1,active,2026-08-20 15:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,47.78,313200,4,-52.87
ACS-REMOTE_COMMAND-04-00,CPE0025,HCM,KV3,active,2026-08-18 00:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,54.65,86400,1,-50.46
ACS-REMOTE_COMMAND-04-09,CPE0025,HCM,KV3,active,2026-08-18 09:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,46.7,118800,2,-59.47
ACS-REMOTE_COMMAND-04-18,CPE0025,HCM,KV3,active,2026-08-18 18:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,45.86,151200,5,-59.21
ACS-REMOTE_COMMAND-04-27,CPE0025,HCM,KV3,active,2026-08-19 03:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,45.75,183600,2,-68.2
ACS-REMOTE_COMMAND-04-36,CPE0025,HCM,KV3,active,2026-08-19 12:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,42.91,216000,0,-52.03
ACS-REMOTE_COMMAND-04-45,CPE0025,HCM,KV3,active,2026-08-19 21:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,54.35,248400,0,-51.85
ACS-REMOTE_COMMAND-04-54,CPE0025,HCM,KV3,active,2026-08-20 06:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,36.91,280800,0,-68.41
ACS-REMOTE_COMMAND-04-63,CPE0025,HCM,KV3,active,2026-08-20 15:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,50.37,313200,0,-73.89
ACS-REMOTE_COMMAND-05-00,CPE0026,KHA,KV2,active,2026-08-18 00:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,44.36,86400,0,-66.27
ACS-REMOTE_COMMAND-05-09,CPE0026,KHA,KV2,active,2026-08-18 09:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,54.25,118800,2,-58.69
ACS-REMOTE_COMMAND-05-18,CPE0026,KHA,KV2,active,2026-08-18 18:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,52.2,151200,2,-65.62
ACS-REMOTE_COMMAND-05-27,CPE0026,KHA,KV2,active,2026-08-19 03:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,49.7,183600,2,-54.93
ACS-REMOTE_COMMAND-05-36,CPE0026,KHA,KV2,active,2026-08-19 12:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,53.27,216000,5,-57.81
ACS-REMOTE_COMMAND-05-45,CPE0026,KHA,KV2,active,2026-08-19 21:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,50.7,248400,1,-61.65
ACS-REMOTE_COMMAND-05-54,CPE0026,KHA,KV2,active,2026-08-20 06:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,35.28,280800,5,-65.78
ACS-REMOTE_COMMAND-05-63,CPE0026,KHA,KV2,active,2026-08-20 15:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,46.74,313200,3,-53.58
