firmware_upgrade_event_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-FIRMWARE_UPGRADE_EVENT-01-36,CPE0007,SLA,KV1,active,2026-08-19 12:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,37.37,216000,1,-45.12
ACS-FIRMWARE_UPGRADE_EVENT-01-45,CPE0007,SLA,KV1,degraded,2026-08-19 21:00:00,FIRMWARE_UPGRADE_EVENT,major,failed,3600,synthetic_acs,49.61,248400,4,-66.4
ACS-FIRMWARE_UPGRADE_EVENT-01-54,CPE0007,SLA,KV1,active,2026-08-20 06:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,49.06,280800,4,-74.07
ACS-FIRMWARE_UPGRADE_EVENT-01-63,CPE0007,SLA,KV1,active,2026-08-20 15:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,40.17,313200,1,-68.26
ACS-FIRMWARE_UPGRADE_EVENT-02-00,CPE0013,CMU,KV3,active,2026-08-18 00:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,47.35,86400,0,-58.0
ACS-FIRMWARE_UPGRADE_EVENT-02-09,CPE0013,CMU,KV3,active,2026-08-18 09:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,42.3,118800,4,-62.04
ACS-FIRMWARE_UPGRADE_EVENT-02-18,CPE0013,CMU,KV3,active,2026-08-18 18:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,47.8,151200,3,-50.17
ACS-FIRMWARE_UPGRADE_EVENT-02-27,CPE0013,CMU,KV3,active,2026-08-19 03:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,54.34,183600,0,-66.57
ACS-FIRMWARE_UPGRADE_EVENT-02-36,CPE0013,CMU,KV3,active,2026-08-19 12:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,43.66,216000,0,-45.62
ACS-FIRMWARE_UPGRADE_EVENT-02-45,CPE0013,CMU,KV3,active,2026-08-19 21:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,42.34,248400,0,-47.35
ACS-FIRMWARE_UPGRADE_EVENT-02-54,CPE0013,CMU,KV3,active,2026-08-20 06:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,46.66,280800,2,-45.98
ACS-FIRMWARE_UPGRADE_EVENT-02-63,CPE0013,CMU,KV3,active,2026-08-20 15:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,37.85,313200,1,-68.76
ACS-FIRMWARE_UPGRADE_EVENT-03-00,CPE0019,NBH,KV1,active,2026-08-18 00:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,35.3,86400,0,-66.37
ACS-FIRMWARE_UPGRADE_EVENT-03-09,CPE0019,NBH,KV1,active,2026-08-18 09:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,44.39,118800,5,-64.5
ACS-FIRMWARE_UPGRADE_EVENT-03-18,CPE0019,NBH,KV1,active,2026-08-18 18:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,51.73,151200,5,-47.09
ACS-FIRMWARE_UPGRADE_EVENT-03-27,CPE0019,NBH,KV1,active,2026-08-19 03:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,39.06,183600,1,-68.8
ACS-FIRMWARE_UPGRADE_EVENT-03-36,CPE0019,NBH,KV1,active,2026-08-19 12:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,43.38,216000,1,-53.08
ACS-FIRMWARE_UPGRADE_EVENT-03-45,CPE0019,NBH,KV1,active,2026-08-19 21:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,47.8,248400,3,-53.24
ACS-FIRMWARE_UPGRADE_EVENT-03-54,CPE0019,NBH,KV1,active,2026-08-20 06:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,35.99,280800,1,-71.95
ACS-FIRMWARE_UPGRADE_EVENT-03-63,CPE0019,NBH,KV1,active,2026-08-20 15:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,50.73,313200,5,-54.42
ACS-FIRMWARE_UPGRADE_EVENT-04-00,CPE0025,HCM,KV3,active,2026-08-18 00:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,35.45,86400,1,-57.23
ACS-FIRMWARE_UPGRADE_EVENT-04-09,CPE0025,HCM,KV3,active,2026-08-18 09:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,45.46,118800,4,-55.28
ACS-FIRMWARE_UPGRADE_EVENT-04-18,CPE0025,HCM,KV3,active,2026-08-18 18:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,41.09,151200,2,-53.06
ACS-FIRMWARE_UPGRADE_EVENT-04-27,CPE0025,HCM,KV3,active,2026-08-19 03:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,38.98,183600,0,-45.31
ACS-FIRMWARE_UPGRADE_EVENT-04-36,CPE0025,HCM,KV3,active,2026-08-19 12:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,40.98,216000,2,-60.05
ACS-FIRMWARE_UPGRADE_EVENT-04-45,CPE0025,HCM,KV3,active,2026-08-19 21:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,50.59,248400,0,-58.74
ACS-FIRMWARE_UPGRADE_EVENT-04-54,CPE0025,HCM,KV3,active,2026-08-20 06:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,54.59,280800,2,-53.54
ACS-FIRMWARE_UPGRADE_EVENT-04-63,CPE0025,HCM,KV3,active,2026-08-20 15:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,37.74,313200,3,-60.65
ACS-FIRMWARE_UPGRADE_EVENT-05-00,CPE0026,KHA,KV2,active,2026-08-18 00:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,43.96,86400,5,-59.53
ACS-FIRMWARE_UPGRADE_EVENT-05-09,CPE0026,KHA,KV2,active,2026-08-18 09:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,38.42,118800,4,-57.38
ACS-FIRMWARE_UPGRADE_EVENT-05-18,CPE0026,KHA,KV2,active,2026-08-18 18:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,43.61,151200,3,-67.51
ACS-FIRMWARE_UPGRADE_EVENT-05-27,CPE0026,KHA,KV2,active,2026-08-19 03:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,54.03,183600,2,-63.87
ACS-FIRMWARE_UPGRADE_EVENT-05-36,CPE0026,KHA,KV2,active,2026-08-19 12:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,51.79,216000,2,-51.37
ACS-FIRMWARE_UPGRADE_EVENT-05-45,CPE0026,KHA,KV2,active,2026-08-19 21:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,37.06,248400,5,-54.04
ACS-FIRMWARE_UPGRADE_EVENT-05-54,CPE0026,KHA,KV2,active,2026-08-20 06:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,36.66,280800,5,-61.14
ACS-FIRMWARE_UPGRADE_EVENT-05-63,CPE0026,KHA,KV2,active,2026-08-20 15:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,48.86,313200,0,-62.67
